,user_id,group_id,period
0,136,1,1996-06
1,584,1,1996-06
2,136,0,1996-06
3,314,0,1996-06
4,38,23,1996-09
5,485,23,1996-09
6,386,26,1996-09
7,588,26,1996-09
8,81,37,1996-12
9,126,37,1996-12
10,81,38,1996-12
11,373,38,1996-12
12,181,6,1996-12
13,373,6,1996-12
14,19,8,2000-09
15,469,8,2000-09
16,19,10,2000-09
17,571,10,2000-09
18,294,20,2000-09
19,603,20,2000-09
20,19,9,2000-09
21,57,9,2000-09
22,19,7,2000-09
23,294,7,2000-09
24,294,19,2000-09
25,469,19,2000-09
26,294,18,2000-09
27,333,18,2000-09
28,57,30,2000-09
29,294,30,2000-09
30,160,4,2000-12
31,288,4,2000-12
32,288,17,2000-12
33,368,17,2000-12
34,160,5,2000-12
35,368,5,2000-12
36,384,25,2001-09
37,474,25,2001-09
38,20,11,2003-06
39,182,11,2003-06
40,287,14,2005-03
41,316,14,2005-03
42,316,21,2005-03
43,428,21,2005-03
44,287,16,2005-03
45,552,16,2005-03
46,287,15,2005-03
47,428,15,2005-03
48,7,36,2005-03
49,428,36,2005-03
50,488,28,2005-06
51,608,28,2005-06
52,91,39,2005-06
53,608,39,2005-06
54,68,32,2006-09
55,132,32,2006-09
56,68,35,2006-09
57,370,35,2006-09
58,68,34,2006-09
59,167,34,2006-09
60,274,12,2007-03
61,580,12,2007-03
62,28,13,2009-03
63,51,13,2009-03
64,51,29,2009-03
65,600,29,2009-03
66,139,2,2016-03
67,495,2,2016-03
68,365,22,2017-03
69,517,22,2017-03
70,599,31,2017-06
71,610,31,2017-06
72,47,27,2017-06
73,328,27,2017-06
74,382,24,2018-03
75,599,24,2018-03
76,68,33,2018-06
77,153,33,2018-06
78,153,3,2018-06
79,567,3,2018-06
