,user_id,group_id,period
0,56,6,1996-08
1,102,6,1996-08
2,109,6,1996-08
3,142,6,1996-08
4,179,6,1996-08
5,229,6,1996-08
6,235,6,1996-08
7,385,6,1996-08
8,394,6,1996-08
9,404,6,1996-08
10,411,6,1996-08
11,447,6,1996-08
12,455,6,1996-08
13,476,6,1996-08
14,485,6,1996-08
15,486,6,1996-08
16,498,6,1996-08
17,507,6,1996-08
18,512,6,1996-08
19,541,6,1996-08
20,584,6,1996-08
21,592,6,1996-08
22,56,7,1996-08
23,102,7,1996-08
24,109,7,1996-08
25,162,7,1996-08
26,170,7,1996-08
27,179,7,1996-08
28,229,7,1996-08
29,235,7,1996-08
30,314,7,1996-08
31,385,7,1996-08
32,404,7,1996-08
33,411,7,1996-08
34,444,7,1996-08
35,447,7,1996-08
36,455,7,1996-08
37,476,7,1996-08
38,486,7,1996-08
39,498,7,1996-08
40,512,7,1996-08
41,541,7,1996-08
42,592,7,1996-08
43,38,3,1996-08
44,46,3,1996-08
45,56,3,1996-08
46,102,3,1996-08
47,109,3,1996-08
48,176,3,1996-08
49,179,3,1996-08
50,229,3,1996-08
51,235,3,1996-08
52,242,3,1996-08
53,385,3,1996-08
54,404,3,1996-08
55,411,3,1996-08
56,447,3,1996-08
57,455,3,1996-08
58,476,3,1996-08
59,486,3,1996-08
60,498,3,1996-08
61,512,3,1996-08
62,541,3,1996-08
63,588,3,1996-08
64,592,3,1996-08
65,602,3,1996-08
66,14,1,1996-08
67,54,1,1996-08
68,56,1,1996-08
69,102,1,1996-08
70,109,1,1996-08
71,142,1,1996-08
72,170,1,1996-08
73,179,1,1996-08
74,229,1,1996-08
75,235,1,1996-08
76,349,1,1996-08
77,404,1,1996-08
78,411,1,1996-08
79,447,1,1996-08
80,455,1,1996-08
81,485,1,1996-08
82,512,1,1996-08
83,541,1,1996-08
84,584,1,1996-08
85,592,1,1996-08
86,26,2,1996-08
87,46,2,1996-08
88,56,2,1996-08
89,102,2,1996-08
90,109,2,1996-08
91,142,2,1996-08
92,176,2,1996-08
93,179,2,1996-08
94,229,2,1996-08
95,235,2,1996-08
96,242,2,1996-08
97,273,2,1996-08
98,404,2,1996-08
99,411,2,1996-08
100,447,2,1996-08
101,455,2,1996-08
102,485,2,1996-08
103,512,2,1996-08
104,541,2,1996-08
105,584,2,1996-08
106,588,2,1996-08
107,592,2,1996-08
108,602,2,1996-08
109,8,8,1996-08
110,46,8,1996-08
111,56,8,1996-08
112,102,8,1996-08
113,109,8,1996-08
114,170,8,1996-08
115,176,8,1996-08
116,179,8,1996-08
117,229,8,1996-08
118,235,8,1996-08
119,242,8,1996-08
120,404,8,1996-08
121,411,8,1996-08
122,447,8,1996-08
123,455,8,1996-08
124,512,8,1996-08
125,541,8,1996-08
126,574,8,1996-08
127,588,8,1996-08
128,592,8,1996-08
129,602,8,1996-08
130,38,5,1996-08
131,46,5,1996-08
132,56,5,1996-08
133,109,5,1996-08
134,176,5,1996-08
135,179,5,1996-08
136,229,5,1996-08
137,235,5,1996-08
138,394,5,1996-08
139,404,5,1996-08
140,411,5,1996-08
141,447,5,1996-08
142,455,5,1996-08
143,486,5,1996-08
144,498,5,1996-08
145,512,5,1996-08
146,541,5,1996-08
147,584,5,1996-08
148,588,5,1996-08
149,592,5,1996-08
150,602,5,1996-08
151,38,4,1996-08
152,46,4,1996-08
153,56,4,1996-08
154,109,4,1996-08
155,170,4,1996-08
156,176,4,1996-08
157,179,4,1996-08
158,229,4,1996-08
159,235,4,1996-08
160,314,4,1996-08
161,404,4,1996-08
162,411,4,1996-08
163,447,4,1996-08
164,455,4,1996-08
165,486,4,1996-08
166,498,4,1996-08
167,512,4,1996-08
168,541,4,1996-08
169,574,4,1996-08
170,588,4,1996-08
171,592,4,1996-08
172,602,4,1996-08
173,14,0,1996-08
174,46,0,1996-08
175,56,0,1996-08
176,109,0,1996-08
177,170,0,1996-08
178,176,0,1996-08
179,179,0,1996-08
180,229,0,1996-08
181,235,0,1996-08
182,404,0,1996-08
183,411,0,1996-08
184,447,0,1996-08
185,455,0,1996-08
186,512,0,1996-08
187,541,0,1996-08
188,574,0,1996-08
189,584,0,1996-08
190,588,0,1996-08
191,592,0,1996-08
192,602,0,1996-08
