,user_id,group_id,period
0,56,6272,1996-08
1,102,6272,1996-08
2,130,6272,1996-08
3,134,6272,1996-08
4,142,6272,1996-08
5,145,6272,1996-08
6,229,6272,1996-08
7,235,6272,1996-08
8,411,6272,1996-08
9,436,6272,1996-08
10,455,6272,1996-08
11,468,6272,1996-08
12,498,6272,1996-08
13,541,6272,1996-08
14,592,6272,1996-08
15,102,187,1996-08
16,145,187,1996-08
17,170,187,1996-08
18,176,187,1996-08
19,179,187,1996-08
20,229,187,1996-08
21,235,187,1996-08
22,385,187,1996-08
23,394,187,1996-08
24,468,187,1996-08
25,498,187,1996-08
26,541,187,1996-08
27,574,187,1996-08
28,584,187,1996-08
29,592,187,1996-08
30,40,5043,1996-08
31,102,5043,1996-08
32,107,5043,1996-08
33,136,5043,1996-08
34,145,5043,1996-08
35,229,5043,1996-08
36,235,5043,1996-08
37,353,5043,1996-08
38,468,5043,1996-08
39,476,5043,1996-08
40,498,5043,1996-08
41,541,5043,1996-08
42,592,5043,1996-08
43,102,190,1996-08
44,145,190,1996-08
45,229,190,1996-08
46,235,190,1996-08
47,468,190,1996-08
48,498,190,1996-08
49,541,190,1996-08
50,592,190,1996-08
51,102,135,1996-08
52,130,135,1996-08
53,145,135,1996-08
54,243,135,1996-08
55,385,135,1996-08
56,394,135,1996-08
57,395,135,1996-08
58,436,135,1996-08
59,455,135,1996-08
60,498,135,1996-08
61,40,5044,1996-08
62,102,5044,1996-08
63,130,5044,1996-08
64,136,5044,1996-08
65,145,5044,1996-08
66,353,5044,1996-08
67,404,5044,1996-08
68,436,5044,1996-08
69,455,5044,1996-08
70,476,5044,1996-08
71,486,5044,1996-08
72,498,5044,1996-08
73,512,5044,1996-08
74,588,5044,1996-08
75,602,5044,1996-08
76,102,136,1996-08
77,130,136,1996-08
78,145,136,1996-08
79,436,136,1996-08
80,455,136,1996-08
81,498,136,1996-08
82,26,3419,1996-08
83,38,3419,1996-08
84,40,3419,1996-08
85,102,3419,1996-08
86,109,3419,1996-08
87,136,3419,1996-08
88,145,3419,1996-08
89,353,3419,1996-08
90,385,3419,1996-08
91,394,3419,1996-08
92,476,3419,1996-08
93,498,3419,1996-08
94,604,3419,1996-08
95,102,193,1996-08
96,145,193,1996-08
97,385,193,1996-08
98,394,193,1996-08
99,498,193,1996-08
100,40,5046,1996-08
101,102,5046,1996-08
102,136,5046,1996-08
103,145,5046,1996-08
104,353,5046,1996-08
105,476,5046,1996-08
106,498,5046,1996-08
107,102,204,1996-08
108,145,204,1996-08
109,498,204,1996-08
110,54,6239,1996-08
111,56,6239,1996-08
112,130,6239,1996-08
113,145,6239,1996-08
114,179,6239,1996-08
115,235,6239,1996-08
116,242,6239,1996-08
117,314,6239,1996-08
118,395,6239,1996-08
119,411,6239,1996-08
120,455,6239,1996-08
121,592,6239,1996-08
122,40,5202,1996-08
123,56,5202,1996-08
124,107,5202,1996-08
125,130,5202,1996-08
126,145,5202,1996-08
127,235,5202,1996-08
128,411,5202,1996-08
129,455,5202,1996-08
130,476,5202,1996-08
131,592,5202,1996-08
132,602,5202,1996-08
133,56,6318,1996-08
134,130,6318,1996-08
135,145,6318,1996-08
136,235,6318,1996-08
137,411,6318,1996-08
138,455,6318,1996-08
139,592,6318,1996-08
140,38,4700,1996-08
141,40,4700,1996-08
142,107,4700,1996-08
143,145,4700,1996-08
144,179,4700,1996-08
145,235,4700,1996-08
146,284,4700,1996-08
147,476,4700,1996-08
148,592,4700,1996-08
149,604,4700,1996-08
150,145,2070,1996-08
151,179,2070,1996-08
152,235,2070,1996-08
153,592,2070,1996-08
154,40,5056,1996-08
155,107,5056,1996-08
156,145,5056,1996-08
157,235,5056,1996-08
158,476,5056,1996-08
159,592,5056,1996-08
160,145,2081,1996-08
161,235,2081,1996-08
162,592,2081,1996-08
163,38,4707,1996-08
164,40,4707,1996-08
165,130,4707,1996-08
166,145,4707,1996-08
167,395,4707,1996-08
168,455,4707,1996-08
169,476,4707,1996-08
170,602,4707,1996-08
171,604,4707,1996-08
172,130,1465,1996-08
173,145,1465,1996-08
174,395,1465,1996-08
175,455,1465,1996-08
176,40,5075,1996-08
177,130,5075,1996-08
178,145,5075,1996-08
179,455,5075,1996-08
180,476,5075,1996-08
181,602,5075,1996-08
182,130,1467,1996-08
183,145,1467,1996-08
