,user_id,group_id,period
0,38,88,1996-08
1,107,88,1996-08
2,109,88,1996-08
3,130,88,1996-08
4,176,88,1996-08
5,179,88,1996-08
6,229,88,1996-08
7,447,88,1996-08
8,486,88,1996-08
9,498,88,1996-08
10,512,88,1996-08
11,574,88,1996-08
12,588,88,1996-08
13,602,88,1996-08
14,109,22,1996-08
15,179,22,1996-08
16,284,22,1996-08
17,486,22,1996-08
18,498,22,1996-08
19,512,22,1996-08
20,536,22,1996-08
21,541,22,1996-08
22,584,22,1996-08
23,592,22,1996-08
24,109,20,1996-08
25,162,20,1996-08
26,179,20,1996-08
27,455,20,1996-08
28,476,20,1996-08
29,486,20,1996-08
30,498,20,1996-08
31,512,20,1996-08
32,109,23,1996-08
33,179,23,1996-08
34,486,23,1996-08
35,498,23,1996-08
36,512,23,1996-08
37,46,115,1996-08
38,134,115,1996-08
39,176,115,1996-08
40,512,115,1996-08
41,574,115,1996-08
42,588,115,1996-08
43,592,115,1996-08
44,602,115,1996-08
45,176,47,1996-08
46,353,47,1996-08
47,455,47,1996-08
48,512,47,1996-08
49,574,47,1996-08
50,588,47,1996-08
51,602,47,1996-08
52,176,50,1996-08
53,512,50,1996-08
54,574,50,1996-08
55,588,50,1996-08
56,602,50,1996-08
57,56,139,1996-08
58,235,139,1996-08
59,349,139,1996-08
60,411,139,1996-08
61,444,139,1996-08
62,455,139,1996-08
63,485,139,1996-08
64,512,139,1996-08
65,592,139,1996-08
66,107,19,1996-08
67,229,19,1996-08
68,486,19,1996-08
69,498,19,1996-08
70,536,19,1996-08
71,584,19,1996-08
72,592,19,1996-08
73,40,101,1996-08
74,99,101,1996-08
75,107,101,1996-08
76,229,101,1996-08
77,385,101,1996-08
78,486,101,1996-08
79,498,101,1996-08
80,192,58,1996-08
81,235,58,1996-08
82,411,58,1996-08
83,485,58,1996-08
84,486,58,1996-08
85,498,58,1996-08
86,536,58,1996-08
87,584,58,1996-08
88,592,58,1996-08
89,486,132,1996-08
90,498,132,1996-08
91,536,132,1996-08
92,584,132,1996-08
93,592,132,1996-08
94,142,33,1996-08
95,235,33,1996-08
96,411,33,1996-08
97,485,33,1996-08
98,592,33,1996-08
99,40,102,1996-08
100,99,102,1996-08
101,109,102,1996-08
102,229,102,1996-08
103,353,102,1996-08
104,447,102,1996-08
105,486,102,1996-08
106,512,102,1996-08
107,588,102,1996-08
108,602,102,1996-08
109,109,24,1996-08
110,229,24,1996-08
111,447,24,1996-08
112,486,24,1996-08
113,512,24,1996-08
114,588,24,1996-08
115,602,24,1996-08
116,102,17,1996-08
117,109,17,1996-08
118,411,17,1996-08
119,444,17,1996-08
120,486,17,1996-08
121,512,17,1996-08
122,142,34,1996-08
123,242,34,1996-08
124,353,34,1996-08
125,411,34,1996-08
126,444,34,1996-08
127,512,34,1996-08
128,588,34,1996-08
129,602,34,1996-08
130,604,34,1996-08
131,40,103,1996-08
132,99,103,1996-08
133,142,103,1996-08
134,229,103,1996-08
135,411,103,1996-08
136,486,103,1996-08
137,38,91,1996-08
138,46,91,1996-08
139,136,91,1996-08
140,176,91,1996-08
141,229,91,1996-08
142,486,91,1996-08
143,498,91,1996-08
144,512,91,1996-08
145,541,91,1996-08
146,588,91,1996-08
147,592,91,1996-08
148,602,91,1996-08
149,38,89,1996-08
150,176,89,1996-08
151,229,89,1996-08
152,353,89,1996-08
153,476,89,1996-08
154,486,89,1996-08
155,498,89,1996-08
156,512,89,1996-08
157,588,89,1996-08
158,602,89,1996-08
159,38,90,1996-08
160,176,90,1996-08
161,229,90,1996-08
162,486,90,1996-08
163,498,90,1996-08
164,512,90,1996-08
165,588,90,1996-08
166,602,90,1996-08
167,476,130,1996-08
168,486,130,1996-08
169,498,130,1996-08
170,512,130,1996-08
171,541,130,1996-08
172,592,130,1996-08
173,486,131,1996-08
174,498,131,1996-08
175,512,131,1996-08
176,541,131,1996-08
177,592,131,1996-08
178,46,121,1996-08
179,176,121,1996-08
180,242,121,1996-08
181,353,121,1996-08
