,0,period
0,"[121, 269, 31]",1996
1,"[385, 386, 6, 181, 314, 444, 191, 588, 592, 470, 602, 604, 353, 102, 486, 109, 373, 117, 121]",1996
2,"[321, 6, 107, 43, 117, 181, 58, 604]",1996
3,"[5, 6, 273, 284, 541, 38, 40, 43, 559, 54, 56, 314, 574, 321, 584, 602, 604, 94, 107, 109, 117, 373, 126, 385, 386, 130, 136, 394, 395, 170, 173, 174, 179, 436, 444, 447, 468, 470, 229, 235, 240, 242]",1996
4,"[321, 386, 130, 6, 136, 584, 395, 468, 470, 602, 284, 541, 94, 126, 40, 43, 107, 109, 174, 240, 242, 179, 436, 117, 373, 54, 56, 314, 444, 574]",1996
5,"[512, 386, 6, 8, 524, 14, 273, 81, 468, 470, 602, 347, 284, 604, 94, 476, 353, 58, 486, 235, 109, 46, 174, 559, 242, 117, 566, 54, 314, 446, 191]",1996
6,"[385, 386, 6, 40, 109, 14, 240, 176, 181, 411, 447]",1996
7,"[512, 385, 386, 133, 6, 8, 524, 14, 81, 468, 470, 602, 347, 604, 284, 94, 353, 486, 235, 314, 109, 46, 174, 559, 242, 117, 566, 54, 373, 58, 446, 191]",1996
8,"[385, 321, 5, 6, 584, 395, 273, 470, 602, 284, 541, 94, 229, 38, 170, 235, 43, 109, 173, 559, 174, 240, 436, 117, 373, 314, 444, 447]",1996
9,"[385, 386, 162, 6, 136, 588, 109, 373, 181, 501, 121, 602, 444, 446, 191]",1996
10,"[353, 6, 486, 136, 592, 243, 117, 373, 566, 181, 121, 411, 349, 447]",1996
11,"[512, 385, 386, 133, 6, 455, 8, 5, 262, 588, 524, 142, 470, 602, 411, 541, 162, 35, 58, 38, 109, 174, 46, 565, 566, 117, 373, 54, 314, 501, 444, 446, 191]",1996
12,"[6, 458, 43, 269, 240, 470]",1996
13,"[38, 134, 136, 584, 43, 524, 14, 142, 404, 117, 602, 604, 191]",1996
14,"[130, 40, 584, 107, 43, 240, 436, 468, 347, 476, 604]",1996
15,"[262, 455, 404, 536, 411, 604, 40, 109, 117, 314, 191]",1996
16,"[385, 5, 6, 455, 136, 458, 14, 468, 404, 470, 602, 347, 411, 349, 94, 353, 35, 38, 102, 486, 40, 170, 109, 46, 242, 117, 566, 373, 121, 58, 507, 444, 446, 447]",1996
17,"[321, 353, 99, 6, 136, 40, 584, 43, 395, 109, 429, 240, 373, 117, 566, 411, 284, 446]",1996
18,"[229, 6, 5, 235, 588, 109, 142, 402, 243, 404, 117, 470, 602, 58]",1996
19,"[6, 8, 404, 411, 284, 35, 40, 43, 429, 46, 174, 181, 566, 446, 447, 584, 458, 353, 99, 102, 242, 117, 373]",1996
20,"[385, 386, 6, 262, 524, 269, 14, 402, 181, 566, 446, 191, 588, 206, 602, 604, 353, 235, 109, 373, 501, 121]",1996
21,"[512, 386, 133, 6, 5, 524, 411, 541, 174, 559, 58, 447, 584, 602, 229, 102, 486, 109, 117, 373, 121]",1996
22,"[191, 604, 206, 31]",1996
