,user_id,group_id,period
0,40,190,1996-05
1,130,190,1996-05
2,134,190,1996-05
3,284,190,1996-05
4,444,190,1996-05
5,40,189,1996-05
6,107,189,1996-05
7,134,189,1996-05
8,284,189,1996-05
9,468,189,1996-05
10,40,192,1996-05
11,134,192,1996-05
12,145,192,1996-05
13,284,192,1996-05
14,353,192,1996-05
15,40,188,1996-05
16,107,188,1996-05
17,130,188,1996-05
18,468,188,1996-05
19,536,188,1996-05
20,40,191,1996-05
21,130,191,1996-05
22,284,191,1996-05
23,353,191,1996-05
24,604,191,1996-05
25,107,31,1996-05
26,130,31,1996-05
27,134,31,1996-05
28,136,31,1996-05
29,468,31,1996-05
30,40,193,1996-05
31,136,193,1996-05
32,284,193,1996-05
33,353,193,1996-05
34,604,193,1996-05
35,134,59,1996-05
36,145,59,1996-05
37,284,59,1996-05
38,353,59,1996-05
39,444,59,1996-05
40,134,60,1996-05
41,145,60,1996-05
42,284,60,1996-05
43,353,60,1996-05
44,468,60,1996-05
45,14,73,1996-06
46,56,73,1996-06
47,102,73,1996-06
48,349,73,1996-06
49,411,73,1996-06
50,541,73,1996-06
51,584,73,1996-06
52,56,349,1996-06
53,102,349,1996-06
54,314,349,1996-06
55,385,349,1996-06
56,411,349,1996-06
57,476,349,1996-06
58,541,349,1996-06
59,46,291,1996-06
60,56,291,1996-06
61,102,291,1996-06
62,242,291,1996-06
63,411,291,1996-06
64,541,291,1996-06
65,574,291,1996-06
66,56,356,1996-06
67,102,356,1996-06
68,385,356,1996-06
69,411,356,1996-06
70,476,356,1996-06
71,541,356,1996-06
72,584,356,1996-06
73,46,288,1996-06
74,56,288,1996-06
75,102,288,1996-06
76,242,288,1996-06
77,273,288,1996-06
78,411,288,1996-06
79,541,288,1996-06
80,584,288,1996-06
81,56,359,1996-06
82,102,359,1996-06
83,411,359,1996-06
84,541,359,1996-06
85,584,359,1996-06
86,46,289,1996-06
87,56,289,1996-06
88,102,289,1996-06
89,242,289,1996-06
90,385,289,1996-06
91,411,289,1996-06
92,476,289,1996-06
93,541,289,1996-06
94,56,355,1996-06
95,102,355,1996-06
96,385,355,1996-06
97,411,355,1996-06
98,476,355,1996-06
99,541,355,1996-06
100,46,290,1996-06
101,56,290,1996-06
102,102,290,1996-06
103,242,290,1996-06
104,411,290,1996-06
105,541,290,1996-06
106,56,347,1996-06
107,102,347,1996-06
108,314,347,1996-06
109,349,347,1996-06
110,411,347,1996-06
111,476,347,1996-06
112,584,347,1996-06
113,46,292,1996-06
114,56,292,1996-06
115,102,292,1996-06
116,273,292,1996-06
117,349,292,1996-06
118,411,292,1996-06
119,584,292,1996-06
120,56,353,1996-06
121,102,353,1996-06
122,349,353,1996-06
123,411,353,1996-06
124,584,353,1996-06
125,46,295,1996-06
126,56,295,1996-06
127,102,295,1996-06
128,314,295,1996-06
129,411,295,1996-06
130,476,295,1996-06
131,56,351,1996-06
132,102,351,1996-06
133,314,351,1996-06
134,411,351,1996-06
135,476,351,1996-06
136,46,293,1996-06
137,56,293,1996-06
138,102,293,1996-06
139,273,293,1996-06
140,411,293,1996-06
141,476,293,1996-06
142,584,293,1996-06
143,56,358,1996-06
144,102,358,1996-06
145,411,358,1996-06
146,476,358,1996-06
147,584,358,1996-06
148,46,294,1996-06
149,56,294,1996-06
150,102,294,1996-06
151,273,294,1996-06
152,411,294,1996-06
153,584,294,1996-06
154,46,296,1996-06
155,56,296,1996-06
156,102,296,1996-06
157,411,296,1996-06
158,476,296,1996-06
159,14,61,1996-06
160,102,61,1996-06
161,192,61,1996-06
162,349,61,1996-06
163,411,61,1996-06
164,476,61,1996-06
165,541,61,1996-06
166,584,61,1996-06
167,14,68,1996-06
168,46,68,1996-06
169,102,68,1996-06
170,349,68,1996-06
171,411,68,1996-06
172,541,68,1996-06
173,584,68,1996-06
174,14,62,1996-06
175,102,62,1996-06
176,349,62,1996-06
177,411,62,1996-06
178,541,62,1996-06
179,584,62,1996-06
180,46,276,1996-06
181,102,276,1996-06
182,349,276,1996-06
183,411,276,1996-06
184,476,276,1996-06
185,584,276,1996-06
186,102,3,1996-06
187,349,3,1996-06
188,411,3,1996-06
189,476,3,1996-06
190,584,3,1996-06
191,46,277,1996-06
192,102,277,1996-06
193,349,277,1996-06
194,411,277,1996-06
195,584,277,1996-06
196,14,75,1996-06
197,56,75,1996-06
198,314,75,1996-06
199,411,75,1996-06
200,541,75,1996-06
201,584,75,1996-06
202,14,71,1996-06
203,46,71,1996-06
204,56,71,1996-06
205,411,71,1996-06
206,541,71,1996-06
207,574,71,1996-06
208,584,71,1996-06
209,14,76,1996-06
210,56,76,1996-06
211,411,76,1996-06
212,541,76,1996-06
213,584,76,1996-06
214,46,302,1996-06
215,56,302,1996-06
216,314,302,1996-06
217,411,302,1996-06
218,541,302,1996-06
219,574,302,1996-06
220,46,303,1996-06
221,56,303,1996-06
222,314,303,1996-06
223,411,303,1996-06
224,584,303,1996-06
225,14,70,1996-06
226,46,70,1996-06
227,411,70,1996-06
228,541,70,1996-06
229,584,70,1996-06
230,14,64,1996-06
231,192,64,1996-06
232,314,64,1996-06
233,385,64,1996-06
234,411,64,1996-06
235,476,64,1996-06
236,584,64,1996-06
237,314,156,1996-06
238,385,156,1996-06
239,411,156,1996-06
240,476,156,1996-06
241,574,156,1996-06
242,14,65,1996-06
243,192,65,1996-06
244,411,65,1996-06
245,476,65,1996-06
246,584,65,1996-06
247,14,66,1996-06
248,314,66,1996-06
249,411,66,1996-06
250,574,66,1996-06
251,584,66,1996-06
252,56,376,1996-06
253,349,376,1996-06
254,411,376,1996-06
255,476,376,1996-06
256,541,376,1996-06
257,584,376,1996-06
258,56,364,1996-06
259,242,364,1996-06
260,349,364,1996-06
261,411,364,1996-06
262,541,364,1996-06
263,574,364,1996-06
264,584,364,1996-06
265,56,378,1996-06
266,349,378,1996-06
267,411,378,1996-06
268,541,378,1996-06
269,584,378,1996-06
270,56,366,1996-06
271,242,366,1996-06
272,411,366,1996-06
273,476,366,1996-06
274,541,366,1996-06
275,574,366,1996-06
276,56,367,1996-06
277,242,367,1996-06
278,411,367,1996-06
279,476,367,1996-06
280,541,367,1996-06
281,584,367,1996-06
282,56,365,1996-06
283,242,365,1996-06
284,411,365,1996-06
285,476,365,1996-06
286,541,365,1996-06
287,56,377,1996-06
288,349,377,1996-06
289,411,377,1996-06
290,476,377,1996-06
291,584,377,1996-06
292,349,158,1996-06
293,411,158,1996-06
294,476,158,1996-06
295,541,158,1996-06
296,584,158,1996-06
297,46,300,1996-06
298,56,300,1996-06
299,242,300,1996-06
300,411,300,1996-06
301,541,300,1996-06
302,574,300,1996-06
303,584,300,1996-06
304,46,299,1996-06
305,56,299,1996-06
306,242,299,1996-06
307,411,299,1996-06
308,541,299,1996-06
309,574,299,1996-06
310,46,301,1996-06
311,56,301,1996-06
312,242,301,1996-06
313,411,301,1996-06
314,541,301,1996-06
315,584,301,1996-06
316,46,298,1996-06
317,56,298,1996-06
318,242,298,1996-06
319,411,298,1996-06
320,541,298,1996-06
321,46,305,1996-06
322,56,305,1996-06
323,411,305,1996-06
324,541,305,1996-06
325,574,305,1996-06
326,584,305,1996-06
327,46,304,1996-06
328,56,304,1996-06
329,411,304,1996-06
330,541,304,1996-06
331,574,304,1996-06
332,46,306,1996-06
333,56,306,1996-06
334,411,306,1996-06
335,541,306,1996-06
336,584,306,1996-06
337,56,369,1996-06
338,242,369,1996-06
339,411,369,1996-06
340,541,369,1996-06
341,574,369,1996-06
342,584,369,1996-06
343,56,368,1996-06
344,242,368,1996-06
345,411,368,1996-06
346,541,368,1996-06
347,574,368,1996-06
348,56,370,1996-06
349,242,370,1996-06
350,411,370,1996-06
351,541,370,1996-06
352,584,370,1996-06
353,56,382,1996-06
354,411,382,1996-06
355,541,382,1996-06
356,574,382,1996-06
357,584,382,1996-06
358,56,362,1996-06
359,192,362,1996-06
360,385,362,1996-06
361,411,362,1996-06
362,476,362,1996-06
363,541,362,1996-06
364,584,362,1996-06
365,56,372,1996-06
366,273,372,1996-06
367,385,372,1996-06
368,411,372,1996-06
369,476,372,1996-06
370,541,372,1996-06
