,user_id,group_id,period
0,56,5,1996-06
1,192,5,1996-06
2,411,5,1996-06
3,541,5,1996-06
4,584,5,1996-06
5,38,2,1996-08
6,109,2,1996-08
7,176,2,1996-08
8,179,2,1996-08
9,486,2,1996-08
10,498,2,1996-08
11,512,2,1996-08
12,588,2,1996-08
13,602,2,1996-08
14,8,7,1996-08
15,38,7,1996-08
16,512,7,1996-08
17,588,7,1996-08
18,602,7,1996-08
19,38,4,1996-08
20,394,4,1996-08
21,512,4,1996-08
22,588,4,1996-08
23,602,4,1996-08
24,109,0,1996-08
25,179,0,1996-08
26,486,0,1996-08
27,498,0,1996-08
28,512,0,1996-08
29,38,3,1996-08
30,176,3,1996-08
31,486,3,1996-08
32,498,3,1996-08
33,512,3,1996-08
34,588,3,1996-08
35,602,3,1996-08
36,8,6,1996-08
37,38,6,1996-08
38,142,6,1996-08
39,512,6,1996-08
40,602,6,1996-08
41,109,1,1996-08
42,486,1,1996-08
43,512,1,1996-08
44,588,1,1996-08
45,602,1,1996-08
