ARTICLE_ID,DESCRIPTION,adoption_counts,loyalty_counts
4175,RECHARGE LAVAGE TW - A,96,21
4186,RECHARGE LAVAGE TW - D,91,7
4120,BIDON AD BLUE 10L,28,2
4133,QUARTZ IN LG LIFE 5W30,15,0
4127,TOTAL ACTIVA 9000 5W40 2L,15,0
4105,ACTIVA 5000 ESS 15W40,0,0
3425901019178,ACTIVA 7000E 5L,0,0
3425900000962,ACTIVA 9000  1L   5W40,0,0
3011449262970,ACTIVA 9000 5W4,0,0
3425901029788,ACTIVA 9000 FUT,0,0
4113,ACTIVA 9000E 1L,0,0
4112,ACTIVA D5000 1L 15W40,0,0
4108,ACTIVA D9000 5L   5W40,0,0
4122,ACTIVA INEO ECS 5W30 2L,0,0
3425901018201,ACTIVA INEO ECS 5W30 ED 1L,0,0
3425901027432,ACTIVA INEO LON,0,0
4132,ACTIVA INEO LONG LIFE 5W30 5L,0,0
2200,ADBLUE BIDON 5L,0,0
3267025011375,ELF EVOLUTION  500 TS,0,0
3267025017650,ELF EVOLUTION 2L 5W30,0,0
3539,ELF EVOLUTION 5W30 2 L,0,0
3267025001406,ELF EVOLUTION C,0,0
3267021013236,ELF EVOLUTION SXR 5W30 1,0,0
3267021013229,ELF EVOLUTION SXR 5W30 2L,0,0
3267025000836,ELF EVOLUTION SXR 5W40 1L,0,0
3267021030738,ELF MOTO 2 DX RATIO 1 L,0,0
3530,ELF MOTO 2 OFF ROAD 1L 10W40 SAE 30,0,0
3528,ELF MOTO 2 SELF MIX 1L,0,0
3531,ELF MOTO 2 TECH 1L SAE 30,0,0
3267021030530,ELF MOTO 2 XT TECH 10W40 1L,0,0
3267021020531,ELF MOTO 4 HP ECO 10W40 1L,0,0
3532,ELF MOTO 4 ROAD 10W40 1L,0,0
3533,ELF MOTO 4 TECH,0,0
3267021020432,ELF MOTO 4 XT TECH 10W50 1L,0,0
3267025013072,ELF MOTO BRAKE FLUID DOT 5-1,0,0
3267025013065,ELF MOTO BRAKE FLUID DOT4,0,0
3267025000072,ELF MOTO GEAR OIL 10W40 1L,0,0
3011449257037,ELF MOTO LUSTRE,0,0
2397,EVIAN 50CL,0,0
3425901019260,HUILE VEHICULE ALL. QUARTZ 9000 ENERGY 5,0,0
4138,QUARTZ 9000 F 5W2,0,0
4130,QUARTZ 9000 NFC 5W30 1L,0,0
3425901048086,QUARTZ 9000VDRI,0,0
4119,QUARTZ ENERGY 9000  0W30 1L,0,0
3425901018249,QUARTZ INEO 504/507 5W30 1L,0,0
3425901090993,QUARTZ INEO FDE,0,0
3011449260457,QUARTZ INEO LIFE 5W30  1L,0,0
4134,QUARTZ INEO LONG 5 L,0,0
4131,QUARTZ INEO MC3,0,0
4129,QUARTZ INEO MC3 5W30,0,0
4124,QUARTZ INEO MC3 5W30 1L,0,0
3425909002943,RECHARGE LAVAGE TW - E,0,0
3425900000436,TOTAL ACTIVA 90,0,0
3425901027487,TOTAL ACTIVA 9000 FUTUR NFC E 5W30 5L,0,0
4123,TOTAL ACTIVA INEO ECS 5W30 5L,0,0
2157,TOTAL ANTI CREVAISON 500ML,0,0
3425901029320,TOTAL QUARTZ 0W30 5L,0,0
3425901019734,TOTAL QUARTZ 10W-40  1L,0,0
3425901027869,TOTAL QUARTZ 9000 FUEL E,0,0
3425901017976,TOTAL QUARTZ E. 9000 0W30 5L,0,0
4136,TOTAL QUARTZ IN,0,0
