,user_id,ARTICLE_ID,time0,time1,event,sex,age,departement,cumsum
0,100169,4112,549,579,1,M,>65,59,1
1,100194,1538,549,579,1,M,50-65,59,1
2,100194,1538,579,610,1,M,50-65,59,2
3,100194,1538,610,640,1,M,50-65,59,3
4,100194,1538,640,671,1,M,50-65,59,4
5,100194,1538,671,702,1,M,50-65,59,5
6,100194,1538,702,730,1,M,50-65,59,6
7,100194,1538,730,761,1,M,50-65,59,7
8,100194,1538,761,791,1,M,50-65,59,8
9,100194,1538,791,822,1,M,50-65,59,9
10,100194,1538,822,852,1,M,50-65,59,10
11,100194,1538,852,883,1,M,50-65,59,11
12,100194,1538,883,944,1,M,50-65,59,12
13,100202,4074,852,975,1,M,50-65,78,1
14,100202,4126,396,426,1,M,50-65,78,1
15,100202,4126,426,702,1,M,50-65,78,2
16,100202,4126,702,791,1,M,50-65,78,3
17,100202,4126,791,852,1,M,50-65,78,4
18,100351,2968,214,549,1,M,>65,38,1
19,100351,4112,365,518,1,M,>65,38,1
20,100351,4112,518,761,1,M,>65,38,2
21,100351,4112,761,914,1,M,>65,38,3
22,100497,1622,31,61,1,M,50-65,59,1
23,100497,1738,640,671,1,M,50-65,59,1
24,100577,4132,31,549,1,M,50-65,51,1
25,100615,4099,184,245,1,M,50-65,33,1
26,100615,4125,0,730,1,M,50-65,33,1
27,100615,4125,730,1005,1,M,50-65,33,2
28,100715,1547,0,396,1,F,50-65,78,1
29,100715,1760,61,761,1,F,50-65,78,1
30,100715,1760,761,883,1,F,50-65,78,2
31,100715,2754,31,822,1,F,50-65,78,1
32,100715,2797,31,579,1,F,50-65,78,1
33,100715,3509,31,61,1,F,50-65,78,1
34,100715,3509,61,640,1,F,50-65,78,2
35,100715,3878,31,396,1,F,50-65,78,1
36,100715,5844,0,640,1,F,50-65,78,1
37,100715,5844,640,671,1,F,50-65,78,2
38,100715,5844,671,730,1,F,50-65,78,3
39,100715,5844,730,791,1,F,50-65,78,4
40,100715,5844,791,883,1,F,50-65,78,5
41,100715,5844,883,1005,1,F,50-65,78,6
42,100715,5845,0,761,1,F,50-65,78,1
43,100715,6012,0,153,1,F,50-65,78,1
44,100715,6012,153,883,1,F,50-65,78,2
45,100784,4112,306,396,1,M,50-65,59,1
46,100882,4112,365,610,1,F,50-65,33,1
47,100942,4125,761,791,1,M,35-49,51,1
48,100942,4125,791,822,1,M,35-49,51,2
49,100942,4125,822,852,1,M,35-49,51,3
50,100942,4125,852,914,1,M,35-49,51,4
51,100942,4125,914,944,1,M,35-49,51,5
52,100942,4125,944,975,1,M,35-49,51,6
53,100977,4074,0,31,1,M,50-65,33,1
54,100977,4074,31,61,1,M,50-65,33,2
55,100977,4074,61,92,1,M,50-65,33,3
56,100977,4074,92,122,1,M,50-65,33,4
57,100977,4074,122,214,1,M,50-65,33,5
58,100977,4074,214,275,1,M,50-65,33,6
59,100977,4074,275,365,1,M,50-65,33,7
60,101024,1531,122,975,1,F,35-49,62,1
61,101105,1846,0,61,1,M,50-65,62,1
62,101105,1846,61,245,1,M,50-65,62,2
63,101105,1846,245,730,1,M,50-65,62,3
64,101105,4104,0,31,1,M,50-65,62,1
65,101105,4104,31,61,1,M,50-65,62,2
66,101105,4104,61,92,1,M,50-65,62,3
67,101105,4104,92,122,1,M,50-65,62,4
68,101105,4104,122,153,1,M,50-65,62,5
69,101105,4104,153,184,1,M,50-65,62,6
70,101105,4104,184,214,1,M,50-65,62,7
71,101105,4104,214,245,1,M,50-65,62,8
72,101105,4104,245,275,1,M,50-65,62,9
73,101105,4104,275,306,1,M,50-65,62,10
74,101105,4104,306,337,1,M,50-65,62,11
75,101105,4104,337,365,1,M,50-65,62,12
76,101105,4104,365,396,1,M,50-65,62,13
77,101105,4104,396,426,1,M,50-65,62,14
78,101105,4104,426,487,1,M,50-65,62,15
79,101105,4104,487,518,1,M,50-65,62,16
80,101105,4104,518,549,1,M,50-65,62,17
81,101105,4104,549,579,1,M,50-65,62,18
82,101105,4104,579,610,1,M,50-65,62,19
83,101105,4104,610,640,1,M,50-65,62,20
84,101105,4104,640,671,1,M,50-65,62,21
85,101105,4104,671,730,1,M,50-65,62,22
86,101105,4104,730,791,1,M,50-65,62,23
87,101105,4104,791,822,1,M,50-65,62,24
88,101105,4104,822,852,1,M,50-65,62,25
89,101105,4104,852,914,1,M,50-65,62,26
90,101105,4104,914,944,1,M,50-65,62,27
91,101105,4104,944,975,1,M,50-65,62,28
92,101105,4104,975,1005,1,M,50-65,62,29
93,101105,4112,337,702,1,M,50-65,62,1
94,101105,5623,245,426,1,M,50-65,62,1
95,101165,2946,214,671,1,M,50-65,58,1
96,101185,3510,214,975,1,M,50-65,59,1
97,101185,4074,122,214,1,M,50-65,59,1
98,101188,4126,31,122,1,M,50-65,78,1
99,101188,4126,122,184,1,M,50-65,78,2
100,101188,4126,184,245,1,M,50-65,78,3
101,101205,4112,245,365,1,M,35-49,78,1
102,101205,4112,365,426,1,M,35-49,78,2
103,101205,4112,426,457,1,M,35-49,78,3
104,101205,4112,457,549,1,M,35-49,78,4
105,101205,4112,549,914,1,M,35-49,78,5
106,101299,4126,702,791,1,M,35-49,62,1
107,101318,4074,579,791,1,M,35-49,62,1
108,101318,4074,791,852,1,M,35-49,62,2
109,101389,4126,518,671,1,M,35-49,59,1
110,101392,2968,275,610,1,M,35-49,78,1
111,101392,4125,31,122,1,M,35-49,78,1
112,101392,4125,122,153,1,M,35-49,78,2
113,101392,4125,153,214,1,M,35-49,78,3
114,101392,4125,214,245,1,M,35-49,78,4
