,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[565366, 622013, 754685]",3, 3510 263,2017-02-28,35-49,0.0,3,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
1,"[565366, 574634, 751356]",3, 3510 263,2017-03-15,35-49,0.014492753623188406,3,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
2,"[574634, 751356, 758594]",3, 1547 263,2017-03-15,35-49,0.014492753623188406,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
4,"[525672, 574634, 751356]",3, 1547 3510,2017-03-15,35-49,0.014492753623188406,3,35-49,"['CRISTALINE 1.5L', 'SAC BOUTIQUE KRAFT']"
11,"[471775, 521885, 584447]",3, 264 263,2017-03-30,50-65,0.028985507246376812,3,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
14,"[555714, 574634, 622027]",3, 1704 263,2017-03-30,35-49,0.028985507246376812,3,35-49,"['KIT KAT X 3  124.50', 'REMISE BUS AUTOROUTE 9\x80']"
15,"[555714, 616225, 754685]",3, 264 602 263,2017-03-30,35-49,0.028985507246376812,3,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
16,"[555714, 616225, 622027, 754685]",4, 264 263,2017-03-30,35-49,0.028985507246376812,4,35-49,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
20,"[187833, 449488, 604098]",3, 2797 163,2017-04-14,50-65,0.043478260869565216,3,50-65,['COCA COLA 50CL PET']
22,"[110899, 235462, 460228, 592390, 663289]",5, 2797 163,2017-04-14,35-49,0.043478260869565216,5,35-49,['COCA COLA 50CL PET']
26,"[217779, 270517, 368080]",3, 5607 163,2017-04-14,50-65,0.043478260869565216,3,50-65,['COCA COLA ZERO 50CL PET']
27,"[428202, 471775, 548624]",3, 264 263,2017-04-14,50-65,0.043478260869565216,3,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
32,"[610249, 616225, 622027]",3, 264 602,2017-04-29,35-49,0.057971014492753624,3,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 15\x80']"
34,"[160433, 472871, 913872]",3, 1615 608,2017-04-29,35-49,0.057971014492753624,3,35-49,"['CR FLAN NATURE', 'CR SAND PREMIUM']"
35,"[187833, 489055, 776745]",3, 1622 721,2017-04-29,50-65,0.057971014492753624,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
40,"[619437, 622027, 758594]",3, 5849 263,2017-05-14,35-49,0.07246376811594203,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'TROPICANA ORANGE SS PULPE 1L']"
42,"[574634, 619437, 622013, 758594]",4, 3622 263,2017-05-14,35-49,0.07246376811594203,4,35-49,"['CREP CHOCO WHAO', 'REMISE BUS AUTOROUTE 9\x80']"
43,"[619437, 622027, 622586]",3, 1547 263,2017-05-14,35-49,0.07246376811594203,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
44,"[555714, 574634, 751356, 913872]",4, 3510 263,2017-05-14,35-49,0.07246376811594203,4,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
47,"[565366, 610037, 622027, 734723]",4, 3876 263,2017-05-14,35-49,0.07246376811594203,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SDW XXL THON CRUD 230G DAUNAT']"
48,"[517346, 565366, 619437]",3, 3889 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SDW MLX THON OE']"
56,"[555714, 622027, 754685]",3, 500 263 264 518,2017-05-29,35-49,0.08695652173913043,3,35-49,"['CR TARTE PISTAC', 'CRO PART TARTE CRUMBLE FRAMBOISE CRANBER', 'REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
58,"[610249, 751356, 849812]",3, 3922 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['FLAN PATISSIER 120G DAUNAT', 'REMISE BUS AUTOROUTE 9\x80']"
60,"[610249, 719763, 754685]",3, 1871 264,2017-05-29,35-49,0.08695652173913043,3,35-49,"['CR CHAUSSON AUX POMMES 120G', 'REMISE BUS AUTOROUTE 15\x80']"
61,"[565366, 785985, 903174]",3, 2797 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['COCA COLA 50CL PET', 'REMISE BUS AUTOROUTE 9\x80']"
62,"[555714, 610249, 622027, 754685, 828469]",5, 264 263,2017-05-29,35-49,0.08695652173913043,5,35-49,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
63,"[555714, 610249, 734723, 754685, 828469]",5, 602 263,2017-05-29,35-49,0.08695652173913043,5,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 9\x80']"
64,"[565366, 574634, 610249, 622013, 751356]",5, 3510 263,2017-05-29,35-49,0.08695652173913043,5,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
65,"[555714, 622027, 754685, 849812]",4, 518 263,2017-05-29,35-49,0.08695652173913043,4,35-49,"['CRO PART TARTE CRUMBLE FRAMBOISE CRANBER', 'REMISE BUS AUTOROUTE 9\x80']"
66,"[555714, 610249, 754685, 828469]",4, 602 264 263,2017-05-29,35-49,0.08695652173913043,4,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
67,"[734723, 754685, 913872]",3, 1615 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['CR FLAN NATURE', 'REMISE BUS AUTOROUTE 9\x80']"
68,"[828469, 840055, 913872]",3, 2249 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['GALETTES ST MICHEL 130 G', 'REMISE BUS AUTOROUTE 9\x80']"
69,"[565366, 610249, 619437]",3, 3309 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SDW MEGA THON OE TOM 270G']"
70,"[610249, 619437, 849812]",3, 6723 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAN PELLEGRINO  50CL']"
71,"[840055, 849812, 902696]",3, 1547 263,2017-05-29,35-49,0.08695652173913043,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
72,"[548999, 622586, 849812]",3, 2754 263,2017-06-13,35-49,0.10144927536231885,3,35-49,"[""CHIPS LAY'S BBQ"", 'REMISE BUS AUTOROUTE 9\x80']"
