,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[110133, 112041, 112883, 114078, 116442, 119057, 120965, 123801, 124474, 125902, 134880, 137806, 137892, 138395, 147896, 149249, 149358, 152992, 156003, 156590, 157047, 157180, 170455, 170744, 173968, 175059, 176187, 176549, 177783, 179586, 180415, 183182, 184841, 188482, 189043, 192639, 193677, 195105, 195200, 197718, 198525, 199285, 199966, 201253, 208332, 209988, 212363, 214517, 229076, 231496, 235302, 238557, 240947, 245407, 247304, 249926, 260419, 261384, 264832, 270370, 270415, 271265, 272436, 274391, 275684, 281584, 298450, 304332, 304901, 307559, 312179, 313925, 314153, 314863, 317644, 319317, 322395, 322520, 324104, 324679, 328876, 330312, 331316, 333924, 335124, 339159, 342376, 342550, 342654, 344551, 347476, 351613, 352108, 353881, 354101, 354730, 359007, 361812, 363393, 364658, 365174, 366593, 368346, 369654, 370861, 374511, 377365, 378650, 380689, 382271, 383075, 383944, 385271, 386377, 387373, 388275, 392087, 392504, 394541, 402047, 403386, 404833, 406484, 407184, 409376, 416756, 417022, 419999, 420063, 421137, 426563, 427096, 427250, 427382, 428048, 429530, 435091, 438686, 441047, 442178, 442439, 445522, 447368, 449654, 450235, 450781, 451669, 451909, 456892, 457077, 457865, 459950, 460228, 468745, 469697, 470483, 471260, 472871, 473484, 473765, 473843, 474468, 476957, 477668, 477918, 480255, 480899, 481567, 482969, 483490, 486113, 488496, 491767, 492469, 493984, 495580, 496369, 499303, 500312, 503953, 504300, 506019, 506588, 510060, 511601, 512355, 517346, 517640, 518488, 518911, 520008, 520071, 520840, 525672, 528902, 531392, 539333, 539813, 543053, 543714, 544260, 544783, 545406, 545590, 548715, 551892, 555618, 565366, 566083, 566222, 566585, 567220, 572129, 574634, 576380, 576981, 577041, 577984, 579243, 579539, 584986, 585340, 585369, 588675, 590237, 590352, 594027, 600381, 601555, 602861, 607784, 608653, 609522, 610037, 610249, 610381, 613840, 615217, 616225, 617729, 620005, 622013, 622027, 622269, 626070, 656000, 674344, 675528, 692982, 693202, 693719, 693851, 694502, 714981, 715934, 733176, 733800, 747986, 748989, 751356, 751640, 754357, 754685, 756856, 758594, 758624, 762412, 766154, 767398, 772088, 778878, 781591, 783083, 791569]",274, ,2017-02-28,35-49,0.0,274,35-49,[]
1,"[170729, 274124, 299417, 371949, 375108, 444295, 475454, 561615, 605319, 623204]",10, 4129,2017-02-28,50-65,0.0,10,50-65,['REC LAVAGE PJE']
2,"[422794, 542068, 584447, 752568]",4, 263,2017-02-28,50-65,0.0,4,50-65,['REMISE BUS AUTOROUTE 9\x80']
3,"[104142, 113270, 167694, 192627, 234017, 287161, 369549, 380131]",8, 2946,2017-02-28,50-65,0.0,8,50-65,['TW  LAVE GLACE']
4,"[453036, 519887, 521885, 531393, 752568]",5, 264,2017-02-28,50-65,0.0,5,50-65,['REMISE BUS AUTOROUTE 15\x80']
5,"[247754, 447013, 519887, 752568]",4, 431,2017-02-28,50-65,0.0,4,50-65,['CAFE EXPRESSO']
6,"[199673, 260630, 294969, 383585, 584447]",5, 1547,2017-02-28,50-65,0.0,5,50-65,['SAC BOUTIQUE KRAFT']
7,"[106150, 125798, 356654, 661827]",4, 3334,2017-02-28,50-65,0.0,4,50-65,['SALADE MANHATTA']
8,"[113036, 168144, 301402, 439384, 459432]",5, 4074,2017-02-28,50-65,0.0,5,50-65,['BIDON AD BLUE 10L']
9,"[165568, 186738, 208744, 387101, 496594, 728393]",6, 4127,2017-02-28,50-65,0.0,6,50-65,['REC LAVAGE PJE  20 U']
10,"[134473, 174735, 344660, 470752, 624179, 730072]",6, 4136,2017-02-28,50-65,0.0,6,50-65,['RECHARGE LAVAGE TW - D']
11,"[204046, 240409, 388202, 488785, 558685]",5, 4128,2017-02-28,50-65,0.0,5,50-65,['REC LAVAGE PJE 35U']
12,"[173428, 214946, 331214, 338003]",4, 63,2017-02-28,50-65,0.0,4,50-65,[]
13,"[198513, 518210, 576233]",3, 721,2017-02-28,50-65,0.0,3,50-65,['BD. PAIN CHOCOLAT PAC']
14,"[113036, 122584, 187833, 191561, 264526, 270517, 281206, 345108, 347715, 368080, 444802, 454494, 464331, 551228, 557999, 559445, 752912, 787610]",18, 163,2017-02-28,50-65,0.0,18,50-65,[]
15,"[110245, 235938, 687943]",3, 869,2017-02-28,50-65,0.0,3,50-65,['BD. CROISSANT ECLAT DU TERROIR']
16,"[174525, 177528, 383585]",3, 2769,2017-02-28,50-65,0.0,3,50-65,['CHIPS LAYS MAX NATURE 135G']
17,"[383585, 429540, 463457, 542068]",4, 3275,2017-02-28,50-65,0.0,4,50-65,['SDW CLA JBON BEURRE 125G']
18,"[269187, 518210, 576233]",3, 1622,2017-02-28,50-65,0.0,3,50-65,['CR PAIN AU CHOCOLAT']
19,"[138794, 197394, 385319]",3, 4099,2017-02-28,50-65,0.0,3,50-65,['LAVAGE 1 PLEIN']
20,"[191307, 551178, 675734]",3, 4131,2017-02-28,50-65,0.0,3,50-65,['LAVAGE 2 PLEIN TARIF']
21,"[179934, 193388, 294969]",3, 6346,2017-02-28,50-65,0.0,3,50-65,['PRINCE GRANOLA LAIT 200 G']
22,"[232528, 235939, 245547, 281256, 281822, 286321, 313654, 314647, 317704, 327141, 339292, 353471, 353744, 377685, 380551, 386618, 386924, 397669, 398225, 403445, 413231, 417862, 429671, 436629, 440210, 444023, 445370, 447204, 473266, 476509, 480133, 482562, 496995, 521837, 521874, 523195, 534303, 535895, 544077, 558423, 566886, 567455, 567520, 574988, 576237, 582201, 582842, 583156, 587523, 591423, 591620, 596504, 597316, 600263, 603204, 603293, 607514, 609205, 610511, 611043, 612824, 624545, 624767, 626162, 689996, 704816, 708709, 716317, 717415, 718355, 718406, 719011, 720846, 735292, 752510, 755557, 757060, 759265, 761107, 761912]",80, ,2017-02-28,<35,0.0,80,<35,[]
23,"[286321, 313654, 327141, 413231, 417862, 482562, 521837, 523195, 566886, 574988, 596504, 609205, 689996]",13, 4126,2017-02-28,<35,0.0,13,<35,['RECHARGE LAVAGE']
24,"[281256, 377685, 397669, 398225, 473266, 567520, 583156, 600263, 704816, 716317]",10, 4125,2017-02-28,<35,0.0,10,<35,['RECHARGE LAVAGE TW - A']
25,"[314647, 403445, 612824]",3, 163,2017-02-28,<35,0.0,3,<35,[]
26,"[496995, 587523, 611043, 718355]",4, 2946,2017-02-28,<35,0.0,4,<35,['TW  LAVE GLACE']
27,"[353471, 476509, 544077]",3, 1615,2017-02-28,<35,0.0,3,<35,['CR FLAN NATURE']
28,"[386618, 535895, 610511]",3, 4136,2017-02-28,<35,0.0,3,<35,['RECHARGE LAVAGE TW - D']
29,"[261443, 269187, 321127, 518210]",4, 1738,2017-02-28,50-65,0.0,4,50-65,['CR CAFE EXPRESSO']
30,"[105769, 138325, 143488, 165785, 170198, 175030, 181624, 194762, 199937, 213211, 233072, 238881, 242142, 269708, 272441, 288714, 315397, 316895, 343449, 392562, 401971, 407441, 460771, 474879, 488754, 491014, 493696, 497772, 542277, 545337, 580458, 666558, 758591]",33, 4125,2017-02-28,50-65,0.0,33,50-65,['RECHARGE LAVAGE TW - A']
31,"[235939, 735292, 761107]",3, 1547,2017-02-28,<35,0.0,3,<35,['SAC BOUTIQUE KRAFT']
32,"[101105, 103101, 103662, 104142, 105769, 106150, 106717, 107463, 109767, 110245, 113036, 113270, 113425, 114449, 121128, 121780, 122584, 124397, 125798, 129390, 134473, 134631, 138325, 138794, 140784, 143488, 146263, 146481, 152824, 154662, 157310, 165568, 165785, 167694, 167840, 168144, 170198, 170729, 173428, 174525, 174735, 175030, 177528, 177933, 178183, 179934, 181624, 186625, 186738, 187833, 191307, 191561, 192627, 193388, 194762, 195953, 196220, 197394, 198513, 199673, 199937, 200564, 200853, 204046, 208744, 213211, 213461, 214946, 215849, 220424, 224522, 228704, 228856, 229149, 233072, 234017, 235183, 235938, 236608, 238881, 239835, 240409, 241319, 242142, 244198, 245144, 247754, 249024, 251719, 254833, 255658, 258413, 258658, 260630, 261443, 264526, 267200, 267304, 269187, 269708, 270220, 270517, 272341, 272441, 274124, 274953, 276369, 277799, 278763, 281206, 287161, 288714, 290616, 294969, 296939, 299417, 301402, 304549, 306323, 310155, 315397, 315727, 316895, 321127, 321596, 326332, 326404, 328086, 331214, 338003, 341101, 343449, 344660, 344944, 345108, 347715, 348948, 355952, 356654, 357820, 364367, 364804, 366154, 368080, 369549, 371266, 371949, 373931, 375108, 376847, 380131, 383585, 385319, 387101, 388202, 389556, 392562, 401971, 407441, 422405, 422794, 426000, 429540, 430423, 439384, 444295, 444802, 447013, 451209, 453036, 454494, 459432, 460771, 461571, 463457, 464331, 466147, 467509, 470752, 474879, 475454, 481492, 484910, 488754, 488785, 491014, 493696, 496594, 497772, 515329, 518210, 518902, 519887, 520056, 521885, 524786, 531393, 534226, 536284, 538133, 540476, 542068, 542277, 545337, 551178, 551228, 557871, 557999, 558685, 558940, 559445, 561615, 562319, 566430, 576233, 580458, 584447, 585071, 596702, 605319, 606834, 607388, 613049, 622174, 623204, 623497, 623541, 624179, 649774, 653959, 661827, 666558, 675734, 686704, 686964, 687943, 697503, 703490, 720797, 728393, 730072, 730652, 733146, 746079, 752568, 752912, 758591, 787610]",248, ,2017-02-28,50-65,0.0,248,50-65,[]
33,"[107463, 114449, 129390, 134631, 140784, 146263, 157310, 177933, 200564, 236608, 249024, 251719, 255658, 258658, 272341, 274953, 277799, 290616, 315727, 321596, 328086, 364804, 371266, 373931, 426000, 481492, 515329, 520056, 534226, 540476, 623541, 653959, 686964, 703490, 730652]",35, 4126,2017-02-28,50-65,0.0,35,50-65,['RECHARGE LAVAGE']
