,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
0,"[110899, 122584, 187833, 235462, 239757, 292347, 403445, 427096, 449488, 460228, 464331, 592390, 604098, 663289, 739860]",15, 2797 163,2017-04-01,M,0.0,15,M,"['COCA COLA 50CL PET', 'product-451']"
1,"[151893, 152806, 184838, 186974, 286476, 327179, 342376, 428148, 472871, 541273, 604625, 794978, 911475]",13, 2946 4126,2017-04-01,M,0.0,13,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE']"
2,"[428202, 518871, 531393, 535929, 548624, 555714, 574634, 602649, 735292, 758594, 761107, 849812, 908778]",13, 1547 263,2017-04-01,M,0.0,13,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
3,"[428202, 471775, 519469, 521885, 548624, 555714, 584447, 616225, 622027, 754685]",10, 264 263,2017-04-01,M,0.0,10,M,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
4,"[195105, 240562, 322207, 342376, 348380, 351763, 354659, 369391, 380689, 416080, 419944, 441047, 448117, 464842, 476509, 579001, 589515, 599235, 612518, 794535, 911475]",21, 2969 4126,2017-05-01,M,0.5,21,M,"['TW LG DEMOUSTIQUEUR 3+1L', 'RECHARGE LAVAGE']"
5,"[298776, 328086, 339524, 363005, 408175, 437007, 512483, 550509, 578978, 585301, 615114, 619253, 619574]",13, 2968 2797,2017-05-01,M,0.5,13,M,"['TW 10 LINGUETTE', 'COCA COLA 50CL PET']"
6,"[294115, 363692, 421070, 526400, 535929, 552972, 584447, 619437, 622027, 622586, 735292, 751356, 758595, 761107, 840055, 908778]",16, 1547 263,2017-05-01,M,0.5,16,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
7,"[165402, 325354, 373549, 451756, 459887, 470042, 507544, 606450, 607806, 897112]",10, 4125 4126,2017-06-01,M,0.6666666666666666,10,M,"['RECHARGE LAVAGE TW - A', 'RECHARGE LAVAGE']"
8,"[159082, 165402, 193796, 211111, 381463, 419058, 450524, 463253, 500504, 586977, 605261, 606898, 825168]",13, 2944 4126,2017-06-01,M,0.6666666666666666,13,M,"['TW  LAVE GLACE DEMOUSTIQUEUR 4L', 'RECHARGE LAVAGE']"
9,"[348261, 415279, 526400, 584447, 619437, 749414, 754772, 761107, 849812, 902696, 908778, 923572]",12, 1547 263,2017-06-01,M,0.6666666666666666,12,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
10,"[154897, 158554, 200047, 251002, 258366, 285803, 295879, 297988, 317558, 347476, 373185, 408044, 426028, 448660, 453193, 460711, 460884, 469049, 517443, 543171, 568132, 626162, 660059, 702321, 758887, 766358, 794448, 828612, 864033, 916607, 936298]",31, 4915 4917,2017-07-01,M,0.75,31,M,"['SERVIT.MARSUPILAMI PAP ETE 2017', 'SERVIT.GASTON P']"
11,"[142062, 158554, 200047, 231807, 237582, 251002, 295879, 297988, 305723, 347476, 367391, 408044, 413192, 416684, 426028, 432121, 436693, 447294, 453193, 460711, 490737, 516890, 517443, 543171, 563868, 568906, 573952, 595750, 640747, 699477, 718506, 758887, 762773, 775182, 794448, 864033]",36, 4916 4917,2017-07-01,M,0.75,36,M,"['SERVIT.MARSU PA', 'SERVIT.GASTON P']"
12,"[124464, 144418, 158554, 163930, 167298, 200047, 247708, 251002, 275398, 288119, 295879, 297988, 300136, 316593, 323920, 344483, 347476, 408044, 408175, 412387, 417564, 426028, 433622, 447368, 453193, 460711, 473077, 496253, 517443, 520071, 527838, 543171, 589209, 591423, 758887, 762412, 774307, 794448, 794611, 864033, 868506, 898488, 938271, 962902]",44, 4916 4915,2017-07-01,M,0.75,44,M,"['SERVIT.MARSU PA', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
13,"[158554, 200047, 251002, 295879, 297988, 347476, 408044, 426028, 453193, 460711, 517443, 543171, 758887, 794448, 864033]",15, 4916 4915 4917,2017-07-01,M,0.75,15,M,"['SERVIT.MARSU PA', 'SERVIT.MARSUPILAMI PAP ETE 2017', 'SERVIT.GASTON P']"
14,"[123777, 154897, 158554, 176040, 297988, 347476, 348809, 375104, 407241, 408044, 413192, 426028, 447294, 453193, 459405, 460711, 490737, 500586, 501092, 514456, 517443, 543171, 561723, 568132, 612994, 622433, 660059, 699477, 718506, 758887, 771728, 775182, 794448, 874415, 881389, 900071, 908872, 972091]",38, 4918 4917,2017-07-01,M,0.75,38,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.GASTON P']"
15,"[117321, 154897, 158554, 163930, 204013, 230884, 256849, 280766, 297988, 300882, 309153, 347476, 373743, 382530, 408044, 417564, 426028, 453193, 453834, 460711, 517443, 526047, 543171, 568132, 619942, 660059, 758887, 793509, 794448, 866670, 868375, 868506, 909107, 930308, 938271, 950274]",36, 4918 4915,2017-07-01,M,0.75,36,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
16,"[154897, 158554, 297988, 347476, 408044, 426028, 453193, 460711, 517443, 543171, 568132, 660059, 758887, 794448]",14, 4918 4915 4917,2017-07-01,M,0.75,14,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.MARSUPILAMI PAP ETE 2017', 'SERVIT.GASTON P']"
17,"[158554, 163930, 294969, 297988, 314647, 347476, 367407, 408044, 413192, 417564, 426028, 447294, 453193, 460711, 490737, 510225, 517443, 543171, 550387, 589776, 614286, 699477, 718506, 749349, 758887, 760865, 775182, 794448, 868506, 905810, 938271]",31, 4918 4916,2017-07-01,M,0.75,31,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.MARSU PA']"
18,"[158554, 297988, 347476, 408044, 413192, 426028, 447294, 453193, 460711, 490737, 517443, 543171, 699477, 718506, 758887, 775182, 794448]",17, 4918 4916 4917,2017-07-01,M,0.75,17,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.MARSU PA', 'SERVIT.GASTON P']"
19,"[158554, 163930, 297988, 347476, 408044, 417564, 426028, 453193, 460711, 517443, 543171, 758887, 794448, 868506, 938271]",15, 4918 4916 4915,2017-07-01,M,0.75,15,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.MARSU PA', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
20,"[158554, 297988, 347476, 408044, 426028, 453193, 460711, 517443, 543171, 758887, 794448]",11, 4918 4916 4915 4917,2017-07-01,M,0.75,11,M,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.MARSU PA', 'SERVIT.MARSUPILAMI PAP ETE 2017', 'SERVIT.GASTON P']"
21,"[101392, 146585, 153780, 181027, 205335, 228704, 242928, 253934, 274400, 320182, 343312, 387373, 415605, 428793, 430812, 446817, 459070, 480366, 481388, 527677, 543243, 563868, 574409, 608982, 619257, 620532]",26, 4125 4917,2017-07-01,M,0.75,26,M,"['RECHARGE LAVAGE TW - A', 'SERVIT.GASTON P']"
22,"[143488, 181964, 208332, 289515, 310170, 323778, 344483, 366986, 406430, 432898, 440982, 447368, 484493, 485901, 505984, 585456, 890863]",17, 4125 4915,2017-07-01,M,0.75,17,M,"['RECHARGE LAVAGE TW - A', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
23,"[109363, 249024, 273864, 307536, 344483, 369729, 370182, 434047, 447368, 461875, 474879, 496685, 503187, 514478, 518488, 528271, 551446, 554567, 563868, 748989]",20, 4125 4916,2017-07-01,M,0.75,20,M,"['RECHARGE LAVAGE TW - A', 'SERVIT.MARSU PA']"
24,"[148200, 216179, 280194, 355203, 454219, 470106, 564430, 586508, 619694, 732484, 761277]",11, 4125 4918,2017-07-01,M,0.75,11,M,"['RECHARGE LAVAGE TW - A', 'SERVIT.BILL PAP ETE 2017']"
25,"[134631, 145215, 152806, 164753, 231807, 295601, 309563, 348380, 422261, 445147, 463253, 482512, 498303, 562907, 577267, 607089, 613209, 617647, 715934, 716902, 756856]",21, 4126 4917,2017-07-01,M,0.75,21,M,"['RECHARGE LAVAGE', 'SERVIT.GASTON P']"
26,"[106150, 121128, 166926, 171090, 179013, 221900, 306042, 354419, 358497, 359909, 409846, 419594, 423402, 438169, 445614, 447321, 465110, 485901, 505984, 541799, 543430, 599235, 795345, 866133]",24, 4126 4915,2017-07-01,M,0.75,24,M,"['RECHARGE LAVAGE', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
