,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
0,"[110455, 145747, 146032, 147287, 149886, 154132, 176750, 178285, 223109, 226924, 263042, 264679, 273864, 288714, 301967, 303696, 317586, 328105, 432898, 472947, 474879, 580829, 913899, 923982]",24,4125,2017-05-01,1,0.0,24,1,['RECHARGE LAVAGE TW - A']
1,"[114932, 132519, 153213, 158672, 168953, 197752, 221900, 244320, 251114, 285090, 332635, 355812, 380236, 397953, 411159, 432898, 438114, 452425, 465308, 480726, 574109, 575523, 585456, 599789, 717621, 866133]",26,4915,2017-07-01,1,0.0625,26,1,['SERVIT.MARSUPILAMI PAP ETE 2017']
2,"[145478, 199021, 200898, 221900, 244544, 264679, 274953, 280880, 355661, 397621, 476566, 478530, 482512, 498303, 534619, 721386, 740464, 810467, 866133, 876768]",20,4126,2017-07-01,1,0.0625,20,1,['RECHARGE LAVAGE']
3,"[147287, 149886, 150269, 152633, 176750, 215374, 226924, 245059, 273864, 275835, 278491, 288714, 303696, 343202, 411724, 432898, 468551, 472947, 516389, 810074, 832235, 913899, 923982]",23,4125,2017-09-01,1,0.125,23,1,['RECHARGE LAVAGE TW - A']
4,"[106174, 107216, 130184, 132519, 147391, 151260, 180230, 183500, 194561, 205800, 206416, 210628, 221900, 223788, 242680, 262442, 273864, 274953, 280880, 312415, 321135, 345624, 412666, 427150, 460243, 465004, 465308, 476566, 503579, 530327, 532504, 563195, 598886, 625091, 711978, 835363, 837950, 863705, 874591, 923982, 957568]",41,4112,2017-11-01,1,0.1875,41,1,['LAVAGE CLU']
5,"[106174, 114932, 123000, 132519, 134977, 149797, 151260, 168956, 188309, 193102, 195808, 200898, 202428, 206416, 226924, 264679, 274132, 321135, 332635, 365367, 438454, 465004, 499127, 503579, 532504, 565442, 574109, 615324, 957568, 964386]",30,5631,2017-11-01,1,0.1875,30,1,['TWIX 50G']
6,"[110073, 120286, 147391, 158032, 159554, 168953, 176750, 194561, 221900, 223786, 261752, 273864, 280880, 285090, 293771, 330859, 355812, 390199, 460243, 498400, 537723, 582720, 598886, 619157, 835363, 874591, 886537, 915090]",28,5625,2017-11-01,1,0.1875,28,1,['MARS  51G']
7,"[105524, 109220, 116628, 120086, 120286, 130527, 131516, 183500, 184629, 188588, 189283, 226617, 231893, 250176, 251114, 262442, 262728, 274953, 288714, 347322, 355661, 382812, 390199, 397621, 397953, 402831, 412666, 416657, 416890, 417444, 438114, 440514, 475859, 476566, 478530, 483211, 530327, 578902, 585456, 598886, 615324, 711978, 820248, 824262, 866133, 900950, 911734, 915090, 923982, 997163]",50,4112,2018-01-01,1,0.25,50,1,['LAVAGE CLU']
8,"[149886, 176750, 191681, 215374, 226924, 226985, 227628, 266177, 288714, 303696, 343202, 432898, 472947, 474879, 516389, 626547, 900950, 913899, 915090, 923982, 967128]",21,4125,2018-01-01,1,0.25,21,1,['RECHARGE LAVAGE TW - A']
9,"[108228, 140566, 145073, 147391, 148461, 157287, 158032, 176750, 188309, 188588, 199476, 209276, 269567, 280880, 285090, 332635, 332665, 345624, 406056, 465308, 482512, 545910, 624174, 835363, 866133, 911734, 997163]",27,4112,2018-03-01,1,0.3125,27,1,['LAVAGE CLU']
10,"[101749, 115022, 131516, 133917, 148461, 164308, 177693, 194411, 195808, 199476, 231893, 270966, 274953, 275425, 329506, 332635, 336247, 355661, 391758, 403177, 406056, 478530, 482512, 499734, 534619, 545910, 717621, 866133, 915090, 957568, 959199, 1005767, 1021208, 1059459]",34,4126,2018-03-01,1,0.3125,34,1,['RECHARGE LAVAGE']
11,"[103240, 129415, 131516, 132519, 137685, 147391, 151531, 157246, 180230, 188309, 188588, 201553, 205800, 210628, 273864, 280880, 289781, 301967, 307158, 309886, 312415, 355812, 438114, 465308, 496109, 572643, 711978, 717621, 863705, 866133, 890874, 911734, 971477, 976245, 997163]",35,4112,2018-05-01,1,0.375,35,1,['LAVAGE CLU']
12,"[116517, 149886, 154132, 176750, 215374, 222204, 226924, 226985, 264679, 273864, 288714, 317586, 335036, 423611, 468551, 472947, 538133, 624174, 626547, 647915, 913899, 923982]",22,4125,2018-05-01,1,0.375,22,1,['RECHARGE LAVAGE TW - A']
13,"[103240, 114932, 149886, 180008, 183500, 193191, 197394, 202428, 206676, 264679, 274132, 285365, 287754, 288714, 307158, 384542, 390199, 423878, 438114, 443706, 519327, 574109, 578902, 621094, 717621, 749466, 805158, 863705, 867805, 874591, 911734, 915090, 976245]",33,5951,2018-05-01,1,0.375,33,1,['FUZE TEA PECHE 40CL']
14,"[108228, 115022, 132519, 158032, 194411, 264679, 280508, 386709, 408096, 437974, 476566, 478530, 483622, 498303, 534619, 584045, 645215, 866133, 999452, 1005767, 1059459]",21,4126,2018-05-01,1,0.375,21,1,['RECHARGE LAVAGE']
15,"[101749, 118606, 145478, 148931, 180230, 188309, 188588, 231893, 261240, 273229, 274953, 297752, 354853, 355661, 391758, 417444, 460243, 476566, 478530, 482512, 508797, 534619, 535838, 545953, 599789, 866133, 959199, 1005767, 1059459]",29,4126,2018-07-01,1,0.4375,29,1,['RECHARGE LAVAGE']
16,"[101749, 106174, 107216, 110073, 116517, 118080, 120248, 126249, 134163, 154386, 180874, 188588, 189769, 191293, 193240, 210628, 215374, 223109, 244544, 258194, 273229, 280508, 285090, 286963, 293771, 297752, 354853, 402831, 411159, 416890, 423611, 432687, 465004, 465308, 478530, 479332, 481954, 524668, 525022, 535838, 631244, 717621, 749466, 820248, 843577, 911734, 912398, 959199, 1031383, 1066967, 1071254]",51,4142,2018-07-01,1,0.4375,51,1,['SERVIET.IDEFIX']
17,"[105126, 114932, 117622, 131516, 145478, 180230, 188309, 200898, 214177, 226924, 227628, 243039, 251114, 264938, 274132, 274211, 309886, 329506, 330859, 336247, 343142, 386709, 390199, 397953, 436127, 452425, 460243, 499127, 502622, 508797, 519327, 574109, 578902, 615324, 623370, 626547, 763292, 766708, 801187, 804972, 814129, 867805, 991727, 1004644, 1005767]",45,4919,2018-07-01,1,0.4375,45,1,['SERVIET.ASTERIX']
18,"[109220, 111342, 120286, 126277, 132519, 145747, 147391, 168956, 176750, 176911, 193191, 203511, 205800, 206416, 215849, 219353, 222204, 228634, 231893, 257484, 278491, 285365, 319243, 332635, 338288, 352703, 355661, 384542, 411724, 412666, 416657, 516389, 533708, 603020, 771232, 874591, 890874, 906775, 911318, 913899, 950963, 957568, 967128]",43,4920,2018-07-01,1,0.4375,43,1,['SERVIET.OBELIX']
19,"[116517, 146032, 149886, 150269, 154132, 176750, 178285, 215374, 222204, 223109, 226924, 273864, 278491, 303696, 317586, 343202, 347942, 423611, 454815, 465004, 468551, 533708, 538133, 626547, 763292, 766708, 913899, 923982, 967128]",29,4125,2018-07-01,1,0.4375,29,1,['RECHARGE LAVAGE TW - A']
20,"[120286, 129415, 134163, 168956, 179416, 188588, 222204, 223788, 262442, 273864, 309886, 317586, 332635, 345624, 390199, 397953, 412666, 530327, 540251, 582720, 711978, 804972, 866133, 874591, 890874, 911734, 912398, 957568, 997163, 1030140]",30,4112,2018-07-01,1,0.4375,30,1,['LAVAGE CLU']
21,"[140387, 148461, 158672, 168953, 181642, 206676, 209276, 266177, 270966, 273864, 301967, 317586, 345624, 365367, 423878, 476566, 522268, 580829, 582720, 598886, 642259, 805158, 911734, 1030140]",24,4921,2018-07-01,1,0.4375,24,1,['SERVIET.FALBALA']
22,"[115334, 149886, 176750, 178285, 191681, 215374, 225614, 226924, 226985, 236344, 273864, 274953, 275835, 282315, 303696, 317586, 468551, 472947, 538133, 547913, 647915, 763292, 766708, 890874, 913899, 923982]",26,4125,2018-09-01,1,0.5,26,1,['RECHARGE LAVAGE TW - A']
