,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[112041, 156003, 377365, 490190, 550293, 756856]",6, 4125 4126,2017-02-01,35-49,0.0,6,35-49,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
4,"[100715, 470636, 584447]",3, 5845 1704,2017-02-01,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'LOTUS GAUFRES L']"
5,"[263990, 365536, 752568]",3, 1119 431,2017-02-01,50-65,0.0,3,50-65,"['BD SAN PELLEGRI', 'CAFE EXPRESSO']"
7,"[100715, 527643, 584447]",3, 1704 1547,2017-02-01,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'SAC BOUTIQUE KRAFT']"
8,"[187833, 518210, 576233]",3, 721 1622,2017-02-01,50-65,0.0,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
10,"[519887, 521885, 584447, 752568]",4, 264 263,2017-02-01,50-65,0.0,4,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
11,"[269187, 518210, 540247]",3, 1622 1738,2017-02-01,50-65,0.0,3,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT']"
14,"[176862, 528902, 565366, 682317]",4, 389 1825,2017-02-01,35-49,0.0,4,35-49,"['MALBORO', 'MARLBORO']"
15,"[200853, 263990, 304549]",3, 1464 1523,2017-02-01,50-65,0.0,3,50-65,"['BDG EXPRESSO', 'BDG STEACK HACHE FRITES']"
18,"[565366, 574634, 622013, 751356, 754685]",5, 3510 263,2017-02-01,35-49,0.0,5,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
19,"[525672, 565366, 574634, 751356]",4, 1547 3510,2017-02-01,35-49,0.0,4,35-49,"['CRISTALINE 1.5L', 'SAC BOUTIQUE KRAFT']"
20,"[565366, 574634, 751356]",3, 1547 3510 263,2017-02-01,35-49,0.0,3,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
22,"[565366, 622027, 754685]",3, 264 263,2017-02-01,35-49,0.0,3,35-49,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
23,"[565366, 574634, 751356, 758594]",4, 1547 263,2017-02-01,35-49,0.0,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
26,"[517346, 565366, 616565]",3, 2797 263,2017-02-01,35-49,0.0,3,35-49,"['COCA COLA 50CL PET', 'REMISE BUS AUTOROUTE 9\x80']"
27,"[574634, 577984, 758594]",3, 3404 263,2017-02-01,35-49,0.0,3,35-49,"['20 MADELEINES L. CHOCO 250G', 'REMISE BUS AUTOROUTE 9\x80']"
29,"[565366, 610249, 754685]",3, 264 3510,2017-02-01,35-49,0.0,3,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 15\x80']"
30,"[489055, 584447, 714833]",3, 1622 721 1738 263,2017-04-01,50-65,0.05555555555555555,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT', 'REMISE BUS AUTOROUTE 9\x80']"
31,"[489055, 584447, 594666, 714833]",4, 1622 721 1738,2017-04-01,50-65,0.05555555555555555,4,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT']"
32,"[187833, 199673, 342120, 489055, 584447, 594666, 714833, 776745]",8, 1622 721,2017-04-01,50-65,0.05555555555555555,8,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
33,"[471775, 489055, 584447, 714833]",4, 1622 1738 263,2017-04-01,50-65,0.05555555555555555,4,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT', 'REMISE BUS AUTOROUTE 9\x80']"
34,"[100497, 187833, 584447]",3, 1622 2797,2017-04-01,50-65,0.05555555555555555,3,50-65,"['COCA COLA 50CL PET', 'CR PAIN AU CHOCOLAT']"
35,"[123618, 128265, 143488, 150269, 563868]",5, 4099 4125,2017-04-01,50-65,0.05555555555555555,5,50-65,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
36,"[123777, 141207, 406989, 489055, 584447, 594666, 714833]",7, 721 1738,2017-04-01,50-65,0.05555555555555555,7,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR CAFE EXPRESSO']"
38,"[380150, 489055, 584447, 714833]",4, 721 263,2017-04-01,50-65,0.05555555555555555,4,50-65,"['BD. PAIN CHOCOLAT PAC', 'REMISE BUS AUTOROUTE 9\x80']"
39,"[471775, 489055, 584447, 594666, 714833]",5, 1622 1738,2017-04-01,50-65,0.05555555555555555,5,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT']"
42,"[428202, 471775, 489055, 521885, 537370, 548624, 584447, 715341]",8, 264 263,2017-04-01,50-65,0.05555555555555555,8,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
