,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[100842, 102647, 102939, 105649, 107874, 107966, 110133, 110487, 111287, 112041, 112883, 113297, 113566, 113700, 114078, 114730, 116442, 117912, 119057, 120965, 123801, 124474, 124681, 125045, 125407, 125902, 128859, 129865, 132966, 133022, 133955, 134880, 136593, 137464, 137504, 137806, 137892, 138395, 140052, 140319, 141664, 142373, 145219, 145230, 145875, 145974, 146201, 147896, 149249, 149358, 152806, 152992, 153604, 156003, 156590, 156634, 157047, 157180, 160378, 160433, 165377, 166603, 166939, 168797, 169695, 170102, 170455, 170744, 173968, 175059, 175958, 176187, 176549, 176862, 177783, 178316, 179210, 179586, 180415, 182028, 183140, 183182, 183978, 184841, 188482, 189043, 189535, 192639, 193677, 193871, 195105, 195200, 197038, 197718, 198525, 199022, 199285, 199966, 201253, 206078, 208332, 209033, 209988, 210355, 212363, 214446, 214517, 217342, 221216, 222676, 222847, 223318, 225819, 227151, 228989, 229076, 230980, 231496, 232553, 235302, 236734, 237940, 238365, 238557, 240304, 240947, 241017, 241604, 242201, 244827, 245407, 247304, 248473, 249449, 249715, 249926, 250387, 253749, 256229, 257398, 257663, 260419, 260993, 261384, 264105, 264688, 264832, 266488, 269982, 270370, 270415, 271265, 272436, 273854, 274391, 274761, 275684, 278479, 281584, 282802, 283016, 284033, 284434, 285137, 286215, 287867, 288120, 288846, 289106, 289819, 289967, 290089, 290249, 290588, 292347, 293947, 293992, 294552, 295946, 296137, 298368, 298450, 299262, 303715, 304332, 304901, 305001, 306030, 306607, 307559, 307895, 312179, 312877, 313128, 313650, 313925, 314153, 314863, 315762, 316182, 316273, 316705, 317424, 317641, 317644, 318476, 319317, 319861, 321172, 321672, 322207, 322395, 322520, 324104, 324679, 326598, 327610, 328876, 329514, 330312, 331316, 332850, 333530, 333924, 335124, 336381, 336514, 336730, 337386, 339159, 339606, 340350, 342376, 342550, 342654, 343385, 344551, 344704, 347476, 349288, 350390, 350593, 350647, 350800, 351613, 351686, 352108, 352405, 353337, 353487, 353647, 353820, 353881, 354101, 354730, 355756, 357620, 358331, 358989, 359007, 361812, 361859, 363393, 364658, 365174, 366593, 367291, 368346, 368624, 368969, 369391, 369654, 370861, 371519, 373185, 374511, 375104, 376854, 377365, 378116, 378650, 379133, 380689, 381915, 382271, 382334, 382431, 382537, 383075, 383944, 384782, 385271, 385716, 386377, 387373, 388275, 388999, 389100, 389285, 390756, 392087, 392099, 392200, 392504, 392552, 393334, 394541, 394699, 396609, 397289, 398255, 399114, 402047, 403386, 404325, 404674, 404833, 406484, 407077, 407184, 407270, 408605, 409376, 411179, 412316, 414000, 414193, 415846, 416756, 417022, 418826, 419058, 419573, 419999, 420063, 420415, 420842, 421137, 422329, 422439, 423513, 423574, 424318, 424865, 425424, 425539, 426563, 427096, 427250, 427382, 428048, 428651, 429530, 429719, 431743, 432995, 435091, 435438, 436180, 436333, 438686, 439087, 441047, 441344, 442178, 442439, 443070, 443307, 445247, 445522, 447321, 447368, 448117, 449654, 450235, 450781, 451669, 451909, 452286, 452829, 456892, 457077, 457865, 459802, 459950, 460069, 460228, 460608, 460746, 461803, 461998, 463912, 464167, 467594, 468745, 468967, 469697, 470106, 470147, 470483, 470629, 471260, 472871, 473484, 473698, 473765, 473843, 474358, 474442, 474468, 476957, 477648, 477668, 477918, 478615, 480255, 480899, 481153, 481567, 482969, 483490, 483533, 484493, 486113, 487513, 488149, 488496, 489886, 490096, 490190, 490737, 490873, 491256, 491767, 492469, 493984, 494705, 495580, 496369, 496685, 497579, 499303, 500021, 500312, 500716, 500737, 503953, 504300, 504682, 506019, 506588, 508067, 509370, 510060, 511109, 511601, 512355, 513037, 513907, 514356, 514589, 517115, 517346, 517640, 518439, 518488, 518808, 518911, 519415, 520008, 520071, 520840, 521183, 521461, 521724, 523273, 523545, 524032, 524613, 524648, 525304, 525672, 527840, 528902, 528968, 529696, 529795, 529911, 530414, 531392, 532781, 533301, 535633, 536854, 536971, 539054, 539333, 539813, 543053, 543214, 543323, 543714, 544260, 544783, 545406, 545590, 546552, 548110, 548135, 548715, 548900, 550293, 551892, 552866, 555618, 557472, 557537, 557959, 558271, 560291, 563386, 565366, 565480, 566083, 566222, 566585, 567220, 567649, 569912, 570925, 572129, 573393, 574634, 575826, 576380, 576981, 577041, 577134, 577984, 579243, 579539, 580256, 582270, 583460, 583463, 583814, 584660, 584986, 585340, 585369, 588666, 588675, 590237, 590352, 591687, 592390, 593085, 593137, 594027, 594063, 594535, 598391, 598984, 599279, 600381, 600388, 600449, 601555, 602122, 602466, 602861, 603454, 604625, 604947, 605006, 607784, 608653, 609522, 610037, 610249, 610381, 613840, 614904, 615217, 615241, 616225, 616565, 616689, 617647, 617729, 618311, 620005, 620236, 621048, 621627, 622013, 622027, 622269, 622766, 623440, 624033, 625136, 626070, 640725, 643227, 656000, 667575, 667778, 668634, 668724, 674344, 675528, 675861, 682317, 682984, 687362, 690391, 692982, 693202, 693719, 693851, 694502, 705461, 706051, 709656, 714926, 714981, 715296, 715934, 716101, 718468, 719107, 719763, 728815, 733176, 733800, 736980, 738639, 745567, 746930, 747961, 747986, 748791, 748989, 751356, 751640, 754357, 754685, 756445, 756856, 756895, 758594, 758624, 758967, 762412, 763217, 765409, 766154, 767398, 768277, 769912, 772088, 778698, 778878, 781591, 783083, 790704, 791569, 866444, 866455, 875101, 877056]",672, ,2017-02-01,35-49,0.0,672,35-49,[]
1,"[204046, 240409, 346475, 388202, 480061, 488785, 558685]",7, 4128,2017-02-01,50-65,0.0,7,50-65,['REC LAVAGE PJE 35U']
2,"[120248, 121128, 129748, 164308, 344630]",5, 4132,2017-02-01,50-65,0.0,5,50-65,['LAVAGE 3 PLEIN']
3,"[124990, 140591, 233959, 241319, 266265, 278763, 527643]",7, 6723,2017-02-01,50-65,0.0,7,50-65,['SAN PELLEGRINO  50CL']
4,"[187833, 198513, 518210, 576233]",4, 721,2017-02-01,50-65,0.0,4,50-65,['BD. PAIN CHOCOLAT PAC']
5,"[187833, 518210, 576233]",3, 721 1622,2017-02-01,50-65,0.0,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
6,"[174525, 177528, 383585]",3, 2769,2017-02-01,50-65,0.0,3,50-65,['CHIPS LAYS MAX NATURE 135G']
7,"[261458, 294969, 527643, 536284]",4, 3307,2017-02-01,50-65,0.0,4,50-65,['MEGA VENNOIS PO']
8,"[106150, 159853, 294969, 532721, 540994]",5, 3509,2017-02-01,50-65,0.0,5,50-65,['CRISTALINE 50CL']
9,"[110245, 143947, 235938, 687943]",4, 869,2017-02-01,50-65,0.0,4,50-65,['BD. CROISSANT ECLAT DU TERROIR']
