,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
0,[565366 574634 584447 602649 735292 751356 752568 758594 761107],9, 13600075 6026,2017-02-01,COCO_78,0.0,9,COCO,78
1,[519887 521885 565366 584447 622027 752568 754685],7, 6033 6026,2017-02-01,COCO_78,0.0,7,COCO,78
2,[584447 610249 622027 752568 754685],5, 18064205 6033,2017-02-01,COCO_78,0.0,5,COCO,78
3,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-02-01,COCO_78,0.0,5,COCO,78
4,[189082 584447 602649 610249 754685],5, 3450105 18064205,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
5,[428202 584447 602649 622027 908778],5, 5470002 6027 6026 13600075,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
6,[471775 516496 545984 715341 863993 916838],6, 7476355 7445935,2017-04-01,COCO_78,0.058823529411764705,6,COCO,78
7,[471775 519469 521885 715341 916838],5, 7476355 6033,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
8,[471775 519469 521885 545984 715341],5, 7476355 6026,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
9,[489055 602649 610249 622027 754685],5, 18064205 3450013,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
10,[489055 584447 610249 622027 754685],5, 18064205 6033,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
11,[241017 313130 471775 531947 548624 863993],6, 5401004 7445935,2017-04-01,COCO_78,0.058823529411764705,6,COCO,78
12,[428202 537370 584447 622027 754685],5, 6027 6033,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
13,[324797 540247 565366 610249 891279],5, 6157591 3450013,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
14,[348261 471775 489055 584447 758595],5, 19419902 6026,2017-04-01,COCO_78,0.058823529411764705,5,COCO,78
15,[342120 350647 394148 489055 584447 758595],6, 4190175 19419902,2017-04-01,COCO_78,0.058823529411764705,6,COCO,78
