,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
0,[565366 574634 584447 602649 735292 751356 752568 758594 761107],9, 13600075 6026,2017-02-01,COCO,0.0,9,COCO
1,[519887 521885 565366 584447 622027 752568 754685],7, 6033 6026,2017-02-01,COCO,0.0,7,COCO
2,[584447 610249 622027 752568 754685],5, 6033 18064205,2017-02-01,COCO,0.0,5,COCO
3,[187833 518210 565366 576233 603204 624033],6, 4190175 19419902,2017-02-01,COCO,0.0,6,COCO
4,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-02-01,COCO,0.0,5,COCO
5,[428202 602649 616225 622027 752568],5, 6027 6026,2017-02-01,COCO,0.0,5,COCO
6,[584447 602649 622027 734723 913872],5, 18064205 6027 6026,2017-04-01,COCO,0.058823529411764705,5,COCO
7,[189082 245144 277744 610249 894130],5, 3461025 18064205,2017-04-01,COCO,0.058823529411764705,5,COCO
8,[423513 489055 602649 616225 891279],5, 3461006 3450013,2017-04-01,COCO,0.058823529411764705,5,COCO
9,[241017 313130 471775 531947 548624 863993],6, 5401004 7445935,2017-04-01,COCO,0.058823529411764705,6,COCO
10,[324797 540247 565366 610249 616225 891279],6, 6157591 3450013,2017-04-01,COCO,0.058823529411764705,6,COCO
11,[471775 519469 521885 545984 610365 715341],6, 7476355 6026,2017-04-01,COCO,0.058823529411764705,6,COCO
12,[428202 526985 584447 602649 622027 908778],6, 5470002 6026,2017-04-01,COCO,0.058823529411764705,6,COCO
13,[471775 516496 545984 715341 863993 916838],6, 7476355 7445935,2017-04-01,COCO,0.058823529411764705,6,COCO
14,[584447 602649 622027 734723 754685 913872],6, 18064205 6027,2017-04-01,COCO,0.058823529411764705,6,COCO
15,[428202 584447 602649 622027 908778],5, 5470002 6027 6026 13600075,2017-04-01,COCO,0.058823529411764705,5,COCO
16,[213511 544077 584447 622027 913872],5, 3461016 18064205,2017-04-01,COCO,0.058823529411764705,5,COCO
17,[140423 236154 298971 510060 610249],5, 3667191 3461024,2017-04-01,COCO,0.058823529411764705,5,COCO
18,[471775 519469 521885 715341 916838],5, 7476355 6033,2017-04-01,COCO,0.058823529411764705,5,COCO
19,[277744 489055 602649 610249 622027 734723 754685],7, 18064205 3450013,2017-04-01,COCO,0.058823529411764705,7,COCO
20,[189082 584447 602649 610249 754685],5, 3450105 18064205,2017-04-01,COCO,0.058823529411764705,5,COCO
21,[489055 584447 602649 622027 734723 913872],6, 18064205 6026,2017-04-01,COCO,0.058823529411764705,6,COCO
22,[489055 584447 610249 622027 754685],5, 18064205 6033,2017-04-01,COCO,0.058823529411764705,5,COCO
23,"[294115 363692 421070 428202 518871 526400 531393 535929 535942 548624
 552972 555714 574634 584447 588730 602649 619437 622027 622586 735292
 751356 758594 758595 761107 840055 849812 908778]",27, 13600075 6026,2017-04-01,COCO,0.058823529411764705,27,COCO
24,[348261 471775 489055 584447 758595],5, 19419902 6026,2017-04-01,COCO,0.058823529411764705,5,COCO
25,"[187833 199673 322520 342120 350647 394148 427250 489055 584447 594666
 714833 758595 776745 788356]",14, 4190175 19419902,2017-04-01,COCO,0.058823529411764705,14,COCO
26,"[428202 471775 489055 519469 521885 548624 555714 584447 616225 622027
 715341]",11, 6033 6026,2017-04-01,COCO,0.058823529411764705,11,COCO
27,[428202 548624 555714 584447 622027],5, 6033 13600075 6026,2017-04-01,COCO,0.058823529411764705,5,COCO
28,[415279 428189 428202 619437 734723 913872],6, 6026 451,2017-04-01,COCO,0.058823529411764705,6,COCO
29,[471775 520708 531947 548624 622027 715341 916838],7, 7445935 6033,2017-04-01,COCO,0.058823529411764705,7,COCO
30,[489055 555714 565366 602649 616225 622027 734723],7, 3450013 6026,2017-04-01,COCO,0.058823529411764705,7,COCO
31,[489055 555714 610249 616225 622027 754685],6, 3450013 6033,2017-04-01,COCO,0.058823529411764705,6,COCO
32,[428202 584447 602649 610365 616225 622027 734723 908778 913872],9, 6027 6026,2017-04-01,COCO,0.058823529411764705,9,COCO
33,[428202 537370 584447 616225 622027 754685],6, 6027 6033,2017-04-01,COCO,0.058823529411764705,6,COCO
34,[602649 616225 622027 734723 754685],5, 6027 3450013,2017-04-01,COCO,0.058823529411764705,5,COCO
35,[471775 526985 545984 548624 622027 715341],6, 7445935 6026,2017-04-01,COCO,0.058823529411764705,6,COCO
36,[169564 257398 277744 342699 544077 734723 813374],7, 3461025 18064205,2017-06-01,COCO,0.11764705882352941,7,COCO
37,[201610 309153 395817 544077 575459],5, 3461025 3450014,2017-06-01,COCO,0.11764705882352941,5,COCO
38,[169564 277744 555714 622027 734723 791569],6, 3461025 3450013,2017-06-01,COCO,0.11764705882352941,6,COCO
39,[565366 584447 734723 754685 913872],5, 3461016 6027 6026 3450013,2017-06-01,COCO,0.11764705882352941,5,COCO
40,[565366 584447 734723 754685 971894],5, 3461016 3450013 6033,2017-06-01,COCO,0.11764705882352941,5,COCO
41,[349380 486023 489055 516496 553832 911614],6, 5401004 7476355,2017-06-01,COCO,0.11764705882352941,6,COCO
42,[247730 314234 575459 599279 849812],5, 3430051 3461024,2017-06-01,COCO,0.11764705882352941,5,COCO
43,[349380 363690 471775 516496 695135],5, 5401004 7445935,2017-06-01,COCO,0.11764705882352941,5,COCO
44,[131005 348255 349380 455008 471775 536334 553832 911614],8, 5401004 6033,2017-06-01,COCO,0.11764705882352941,8,COCO
45,[349380 471775 489055 552972 553832 695135],6, 5401004 6026,2017-06-01,COCO,0.11764705882352941,6,COCO
46,[286391 349380 428202 471775 489055 552972],6, 5461012 6026,2017-06-01,COCO,0.11764705882352941,6,COCO
47,[441643 545867 610249 734723 813374],5, 18064205 3461024,2017-06-01,COCO,0.11764705882352941,5,COCO
48,[565366 584447 734723 754685 913872 971894],6, 3461016 3450013,2017-06-01,COCO,0.11764705882352941,6,COCO
49,[286391 294115 349380 428202 455008 471775 521885 536334 698767 971894],10, 5461012 6033,2017-06-01,COCO,0.11764705882352941,10,COCO
50,[294115 400722 553832 715341 911614],5, 7892095 7476355 6033,2017-06-01,COCO,0.11764705882352941,5,COCO
51,[294115 349380 469829 489055 516496 698767 971894],7, 5461012 7476355,2017-06-01,COCO,0.11764705882352941,7,COCO
52,[349380 455008 471775 489055 516496 536334 552972],7, 5461012 5401004,2017-06-01,COCO,0.11764705882352941,7,COCO
53,[124288 605409 648155 734723 913872],5, 3450011 18064205,2017-06-01,COCO,0.11764705882352941,5,COCO
54,[428202 489055 519885 552972 553832 715341],6, 7892095 6026,2017-06-01,COCO,0.11764705882352941,6,COCO
55,[294115 400722 428202 519885 553832 715341 911614],7, 7892095 6033,2017-06-01,COCO,0.11764705882352941,7,COCO
56,[134151 294115 400722 489055 510144 553832 566212 715341 911614],9, 7892095 7476355,2017-06-01,COCO,0.11764705882352941,9,COCO
57,[201610 257398 395817 575459 813374],5, 2850269 3461025,2017-06-01,COCO,0.11764705882352941,5,COCO
58,[555714 565366 599279 754685 828469 920997],6, 3450105 3450013,2017-06-01,COCO,0.11764705882352941,6,COCO
59,[555714 565366 622027 754685 761107],5, 3430026 6027 6026,2017-06-01,COCO,0.11764705882352941,5,COCO
60,[494161 555714 622027 754685 849812],5, 3430176 3450013,2017-06-01,COCO,0.11764705882352941,5,COCO
61,[131005 455008 468837 505859 519472 536334 698767 911614],8, 8287519 6033,2017-06-01,COCO,0.11764705882352941,8,COCO
62,[466946 510144 516496 698767 911614],5, 7038427 7476355,2017-06-01,COCO,0.11764705882352941,5,COCO
63,[247730 406221 734723 754685 865290],5, 3461003 3450013,2017-06-01,COCO,0.11764705882352941,5,COCO
64,[169564 277744 441643 610249 734723 865290 913872],7, 18064205 3450013,2017-06-01,COCO,0.11764705882352941,7,COCO
65,[158639 349380 469829 471775 516496 971894],6, 5461012 7445935,2017-06-01,COCO,0.11764705882352941,6,COCO
66,[164467 290794 298971 309153 441643 575459],6, 3450014 3461024,2017-06-01,COCO,0.11764705882352941,6,COCO
67,[279525 555714 565366 622027 754685],5, 3430026 3450013 6033,2017-06-01,COCO,0.11764705882352941,5,COCO
68,[349380 399087 542073 578639 971894],5, 7476355 7445935 6033,2017-06-01,COCO,0.11764705882352941,5,COCO
69,[124738 247730 441643 599279 610249 734723 849812 964970],8, 3461024 3450013,2017-06-01,COCO,0.11764705882352941,8,COCO
71,[526400 548624 616225 619437 734723 903174],6, 451 6026,2017-06-01,COCO,0.11764705882352941,6,COCO
72,"[110899 224365 244827 270220 271779 296486 314647 421137 427096 432305
 464331 485938 573259 602580 603395 616689 681522 739860 751640]",19, 12520039 451,2017-06-01,COCO,0.11764705882352941,19,COCO
73,"[138296 258366 314647 330295 335918 447294 453193 597096 622143 660059
 681522]",11, 2000 12520039,2017-06-01,COCO,0.11764705882352941,11,COCO
74,"[286391 349380 399087 428202 471775 505859 519885 553832 555714 565366
 578639 584447 610249 616225 622027 715341 734723 754685 828469 958765
 964970]",21, 6033 6026,2017-06-01,COCO,0.11764705882352941,21,COCO
75,"[286391 348261 363692 415279 471775 519469 519885 521191 526400 535929
 584447 610037 619437 734723 749414 752568 754685 754772 761107 828469
 840055 849812 902696 908778 923572 931963 957240]",27, 13600075 6026,2017-06-01,COCO,0.11764705882352941,27,COCO
76,[286391 471775 519885 584447 734723 754685 828469],7, 13600075 6033 6026,2017-06-01,COCO,0.11764705882352941,7,COCO
77,[471775 519499 719763 754685 964970 971894],6, 19419902 6033,2017-06-01,COCO,0.11764705882352941,6,COCO
78,"[286391 555714 565366 584447 610249 616225 622027 734723 754685 828469
 849812 908778 913872 964970]",14, 3450013 6026,2017-06-01,COCO,0.11764705882352941,14,COCO
79,"[279525 286391 555714 565366 584447 610249 616225 622027 734723 754685
 828469 964970 971894]",13, 3450013 6033,2017-06-01,COCO,0.11764705882352941,13,COCO
