,user_ids,support,itemsets,period,property_values,depth,size,DEPARTEMENT
0,[187833 322520 427250 518210 576233 603204],6, 4190175 19419902,2017-02-01,59,0.0,6,59
1,[206078 263990 365536 622027 752568],5, 5461017 7445935,2017-02-01,78,0.0,5,78
2,[428202 602649 622027 752568 754685 908778],6, 6027 6026,2017-02-01,78,0.0,6,78
3,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-02-01,78,0.0,5,78
4,[584447 602649 622027 752568 754685],5, 18064205 6026,2017-02-01,78,0.0,5,78
5,[471775 519887 548624 622027 752568],5, 7445935 6033 6026,2017-02-01,78,0.0,5,78
6,[584447 610249 622027 752568 754685],5, 18064205 6033,2017-02-01,78,0.0,5,78
7,[428202 531393 548624 555714 565366 584447 752568],7, 6033 13600075 6026,2017-02-01,78,0.0,7,78
8,[363692 428202 531393 548624 555714 565366 584447 752568],8, 6033 13600075,2017-02-01,78,0.0,8,78
9,"[428202 471775 519469 519887 521885 531393 548624 555714 565366 584447
 622027 752568 754685]",13, 6033 6026,2017-02-01,78,0.0,13,78
10,"[428202 518871 531393 535929 548624 555714 565366 574634 584447 602649
 735292 751356 752568 758594 761107 849812 908778]",17, 13600075 6026,2017-02-01,78,0.0,17,78
11,[281283 471775 519887 520708 548624 622027 752568],7, 7445935 6033,2017-02-01,78,0.0,7,78
12,"[134151 274391 294115 400722 489055 510144 553832 566212 715341 863993
 911614]",11, 7892095 7476355,2017-05-01,78,0.09090909090909091,11,78
13,"[286391 294115 349380 428202 455008 471775 489055 521885 536334 698767
 971894]",11, 5461012 6033,2017-05-01,78,0.09090909090909091,11,78
14,[286391 294115 349380 428202 471775 489055 552972],7, 5461012 6026,2017-05-01,78,0.09090909090909091,7,78
15,[187317 489055 552972 553832 863993 911614],6, 7892095 5401004,2017-05-01,78,0.09090909090909091,6,78
16,[294115 400722 489055 553832 715341 911614],6, 7892095 7476355 6033,2017-05-01,78,0.09090909090909091,6,78
17,[294115 428202 489055 519885 553832 587069 715341],7, 7892095 6033 6026,2017-05-01,78,0.09090909090909091,7,78
18,[200726 342120 350647 394148 489055 694502 754685 758595],8, 19419902 4190175,2017-05-01,78,0.09090909090909091,8,78
19,[294115 428202 489055 519885 552972 553832 587069 715341],8, 7892095 6026,2017-05-01,78,0.09090909090909091,8,78
20,[349380 486023 489055 516496 553832 863993 911614],7, 5401004 7476355,2017-05-01,78,0.09090909090909091,7,78
21,[313130 349380 363690 471775 516496 531947 863993],7, 5401004 7445935,2017-05-01,78,0.09090909090909091,7,78
22,[349380 471775 489055 552972 553832],5, 5401004 6026,2017-05-01,78,0.09090909090909091,5,78
23,[286391 294115 349380 428202 471775 489055],6, 5461012 6033 6026,2017-05-01,78,0.09090909090909091,6,78
24,[294115 400722 428202 489055 519885 553832 587069 715341 911614],9, 7892095 6033,2017-05-01,78,0.09090909090909091,9,78
25,[158639 349380 469829 471775 516496 971894],6, 5461012 7445935,2017-05-01,78,0.09090909090909091,6,78
26,[555714 565366 622027 754685 761107],5, 3430026 6027 6026,2017-05-01,78,0.09090909090909091,5,78
27,[294115 349380 489055 698767 971894],5, 5461012 7476355 6033,2017-05-01,78,0.09090909090909091,5,78
28,[349380 455008 471775 489055 516496 536334 552972],7, 5461012 5401004,2017-05-01,78,0.09090909090909091,7,78
29,[349380 455008 471775 489055 536334],5, 5461012 5401004 6033,2017-05-01,78,0.09090909090909091,5,78
30,[279525 555714 565366 622027 754685],5, 3430026 3450013 6033,2017-05-01,78,0.09090909090909091,5,78
31,[471775 519885 752568 754685 758595],5, 19419902 13600075 6026,2017-05-01,78,0.09090909090909091,5,78
32,[158554 263990 332928 514133 543699],5, 5461017 7445935,2017-05-01,78,0.09090909090909091,5,78
33,[494161 555714 622027 754685 849812],5, 3430176 3450013,2017-05-01,78,0.09090909090909091,5,78
34,[160433 441643 545867 610249 813374],5, 18064205 3461024,2017-05-01,78,0.09090909090909091,5,78
35,[189082 245144 342699 610249 813374 894130],6, 3461025 18064205,2017-05-01,78,0.09090909090909091,6,78
36,[131005 428202 455008 468837 505859 519472 536334 698767 911614],9, 8287519 6033,2017-05-01,78,0.09090909090909091,9,78
37,[537370 584447 610249 754685 849812],5, 3412025 6027 6026,2017-05-01,78,0.09090909090909091,5,78
38,[352286 537370 587925 610249 964970],5, 3646779 2066013,2017-05-01,78,0.09090909090909091,5,78
39,[466946 510144 516496 698767 911614],5, 7038427 7476355,2017-05-01,78,0.09090909090909091,5,78
40,[294115 349380 469829 489055 516496 698767 971894],7, 5461012 7476355,2017-05-01,78,0.09090909090909091,7,78
41,[471775 489055 519885 754685 964970],5, 19419902 6033 6026,2017-05-01,78,0.09090909090909091,5,78
42,[131005 348255 349380 455008 471775 489055 531947 536334 553832 911614],10, 5401004 6033,2017-05-01,78,0.09090909090909091,10,78
43,[471775 489055 519885 752568 754685 758595 964970],7, 19419902 6026,2017-05-01,78,0.09090909090909091,7,78
44,"[110899 244827 270220 271779 296486 314647 345803 421137 427096 432305
 464331 485938 573259 602580 603395 616689 681522 739860 751640]",19, 12520039 451,2017-05-01,59,0.09090909090909091,19,59
45,[415279 526400 616225 734723 903174 913872],6, 6026 451,2017-05-01,59,0.09090909090909091,6,59
47,[138296 258366 314647 330295 447294 453193 622143 681522],8, 2000 12520039,2017-05-01,59,0.09090909090909091,8,59
48,"[187833 199673 322520 363922 575890 594666 600388 626162 714833 776745
 788356 881166]",12, 4190175 19419902,2017-05-01,59,0.09090909090909091,12,59
49,[471775 489055 519499 519885 719763 754685 964970 971894],8, 19419902 6033,2017-05-01,78,0.09090909090909091,8,78
50,[616225 622013 734723 828469 913872],5, 6027 6026,2017-05-01,59,0.09090909090909091,5,59
51,[118478 603395 616225 734723 913872],5, 3450011 451,2017-05-01,59,0.09090909090909091,5,59
52,"[286391 294115 349380 399087 428202 471775 489055 505859 519885 537370
 545984 553832 555714 565366 578639 584447 587069 610249 622027 715341
 754685 964970]",22, 6033 6026,2017-05-01,78,0.09090909090909091,22,78
53,"[286391 294115 348261 363692 421070 471775 519469 519885 521191 535929
 535942 552972 584447 619437 622027 622586 735292 749414 751356 752568
 754685 754772 758595 761107 840055 849812 902696 908778 923572 957240]",30, 13600075 6026,2017-05-01,78,0.09090909090909091,30,78
54,[286391 294115 471775 519885 584447 622027 754685],7, 13600075 6033 6026,2017-05-01,78,0.09090909090909091,7,78
55,"[349380 399087 471775 519885 519887 521183 531947 542073 545984 578639
 612925 715341 916838 971894]",14, 7445935 6033,2017-05-01,78,0.09090909090909091,14,78
56,[349380 399087 471775 519885 545984 578639 715341],7, 7445935 6033 6026,2017-05-01,78,0.09090909090909091,7,78
57,"[294115 349380 399087 400722 468837 489055 505859 542073 545984 553832
 578639 698767 715341 754685 911614 916838 971894]",17, 7476355 6033,2017-05-01,78,0.09090909090909091,17,78
58,[415279 526400 610037 734723 828469],5, 13600075 6026,2017-05-01,59,0.09090909090909091,5,59
59,"[156096 214134 349380 399087 469829 516496 542073 545984 578639 715341
 863993 916838 971894]",13, 7476355 7445935,2017-05-01,78,0.09090909090909091,13,78
60,[584447 622027 754685 849812 908778],5, 6027 3450013 13600075 6026,2017-05-01,78,0.09090909090909091,5,78
61,[555714 565366 584447 610249 622027 754685],6, 6027 3450013 6033 6026,2017-05-01,78,0.09090909090909091,6,78
62,[555714 565366 584447 610249 622027 754685 849812 908778],8, 6027 3450013 6026,2017-05-01,78,0.09090909090909091,8,78
63,[519885 584447 622027 754685 761107 849812 908778],7, 6027 13600075 6026,2017-05-01,78,0.09090909090909091,7,78
64,"[428202 519885 537370 555714 565366 584447 610249 622027 754685 761107
 849812 908778]",12, 6027 6026,2017-05-01,78,0.09090909090909091,12,78
65,[428202 519885 537370 555714 565366 584447 610249 622027 754685],9, 6027 6033 6026,2017-05-01,78,0.09090909090909091,9,78
66,[286391 489055 555714 565366 584447 610249 622027 754685 964970],9, 3450013 6033 6026,2017-05-01,78,0.09090909090909091,9,78
67,"[279525 286391 489055 555714 565366 584447 610249 622027 754685 964970
 971894]",11, 3450013 6033,2017-05-01,78,0.09090909090909091,11,78
68,"[286391 489055 555714 565366 584447 610249 622027 754685 849812 908778
 964970]",11, 3450013 6026,2017-05-01,78,0.09090909090909091,11,78
69,[349380 399087 545984 578639 715341],5, 7476355 7445935 6033 6026,2017-05-01,78,0.09090909090909091,5,78
70,[349380 399087 542073 545984 578639 715341 916838 971894],8, 7476355 7445935 6033,2017-05-01,78,0.09090909090909091,8,78
71,[286391 584447 622027 754685 849812 908778],6, 3450013 13600075 6026,2017-05-01,78,0.09090909090909091,6,78
