,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[107874, 107966, 112041, 113297, 125902, 133022, 133955, 145395, 146803, 152806, 156003, 157180, 166603, 168797, 170102, 173968, 182731, 183140, 183978, 192038, 193056, 193677, 195757, 197038, 197718, 199285, 199504, 202371, 202501, 222847, 230980, 231496, 235302, 236734, 249926, 260993, 264832, 269982, 270370, 270415, 278479, 288120, 289819, 289967, 296137, 298450, 305001, 305264, 313650, 314153, 314863, 318339, 322207, 327138, 327610, 329514, 329819, 331316, 333530, 335616, 336107, 337386, 337828, 339885, 340311, 342654, 344704, 350593, 350800, 352108, 353647, 353820, 354101, 354730, 358989, 359007, 359909, 360868, 361859, 363046, 363393, 368969, 369391, 374531, 377365, 378650, 380689, 385474, 389100, 392099, 397173, 397255, 397272, 397289, 408605, 409547, 411041, 411832, 412316, 419594, 420063, 422439, 426563, 429530, 431743, 436180, 438686, 440924, 447321, 448117, 453626, 454692, 457077, 467594, 470483, 472481, 472871, 477668, 479753, 480255, 483490, 486113, 490190, 491988, 494705, 506019, 506392, 506611, 508067, 513229, 514356, 517640, 518439, 520840, 521461, 525304, 527840, 530414, 536854, 538559, 538640, 543053, 543323, 544080, 545590, 548135, 550293, 558271, 562031, 573393, 573780, 574995, 577041, 583577, 583814, 591109, 592510, 601555, 604625, 607089, 608653, 612811, 615241, 617647, 620005, 625136, 640725, 668724, 682984, 715934, 716101, 728050, 748610, 748791, 756856, 757685, 767398, 778878, 783849, 794818, 864313, 868017, 869865, 878915, 882421]",185, 4126,2017-02-28,35-49,0.0,185,35-49,['RECHARGE LAVAGE']
1,"[140050, 258413, 272307, 466946]",4, 1698,2017-02-28,50-65,0.0,4,50-65,['ROCHER NOIR 35G']
2,"[200853, 263990, 304549]",3, 1523 1464,2017-02-28,50-65,0.0,3,50-65,"['BDG EXPRESSO', 'BDG STEACK HACHE FRITES']"
3,"[200853, 247754, 263990, 304549]",4, 1464,2017-02-28,50-65,0.0,4,50-65,['BDG STEACK HACHE FRITES']
4,"[261185, 278763, 428202, 453036]",4, 1394,2017-02-28,50-65,0.0,4,50-65,['BD DOUBLE EXPRE']
5,"[263990, 365536, 752568]",3, 1119 431,2017-02-28,50-65,0.0,3,50-65,"['BD SAN PELLEGRI', 'CAFE EXPRESSO']"
6,"[263990, 332928, 365536, 423037, 752568]",5, 1119,2017-02-28,50-65,0.0,5,50-65,['BD SAN PELLEGRI']
7,"[315695, 365536, 668617]",3, 1047 431,2017-02-28,50-65,0.0,3,50-65,"['BD LE CIABATTA MIXTE', 'CAFE EXPRESSO']"
8,"[315695, 365536, 531393, 664517, 668617]",5, 1047,2017-02-28,50-65,0.0,5,50-65,['BD LE CIABATTA MIXTE']
9,"[159524, 584447, 697503]",3, 686,2017-02-28,50-65,0.0,3,50-65,['CRO EAU DE SOURCE 50CL PET']
10,"[173428, 214946, 331214, 338003, 433073]",5, 63,2017-02-28,50-65,0.0,5,50-65,[]
11,"[180654, 467509, 517642]",3, 10,2017-02-28,50-65,0.0,3,50-65,[]
12,"[100715, 146481, 199673, 322977, 351249]",5, 5844,2017-02-28,50-65,0.0,5,50-65,['GAUFFRE LIEGE CHOCO X5 225G LOTUS']
13,"[106717, 301967, 514207, 536284]",4, 5801,2017-02-28,50-65,0.0,4,50-65,['MONSTER ENERGY BTE 50CL']
14,"[104120, 193388, 259079, 271346, 344702, 356654]",6, 5607,2017-02-28,50-65,0.0,6,50-65,['COCA COLA ZERO 50CL PET']
15,"[178794, 180086, 294969, 622174, 649774, 703490]",6, 4632,2017-02-28,50-65,0.0,6,50-65,['NET.JANTE 500ML NEOCLEAN']
16,"[198623, 252210, 261458, 340209, 527643]",5, 2858,2017-02-28,50-65,0.0,5,50-65,['VITTEL BOUTEILL']
17,"[123777, 272307, 332928, 463457, 566430]",5, 1777,2017-02-28,50-65,0.0,5,50-65,['ROCHER LAIT 35G SUCHARD']
18,"[193388, 237287, 272307, 326897, 355952]",5, 1776,2017-02-28,50-65,0.0,5,50-65,"[""NOUGATTI COTE D'OR 30G""]"
19,"[153168, 304012, 352244, 355952, 375557, 467917]",6, 1743,2017-02-28,50-65,0.0,6,50-65,['LION UNITE 42G']
20,"[171664, 351249, 389556, 414852, 470762, 536284]",6, 1532,2017-02-28,50-65,0.0,6,50-65,[]
21,"[278763, 453036, 519887]",3, 1378,2017-02-28,50-65,0.0,3,50-65,['BD PAIN RAISIN']
22,"[110245, 143947, 235938, 354336, 687943]",5, 869,2017-02-28,50-65,0.0,5,50-65,['BD. CROISSANT ECLAT DU TERROIR']
23,"[211249, 263990, 575459]",3, 688,2017-02-28,50-65,0.0,3,50-65,['CR EVIAN PET 50CL']
24,"[100715, 470636, 527643, 540247, 584447]",5, 1704,2017-02-28,50-65,0.0,5,50-65,['KIT KAT X 3  124.50']
25,"[174525, 177528, 236540, 383585]",4, 2769,2017-02-28,50-65,0.0,4,50-65,['CHIPS LAYS MAX NATURE 135G']
26,"[100715, 527643, 584447]",3, 1704 1547,2017-02-28,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'SAC BOUTIQUE KRAFT']"
27,"[140050, 276785, 466946, 586116, 721265]",5, 2362,2017-02-28,50-65,0.0,5,50-65,['EVIAN FREERIDE 75 CL']
28,"[189915, 226056, 371348, 768034]",4, 1757,2017-02-28,50-65,0.0,4,50-65,['COCA COLA LIGHT 50CL']
29,"[272307, 369769, 375557, 886368]",4, 1707,2017-02-28,50-65,0.0,4,50-65,['BOUNTY CHOC LAIT 57G']
30,"[263990, 296939, 385858, 461571]",4, 1533,2017-02-28,50-65,0.0,4,50-65,[]
31,"[263990, 278763, 365536, 531393]",4, 1388,2017-02-28,50-65,0.0,4,50-65,['BD FLAN NATURE']
32,"[110245, 235938, 471775]",3, 1374,2017-02-28,50-65,0.0,3,50-65,['BD PAIN AU CHOCOLAT']
33,"[235938, 365536, 613049]",3, 1045,2017-02-28,50-65,0.0,3,50-65,['BD SDW LE LYONNAIS']
34,"[116969, 118478, 525249, 697503]",4, 608,2017-02-28,50-65,0.0,4,50-65,['CR SAND PREMIUM']
35,"[176424, 352928, 437007]",3, 373,2017-02-28,50-65,0.0,3,50-65,['LUN SALADE ACCUEIL']
36,"[187947, 383172, 389628, 451209]",4, 285,2017-02-28,50-65,0.0,4,50-65,[]
37,"[125918, 126962, 131014, 547651]",4, 57,2017-02-28,50-65,0.0,4,50-65,[]
38,"[153168, 344944, 695135]",3, 6971,2017-02-28,50-65,0.0,3,50-65,['RED BULL 355ML']
39,"[229149, 294969, 470752, 542971]",4, 6894,2017-02-28,50-65,0.0,4,50-65,['LAMPE H7 12V 55W PREMIU']
40,"[100715, 241319, 464868, 467917]",4, 6012,2017-02-28,50-65,0.0,4,50-65,['ICE TEA PECHE 50CL']
41,"[100715, 470636, 584447]",3, 5845 1704,2017-02-28,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'LOTUS GAUFRES L']"
42,"[470636, 531393, 752568]",3, 5843 263,2017-02-28,50-65,0.0,3,50-65,"['REMISE BUS AUTOROUTE 9\x80', 'SPECULOOS X8 120G']"
43,"[139038, 154662, 222969, 294969]",4, 5760,2017-02-28,50-65,0.0,4,50-65,['PRINGLES ORIGINAL 175G']
44,"[174525, 349380, 722124]",3, 5483,2017-02-28,50-65,0.0,3,50-65,['RITTER NOIR NOIS 100G']
45,"[326332, 385319, 457187, 547651]",4, 4130,2017-02-28,50-65,0.0,4,50-65,['ASPIRATEUR']
46,"[141207, 156641, 174525, 274836, 411677]",5, 3875,2017-02-28,50-65,0.0,5,50-65,['TRIANGLE JAMBOM']
47,"[247730, 294969, 518210]",3, 3306,2017-02-28,50-65,0.0,3,50-65,['SDW MEGA JB CHE']
48,"[100715, 176337, 252444, 262091, 599727]",5, 3270,2017-02-28,50-65,0.0,5,50-65,['SOEBO JMB CRU CHEVRE 190G']
49,"[356654, 471775, 584447]",3, 2640,2017-02-28,50-65,0.0,3,50-65,['ORANGINA 33CL']
50,"[178271, 258511, 352928, 622174, 695135]",5, 2368,2017-02-28,50-65,0.0,5,50-65,['EVIAN 50CL']
51,"[323618, 348380, 541417]",3, 2195,2017-02-28,50-65,0.0,3,50-65,['TOTAL LAVE GLACE ETE 2L ECOLO']
52,"[235183, 352244, 369549]",3, 1767,2017-02-28,50-65,0.0,3,50-65,['STIMOROM ORIGIN']
53,"[261215, 383585, 518210]",3, 2325,2017-02-28,50-65,0.0,3,50-65,['VOLVIC ZEST CIT']
54,"[100715, 159524, 204029, 278763, 352928, 575459]",6, 1855,2017-02-28,50-65,0.0,6,50-65,['CR SANDWICH CLASSIC']
55,"[151531, 191307, 211149, 249298, 269732, 273658, 551178, 600515, 671210, 675734, 815181]",11, 4131,2017-02-28,50-65,0.0,11,50-65,['LAVAGE 2 PLEIN TARIF']
56,"[269187, 518210, 540247, 584447]",4, 1622 1738,2017-02-28,50-65,0.0,4,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT']"
57,"[139038, 148673, 187833, 199673, 269187, 278763, 345758, 518210, 540247, 576233, 584447, 594666]",12, 1622,2017-02-28,50-65,0.0,12,50-65,['CR PAIN AU CHOCOLAT']
58,"[518871, 584447, 752568]",3, 1547 263,2017-02-28,50-65,0.0,3,50-65,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
59,"[100715, 108168, 181639, 199673, 260630, 294969, 344702, 348997, 356654, 383585, 470752, 518871, 527643, 536284, 584447, 752568]",16, 1547,2017-02-28,50-65,0.0,16,50-65,['SAC BOUTIQUE KRAFT']
60,"[471775, 519887, 752568]",3, 264 431 263,2017-02-28,50-65,0.0,3,50-65,"['CAFE EXPRESSO', 'REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
61,"[471775, 519887, 520708, 752568]",4, 264 431,2017-02-28,50-65,0.0,4,50-65,"['CAFE EXPRESSO', 'REMISE BUS AUTOROUTE 15\x80']"
62,"[471775, 519887, 521885, 531393, 584447, 752568]",6, 264 263,2017-02-28,50-65,0.0,6,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
63,"[211249, 363692, 453036, 469829, 471775, 519887, 520708, 521885, 531393, 584447, 752568]",11, 264,2017-02-28,50-65,0.0,11,50-65,['REMISE BUS AUTOROUTE 15\x80']
64,"[128265, 176750, 563868]",3, 4099 4125,2017-02-28,50-65,0.0,3,50-65,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
