,user_ids,support,itemsets,period,property_values,depth,size,a
0,"[ 101937  103914  104293  105293  108938  110899  111737  112044  113036
  113376  114666  118478  121147  123801  127790  128703  130181  130532
  133892  137504  137871  138455  139598  145875  147589  147772  149963
  152339  153185  154300  156634  161394  162055  162567  167520  167694
  173071  173169  174585  177160  177373  178797  187833  191304  191532
  191561  199984  200082  201600  205109  206426  207305  210060  210355
  214721  217160  223966  226086  231418  235297  235462  244827  249736
  251568  251775  253171  253363  256669  260419  261384  265419  266458
  266488  268238  270220  270341  270517  275377  275782  277766  281988
  284704  288842  292347  293947  296181  296486  302056  303315  303666
  303718  312314  314647  322597  326598  333147  333668  336730  337424
  338762  341270  345108  345427  346829  347715  353175  356448  356857
  363093  363105  363412  365174  367609  368080  370988  372038  372212
  372351  373006  373230  373743  373747  375021  375197  377599  381310
  385713  386199  386947  389285  394541  395023  395351  398236  399356
  400880  403184  403445  407134  414036  417954  418986  420597  421137
  422933  423574  425954  427096  427250  429595  431592  431870  432305
  433827  438350  444802  445481  449488  449745  451363  458240  459432
  460228  462037  464331  464605  470564  471630  471956  476763  477520
  480033  483533  485289  485938  486127  487076  490114  496617  503953
  505613  508803  519059  520930  520939  521306  521982  522862  523132
  523545  524613  524777  528367  529492  532364  539333  541815  543699
  543877  549392  551617  551846  552282  552846  554580  555714  557602
  558462  558611  563375  565842  567220  570894  571338  573259  573477
  574836  575050  578813  580438  583460  588423  589124  593085  594619
  597071  597681  598520  600064  600143  600467  601578  602580  603391
  604098  606879  607784  608890  612518  612824  615164  616689  617099
  619369  623841  671315  673209  676950  681522  690904  707341  712477
  716325  729883  731934  733876  734723  738639  739860  740276  742398
  746930  751640  752912  758478  759742  764017  786504  787610  807917
  822198  827410  828203  832102  838190  847910  864160  872217  877179
  878173  879726  884366  896048  898005  898488  902966  903640  904661
  912949  926491  930557  934545  937410  937696  943482  944957  950519
  953681  956580  956698  957469  981076  988472  995860  999796 1007158
 1015214 1015768 1018026 1019039 1020488 1027783 1031252 1032078 1036517
 1038540 1039640 1042827 1045120 1046714 1047195 1047997 1056508 1059661
 1060391 1061637 1062047 1064793 1065235 1065591 1066122 1067480 1068268
 1068448 1071020 1074210 1079464 1083396 1085088 1087871 1095891 1096379
 1097119 1097548 1097825 1099079 1099347 1099947 1103098 1106546 1106966
 1109186 1111244 1112194 1112777 1113680 1152434 1162081 1163691 1164116
 1164323 1166148 1167207 1168173 1168320 1168767 1168900 1169643 1170526
 1171591 1172616 1177872 1178295 1179522 1180356 1180756 1182118 1192664
 1194012 1194046 1195165 1196697 1198308 1198352 1201406 1202494 1202909
 1204127 1204414 1204460 1205093 1205586 1207721 1208935 1209189 1211373
 1214239 1218364 1218881 1220228 1226798 1227732 1229202 1229524 1232568
 1234017 1234764 1235236 1235780 1235897 1236675 1237802 1240314 1241399]",414, 451,2018-09-01,1,0.0,414,1
1,[144811 253749],2, 650 100,2018-09-01,1,0.0,2,1
2,[ 182535  315996  377865 1218664],4, 1234,2018-09-01,1,0.0,4,1
3,[176549 305264 541417],3, 1964,2018-09-01,1,0.0,3,1
5,[107225 267648 319251 336921 575459 925473],6, 3412051,2018-09-01,1,0.0,6,1
6,[107225 336921 575459],3, 3412051 3461025,2018-09-01,1,0.0,3,1
7,[267648 575459],2, 3412051 3430051 3450042,2018-09-01,1,0.0,2,1
8,[575459 925473],2, 3412051 3461040 2850269,2018-09-01,1,0.0,2,1
9,[144811 253749 449596 607312 905875],5, 650,2018-09-01,1,0.0,5,1
10,[ 405080 1108766],2, 3451005,2018-09-01,1,0.0,2,1
12,[312825 418129 963615],3, 5450154,2018-09-01,1,0.0,3,1
13,[312825 963615],2, 5450154 7719715 7892095 5461017,2018-09-01,1,0.0,2,1
14,[418129 963615],2, 5450154 7770415 6033,2018-09-01,1,0.0,2,1
15,[206659 264151 306030 338091 353824],5, 5461033,2018-09-01,1,0.0,5,1
16,[306030 353824],2, 5461033 12520039,2018-09-01,1,0.0,2,1
17,[206659 353824],2, 5461033 7719715,2018-09-01,1,0.0,2,1
20,[226621 348456 353824 580665],4, 5470002,2018-09-01,1,0.0,4,1
21,[584447 984430],2, 7618315 8287519 13600075 4190175 5401046,2018-09-01,1,0.0,2,1
22,[263913 984430],2, 7618315 7892095 5401046,2018-09-01,1,0.0,2,1
23,[409260 575459],2, 3461040 4152819,2018-09-01,1,0.0,2,1
24,[206659 221812 540247 549386 558309 715341 968563],7, 5450137,2018-09-01,1,0.0,7,1
25,[206659 540247],2, 5450137 7719715,2018-09-01,1,0.0,2,1
26,[540247 715341],2, 5450137 5461018 7445935 5401047,2018-09-01,1,0.0,2,1
27,[540247 549386],2, 5450137 7739995,2018-09-01,1,0.0,2,1
28,[201253 264552 418129 447204 488754 715341 960142],7, 5450138,2018-09-01,1,0.0,7,1
29,[264552 447204 715341],3, 5450138 7445935,2018-09-01,1,0.0,3,1
30,[418129 715341],2, 5450138 6033,2018-09-01,1,0.0,2,1
31,[ 984430 1204437],2, 7618315 7587895,2018-09-01,1,0.0,2,1
32,[264552 488754],2, 5450138 7719715,2018-09-01,1,0.0,2,1
33,[182809 539410 584447 679482 963615 991720],6, 5461028,2018-09-01,1,0.0,6,1
34,[182809 539410 584447 679482 963615],5, 5461028 5450142,2018-09-01,1,0.0,5,1
35,[584447 679482 963615],3, 5461028 7719715 5450142,2018-09-01,1,0.0,3,1
36,[584447 963615],2, 5461028 7729855 6026 6033 5450142 7719715 5430201,2018-09-01,1,0.0,2,1
37,[963615 991720],2, 5461028 5450090,2018-09-01,1,0.0,2,1
38,[ 263913  584447  984430 1006069 1204437],5, 7618315,2018-09-01,1,0.0,5,1
39,[ 263913 1006069],2, 7618315 7445935,2018-09-01,1,0.0,2,1
40,[263913 584447 984430],3, 7618315 5401046,2018-09-01,1,0.0,3,1
41,[418129 447204],2, 5450138 5401051,2018-09-01,1,0.0,2,1
42,[226621 353824],2, 5470002 7445935,2018-09-01,1,0.0,2,1
44,[353824 580665],2, 5470002 5450086,2018-09-01,1,0.0,2,1
45,[322520 575459],2, 3461005 3461025,2018-09-01,1,0.0,2,1
46,[319251 575459],2, 3461005 3412051,2018-09-01,1,0.0,2,1
47,[ 303934  616225 1173969],3, 3461006,2018-09-01,1,0.0,3,1
48,[ 616225 1173969],2, 3461006 4190175 6033,2018-09-01,1,0.0,2,1
49,[303934 616225],2, 3461006 3450010,2018-09-01,1,0.0,2,1
51,[ 263913  811620 1058393],3, 5401038,2018-09-01,1,0.0,3,1
52,[109665 307559 332928 963615],4, 5430043,2018-09-01,1,0.0,4,1
53,[319251 322520 575459 622371 847660],5, 3461005,2018-09-01,1,0.0,5,1
54,[109665 332928 963615],3, 5430043 5461017,2018-09-01,1,0.0,3,1
55,[307559 963615],2, 5430043 5461018 5450142,2018-09-01,1,0.0,2,1
56,[109665 963615],2, 5430043 5430201 5461017,2018-09-01,1,0.0,2,1
57,[109665 332928],2, 5430043 5461014 5461017,2018-09-01,1,0.0,2,1
58,[447204 535413 584447 819872],4, 5430104,2018-09-01,1,0.0,4,1
59,[447204 584447],2, 5430104 5401046 4190175,2018-09-01,1,0.0,2,1
60,[584447 819872],2, 5430104 7729855 5450142 7719715 8287519,2018-09-01,1,0.0,2,1
61,[447204 819872],2, 5430104 7598035 5401051,2018-09-01,1,0.0,2,1
62,[ 278593  972937 1097861 1179385],4, 5430258,2018-09-01,1,0.0,4,1
63,[307559 332928 963615],3, 5430043 5450142,2018-09-01,1,0.0,3,1
66,[337743 725052],2, 3450021 3450022 3461039,2018-09-01,1,0.0,2,1
67,[113425 250022 543699 556301 585878],5, 7461038 1073439 583279,2018-09-01,1,0.0,5,1
68,[155063 182925 280075],3, 8,2018-09-01,1,0.0,3,1
69,[ 114202  172406  276032  847660 1183011],5, 16070,2018-09-01,1,0.0,5,1
70,[ 555714  979705 1172837 1220228],4, 194433,2018-09-01,1,0.0,4,1
71,[ 555714 1220228],2, 194433 451,2018-09-01,1,0.0,2,1
72,[ 555714  979705 1172837],3, 194433 13600075,2018-09-01,1,0.0,3,1
73,[555714 979705],2, 194433 13600075 6026,2018-09-01,1,0.0,2,1
74,[132482 332928 344568 554300],4, 237666,2018-09-01,1,0.0,4,1
75,[447204 996797],2, 1061983,2018-09-01,1,0.0,2,1
76,[278763 405080 407141 556301],4, 1128582 1073439,2018-09-01,1,0.0,4,1
77,[278763 405080 556301],3, 1128582 583279 1073439,2018-09-01,1,0.0,3,1
78,[153963 267648 468837],3, 3119857,2018-09-01,1,0.0,3,1
82,[309153 585878],2, 3430109,2018-09-01,1,0.0,2,1
83,[244198 491168 880018],3, 3430213,2018-09-01,1,0.0,3,1
84,[204029 267648 337743 491168 725052],5, 3450021,2018-09-01,1,0.0,5,1
85,[204029 337743 725052],3, 3450021 3461039,2018-09-01,1,0.0,3,1
86,[183398 575459],2, 3461040 6157591 3450014,2018-09-01,1,0.0,2,1
87,[ 575459 1044697],2, 3461040 4159045 3450042,2018-09-01,1,0.0,2,1
88,[ 112044  183398  245144  409260  575459  925473 1044697],7, 3461040,2018-09-01,1,0.0,7,1
89,[ 867654 1155422],2, 3461029 3450011,2018-09-01,1,0.0,2,1
91,[226621 307210 338091 540247 549386 679482 945563],7, 7739995,2018-09-01,1,0.0,7,1
92,[226621 540247],2, 7739995 7445935,2018-09-01,1,0.0,2,1
94,[338091 540247 679482],3, 7739995 5450142,2018-09-01,1,0.0,3,1
95,[540247 679482],2, 7739995 7719715 5450142,2018-09-01,1,0.0,2,1
96,[107225 244198 261223 263990 616225],5, 2605189,2018-09-01,1,0.0,5,1
97,[107225 263990],2, 2605189 3461025,2018-09-01,1,0.0,2,1
99,[267648 526900 575459 599279],4, 3430051,2018-09-01,1,0.0,4,1
100,[526900 575459],2, 3430051 3461039 2850269,2018-09-01,1,0.0,2,1
