,user_ids,support,itemsets,period,property_values,depth,size,AGE
0,"[ 280798  289489  313095  355728  518247  538232  538233  557125  560034
  570918  584637  585590  590843  592542  602170  612111  612112  616484
  617203  617205  618242  625942  696416  734723  735201  738934  744705
  754679  759553  825191  845042  862480  898171  901438  902696  913872
  935523  942552  948427  948564  965258  967002  971894  980302  982725
  982982  988804  990362  998652 1010901 1017096 1025591 1040879 1044071
 1049467]",55, 6026 451,2018-01-01,35-49,0.0,55,35-49
1,"[ 389537  453037  520090  549932  618471  673330  786522  840439  840540
  900107  900811 1054907]",12, 6027 19419902,2018-01-01,50-65,0.0,12,50-65
2,"[ 453042  518876  552178  554195  613109  617315  718183  936300 1008295
 1020601 1026911]",11, 6027 7445935 6026,2018-01-01,50-65,0.0,11,50-65
3,"[ 244822  453042  518876  518916  552178  554195  602313  613109  617315
  710570  718183  827627  936300  964077 1008295 1014301 1020601 1026911
 1031083]",19, 6027 7445935,2018-01-01,50-65,0.0,19,50-65
4,"[ 363684  453037  515581  520090  554195  558580  560347  585299  605178
  617315  618471  714420  840072  900811  919230  936300 1008295]",17, 6027 13600075 6026,2018-01-01,50-65,0.0,17,50-65
5,"[ 328260  363684  376096  389537  399106  453037  453042  515581  517345
  518876  520090  533024  539579  549932  552178  554195  558580  560347
  573991  585299  605178  607010  613109  615573  617315  618471  681139
  714420  718183  786522  794732  831739  840072  841048  900811  904165
  919230  923562  936300  971354  984250  996110  999234 1008295 1020601
 1026911 1030230 1052784 1058237]",49, 6027 6026,2018-01-01,50-65,0.0,49,50-65
6,"[ 286138  389537  470395  521900  537957  541870  592191  592908  709690
  711573  774666  859058  911051  932584  938092  996110 1020589 1025341
 1050035]",19, 6033 4190175,2018-01-01,50-65,0.0,19,50-65
7,"[ 131007  285664  356173  389537  537957  575878  601722  618592  618864
  625938  786522  842893  847429  995501 1040159 1054907]",16, 6033 19419902,2018-01-01,50-65,0.0,16,50-65
8,"[ 123476  356173  517526  518906  519484  526401  528196  535938  537367
  540569  546837  550801  554195  715537 1043600]",15, 6033 7445935 6026,2018-01-01,50-65,0.0,15,50-65
9,"[ 123476  356173  416321  502231  517526  518906  519484  521892  525736
  526401  528196  535938  537367  540569  546837  550801  554195  578778
  711573  715537 1043600]",21, 6033 7445935,2018-01-01,50-65,0.0,21,50-65
10,"[ 360203  489059  517526  518757  518890  520696  526391  526401  528196
  533042  540569  554195  575878  592191  709690 1043600]",16, 6033 13600075 6026,2018-01-01,50-65,0.0,16,50-65
11,"[ 359156  360203  489059  517526  518757  518890  520696  526391  526401
  528196  533042  540569  554195  575878  592191  709690 1043600]",17, 6033 13600075,2018-01-01,50-65,0.0,17,50-65
12,"[ 123476  285664  356173  360203  389537  479273  489059  517526  518701
  518734  518757  518890  518906  518919  518935  519484  520690  520696
  521185  521900  522436  526391  526401  528196  532338  533042  535938
  536343  537367  537957  538247  540569  541870  546837  549936  550801
  552985  554195  554356  556516  563834  575878  592191  595862  601722
  609481  709690  715537  786522  831739  840049  841806  938092  963615
  966950  967118  969911  982533  995501  996110 1026106 1029470 1032903
 1040159 1043600 1045705]",66, 6033 6026,2018-01-01,50-65,0.0,66,50-65
13,"[ 173522  224623  255991  266861  467607  515581  520090  526943  540247
  834109  903038 1018054]",12, 18064205 13600075,2018-01-01,50-65,0.0,12,50-65
14,"[376096 399106 515581 518751 518935 520090 526943 538247 548013 556516
 681139 741610 831514 831739]",14, 18064205 6026,2018-01-01,50-65,0.0,14,50-65
15,"[ 101426  102294  132797  164049  175496  187912  190337  200396  206326
  209427  217347  241964  286055  389537  405629  434589  494144  494247
  495416  501117  520090  537957  554354  591144  605662  618471  646291
  708997  720007  726618  750740  835560  845767  883548  900811  957776
  973438  975298 1043089]",39, 4190175 19419902,2018-01-01,50-65,0.0,39,50-65
16,"[411205 428203 520090 559392 560347 592191 605050 618471 709690 900811
 922975]",11, 4190175 13600075,2018-01-01,50-65,0.0,11,50-65
17,"[389537 428203 519462 520090 521900 537957 541870 554354 560347 592191
 605050 618471 709690 900811 922975 938092 993855 996110]",18, 4190175 6026,2018-01-01,50-65,0.0,18,50-65
18,"[ 128141  260089  307580  453037  487854  520090  575878  618471  900811
 1011065]",10, 19419902 13600075,2018-01-01,50-65,0.0,10,50-65
19,"[ 285664  356173  389537  453037  470636  480680  520090  521182  537957
  549932  554354  575878  600987  601722  618471  786522  900811  995501
 1011065 1040159]",20, 19419902 6026,2018-01-01,50-65,0.0,20,50-65
20,"[161748 163515 172691 177513 211824 218475 260089 297025 342761 375490
 467607 468426 469331 618646 903038]",15, 12520053 13600075,2018-01-01,50-65,0.0,15,50-65
21,"[ 117327  191561  197175  219289  286764  335357  440856  484363  504622
  514924  777526  921800  969970 1027300]",14, 12520046 451,2018-01-01,50-65,0.0,14,50-65
22,"[ 130016  161620  174683  183375  192585  199656  255991  317570  342761
  501436  535929  537964  562398  575803  588019  828590  890640 1003223
 1032075]",19, 12520039 13600075,2018-01-01,50-65,0.0,19,50-65
23,"[ 104293  109506  138559  140710  141964  147752  179629  183030  224365
  305532  365039  404011  444037  449488  461956  555598  569060  572787
  576452  625067  919224  996297 1047195]",23, 12520039 451,2018-01-01,50-65,0.0,23,50-65
24,"[ 376096  399106  515581  520090  619792  681139  824850  831739  997070
 1054907]",10, 6027 18064205,2018-01-01,50-65,0.0,10,50-65
25,"[ 517526  526401  528196  540569  554195  617315  845498  936300  982345
 1008295 1043600]",11, 7445935 13600075 6026,2018-01-01,50-65,0.0,11,50-65
26,"[ 360297  389537  426784  554195  786522  831739  932584  996110 1025341
 1054907]",10, 6027 6033,2018-01-01,50-65,0.0,10,50-65
27,"[115022 184959 194285 205725 216218 218740 229387 259900 261940 276493
 286764 366882 376096 431564 467607 484905 521587 565681 569241 662578
 760325 771309 809878 831739]",24, 3461039 18064205,2018-01-01,50-65,0.0,24,50-65
28,[224623 236457 272446 392517 418480 453037 544541 614266 746434 800723],10, 3430026 3450059,2018-01-01,50-65,0.0,10,50-65
29,"[ 137391  200152  236457  239687  244081  300358  360297  392517  554195
  577429  786522  800723 1050474]",13, 3430026 3450013,2018-01-01,50-65,0.0,13,50-65
30,"[156727 199517 224623 232620 239687 246580 254902 255226 349174 415746
 418480 453037 484177 786522 871801 925439]",16, 3430026 3461025,2018-01-01,50-65,0.0,16,50-65
31,"[137391 144535 156727 232620 254536 264149 272446 289216 375841 392517
 453037 544541 554195 714420 746434]",15, 3430026 3461039,2018-01-01,50-65,0.0,15,50-65
32,"[ 121600  180007  236457  392517  416091  452275  800723  984250 1027839
 1058237]",10, 3450059 3450013,2018-01-01,50-65,0.0,10,50-65
33,"[101544 108687 120870 154133 164237 169564 224623 306703 418480 453037
 585299 911807]",12, 3450059 3461025,2018-01-01,50-65,0.0,12,50-65
34,"[119787 202464 215786 224623 279300 315149 453037 464494 469308 585299
 607695 800723 809878 831739 911807 984250]",16, 3450059 3450014,2018-01-01,50-65,0.0,16,50-65
35,"[ 121600  158259  184959  216218  259900  272446  392517  453037  484905
  544541  581804  746434  809878  831739 1027999 1058237]",16, 3450059 3461039,2018-01-01,50-65,0.0,16,50-65
36,"[101544 129691 154133 169564 172230 184959 216218 224623 259900 306703
 352928 399106 442662 484905 556516 568563 607695 800723 809878 831739
 901429 911807]",22, 3450059 18064205,2018-01-01,50-65,0.0,22,50-65
37,"[ 107467  121600  124627  137391  150405  218740  238728  392517  467607
  554195  569241  616209 1058237]",13, 3450013 3461039,2018-01-01,50-65,0.0,13,50-65
38,"[ 360297  554195  558580  619792  673330  786522  900811  984250  997070
 1058237]",10, 3450013 6027,2018-01-01,50-65,0.0,10,50-65
39,"[121945 218740 244081 268817 277744 387220 407567 431899 467607 518319
 569241 603341 619792 717943 800723 903038 997070]",17, 3450013 18064205,2018-01-01,50-65,0.0,17,50-65
40,"[ 359164  548055  554195  554356  558580  709690  786522  900811  984250
  989411 1027839 1058237]",12, 3450013 6026,2018-01-01,50-65,0.0,12,50-65
41,"[216971 220044 224623 291158 309153 336874 401304 416488 453037 517459
 585299 911807]",12, 3461025 3450014,2018-01-01,50-65,0.0,12,50-65
42,"[ 101544  121945  127017  154133  169564  211671  216971  220044  224623
  225504  229387  241355  275644  277744  291158  306703  349174  376096
  385455  467354  568502  580235  824850  903038  911807 1019156]",26, 3461025 18064205,2018-01-01,50-65,0.0,26,50-65
43,"[136699 137391 213362 253889 261940 366882 453037 565681 809878 811194
 831739]",11, 3450014 3461039,2018-01-01,50-65,0.0,11,50-65
44,"[ 161770  216971  220044  222253  224128  224623  261940  291158  366882
  422446  526943  554345  565681  603341  607695  626266  681139  800723
  805056  809878  831739  834109  911807  927257 1018054 1054907]",26, 3450014 18064205,2018-01-01,50-65,0.0,26,50-65
45,"[ 354336  389537  453037  526943  585299  681139  831739  840049  840069
  904165  984250  996110  997787 1029470]",14, 3450014 6026,2018-01-01,50-65,0.0,14,50-65
46,"[ 116450  117674  128350  158053  163515  175610  176940  195830  237910
  239990  268052  290125  303819  322466  347643  354620  362482  370884
  374066  400551  409646  411979  476854  479940  517526  518916  528196
  535938  555806  565071  565681  569180  809878  820301  908227 1007928
 1033185]",37, 5461017 7445935,2018-01-01,50-65,0.0,37,50-65
47,"[128350 163515 173522 280105 280688 467607 476854 517526 528196 811391
 897940]",11, 5461017 13600075,2018-01-01,50-65,0.0,11,50-65
48,"[ 105314  146600  158617  164050  176940  177513  209983  226528  254691
  264871  270334  275060  277250  296374  370884  404346  411979  517526
  528196  540502  548862  613109  649408  727418  807842  973928  982345
 1008295]",28, 5461018 7445935,2018-01-01,50-65,0.0,28,50-65
49,"[ 146600  158617  177513  279852  476973  517526  520696  526391  528196
  937934  953408  982345 1008295 1018054]",14, 5461018 13600075,2018-01-01,50-65,0.0,14,50-65
50,"[ 517526  520690  520696  526391  528196  613109  794732  967118  982345
 1008295]",10, 5461018 6026,2018-01-01,50-65,0.0,10,50-65
51,"[ 245151  280105  329687  453037  467607  493869  554195  714420  919230
 1027999]",10, 3461039 13600075,2018-01-01,50-65,0.0,10,50-65
52,"[ 100562  173045  176200  221271  223507  224128  224623  244081  255991
  336880  376096  439421  520450  540247  653634  787904  809878  834109
  901429  913477  999571 1018054]",22, 3461023 18064205,2018-01-01,50-65,0.0,22,50-65
53,"[ 128350  146600  158617  163515  177513  184167  476854  517526  526401
  528196  540569  554195  617207  617315  698423  845498  869651  936300
  982345 1008295 1043600]",21, 7445935 13600075,2018-01-01,50-65,0.0,21,50-65
54,"[ 422025  474114  517526  528196  540876  611147  651557  718183  845498
 1008295 1018051]",11, 7445935 451,2018-01-01,50-65,0.0,11,50-65
55,"[ 255408  369557  418215  443850  498932  505932  525978  538233  539066
  555132  657434  844750  864008 1028945]",14, 5450127 5461017,2018-01-01,35-49,0.0,14,35-49
56,"[ 255408  301252  429082  433684  497068  506766  538233  539066  539209
  555132  583711  603101  657434  846428  994574  997352 1028945]",17, 5450127 7445935,2018-01-01,35-49,0.0,17,35-49
57,[237911 310913 316200 578134 583711 588712 607551 742139 765853 960189],10, 5430043 5461028,2018-01-01,35-49,0.0,10,35-49
58,"[102163 111270 290844 372273 418215 428864 490029 539066 609196 622536
 743993 884308 930497]",13, 5430043 5461017,2018-01-01,35-49,0.0,13,35-49
59,"[102163 124383 147422 539066 553055 578134 583711 607551 609196 876268
 884308 930497 960189 991802 997352]",15, 5430043 7445935,2018-01-01,35-49,0.0,15,35-49
60,"[ 154505  273340  300373  451548  490926  506766  828996  833835  909954
 1037531]",10, 7729855 5461018,2018-01-01,35-49,0.0,10,35-49
61,"[255408 273340 398714 429082 506766 525815 570918 600577 607551 731535
 828996 909954 930497 993455]",14, 7729855 7445935,2018-01-01,35-49,0.0,14,35-49
62,"[ 154971  255738  345319  497672  524062  581516  600984  602619  715983
  893165  930497 1003671]",12, 5450125 5461017,2018-01-01,35-49,0.0,12,35-49
63,"[124383 147422 255738 345319 419766 497672 524062 564980 600984 607152
 613110 715983 789697 845827 848176 930497 991802]",17, 5450125 7445935,2018-01-01,35-49,0.0,17,35-49
64,"[ 150153  208406  228086  487743  490738  537851  619106  899715  951008
  967375 1013705]",11, 3451004 18064205,2018-01-01,35-49,0.0,11,35-49
