,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
0,"[114932, 132519, 153213, 158672, 168953, 197752, 221900, 244320, 251114, 285090, 332635, 355812, 380236, 397953, 411159, 432898, 452425, 465308, 480726, 574109, 575523, 585456, 599789, 717621, 866133]",25,4915,2017-07-01,1,0.0,25,1,['SERVIT.MARSUPILAMI PAP ETE 2017']
1,"[106174, 132519, 151260, 183500, 194561, 205800, 206416, 210628, 221900, 262442, 273864, 274953, 280880, 312415, 321135, 412666, 427150, 460243, 465004, 465308, 476566, 530327, 532504, 563195, 625091, 835363, 863705, 874591, 957568]",29,4112,2017-11-01,1,0.058823529411764705,29,1,['LAVAGE CLU']
2,"[106174, 114932, 123000, 132519, 134977, 149797, 151260, 168956, 188309, 193102, 195808, 200898, 202428, 206416, 226924, 264679, 274132, 321135, 332635, 365367, 438454, 465004, 499127, 503579, 532504, 565442, 574109, 615324, 957568, 964386]",30,5631,2017-11-01,1,0.058823529411764705,30,1,['TWIX 50G']
3,"[110073, 120286, 147391, 158032, 159554, 168953, 176750, 194561, 221900, 223786, 261752, 273864, 280880, 285090, 293771, 330859, 355812, 390199, 460243, 498400, 537723, 582720, 598886, 619157, 835363, 874591, 886537, 915090]",28,5625,2017-11-01,1,0.058823529411764705,28,1,['MARS  51G']
4,"[107216, 130184, 147391, 180230, 223788, 242680, 273864, 274953, 280880, 321135, 345624, 503579, 532504, 598886, 711978, 835363, 837950, 874591, 923982, 957568]",20,4112,2017-12-01,1,0.11764705882352941,20,1,['LAVAGE CLU']
5,"[120086, 120286, 130527, 183500, 184629, 189283, 226617, 250176, 262442, 262728, 274953, 288714, 355661, 382812, 390199, 397621, 397953, 412666, 416657, 416890, 417444, 438114, 440514, 530327, 578902, 585456, 598886, 615324, 711978, 820248, 824262, 866133, 900950, 923982]",34,4112,2018-01-01,1,0.17647058823529413,34,1,['LAVAGE CLU']
6,"[115022, 148461, 194411, 195808, 231893, 270966, 274953, 275425, 332635, 336247, 403177, 406056, 499734, 545910, 717621, 866133, 915090, 957568, 1005767, 1021208]",20,4126,2018-03-01,1,0.23529411764705882,20,1,['RECHARGE LAVAGE']
7,"[103240, 114932, 149886, 180008, 183500, 193191, 197394, 202428, 206676, 264679, 274132, 285365, 287754, 288714, 307158, 384542, 390199, 423878, 438114, 443706, 519327, 574109, 578902, 621094, 717621, 749466, 805158, 863705, 867805, 874591, 911734, 915090, 976245]",33,5951,2018-05-01,1,0.29411764705882354,33,1,['FUZE TEA PECHE 40CL']
8,"[103240, 129415, 131516, 132519, 137685, 151531, 180230, 188588, 201553, 210628, 273864, 301967, 307158, 355812, 438114, 572643, 711978, 717621, 971477, 976245]",20,4112,2018-05-01,1,0.29411764705882354,20,1,['LAVAGE CLU']
9,"[114932, 117622, 131516, 145478, 180230, 188309, 200898, 214177, 226924, 243039, 251114, 274211, 309886, 330859, 336247, 343142, 386709, 390199, 397953, 452425, 460243, 499127, 502622, 519327, 574109, 578902, 615324, 623370, 763292, 766708, 814129, 867805, 991727, 1005767]",34,4919,2018-07-01,1,0.35294117647058826,34,1,['SERVIET.ASTERIX']
