,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[107874, 107966, 112041, 113297, 125902, 133022, 133955, 152806, 156003, 157180, 166603, 168797, 170102, 173968, 183140, 183978, 193677, 197038, 197718, 199285, 222847, 230980, 231496, 235302, 236734, 249926, 260993, 269982, 270370, 270415, 278479, 288120, 289819, 289967, 296137, 298450, 305001, 313650, 314153, 314863, 322207, 327610, 329514, 331316, 333530, 337386, 342654, 344704, 350593, 350800, 352108, 353647, 353820, 354101, 354730, 358989, 359007, 361859, 363393, 368969, 369391, 377365, 378650, 380689, 389100, 392099, 397289, 408605, 412316, 420063, 422439, 426563, 429530, 431743, 436180, 438686, 447321, 448117, 457077, 467594, 470483, 477668, 480255, 483490, 486113, 490190, 494705, 506019, 508067, 514356, 517640, 518439, 520840, 521461, 525304, 527840, 530414, 536854, 543053, 543323, 545590, 548135, 550293, 558271, 573393, 577041, 583814, 601555, 604625, 608653, 617647, 620005, 625136, 640725, 668724, 682984, 715934, 716101, 748791, 756856, 767398, 778878]",122, 4126,2017-03-01,35-49,0.0,122,35-49,['RECHARGE LAVAGE']
1,"[124990, 383585, 429540, 463457, 466946, 542068]",6, 3275,2017-03-01,50-65,0.0,6,50-65,['SDW CLA JBON BEURRE 125G']
2,"[120248, 121128, 129748, 164308, 344630]",5, 4132,2017-03-01,50-65,0.0,5,50-65,['LAVAGE 3 PLEIN']
3,"[124990, 140591, 233959, 241319, 266265, 278763, 527643]",7, 6723,2017-03-01,50-65,0.0,7,50-65,['SAN PELLEGRINO  50CL']
4,"[187833, 198513, 518210, 576233]",4, 721,2017-03-01,50-65,0.0,4,50-65,['BD. PAIN CHOCOLAT PAC']
5,"[187833, 518210, 576233]",3, 721 1622,2017-03-01,50-65,0.0,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
6,"[174525, 177528, 383585]",3, 2769,2017-03-01,50-65,0.0,3,50-65,['CHIPS LAYS MAX NATURE 135G']
7,"[261458, 294969, 527643, 536284]",4, 3307,2017-03-01,50-65,0.0,4,50-65,['MEGA VENNOIS PO']
8,"[106150, 159853, 294969, 532721, 540994]",5, 3509,2017-03-01,50-65,0.0,5,50-65,['CRISTALINE 50CL']
9,"[204046, 240409, 346475, 388202, 480061, 488785]",6, 4128,2017-03-01,50-65,0.0,6,50-65,['REC LAVAGE PJE 35U']
10,"[110245, 143947, 235938, 687943]",4, 869,2017-03-01,50-65,0.0,4,50-65,['BD. CROISSANT ECLAT DU TERROIR']
11,"[296939, 309677, 513322, 562319, 622174]",5, 1531,2017-03-01,50-65,0.0,5,50-65,[]
12,"[100715, 470636, 527643, 540247, 584447]",5, 1704,2017-03-01,50-65,0.0,5,50-65,['KIT KAT X 3  124.50']
13,"[204029, 286729, 525249]",3, 687 1615,2017-03-01,50-65,0.0,3,50-65,"['CR BADOIT BTLL', 'CR FLAN NATURE']"
14,"[100715, 527643, 584447]",3, 1704 1547,2017-03-01,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'SAC BOUTIQUE KRAFT']"
15,"[343449, 364804, 422405, 516709]",4, 2134,2017-03-01,50-65,0.0,4,50-65,['TW  LAVE GLACE H 4L']
16,"[140050, 276785, 466946, 586116, 721265]",5, 2362,2017-03-01,50-65,0.0,5,50-65,['EVIAN FREERIDE 75 CL']
17,"[204029, 281486, 348997, 428202, 526400]",5, 2369,2017-03-01,50-65,0.0,5,50-65,['EVIAN 1L PET*']
18,"[101105, 149020, 224522, 557871, 787610]",5, 4104,2017-03-01,50-65,0.0,5,50-65,['LAVAGE 6 PLEIN TARIF']
19,"[245076, 357820, 395817, 594619, 744146]",5, 4137,2017-03-01,50-65,0.0,5,50-65,['REC LAVAGE PJE 97 U']
20,"[178794, 180086, 294969, 649774, 703490]",5, 4632,2017-03-01,50-65,0.0,5,50-65,['NET.JANTE 500ML NEOCLEAN']
21,"[174525, 235938, 243973, 659309]",4, 5929,2017-03-01,50-65,0.0,4,50-65,['COCA COLA ZERO']
22,"[167840, 172560, 356654]",3, 6722,2017-03-01,50-65,0.0,3,50-65,['SAN PELLEGRINO 1L']
23,"[229149, 294969, 470752, 542971]",4, 6894,2017-03-01,50-65,0.0,4,50-65,['LAMPE H7 12V 55W PREMIU']
24,"[180654, 467509, 517642]",3, 10,2017-03-01,50-65,0.0,3,50-65,[]
25,"[173428, 214946, 331214, 338003]",4, 63,2017-03-01,50-65,0.0,4,50-65,[]
26,"[176424, 352928, 437007]",3, 373,2017-03-01,50-65,0.0,3,50-65,['LUN SALADE ACCUEIL']
27,"[204029, 278763, 352928, 575459]",4, 1855,2017-03-01,50-65,0.0,4,50-65,['CR SANDWICH CLASSIC']
28,"[235938, 365536, 613049]",3, 1045,2017-03-01,50-65,0.0,3,50-65,['BD SDW LE LYONNAIS']
29,"[111738, 140423, 204029, 278763, 286729, 525249]",6, 687,2017-03-01,50-65,0.0,6,50-65,['CR BADOIT BTLL']
30,"[519887, 521885, 584447, 752568]",4, 264 263,2017-03-01,50-65,0.0,4,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
31,"[180415, 192639, 247304]",3, 4632,2017-03-01,35-49,0.0,3,35-49,['NET.JANTE 500ML NEOCLEAN']
32,"[295946, 316273, 620005]",3, 5468,2017-03-01,35-49,0.0,3,35-49,['KIT KAT CHUNKY DUO 70G']
33,"[182028, 535633, 616225]",3, 5529,2017-03-01,35-49,0.0,3,35-49,"[""M&M'S CACAHUETES 400G""]"
