,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[100842, 102647, 102939, 105649, 107874, 107966, 110133, 110487, 111287, 112041, 112883, 113297, 113566, 113700, 114078, 114730, 116442, 117912, 119057, 120965, 123801, 124474, 124681, 125045, 125407, 125902, 128859, 129865, 132966, 133022, 133955, 134880, 136593, 137464, 137504, 137806, 137892, 138395, 140052, 140319, 141664, 142373, 145219, 145230, 145875, 145974, 146201, 147896, 149249, 149358, 152806, 152992, 153604, 156003, 156590, 156634, 157047, 157180, 160378, 160433, 165377, 166603, 166939, 168797, 169695, 170102, 170455, 170744, 173968, 175059, 175958, 176187, 176549, 176862, 177783, 178316, 179210, 180415, 182028, 183140, 183182, 183978, 184841, 188482, 189043, 189535, 192639, 193677, 193871, 195105, 195200, 197038, 197718, 198525, 199022, 199285, 199966, 201253, 206078, 208332, 209033, 209988, 210355, 212363, 214446, 214517, 217342, 221216, 222676, 222847, 223318, 225819, 227151, 228989, 229076, 230980, 231496, 232553, 235302, 236734, 237940, 238365, 238557, 240304, 240947, 241017, 241604, 242201, 244827, 245407, 247304, 248473, 249449, 249715, 249926, 250387, 253749, 256229, 257398, 257663, 260419, 260993, 261384, 264105, 264688, 264832, 266488, 269982, 270370, 270415, 271265, 272436, 273854, 274391, 274761, 275684, 278479, 281584, 282802, 283016, 284033, 284434, 285137, 286215, 287867, 288120, 288846, 289106, 289819, 289967, 290089, 290249, 290588, 292347, 293947, 293992, 294552, 295946, 296137, 298368, 298450, 299262, 303715, 304332, 304901, 305001, 306030, 306607, 307559, 307895, 312179, 312877, 313128, 313650, 313925, 314153, 314863, 315762, 316182, 316273, 316705, 317424, 317641, 317644, 318476, 319317, 319861, 321172, 321672, 322207, 322395, 322520, 324104, 324679, 326598, 327610, 328876, 329514, 330312, 331316, 332850, 333530, 333924, 335124, 336381, 336514, 336730, 337386, 339159, 339606, 340350, 342376, 342550, 342654, 343385, 344551, 344704, 347476, 349288, 350390, 350593, 350647, 350800, 351613, 351686, 352108, 352405, 353337, 353487, 353647, 353820, 353881, 354101, 354730, 355756, 357620, 358331, 358989, 359007, 361812, 361859, 363393, 364658, 365174, 366593, 367291, 368346, 368624, 368969, 369391, 369654, 370861, 371519, 373185, 374511, 375104, 376854, 377365, 378116, 378650, 379133, 380689, 381915, 382271, 382334, 382431, 382537, 383075, 383944, 384782, 385271, 385716, 386377, 387373, 388275, 388999, 389100, 389285, 390756, 392087, 392099, 392200, 392504, 392552, 393334, 394541, 394699, 396609, 397289, 398255, 399114, 402047, 403386, 404325, 404674, 404833, 406484, 407077, 407184, 407270, 408605, 409376, 411179, 412316, 414000, 414193, 415846, 416756, 417022, 418826, 419058, 419573, 419999, 420063, 420415, 420842, 421137, 422329, 422439, 423513, 423574, 424318, 424865, 425424, 425539, 426563, 427096, 427250, 427382, 428048, 428651, 429530, 429719, 431743, 432995, 435091, 435438, 436180, 436333, 438686, 439087, 441047, 441344, 442178, 442439, 443070, 443307, 445247, 445522, 447321, 447368, 448117, 449654, 450235, 450781, 451669, 451909, 452286, 452829, 456892, 457077, 457865, 459802, 459950, 460069, 460228, 460608, 460746, 461803, 461998, 463912, 464167, 467594, 468745, 468967, 469697, 470106, 470147, 470483, 470629, 471260, 472871, 473484, 473698, 473765, 473843, 474358, 474442, 474468, 476957, 477648, 477668, 477918, 478615, 480255, 480899, 481153, 481567, 482969, 483490, 483533, 484493, 486113, 487513, 488149, 488496, 489886, 490096, 490190, 490737, 490873, 491256, 491767, 492469, 493984, 494705, 495580, 496369, 496685, 497579, 499303, 500021, 500312, 500716, 500737, 503953, 504300, 504682, 506019, 506588, 508067, 509370, 510060, 511109, 511601, 512355, 513037, 513907, 514356, 514589, 517115, 517346, 517640, 518439, 518488, 518808, 518911, 519415, 520008, 520071, 520840, 521183, 521461, 521724, 523273, 523545, 524032, 524613, 524648, 525304, 525672, 527840, 528902, 528968, 529696, 529795, 529911, 530414, 531392, 532781, 533301, 535633, 536854, 536971, 539054, 539333, 539813, 543053, 543214, 543323, 543714, 544260, 544783, 545406, 545590, 546552, 548110, 548135, 548715, 548900, 550293, 551892, 552866, 555618, 557472, 557537, 557959, 558271, 560291, 563386, 565366, 565480, 566083, 566222, 566585, 567220, 567649, 569912, 570925, 572129, 573393, 574634, 575826, 576380, 576981, 577041, 577134, 577984, 579243, 579539, 580256, 582270, 583460, 583463, 583814, 584660, 584986, 585340, 585369, 588666, 588675, 590237, 590352, 591687, 592390, 593085, 593137, 594027, 594063, 594535, 598391, 598984, 599279, 600381, 600388, 600449, 601555, 602122, 602466, 602861, 603454, 604625, 604947, 605006, 607784, 608653, 609522, 610037, 610249, 610381, 613840, 614904, 615217, 615241, 616225, 616565, 616689, 617647, 617729, 618311, 620005, 620236, 621048, 621627, 622013, 622027, 622269, 622766, 623440, 624033, 625136, 626070, 640725, 643227, 656000, 667575, 667778, 668634, 668724, 674344, 675528, 675861, 682317, 682984, 687362, 690391, 692982, 693202, 693851, 694502, 705461, 706051, 709656, 714926, 714981, 715296, 715934, 716101, 718468, 719107, 719763, 728815, 733176, 733800, 736980, 738639, 745567, 746930, 747961, 748791, 748989, 751356, 751640, 754357, 754685, 756445, 756856, 756895, 758594, 758624, 758967, 762412, 763217, 765409, 766154, 767398, 768277, 769912, 772088, 778698, 778878, 781591, 783083, 790704, 791569, 866444, 866455, 875101, 877056]",669, ,2017-03-01,35-49,0.0,669,35-49,[]
1,"[120248, 121128, 129748, 164308, 344630]",5, 4132,2017-03-01,50-65,0.0,5,50-65,['LAVAGE 3 PLEIN']
2,"[124990, 140591, 233959, 241319, 266265, 278763, 527643]",7, 6723,2017-03-01,50-65,0.0,7,50-65,['SAN PELLEGRINO  50CL']
3,"[187833, 198513, 518210, 576233]",4, 721,2017-03-01,50-65,0.0,4,50-65,['BD. PAIN CHOCOLAT PAC']
4,"[187833, 518210, 576233]",3, 721 1622,2017-03-01,50-65,0.0,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
5,"[174525, 177528, 383585]",3, 2769,2017-03-01,50-65,0.0,3,50-65,['CHIPS LAYS MAX NATURE 135G']
6,"[261458, 294969, 527643, 536284]",4, 3307,2017-03-01,50-65,0.0,4,50-65,['MEGA VENNOIS PO']
7,"[106150, 159853, 294969, 532721, 540994]",5, 3509,2017-03-01,50-65,0.0,5,50-65,['CRISTALINE 50CL']
8,"[204046, 240409, 346475, 388202, 480061, 488785]",6, 4128,2017-03-01,50-65,0.0,6,50-65,['REC LAVAGE PJE 35U']
9,"[110245, 143947, 235938, 687943]",4, 869,2017-03-01,50-65,0.0,4,50-65,['BD. CROISSANT ECLAT DU TERROIR']
10,"[296939, 309677, 513322, 562319, 622174]",5, 1531,2017-03-01,50-65,0.0,5,50-65,[]
11,"[100715, 470636, 527643, 540247, 584447]",5, 1704,2017-03-01,50-65,0.0,5,50-65,['KIT KAT X 3  124.50']
12,"[100715, 527643, 584447]",3, 1704 1547,2017-03-01,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'SAC BOUTIQUE KRAFT']"
13,"[124990, 383585, 429540, 463457, 466946, 542068]",6, 3275,2017-03-01,50-65,0.0,6,50-65,['SDW CLA JBON BEURRE 125G']
14,"[204029, 278763, 352928, 575459]",4, 1855,2017-03-01,50-65,0.0,4,50-65,['CR SANDWICH CLASSIC']
15,"[140050, 276785, 466946, 586116, 721265]",5, 2362,2017-03-01,50-65,0.0,5,50-65,['EVIAN FREERIDE 75 CL']
16,"[204029, 281486, 348997, 428202, 526400]",5, 2369,2017-03-01,50-65,0.0,5,50-65,['EVIAN 1L PET*']
17,"[101105, 149020, 224522, 557871, 787610]",5, 4104,2017-03-01,50-65,0.0,5,50-65,['LAVAGE 6 PLEIN TARIF']
18,"[245076, 357820, 395817, 594619, 744146]",5, 4137,2017-03-01,50-65,0.0,5,50-65,['REC LAVAGE PJE 97 U']
19,"[178794, 180086, 294969, 649774, 703490]",5, 4632,2017-03-01,50-65,0.0,5,50-65,['NET.JANTE 500ML NEOCLEAN']
20,"[174525, 235938, 243973, 659309]",4, 5929,2017-03-01,50-65,0.0,4,50-65,['COCA COLA ZERO']
21,"[167840, 172560, 356654]",3, 6722,2017-03-01,50-65,0.0,3,50-65,['SAN PELLEGRINO 1L']
22,"[229149, 294969, 470752, 542971]",4, 6894,2017-03-01,50-65,0.0,4,50-65,['LAMPE H7 12V 55W PREMIU']
23,"[180654, 467509, 517642]",3, 10,2017-03-01,50-65,0.0,3,50-65,[]
24,"[173428, 214946, 331214, 338003]",4, 63,2017-03-01,50-65,0.0,4,50-65,[]
25,"[176424, 352928, 437007]",3, 373,2017-03-01,50-65,0.0,3,50-65,['LUN SALADE ACCUEIL']
26,"[235938, 365536, 613049]",3, 1045,2017-03-01,50-65,0.0,3,50-65,['BD SDW LE LYONNAIS']
27,"[343449, 364804, 422405, 516709]",4, 2134,2017-03-01,50-65,0.0,4,50-65,['TW  LAVE GLACE H 4L']
28,"[204029, 286729, 525249]",3, 687 1615,2017-03-01,50-65,0.0,3,50-65,"['CR BADOIT BTLL', 'CR FLAN NATURE']"
29,"[111738, 140423, 204029, 278763, 286729, 525249]",6, 687,2017-03-01,50-65,0.0,6,50-65,['CR BADOIT BTLL']
30,"[157573, 223363, 296110, 400374, 457187, 469830, 525118, 623497]",8, 4101,2017-03-01,50-65,0.0,8,50-65,['LAVAGE 4 PLEIN']
31,"[295946, 316273, 620005]",3, 5468,2017-03-01,35-49,0.0,3,35-49,['KIT KAT CHUNKY DUO 70G']
32,"[182028, 535633, 616225]",3, 5529,2017-03-01,35-49,0.0,3,35-49,"[""M&M'S CACAHUETES 400G""]"
33,"[317644, 443307, 476957]",3, 5624,2017-03-01,35-49,0.0,3,35-49,['MMS PEANUT JNE 200G']
34,"[222676, 478615, 493984]",3, 5763,2017-03-01,35-49,0.0,3,35-49,['PRINGLES HOT&SPICY 40G']
35,"[201253, 238365, 496369]",3, 5827,2017-03-01,35-49,0.0,3,35-49,['LU PIMS ORANGE 150G']
36,"[240304, 474358, 577984]",3, 5920,2017-03-01,35-49,0.0,3,35-49,['MINUTE MAID TROPIC. 33CL']
37,"[100203, 100615, 100715, 100977, 101105, 101749, 103101, 103662, 103799, 103904, 104142, 104293, 104518, 105769, 106150, 106410, 106717, 107174, 107250, 107463, 108301, 109767, 109910, 110245, 111738, 111800, 111890, 112051, 112161, 113036, 113270, 113324, 113350, 113425, 114176, 114449, 114719, 118478, 118554, 118861, 120248, 121128, 121147, 121672, 121730, 121780, 122194, 122584, 122953, 123314, 123358, 123618, 123949, 124073, 124397, 124990, 125579, 125615, 125798, 126482, 126551, 126962, 127376, 128265, 128523, 129390, 129748, 130532, 131014, 131402, 134473, 134631, 137677, 137982, 138325, 138419, 138794, 139038, 140050, 140423, 140591, 140784, 141207, 141231, 143488, 143947, 146263, 146481, 147333, 147495, 148182, 148277, 149020, 151531, 152370, 152824, 153168, 153358, 153534, 154662, 156950, 157310, 157573, 158388, 158802, 159082, 159853, 160962, 161105, 161721, 162167, 164308, 165568, 165785, 167694, 167840, 168144, 169402, 169447, 170198, 170729, 172560, 173428, 174525, 174735, 175030, 176424, 176750, 177373, 177528, 177933, 178794, 178862, 179934, 180086, 180172, 180654, 181624, 183542, 185625, 185724, 186625, 186738, 187833, 188754, 189915, 191307, 191561, 192627, 193388, 194762, 195864, 195953, 197394, 198513, 198623, 199673, 199937, 199984, 200564, 200853, 202473, 204029, 204046, 204060, 204764, 205793, 206077, 206673, 207287, 208744, 211149, 211581, 211672, 212415, 213211, 213461, 214946, 215614, 215849, 220201, 220424, 221900, 222403, 222969, 223363, 224478, 224522, 224901, 225855, 226481, 227535, 228704, 228856, 229149, 233072, 233959, 234017, 235183, 235938, 236608, 237181, 237287, 238581, 238881, 239412, 239835, 240409, 240683, 241319, 242000, 242142, 242148, 243854, 243973, 244198, 245059, 245076, 245144, 245775, 246323, 247754, 249024, 250116, 250180, 251141, 251428, 251719, 251775, 251826, 252901, 254094, 254276, 254833, 255658, 256540, 256648, 257154, 258413, 258511, 258658, 258896, 260630, 261240, 261443, 261458, 261658, 262091, 262911, 263990, 264230, 264526, 265739, 266265, 267200, 267277, 267304, 269187, 269492, 269544, 269708, 270220, 270422, 270517, 271553, 271640, 271964, 272097, 272123, 272184, 272307, 272341, 272441, 273010, 273658, 273694, 274001, 274124, 274316, 274892, 274953, 275937, 276369, 276785, 277799, 278763, 281206, 281486, 282188, 282462, 283194, 285334, 285995, 286729, 287468, 287608, 287610, 288466, 288714, 289938, 290288, 290616, 291218, 291453, 292710, 293120, 293771, 294269, 294568, 294969, 295538, 296036, 296110, 296181, 296939, 298548, 299417, 299540, 299637, 301402, 301967, 302343, 302379, 304012, 304549, 306323, 307966, 308866, 309677, 310155, 310761, 315247, 315397, 315695, 315727, 316895, 318991, 319196, 321127, 321596, 322977, 325354, 325765, 326332, 326404, 327351, 328086, 331082, 331214, 338003, 338762, 340209, 340678, 341101, 341903, 343449, 344630, 344660, 344702, 344944, 345108, 345616, 345758, 346475, 347715, 348211, 348380, 348948, 348997, 352928, 355952, 356654, 357134, 357820, 362274, 363005, 363692, 364367, 364804, 365536, 366154, 366834, 368080, 369549, 369769, 371266, 371559, 372225, 372272, 372572, 373648, 373931, 375108, 375197, 375557, 376847, 378833, 379576, 380131, 380829, 382160, 383055, 383172, 383585, 384135, 385319, 385584, 385713, 387101, 388202, 389556, 392562, 392807, 395817, 398652, 398681, 400374, 401971, 404047, 406437, 407441, 408037, 409076, 412376, 413059, 414823, 416080, 418815, 422405, 422778, 422794, 423037, 426000, 427626, 428202, 429540, 430423, 431316, 432924, 435551, 436854, 437007, 438350, 439384, 443524, 444295, 444802, 447013, 448379, 450205, 451209, 452375, 453036, 454219, 454494, 457187, 459432, 460771, 460815, 461571, 462236, 463457, 464331, 464605, 464868, 466147, 466946, 467509, 467878, 468396, 468551, 469008, 469830, 470636, 470752, 470762, 472393, 472602, 474879, 475454, 476951, 479396, 480061, 481492, 482919, 484230, 484910, 485168, 488754, 488785, 490090, 490639, 491014, 493696, 496594, 497772, 498334, 500915, 505184, 506445, 508797, 509964, 511024, 513322, 515329, 516054, 516709, 516884, 517642, 518210, 518902, 519059, 519887, 520056, 521161, 521769, 521885, 523013, 524786, 525118, 525249, 526400, 527643, 528757, 531393, 532721, 534063, 534226, 534673, 535047, 535224, 535231, 536284, 538133, 540091, 540247, 540476, 540994, 541417, 542068, 542277, 542971, 545082, 545337, 547386, 549005, 551178, 551228, 552972, 554567, 555432, 555806, 555845, 557871, 557999, 558940, 559445, 561615, 562319, 563834, 563868, 566430, 567637, 568859, 569279, 569508, 570365, 572676, 572850, 573796, 575459, 576233, 580458, 580580, 584447, 585071, 586116, 588437, 594619, 594666, 596702, 600505, 600515, 604433, 604581, 604772, 605319, 605523, 606281, 606834, 607388, 608366, 613049, 613132, 613209, 616311, 616924, 620225, 621494, 622174, 623204, 623497, 623541, 624179, 627182, 644578, 649774, 651436, 653959, 657123, 659309, 661827, 666558, 668617, 670760, 675734, 685231, 685988, 686704, 686964, 687943, 697503, 698572, 703490, 715263, 720797, 721265, 721420, 722124, 723962, 728393, 730072, 730652, 733146, 733528, 733908, 737348, 740276, 744146, 746079, 752568, 752912, 758591, 759628, 768959, 777544, 777614, 787610]",648, ,2017-03-01,50-65,0.0,648,50-65,[]
38,"[101749, 106410, 107463, 111890, 114449, 121730, 125579, 129390, 134631, 140784, 146263, 147333, 147495, 153358, 157310, 169447, 177933, 195864, 200564, 205793, 206673, 221900, 236608, 237181, 239835, 249024, 251428, 251719, 255658, 256540, 257154, 258658, 261240, 264230, 267277, 271640, 271964, 272184, 272307, 272341, 274316, 274953, 277799, 285995, 287608, 290616, 296181, 299637, 307966, 308866, 315727, 321596, 325354, 327351, 328086, 331082, 348380, 364804, 371266, 373648, 373931, 379576, 383055, 406437, 409076, 416080, 426000, 427626, 432924, 436854, 462236, 468396, 470752, 481492, 484230, 490639, 515329, 516884, 520056, 521769, 523013, 534226, 535047, 535224, 540476, 545082, 569508, 570365, 604433, 606281, 608366, 613209, 616311, 621494, 623541, 627182, 649774, 653959, 657123, 670760, 685988, 686964, 703490, 721420, 730652]",105, 4126,2017-03-01,50-65,0.0,105,50-65,['RECHARGE LAVAGE']
