,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[112041, 156003, 377365, 490190, 550293, 756856]",6, 4125 4126,2017-03-01,35-49,0.0,6,35-49,"['MINI POSTER ABE', 'MINI POSTER MUL']"
1,"[565366, 574634, 622013, 751356, 754685]",5, 3510 263,2017-03-01,35-49,0.0,5,35-49,['ORANGINA 50CL']
2,"[428202, 471775, 521885, 548624, 584447]",5, 264 263,2017-04-01,50-65,0.029411764705882353,5,50-65,['REMISE BUS AUTOROUTE 9\x80']
3,"[428202, 518871, 531393, 535929, 548624, 908778]",6, 1547 263,2017-04-01,50-65,0.029411764705882353,6,50-65,[]
4,"[122584, 187833, 239757, 449488, 464331, 604098]",6, 2797 163,2017-04-01,50-65,0.029411764705882353,6,50-65,[]
5,"[173033, 173559, 205440, 218106, 265391, 536074, 606450]",7, 4125 4126,2017-04-01,50-65,0.029411764705882353,7,50-65,"['MINI POSTER ABE', 'MINI POSTER MUL']"
6,"[151893, 186974, 327179, 541273, 794978]",5, 2946 4126,2017-04-01,50-65,0.029411764705882353,5,50-65,['MINI POSTER ABE']
7,"[555714, 610249, 616225, 622027, 754685]",5, 264 602,2017-04-01,35-49,0.029411764705882353,5,35-49,['REMISE BUS AUTOROUTE 9\x80']
8,"[152806, 184838, 342376, 428148, 472871, 604625, 911475]",7, 2946 4126,2017-04-01,35-49,0.029411764705882353,7,35-49,['MINI POSTER ABE']
9,"[110899, 235462, 292347, 427096, 460228, 592390, 663289]",7, 2797 163,2017-04-01,35-49,0.029411764705882353,7,35-49,[]
11,"[240562, 348380, 351763, 354659, 416080, 419944]",6, 2969 4126,2017-05-01,50-65,0.058823529411764705,6,50-65,"['MAXI CHEESE X1', 'MINI POSTER ABE']"
12,"[476509, 579001, 589515, 599235, 612518, 794535]",6, 2969 4126,2017-05-01,<35,0.058823529411764705,6,<35,"['MAXI CHEESE X1', 'MINI POSTER ABE']"
13,"[173319, 297431, 331822, 339524, 374383, 487374, 570365]",7, 4112 2797,2017-05-01,50-65,0.058823529411764705,7,50-65,[]
15,"[363692, 421070, 526400, 535929, 535942, 552972, 584447, 908778]",8, 1547 263,2017-05-01,50-65,0.058823529411764705,8,50-65,[]
16,"[298776, 328086, 339524, 363005, 437007, 512483]",6, 2968 2797,2017-05-01,50-65,0.058823529411764705,6,50-65,['CHEESE BURGER 1']
18,"[179113, 457077, 479054, 531554, 600101]",5, 5941 4126,2017-05-01,35-49,0.058823529411764705,5,35-49,['MINI POSTER ABE']
19,"[294115, 619437, 622027, 622586, 751356, 840055]",6, 1547 263,2017-05-01,35-49,0.058823529411764705,6,35-49,[]
