,user_ids,support,itemsets,period,property_values,depth,size,DEPARTEMENT
0,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-03-01,78,0.0,5,78
1,[584447 610249 622027 752568 754685],5, 18064205 6033,2017-03-01,78,0.0,5,78
2,[519887 521885 565366 584447 622027 752568 754685],7, 6033 6026,2017-03-01,78,0.0,7,78
3,[565366 574634 584447 602649 735292 751356 752568 758594 761107],9, 13600075 6026,2017-03-01,78,0.0,9,78
4,"[428202 518871 531393 535929 548624 555714 574634 602649 735292 758594
 761107 849812 908778]",13, 13600075 6026,2017-04-01,78,0.03125,13,78
5,[428202 471775 519469 521885 548624 555714 584447 622027],8, 6033 6026,2017-04-01,78,0.03125,8,78
6,"[294115 363692 421070 535929 535942 552972 584447 619437 622027 622586
 735292 751356 758595 761107 840055 908778]",16, 13600075 6026,2017-05-01,78,0.0625,16,78
7,[555714 565366 584447 622027 754685],5, 3450013 6033,2017-06-01,78,0.09375,5,78
8,[348261 584447 619437 749414 754772 761107 849812 902696 908778 923572],10, 13600075 6026,2017-06-01,78,0.09375,10,78
9,[519885 555714 565366 584447 622027],5, 6033 6026,2017-06-01,78,0.09375,5,78
10,[519885 555714 565366 584447 610249 754685 761107 849812 908778],9, 6027 6026,2017-07-01,78,0.125,9,78
11,[349380 399087 505859 553832 578639 715341],6, 7476355 6033 6026,2017-07-01,78,0.125,6,78
12,[286391 565366 584447 610249 754685 849812 908778 964970],8, 3450013 6026,2017-07-01,78,0.125,8,78
13,[279525 286391 610249 964970 971894],5, 3450013 6033,2017-07-01,78,0.125,5,78
14,[565366 584447 610249 622027 754685 849812 908778],7, 6027 3450013,2017-07-01,78,0.125,7,78
15,[565366 584447 610249 754685 849812 908778],6, 6027 3450013 6026,2017-07-01,78,0.125,6,78
16,[286391 519469 519885 521191 535929 752568 754685 761107 840055 957240],10, 13600075 6026,2017-07-01,78,0.125,10,78
17,[349380 399087 471775 519887 521183 542073 545984 578639 612925 971894],10, 7445935 6033,2017-07-01,78,0.125,10,78
20,[131005 348255 349380 471775 536334 553832],6, 5401004 6033,2017-07-01,78,0.125,6,78
21,[286391 349380 471775 521885 536334 971894],6, 5461012 6033,2017-07-01,78,0.125,6,78
22,[349380 471775 489055 516496 536334],5, 5461012 5401004,2017-07-01,78,0.125,5,78
23,[134151 400722 489055 553832 715341],5, 7892095 7476355,2017-07-01,78,0.125,5,78
24,[349380 399087 400722 468837 505859 542073 553832 578639 715341 971894],10, 7476355 6033,2017-07-01,78,0.125,10,78
25,[349380 399087 505859 553832 578639 715341 754685],7, 7476355 6026,2017-07-01,78,0.125,7,78
