,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
0,[565366 574634 584447 602649 735292 751356 752568 758594 761107],9, 13600075 6026,2017-03-01,COCO,0.0,9,COCO
1,[519887 521885 565366 584447 622027 752568 754685],7, 6033 6026,2017-03-01,COCO,0.0,7,COCO
2,[584447 610249 622027 752568 754685],5, 6033 18064205,2017-03-01,COCO,0.0,5,COCO
3,[187833 518210 565366 576233 603204 624033],6, 4190175 19419902,2017-03-01,COCO,0.0,6,COCO
4,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-03-01,COCO,0.0,5,COCO
5,[428202 602649 616225 622027 752568],5, 6027 6026,2017-03-01,COCO,0.0,5,COCO
6,"[428202 518871 531393 535929 548624 555714 574634 602649 735292 758594
 761107 849812 908778]",13, 13600075 6026,2017-04-01,COCO,0.0018450184501845018,13,COCO
7,[428202 471775 519469 521885 548624 555714 584447 616225 622027],9, 6033 6026,2017-04-01,COCO,0.0018450184501845018,9,COCO
8,[555714 610249 616225 622027 754685],5, 3450013 6033,2017-04-01,COCO,0.0018450184501845018,5,COCO
9,[602649 610365 616225 622027 908778],5, 6027 6026,2017-04-01,COCO,0.0018450184501845018,5,COCO
10,"[294115 363692 421070 526400 535929 535942 552972 584447 619437 622027
 622586 735292 751356 758595 761107 840055 908778]",17, 13600075 6026,2017-05-01,COCO,0.0036900369003690036,17,COCO
11,[342120 489055 594666 714833 758595 776745 788356],7, 4190175 19419902,2017-05-01,COCO,0.0036900369003690036,7,COCO
12,[584447 616225 622027 734723 908778 913872],6, 6027 6026,2017-05-01,COCO,0.0036900369003690036,6,COCO
13,"[348261 415279 526400 584447 610037 619437 749414 754772 761107 849812
 902696 908778 923572]",13, 13600075 6026,2017-06-01,COCO,0.005535055350553505,13,COCO
14,[519885 555714 565366 584447 616225 622027 828469],7, 6033 6026,2017-06-01,COCO,0.005535055350553505,7,COCO
16,[555714 565366 584447 622027 734723 828469],6, 3450013 6026,2017-06-01,COCO,0.005535055350553505,6,COCO
17,[555714 565366 584447 622027 754685 828469],6, 3450013 6033,2017-06-01,COCO,0.005535055350553505,6,COCO
18,[555714 565366 584447 622027 828469],5, 3450013 6033 6026,2017-06-01,COCO,0.005535055350553505,5,COCO
19,[616225 622013 622027 734723 828469 849812 908778],7, 6027 6026,2017-06-01,COCO,0.005535055350553505,7,COCO
20,"[110899 244827 270220 271779 296486 314647 421137 427096 432305 464331
 573259 602580 616689 681522 739860 751640]",16, 451 12520039,2017-07-01,COCO,0.007380073800738007,16,COCO
21,"[138296 258366 314647 330295 335918 447294 453193 597096 622143 660059
 681522]",11, 2000 12520039,2017-07-01,COCO,0.007380073800738007,11,COCO
22,"[286391 349380 399087 428202 471775 505859 553832 578639 610249 616225
 715341 734723 828469 958765 964970]",15, 6033 6026,2017-07-01,COCO,0.007380073800738007,15,COCO
23,"[286391 565366 584447 610249 616225 734723 754685 849812 908778 913872
 964970]",11, 3450013 6026,2017-07-01,COCO,0.007380073800738007,11,COCO
24,[279525 286391 610249 616225 734723 964970 971894],7, 3450013 6033,2017-07-01,COCO,0.007380073800738007,7,COCO
25,[286391 610249 616225 734723 964970],5, 3450013 6033 6026,2017-07-01,COCO,0.007380073800738007,5,COCO
26,"[286391 415279 519469 519885 521191 535929 610037 734723 752568 754685
 761107 828469 840055 957240]",14, 13600075 6026,2017-07-01,COCO,0.007380073800738007,14,COCO
27,"[519885 555714 565366 584447 610249 695135 734723 754685 761107 849812
 908778 913872]",12, 6027 6026,2017-07-01,COCO,0.007380073800738007,12,COCO
28,[565366 584447 610249 622027 734723 754685 849812 908778 913872],9, 6027 3450013,2017-07-01,COCO,0.007380073800738007,9,COCO
29,[565366 584447 610249 734723 754685 849812 908778 913872],8, 6027 3450013 6026,2017-07-01,COCO,0.007380073800738007,8,COCO
30,[349380 399087 471775 578639 695135],5, 7445935 6026,2017-07-01,COCO,0.007380073800738007,5,COCO
31,[349380 399087 471775 519887 521183 542073 545984 578639 612925 971894],10, 7445935 6033,2017-07-01,COCO,0.007380073800738007,10,COCO
32,[372970 576608 626162 872971 874415],5, 19419902 12520039,2017-07-01,COCO,0.007380073800738007,5,COCO
33,[349380 399087 505859 553832 578639 715341 754685],7, 7476355 6026,2017-07-01,COCO,0.007380073800738007,7,COCO
34,[349380 399087 400722 468837 505859 542073 553832 578639 715341 971894],10, 7476355 6033,2017-07-01,COCO,0.007380073800738007,10,COCO
