,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
0,"[121128, 142122, 195864, 307536, 317089, 318300, 341173, 428148, 450623, 482512, 542513]",11, 1482 1487,2018-04-01,M,0.0,11,M,['BDG ECLAIR CHOCOLAT']
1,"[317089, 341173, 346289, 462727, 544950]",5, 116 1487,2018-04-01,M,0.0,5,M,[]
2,"[752568, 913872, 953725, 1037646]",4, 1578 87,2018-04-01,M,0.0,4,M,[]
3,"[428148, 609205, 734117, 964983]",4, 115 1487,2018-04-01,M,0.0,4,M,[]
4,"[416219, 953725, 963615]",3, 88 146,2018-04-01,M,0.0,3,M,[]
5,"[953725, 963615, 971894]",3, 88 87,2018-04-01,M,0.0,3,M,[]
6,"[231859, 459345, 460697, 536669]",4, 2031 1486,2018-04-01,M,0.0,4,M,"['ARIZONA STRAWBERRY LEMON 500ML', 'BDG TARTELETTE FRAISES']"
7,"[199034, 296815, 520059]",3, 2031 1487,2018-04-01,M,0.0,3,M,['ARIZONA STRAWBERRY LEMON 500ML']
8,"[913872, 971894, 1007975]",3, 1940 87,2018-04-01,M,0.0,3,M,[]
9,"[250204, 752568, 1037646]",3, 1578 482,2018-04-01,M,0.0,3,M,[]
10,"[752568, 1014685, 1036452]",3, 497 87,2018-04-01,M,0.0,3,M,[]
11,"[468837, 752568, 1007975, 1037646]",4, 482 87,2018-04-01,M,0.0,4,M,[]
12,"[272301, 302709, 570060]",3, 1486 1053,2018-04-01,M,0.0,3,M,['BDG TARTELETTE FRAISES']
13,"[171799, 428148, 456040, 588268]",4, 1486 1482,2018-04-01,M,0.0,4,M,"['BDG ECLAIR CHOCOLAT', 'BDG TARTELETTE FRAISES']"
14,"[428148, 553151, 897112, 1087105]",4, 1486 1487,2018-04-01,M,0.0,4,M,['BDG TARTELETTE FRAISES']
15,"[130640, 185934, 197591, 211606, 269567, 316591, 462697, 518075, 530055, 1025269, 1034684]",11, 1053 1482,2018-04-01,M,0.0,11,M,['BDG ECLAIR CHOCOLAT']
16,"[346289, 543323, 607089, 827344]",4, 1053 1487,2018-04-01,M,0.0,4,M,[]
17,"[101763, 347161, 453671]",3, 222 557,2018-04-01,M,0.0,3,M,[]
18,"[578639, 619437, 1007975]",3, 904 87,2018-04-08,M,0.25,3,M,[]
19,"[128561, 332432, 333183, 366033, 615570, 1027715]",6, 115 1487,2018-04-08,M,0.25,6,M,[]
20,"[134483, 416795, 691544]",3, 1840 1848,2018-04-08,M,0.25,3,M,"['CR COOKIE DOUBLE CHOCOLAT 103 GR', 'MINUTE MAID ORA']"
