source,target,user_id,label
0,1,[432898],SG
0,2,[264679],SG
0,3,"[149886, 176750, 226924, 273864, 288714, 303696, 472947, 913899, 923982]",SG
1,3,[432898],SG
0,8,[474879],SG
3,8,"[149886, 215374, 288714, 303696, 343202, 432898, 472947, 516389, 913899]",SG
4,8,[923982],SG
5,8,[226924],SG
6,8,"[176750, 915090]",SG
0,11,[301967],SG
4,11,"[132519, 180230, 205800, 273864, 312415]",SG
5,11,[132519],SG
6,11,"[273864, 355812]",SG
7,11,"[438114, 711978]",SG
9,11,"[147391, 188309, 188588, 280880, 465308, 866133, 911734, 997163]",SG
10,11,"[131516, 717621, 866133]",SG
0,12,[317586],SG
3,12,[468551],SG
4,12,[273864],SG
5,12,[264679],SG
6,12,[273864],SG
7,12,"[288714, 923982]",SG
8,12,"[149886, 215374, 226924, 226985, 288714, 472947, 626547, 913899, 923982]",SG
9,12,[176750],SG
0,16,[223109],SG
4,16,"[106174, 465004]",SG
5,16,"[106174, 465004]",SG
7,16,"[402831, 820248]",SG
9,16,[285090],SG
11,16,"[188588, 465308, 717621, 911734]",SG
12,16,"[116517, 215374, 423611]",SG
13,16,"[717621, 911734]",SG
14,16,[478530],SG
0,19,"[146032, 178285, 223109]",SG
3,19,"[150269, 278491]",SG
4,19,[465004],SG
5,19,[465004],SG
8,19,"[303696, 343202]",SG
11,19,[273864],SG
12,19,"[116517, 149886, 176750, 215374, 226924, 273864, 317586, 423611, 468551, 538133, 626547, 913899, 923982]",SG
13,19,[149886],SG
0,21,[580829],SG
5,21,[365367],SG
7,21,[598886],SG
8,21,[266177],SG
9,21,"[209276, 345624]",SG
11,21,"[273864, 301967, 911734]",SG
12,21,"[273864, 317586]",SG
13,21,"[423878, 805158, 911734]",SG
14,21,[476566],SG
1,4,"[132519, 221900, 465308]",SG
2,4,"[221900, 274953, 280880, 476566]",SG
3,4,"[273864, 923982]",SG
1,5,"[114932, 132519, 332635, 574109]",SG
2,5,"[200898, 264679]",SG
3,5,[226924],SG
1,6,"[221900, 285090, 355812]",SG
2,6,"[221900, 280880]",SG
3,6,"[176750, 273864]",SG
1,7,"[251114, 397953, 438114, 866133]",SG
2,7,"[355661, 478530, 866133]",SG
3,7,[288714],SG
4,7,"[262442, 274953, 412666, 476566, 530327, 598886, 711978, 923982]",SG
6,7,"[120286, 390199, 598886, 915090]",SG
1,10,[717621],SG
2,10,"[482512, 534619]",SG
4,10,[957568],SG
5,10,"[195808, 332635, 957568]",SG
7,10,"[131516, 231893, 274953, 355661, 478530, 866133, 915090]",SG
8,10,[915090],SG
2,9,[482512],SG
4,9,"[147391, 280880, 345624, 465308, 835363]",SG
5,9,"[188309, 332635]",SG
6,9,"[147391, 280880, 285090, 835363]",SG
7,9,"[188588, 866133, 911734, 997163]",SG
8,9,[176750],SG
2,14,[498303],SG
4,14,[132519],SG
5,14,"[132519, 264679]",SG
7,14,[476566],SG
9,14,"[108228, 866133]",SG
10,14,"[115022, 478530, 534619, 866133, 1005767, 1059459]",SG
2,15,[145478],SG
4,15,[460243],SG
6,15,[460243],SG
7,15,[417444],SG
9,15,[482512],SG
10,15,"[231893, 274953, 355661, 482512]",SG
