source,target,user_id,label
0,48,187833,4
0,173,427250,4
44,173,"270220, 314647, 427096, 573259, 602580, 616689, 739860, 751640",4
47,173,314647,4
48,173,187833,4
51,173,118478,4
142,173,"903640, 957469",4
143,173,"110899, 425954, 464331, 903640, 957469",2
1,26,622027,4
2,26,"622027, 754685",4
4,26,"622027, 754685",4
5,26,622027,4
6,26,"622027, 754685",4
7,26,"555714, 565366",4
8,26,"555714, 565366",4
9,26,"555714, 565366, 622027, 754685",4
10,26,"555714, 565366, 761107",4
11,26,622027,4
1,30,622027,4
2,30,"622027, 754685",4
4,30,"622027, 754685",4
5,30,622027,4
6,30,"622027, 754685",4
7,30,"555714, 565366",4
8,30,"555714, 565366",4
9,30,"555714, 565366, 622027, 754685",4
10,30,"555714, 565366",4
11,30,622027,4
1,31,752568,4
2,31,"752568, 754685",4
4,31,"752568, 754685",4
5,31,"471775, 752568",4
6,31,"752568, 754685",4
7,31,752568,4
8,31,752568,4
9,31,"471775, 752568, 754685",4
10,31,752568,4
11,31,"471775, 752568",4
1,32,263990,4
1,33,622027,4
2,33,"622027, 754685",4
4,33,"622027, 754685",4
5,33,622027,4
6,33,"622027, 754685",4
7,33,555714,4
8,33,555714,4
9,33,"555714, 622027, 754685",4
10,33,"555714, 849812",4
11,33,622027,4
1,43,752568,4
2,43,"752568, 754685",4
4,43,"752568, 754685",4
5,43,"471775, 752568",4
6,43,"752568, 754685",4
7,43,752568,4
8,43,752568,4
9,43,"471775, 752568, 754685",4
10,43,752568,4
11,43,"471775, 752568",4
1,52,622027,4
2,52,"428202, 622027, 754685",4
3,52,610249,4
4,52,"584447, 622027, 754685",4
5,52,"471775, 622027",4
6,52,"584447, 610249, 622027, 754685",2
7,52,"428202, 555714, 565366, 584447",4
8,52,"428202, 555714, 565366, 584447",4
9,52,"428202, 471775, 555714, 565366, 584447, 622027, 754685",4
10,52,"428202, 555714, 565366, 584447",4
11,52,"471775, 622027",4
1,53,"622027, 752568",4
2,53,"622027, 752568, 754685",4
4,53,"584447, 622027, 752568, 754685",2
5,53,"471775, 622027, 752568",4
6,53,"584447, 622027, 752568, 754685",2
7,53,"584447, 752568",4
8,53,"363692, 584447, 752568",4
9,53,"471775, 519469, 584447, 622027, 752568, 754685",4
10,53,"535929, 584447, 735292, 752568, 761107, 849812",4
11,53,"471775, 622027, 752568",4
1,54,622027,4
2,54,"622027, 754685",4
4,54,"584447, 622027, 754685",4
5,54,"471775, 622027",4
6,54,"584447, 622027, 754685",4
7,54,584447,4
8,54,584447,4
9,54,"471775, 584447, 622027, 754685",4
10,54,584447,4
11,54,"471775, 622027",4
1,60,622027,4
2,60,"622027, 754685",4
4,60,"584447, 622027, 754685",4
5,60,622027,4
6,60,"584447, 622027, 754685",4
7,60,584447,4
8,60,584447,4
9,60,"584447, 622027, 754685",4
