source,target,user_id,label
0,787,"[324441, 450658, 592510]",SG
38,787,[1139056],SG
163,787,[1157557],SG
317,787,[1157557],SG
347,787,[1157557],SG
367,787,[240683],SG
403,787,[1139056],SG
456,787,[101105],SG
493,787,"[480899, 592510, 1157557]",SG
494,787,[592510],SG
495,787,[480899],SG
496,787,[480899],SG
500,787,[1157557],SG
513,787,[480899],SG
515,787,"[209038, 480899, 1115415, 1160772]",SG
517,787,[480899],SG
519,787,[199984],SG
523,787,"[199984, 450658]",SG
524,787,[450658],SG
526,787,[199984],SG
528,787,[324441],SG
529,787,[324441],SG
533,787,[1157557],SG
547,787,[592510],SG
550,787,"[199984, 209038, 240683, 323051, 478604, 480899, 778698, 955120, 1236845]",SG
552,787,"[209038, 480899]",SG
581,787,[592510],SG
582,787,[592510],SG
685,787,"[124784, 521161, 1236845]",SG
696,787,"[592510, 1160772]",SG
697,787,[592510],SG
0,788,[133892],SG
7,788,[347996],SG
104,788,[1099947],SG
277,788,[133892],SG
429,788,[150817],SG
432,788,[150817],SG
467,788,[376513],SG
491,788,[347996],SG
493,788,"[287608, 347996, 1029030]",SG
495,788,[1029030],SG
499,788,"[287608, 347996]",SG
500,788,[347996],SG
501,788,"[150817, 274199, 287308, 288642, 493464, 922200, 1099947, 1212318]",SG
503,788,[150817],SG
505,788,[1099947],SG
508,788,[493464],SG
513,788,"[150817, 355203, 1029030, 1150209]",SG
519,788,"[133892, 612518, 1099947]",SG
520,788,[133892],SG
523,788,[133892],SG
524,788,[133892],SG
526,788,[133892],SG
527,788,[133892],SG
528,788,"[287608, 307966, 347996]",SG
533,788,"[347996, 493464]",SG
538,788,[1212318],SG
540,788,[409352],SG
542,788,[409352],SG
543,788,"[347996, 355203, 409352]",SG
545,788,[355203],SG
548,788,[347996],SG
550,788,[955120],SG
558,788,[347996],SG
574,788,[409352],SG
581,788,[1212318],SG
662,788,[1215438],SG
772,788,[1215438],SG
0,789,"[105498, 131514, 133892, 173319, 275401, 300450, 314138, 329426, 338042, 376854, 528757, 657916, 1046200]",SG
8,789,[449166],SG
39,789,[1058591],SG
52,789,[105769],SG
55,789,[893080],SG
65,789,[124464],SG
81,789,[1058591],SG
123,789,[893080],SG
145,789,[1058591],SG
151,789,[1058591],SG
190,789,[1058591],SG
192,789,[1058591],SG
203,789,[1058591],SG
223,789,[1058591],SG
238,789,[757634],SG
249,789,[124464],SG
251,789,[1058591],SG
269,789,[1058591],SG
277,789,[133892],SG
311,789,[1058591],SG
327,789,[449166],SG
342,789,[1058591],SG
382,789,[1058591],SG
384,789,[893080],SG
392,789,[600467],SG
396,789,"[449166, 1058591]",SG
397,789,[1058591],SG
398,789,[1058591],SG
429,789,[130532],SG
488,789,[1058591],SG
489,789,[300450],SG
491,789,[1044582],SG
492,789,[1058591],SG
