source,target,user_id,label
0,2313,"[157573, 252901, 255972, 302471, 369359, 387325, 462697, 509386, 552846, 560373, 576975, 595074, 622767, 657916, 741468, 879166, 1068315]",SG
11,2313,"[157573, 252901, 255972, 302471, 369359, 387325, 462697, 509386, 552846, 560373, 576975, 595074, 622767, 657916, 741468, 879166, 1068315]",SG
12,2313,"[136996, 275145, 462697]",SG
13,2313,[462697],SG
14,2313,"[252901, 329769, 622767, 999728, 1068315, 1168259]",SG
16,2313,"[252901, 622767, 1068315]",SG
36,2313,"[129105, 157573, 255972, 325217, 387325, 401082, 606739, 657916, 741468, 1038955]",SG
39,2313,"[255972, 657916]",SG
40,2313,"[255972, 657916]",SG
42,2313,[552846],SG
43,2313,"[255972, 552846, 657916]",SG
44,2313,"[255972, 552846]",SG
45,2313,"[129105, 387325, 401082, 595074, 1111303]",SG
46,2313,"[387325, 595074]",SG
50,2313,"[129105, 387325, 401082]",SG
51,2313,[552846],SG
53,2313,"[255972, 552846, 657916]",SG
54,2313,"[270220, 552846, 1166148]",SG
55,2313,"[157573, 255972, 387325, 657916, 741468]",SG
61,2313,[552846],SG
62,2313,"[123801, 270220, 552846, 1166148]",SG
66,2313,"[146208, 255972, 270220, 369359, 499532, 552846, 1166148]",SG
67,2313,"[255972, 369359, 552846]",SG
68,2313,[255972],SG
69,2313,[552846],SG
70,2313,[387325],SG
75,2313,[657916],SG
95,2313,[490858],SG
105,2313,[499532],SG
170,2313,[1121384],SG
207,2313,[1121384],SG
212,2313,[1121384],SG
221,2313,[170729],SG
225,2313,"[129105, 427283, 839435]",SG
229,2313,[129105],SG
232,2313,[129105],SG
235,2313,"[427283, 638210, 657916]",SG
236,2313,[657916],SG
238,2313,[657916],SG
239,2313,[657916],SG
250,2313,[1121384],SG
253,2313,[1111303],SG
257,2313,[1111303],SG
271,2313,[191307],SG
274,2313,[270220],SG
275,2313,[270220],SG
279,2313,[1121384],SG
284,2313,[1121384],SG
319,2313,[270220],SG
325,2313,[252901],SG
332,2313,[490858],SG
344,2313,[252901],SG
345,2313,[252901],SG
385,2313,[270220],SG
416,2313,[252901],SG
418,2313,[252901],SG
425,2313,[252901],SG
429,2313,[1121384],SG
450,2313,[1166148],SG
466,2313,[252901],SG
468,2313,[520071],SG
506,2313,[1042524],SG
544,2313,[499532],SG
628,2313,[252901],SG
632,2313,[520071],SG
634,2313,[499532],SG
647,2313,[1042524],SG
658,2313,[252901],SG
668,2313,[252901],SG
676,2313,[252901],SG
686,2313,[490858],SG
742,2313,[657916],SG
827,2313,[1166148],SG
834,2313,[490858],SG
837,2313,[499532],SG
904,2313,[1166148],SG
909,2313,[189043],SG
916,2313,[1121384],SG
917,2313,[1121384],SG
918,2313,[1121384],SG
923,2313,[1121384],SG
942,2313,[462697],SG
943,2313,[462697],SG
955,2313,[1042524],SG
956,2313,[1121384],SG
957,2313,[1121384],SG
961,2313,[1121384],SG
964,2313,[1121384],SG
966,2313,[1121384],SG
975,2313,[1121384],SG
977,2313,[638210],SG
1020,2313,[252901],SG
1021,2313,[252901],SG
1024,2313,[1121384],SG
1038,2313,[252901],SG
1059,2313,[270220],SG
1100,2313,[490858],SG
1117,2313,[270220],SG
1124,2313,[270220],SG
1146,2313,[446878],SG
1151,2313,[499532],SG
1167,2313,[270220],SG
1175,2313,[499532],SG
1188,2313,[446878],SG
1198,2313,[252901],SG
1200,2313,[252901],SG
1207,2313,[252901],SG
1241,2313,[189043],SG
1254,2313,[1166148],SG
1256,2313,[1121384],SG
1266,2313,[1121384],SG
1267,2313,[270220],SG
1279,2313,[490858],SG
1285,2313,[1121384],SG
1286,2313,[1121384],SG
1302,2313,[1121384],SG
1324,2313,[490858],SG
1410,2313,[270220],SG
1415,2313,[252901],SG
1416,2313,[252901],SG
1417,2313,[252901],SG
1451,2313,[1121384],SG
1461,2313,[1111303],SG
1464,2313,[1111303],SG
1467,2313,[1121384],SG
1468,2313,[129105],SG
1470,2313,[129105],SG
1471,2313,[1121384],SG
1475,2313,[191307],SG
1477,2313,[270220],SG
1478,2313,[270220],SG
1517,2313,[1121384],SG
1521,2313,"[129105, 427283, 839435]",SG
1522,2313,"[146208, 255972, 270220, 369359, 499532, 552846, 1166148]",SG
1523,2313,"[255972, 369359, 552846]",SG
1524,2313,[255972],SG
1525,2313,"[270220, 552846, 1166148]",SG
1526,2313,[552846],SG
1527,2313,"[255972, 552846, 657916]",SG
1529,2313,"[255972, 552846, 657916]",SG
1531,2313,"[255972, 657916]",SG
1532,2313,"[255972, 657916]",SG
1534,2313,[552846],SG
1535,2313,"[255972, 552846]",SG
1537,2313,[552846],SG
1539,2313,[552846],SG
1540,2313,"[136996, 275145, 462697]",SG
1541,2313,[462697],SG
1542,2313,"[252901, 329769, 622767, 999728, 1068315, 1168259]",SG
1543,2313,"[252901, 622767, 1068315]",SG
1547,2313,"[129105, 157573, 255972, 325217, 387325, 401082, 606739, 657916, 741468, 1038955]",SG
1553,2313,"[123801, 270220, 552846, 1166148]",SG
1554,2313,"[157573, 255972, 387325, 657916, 741468]",SG
1555,2313,"[129105, 387325, 401082, 595074, 1111303]",SG
1556,2313,"[387325, 595074]",SG
1568,2313,[170729],SG
1578,2313,"[129105, 387325, 401082]",SG
1579,2313,[387325],SG
1583,2313,"[427283, 638210, 657916]",SG
1584,2313,[657916],SG
1586,2313,[657916],SG
1587,2313,[657916],SG
1609,2313,[638210],SG
1615,2313,[1121384],SG
1617,2313,[1121384],SG
1670,2313,[1121384],SG
1692,2313,[1121384],SG
1708,2313,[1121384],SG
1712,2313,[462697],SG
1717,2313,[1042524],SG
1718,2313,[462697],SG
1731,2313,[1121384],SG
1734,2313,[1121384],SG
1735,2313,[1121384],SG
1746,2313,[1121384],SG
1749,2313,[1121384],SG
1750,2313,[1121384],SG
1778,2313,[1121384],SG
1783,2313,[1121384],SG
1796,2313,[1121384],SG
1799,2313,[462697],SG
1800,2313,[462697],SG
1805,2313,[1042524],SG
1810,2313,[1121384],SG
1823,2313,[1121384],SG
1835,2313,[1111303],SG
1839,2313,[1111303],SG
1860,2313,[1121384],SG
1902,2313,[1121384],SG
1903,2313,[1121384],SG
1910,2313,[1121384],SG
1918,2313,[189043],SG
1920,2313,[270220],SG
1930,2313,[446878],SG
1935,2313,[499532],SG
1950,2313,[490858],SG
1981,2313,[638210],SG
1997,2313,[1166148],SG
1998,2313,[1121384],SG
2029,2313,[1121384],SG
2039,2313,[490858],SG
2041,2313,[499532],SG
2090,2313,[657916],SG
2107,2313,[520071],SG
2111,2313,[1042524],SG
2127,2313,[499532],SG
2139,2313,[252901],SG
2156,2313,[1166148],SG
2178,2313,[387325],SG
2182,2313,"[427283, 638210, 657916]",SG
2183,2313,[657916],SG
2184,2313,"[129105, 387325, 401082]",SG
2186,2313,[657916],SG
2192,2313,[657916],SG
2196,2313,"[270220, 552846, 1166148]",SG
2197,2313,[552846],SG
2198,2313,"[255972, 552846, 657916]",SG
2199,2313,"[255972, 552846, 657916]",SG
2203,2313,"[255972, 657916]",SG
2205,2313,[552846],SG
2206,2313,"[255972, 552846]",SG
2207,2313,[552846],SG
2208,2313,"[129105, 387325, 401082, 595074, 1111303]",SG
2209,2313,"[387325, 595074]",SG
2210,2313,"[255972, 657916]",SG
2214,2313,[1121384],SG
2217,2313,[191307],SG
2220,2313,[129105],SG
2221,2313,[270220],SG
