source,target,user_id,label
0,1,"[132519, 221900]",SG
0,2,"[114932, 132519, 332635, 574109]",G
0,3,"[221900, 285090, 355812]",Su
0,5,[866133],S
1,5,"[262442, 530327]",G
3,5,"[120286, 390199]",S
4,5,"[274953, 598886, 711978, 923982]",SG
0,6,[717621],Su
2,6,[332635],Su
4,6,[957568],S
5,6,"[274953, 866133]",Su
0,9,[251114],SG
2,9,"[226924, 499127]",SG
6,9,[336247],Su
7,9,"[114932, 390199, 519327, 574109, 578902, 867805]",SG
8,9,[180230],S
0,17,[432898],G
1,17,[625091],G
10,17,[285090],Su
12,17,"[209276, 273864]",SG
13,17,[149886],G
14,17,"[119521, 179416]",G
15,17,[231629],S
16,17,"[120286, 132519, 188588, 437974, 482512]",S
1,4,"[273864, 274953, 280880, 835363, 874591, 957568]",SG
2,4,[957568],S
3,4,"[147391, 273864, 280880, 598886, 835363, 874591]",Su
1,8,[132519],S
2,8,[132519],Su
3,8,[355812],S
4,8,"[180230, 273864]",SG
5,8,"[438114, 711978]",SG
6,8,[717621],G
1,11,[206416],G
2,11,[206416],S
4,11,[147391],Su
5,11,[355661],SG
6,11,"[231893, 332635, 957568]",S
7,11,"[193191, 285365, 874591]",S
8,11,[132519],G
1,12,[476566],Su
4,12,[345624],Su
5,12,[598886],SG
7,12,[805158],S
8,12,"[273864, 301967]",SG
1,16,[221900],SG
3,16,[221900],G
5,16,[120286],Su
9,16,"[114932, 499127, 519327, 867805]",Su
11,16,"[132519, 332635, 355661]",SG
12,16,[1030140],G
14,16,"[188588, 206416, 476566, 711978, 866133]",G
15,16,"[115022, 259132, 482512]",Su
2,7,"[114932, 574109]",SG
4,7,[874591],S
5,7,"[390199, 438114, 578902]",SG
6,7,[717621],SG
2,13,[226924],S
3,13,[176750],G
5,13,[923982],S
7,13,[149886],SG
3,10,[285090],Su
5,10,[820248],Su
7,10,[717621],S
8,10,[717621],Su
4,14,[280880],SG
6,14,"[274953, 866133]",G
7,14,[438114],SG
8,14,"[188588, 438114, 711978]",SG
9,14,"[180230, 309886]",G
11,14,"[206416, 231893]",SG
12,14,"[476566, 598886]",SG
13,14,"[176750, 343202]",Su
4,15,[835363],Su
5,15,[262442],G
6,15,[115022],G
9,15,[574109],Su
10,15,[820248],Su
11,15,"[147391, 193191]",S
12,15,[301967],S
14,15,"[176750, 274953, 343202]",Su
5,18,[530327],SG
9,18,[226924],Su
12,18,[642259],SG
13,18,[226924],Su
14,18,"[231893, 280880, 438114]",Su
15,18,"[176750, 262442]",G
16,18,[259132],SG
17,18,"[132519, 179416, 209276, 231629, 432898, 482512, 625091]",G
8,25,[355812],SG
11,25,[285365],G
18,25,[530327],S
19,25,[1030140],SG
20,25,[119521],G
21,25,"[133917, 188588, 273864]",SG
9,19,[336247],S
11,19,[874591],G
12,19,[805158],Su
15,19,[274953],Su
16,19,"[221900, 711978, 1030140]",SG
17,19,"[157246, 188588, 273864, 285090, 437974]",Su
18,19,"[231629, 432898, 625091]",Su
9,22,[390199],S
15,22,[301967],SG
16,22,"[355661, 519327, 867805]",SG
17,22,[149886],G
18,22,[642259],SG
19,22,"[336247, 805158]",SG
20,22,"[345624, 625091, 923982]",Su
21,22,"[120286, 180230, 274953, 820248]",SG
9,23,[390199],Su
15,23,[835363],S
16,23,[206416],S
18,23,"[179416, 530327]",SG
19,23,"[221900, 437974, 1030140]",SG
20,23,"[147391, 285090, 345624, 711978]",SG
21,23,"[188588, 259132, 274953]",SG
9,24,"[251114, 578902]",S
10,24,[717621],SG
11,24,[957568],G
15,24,[574109],Su
18,24,[226924],Su
20,24,[193191],G
21,24,[176750],SG
11,26,[285365],S
17,26,[149886],Su
18,26,"[226924, 530327]",SG
20,26,[923982],S
21,26,"[176750, 273864, 274953]",Su
12,20,[345624],G
13,20,[923982],Su
14,20,[309886],S
15,20,"[147391, 193191]",SG
17,20,"[119521, 133917]",S
18,20,"[259132, 280880]",SG
19,20,"[157246, 188588, 285090, 625091, 711978]",G
14,21,[180230],SG
15,21,"[343202, 820248]",SG
16,21,[476566],SG
17,21,[120286],G
18,21,"[176750, 209276]",Su
19,21,"[273864, 274953]",Su
20,21,"[133917, 157246, 188588, 259132, 280880, 309886]",Su
16,27,[499127],Su
19,27,[432898],S
22,27,[301967],Su
23,27,[285090],G
16,28,[332635],Su
18,28,[438114],SG
21,28,"[209276, 280880, 309886]",G
23,28,"[147391, 179416]",SG
16,29,"[115022, 332635]",S
18,29,[262442],S
22,29,"[180230, 274953, 355661, 642259]",Su
23,29,"[188588, 274953]",G
24,29,[251114],Su
25,29,"[133917, 188588, 285365]",Su
26,29,"[274953, 285365]",Su
