source,target,user_id
0,30,"278677,115022,346289,404019,159219,560724,1027715,242618,1226863,1063343,318075,899788"
0,31,"107030,1198352,235297,612824"
0,32,"779784,1027715,121128,932650"
0,33,1027715
0,34,"107030,346289,1198352,308992,235297,612824"
0,35,346289
0,36,"107030,1198352,235297,612824"
0,37,"594278,955102"
0,39,"371498,430886,291752,152797,144626,499303"
0,40,"1215438,499303"
0,41,"173528,510225"
0,42,531053
0,45,447321
0,49,"404019,560724,824022,152797"
0,53,510225
1,30,"115022,557541,305264,346289,1027715,151252,1167570,414193"
1,32,"1027715,520056,414193"
1,33,"1027715,414193"
1,34,346289
1,35,346289
1,39,113725
1,41,"656513,305678,875200"
1,45,447321
1,50,478556
1,53,305678
2,30,"115022,346289,1027715"
2,32,1027715
2,33,1027715
2,34,346289
2,35,346289
2,45,447321
3,30,"1124305,240151,502556,463550,473077,563868"
3,37,"182238,240151"
3,38,240151
3,44,"1068315,226924"
3,50,595081
3,61,563868
5,30,"1171591,1163691,739860,1109186,1095891,244827"
5,31,"1171591,1163691,524777,107030,459432,1237802,353175,156634,1221607,1106966,1180756,427250,1205586,746930,607784,681522,403184,395023,403445,616689,1198352,108938,903640,739860,485938,133892,1166148,445481,191561,1109186,1175223,266488,1192664,127760,127790,111737,603391,1168767,734723,423574,235297,1218364,235462,1095891,612824,555714,957469,244827,130181,523545,368080,1236675,270220,114666"
5,32,289246
5,34,"1171591,1163691,107030,1196697,156634,1180756,427096,427250,1205586,746930,607784,616689,1198352,108938,903640,739860,133892,1166148,552846,127760,127790,603391,1168767,235297,1095891,612824,957469,244827,523545,187833,368080,1236675,270220,114666"
5,35,"1171591,1163691,739860,1095891,244827"
5,36,"1171591,1163691,107030,156634,1180756,427250,1205586,746930,607784,616689,1198352,108938,903640,739860,133892,1166148,127760,127790,603391,1168767,235297,1095891,612824,957469,244827,523545,368080,1236675,270220,114666"
5,42,555714
5,43,603391
5,46,"427096,427250"
5,47,734723
5,58,"616689,127760,603391"
6,30,"1171591,1163691,346289,739860,118478,1095891,244827"
6,31,"1171591,205109,1163691,156634,1221607,1180756,1205586,746930,607784,403445,616689,1198352,903640,739860,1166148,118478,1167207,127790,603391,1168767,235297,235462,1095891,612824,957469,244827,368080,270220,114666"
6,34,"1171591,205109,1163691,1196697,156634,1180756,427096,329014,1205586,746930,607784,100194,1206265,346289,616689,1198352,903640,739860,453193,1166148,118478,1167207,552846,127790,603391,1168767,308992,235297,1095891,612824,489993,146208,957469,244827,187833,368080,270220,114666"
6,35,"1171591,1163691,346289,739860,118478,1095891,244827"
6,36,"1171591,205109,1163691,156634,1180756,1205586,746930,607784,616689,1198352,903640,739860,1166148,118478,1167207,127790,603391,1168767,235297,1095891,612824,957469,244827,368080,270220,114666"
6,43,603391
6,46,427096
6,58,"205109,616689,603391"
7,30,"1171591,1163691,739860,1095891,244827"
7,31,"1171591,1163691,156634,1221607,1180756,1205586,746930,607784,403445,616689,1198352,903640,739860,1166148,127790,603391,1168767,235297,235462,1095891,612824,957469,244827,368080,270220,114666"
7,34,"1171591,1163691,1196697,156634,1180756,427096,1205586,746930,607784,616689,1198352,903640,739860,1166148,552846,127790,603391,1168767,235297,1095891,612824,957469,244827,187833,368080,270220,114666"
7,35,"1171591,1163691,739860,1095891,244827"
7,36,"1171591,1163691,156634,1180756,1205586,746930,607784,616689,1198352,903640,739860,1166148,127790,603391,1168767,235297,1095891,612824,957469,244827,368080,270220,114666"
7,43,603391
7,46,427096
7,58,"616689,603391"
8,30,251287
8,37,828186
8,40,"450648,287148,778698,1215438,717565,579539,1056258,106203"
8,41,140093
8,51,1056258
8,53,140093
8,56,844279
9,30,"271497,113875"
9,32,113875
9,33,113875
9,43,483161
9,44,483161
9,50,510669
10,37,165402
10,39,"165402,928890"
11,34,552846
11,40,131514
11,44,1068315
12,31,"995860,988692,555714"
12,42,"1082751,616225,1036452,995860,988692,989025,531053,555714,1014685,1162191,998545,1179263,286391"
12,47,"1082751,1036452,995860,988692,989025,1014685,1179263"
12,59,989025
13,30,115022
14,30,"320242,470752"
14,32,470752
14,33,470752
14,39,"348948,253255"
14,45,"348948,447321"
14,49,320242
16,30,170884
16,42,1162191
17,61,286173
18,31,995860
18,42,"1082751,995860,979705,1179263"
18,47,"1082751,1058591,995860,1179263"
19,42,286391
20,30,1088671
20,32,121128
21,39,420269
22,42,"1036452,596217"
22,47,"1058591,1036452"
22,57,596217
23,39,331420
23,41,127136
25,42,1179263
25,47,1179263
25,52,963615
25,59,326485
26,30,"997163,301402,842634"
26,40,301402
29,30,346289
29,34,346289
29,35,346289
29,39,599279
29,41,305678
29,50,599279
29,53,305678
0,63,"188588,344797,296174,591109,132519,1158216,609497,121408,162754"
0,64,"410397,591109,320843,1075480,297431,485876,355661,470805,168983,373929,416080,137677,434088,278491"
0,65,591109
0,66,"794690,999970,410397,470805,873625,341341,171799,278491"
0,68,"410397,470805,278491"
0,69,"188588,296174,591109,320843,600407,609497,841409,383585"
0,70,"188588,296174,591109,609497"
0,71,"591109,320843"
0,73,149963
0,76,"364804,341101"
0,78,"238281,918855,274199,111958"
0,79,1087105
0,81,171799
0,82,162167
0,83,341101
0,88,873625
0,92,990333
0,93,297510
1,63,"188588,229711,591109,394741,453834,609497,380881,340311,209659,808909,450524"
1,64,"591109,985590,335156"
1,65,591109
1,66,897112
1,69,"188588,606450,819522,229711,607089,591109,526488,1026225,338103,1231035,600407,985590,281256,609497,134631,897112,1044582,553151,340311,193056,128523,521837,841409,1120037,808909,350390,604625,563799,277091,1080244,293965,171090,966233,450524"
1,70,"188588,229711,591109,609497,340311,808909,450524"
1,71,"591109,985590"
1,72,126059
1,76,"1086227,177933"
1,78,111958
1,79,991052
1,82,380881
1,83,908504
1,96,453834
2,63,"188588,591109,609497"
2,64,591109
2,65,591109
2,69,"188588,591109,600407,609497,841409"
2,70,"188588,591109,609497"
2,71,591109
2,78,111958
3,63,"1098547,157047,149886,191747,675569,298742,421796,1064162,220829"
3,64,"491523,189419,503187,568859,434088,278491"
3,66,"794690,458921,508101,999970,270927,303696,459345,1221377,181027,648052,435091,271256,189419,123949,157047,181964,460550,223220,1075341,805459,125615,584471,404281,101392,814206,191747,748989,568859,675569,298742,388999,897112,864534,840183,184841,422458,291564,684785,873625,341341,1095721,923982,203487,1022740,1064162,867567,343312,1047905,343449,220829,589526,171799,262086,278491"
3,67,"157047,191747,675569,298742,1064162,220829"
3,68,"189419,568859,278491"
3,69,"606450,189637,116566,281256,929267,897112,553151"
3,76,"157047,276634,1022740,343449"
3,77,157047
3,78,477692
3,81,171799
3,85,153850
3,88,"184841,873625"
3,92,541286
4,64,"434088,278491"
4,66,"794690,999970,873625,341341,171799,278491"
4,68,278491
4,81,171799
4,88,873625
5,63,381310
5,72,"787610,738639,574836,673209,567220,764017,174585,389285,381310,602580,610798,373743,464331,292347,604098,751640,588437,326598"
5,73,"149963,602580,464331,292347,751640"
5,75,"602580,464331,292347,751640"
5,78,895649
6,72,"567220,602580,464331,292347,751640"
6,73,"149963,109054,602580,464331,292347,751640,777319"
6,75,"602580,464331,292347,751640"
7,72,"567220,602580,464331,292347,751640"
7,73,"149963,602580,464331,292347,751640"
7,75,"602580,464331,292347,751640"
8,64,"355203,1044423"
8,69,1044582
8,78,"124464,1189972,955120,1178435"
9,63,"837799,175673"
9,66,538133
9,78,238281
10,63,1219925
10,64,113794
10,66,223220
10,69,"1196346,392937"
10,76,364804
11,63,879166
11,64,303121
11,66,1095721
11,72,265419
11,73,777319
11,83,170729
12,80,"1007975,1052503"
13,63,358331
13,64,"410397,1045493"
13,66,"410397,343449"
13,68,410397
13,69,"864345,1160216"
13,76,"296181,343449"
13,79,622174
13,82,"838612,480899,179988"
13,92,541286
14,63,249382
14,76,341101
14,79,"867784,622174"
14,83,341101
14,86,156096
15,63,"1091502,526727,528869"
15,85,"1091502,477935,208744,528869,464835,440622,465370"
15,97,1105858
16,84,552770
17,66,"184841,873625,1105168"
17,69,1105168
17,88,"975853,184841,873625"
17,95,975853
17,96,975853
19,79,1034893
20,88,975853
20,95,"975853,310920"
20,96,975853
22,80,1052503
22,86,483688
23,63,1192519
23,83,419307
23,94,335544
23,97,1030971
24,79,1034893
25,86,901480
25,89,901480
28,66,305516
30,63,"1229161,836316,541453,132014,821001,109076,159219,560724,528757,242618,898398,374383,899788,498529"
30,64,"598952,206416,190085,919299,404019,1150667,684214,251287,466822"
30,66,"361281,869865,1124305,518488,543430,502556,117912,480373,473077,178285,317586,563868"
30,69,"541453,305264,1108350,1109301,372038,151252,470752,465285,433003"
30,70,541453
30,72,"1171591,739860,118478,1095891"
30,73,"1171591,739860,118478,1061637,1095891,244827"
30,75,"1171591,739860,118478,1095891"
30,76,"542397,372038,193333,439106,203819,450548"
30,78,"272583,193333,301402"
30,79,470752
30,82,899788
30,83,540798
30,84,"291899,899788"
30,85,523099
30,93,"543430,203819"
30,97,540798
31,63,"403445,108938,1192664,957469"
31,64,191561
31,72,"1171591,270517,483533,205109,516578,123801,353175,156634,1172616,427250,1205586,460228,607784,681522,395023,403445,198674,616689,1198352,108938,739860,485938,133892,1166148,445481,421137,118478,1167207,266488,1192664,127760,127790,111737,1168767,423574,235297,1218364,432305,1095891,145875,612824,522769,555714,1235780,957469,130181,261384,752912,400880,573259,1171370,114666"
31,73,"1171591,483533,205109,107030,156634,1205586,460228,607784,403445,616689,1198352,739860,133892,1166148,421137,118478,1167207,127790,603391,1168767,235297,1095891,612824,957469,244827,1236675,270220,114666"
31,74,"403445,957469"
31,75,"1171591,483533,205109,156634,1205586,460228,607784,403445,616689,1198352,739860,133892,1166148,421137,118478,1167207,127790,1168767,235297,1095891,612824,957469,114666"
31,80,"988692,555714"
31,84,191561
31,89,988692
31,90,988692
31,91,191561
32,63,"779784,134483,154890"
32,64,"475180,999728,598952,120768"
32,66,"1214860,315579"
32,69,"868830,607833,1108350,1109301,470752,315579,121128,433003,712041,1072489"
32,73,472493
32,76,193333
32,78,"183878,193333"
32,79,"470752,1234579"
33,64,598952
33,69,"1108350,1109301,470752,433003"
33,76,193333
33,78,193333
33,79,470752
34,63,"100194,108938,957469"
34,72,"1171591,483533,205109,156634,427096,427250,329014,1205586,460228,607784,616689,1198352,108938,739860,133892,1166148,421137,118478,1167207,127760,127790,1168767,235297,1095891,612824,957469,261384,187833,114666"
34,73,"1171591,483533,205109,107030,156634,427096,329014,1205586,460228,607784,100194,1206265,616689,1198352,739860,453193,133892,1166148,421137,118478,1167207,552846,1061637,127790,603391,1168767,308992,235297,1095891,612824,146208,957469,244827,187833,1236675,270220,147410,114666"
34,74,"100194,957469"
34,75,"1171591,483533,205109,156634,427096,329014,1205586,460228,607784,616689,1198352,739860,133892,1166148,421137,118478,1167207,127790,1168767,235297,1095891,612824,957469,187833,114666"
35,72,"1171591,739860,118478,1095891"
35,73,"1171591,739860,118478,1061637,1095891,244827"
35,75,"1171591,739860,118478,1095891"
36,63,"108938,957469"
36,72,"1171591,483533,205109,156634,427250,1205586,460228,607784,616689,1198352,108938,739860,133892,1166148,421137,118478,1167207,127760,127790,1168767,235297,1095891,612824,957469,261384,114666"
36,73,"1171591,483533,205109,107030,156634,1205586,460228,607784,616689,1198352,739860,133892,1166148,421137,118478,1167207,127790,603391,1168767,235297,1095891,612824,957469,244827,1236675,270220,114666"
36,74,957469
36,75,"1171591,483533,205109,156634,1205586,460228,607784,616689,1198352,739860,133892,1166148,421137,118478,1167207,127790,1168767,235297,1095891,612824,957469,114666"
37,63,"401551,598391,321180,1029030"
37,64,318322
37,66,"188482,1089775,361281,288714,215374,543430,748250,429092,331273,184070,954473,315579,594278,955102,1029030,480373,178285,318322,1055722,605207,466493"
37,67,1029030
37,68,318322
37,69,"372038,315579,712041"
37,72,828186
37,76,"549038,372038"
37,81,815942
37,82,401551
37,88,594278
37,91,955102
37,93,543430
38,66,"361281,543430,480373,178285"
38,69,372038
38,76,372038
38,93,543430
39,63,"599279,253255"
39,64,"599279,261715"
39,65,599279
39,66,348997
39,69,"794978,124681,1059122,293992"
39,76,"549038,704970,542397,596052"
39,79,"348948,1234579"
39,82,371498
39,93,218744
40,63,"131514,528757"
40,64,"1215438,127376,498303"
40,69,498303
40,71,498303
40,78,"778698,1215438,208883,579539,301402,1236845"
40,97,287148
41,63,"401551,656513,498529"
41,69,"305678,372038"
41,76,"372038,596052"
41,82,"401551,989745"
41,94,176862
41,97,989745
42,72,555714
42,80,"680791,574634,1082751,1036452,979705,988692,531053,555714,1014685,752568,998545"
42,86,1036452
42,89,"1082751,988692,1014685"
42,90,988692
43,64,"120768,465591"
43,66,361281
43,69,433003
43,73,603391
44,63,"879125,490898"
44,66,226924
44,69,1109301
45,63,"484507,466214"
45,79,"516711,348948"
46,63,535454
46,64,155913
46,66,535454
46,67,535454
46,72,"427096,427250"
46,73,427096
46,75,427096
46,79,573223
46,80,680791
46,84,1238217
47,64,240304
47,80,"1082751,1058591,1036452,988692,1014685"
47,86,1036452
47,89,"1082751,1058591,1181716,988692,1014685"
47,90,988692
48,64,110731
49,63,"173319,272307,560724"
49,64,"173319,404019,298245"
49,65,173319
49,69,543323
49,78,173319
50,63,"598391,599279"
50,64,"599279,239835"
50,65,599279
50,66,"239835,595081"
50,68,239835
50,76,"704970,1178133"
51,63,401551
51,76,"1188909,596052"
51,82,401551
52,66,315579
52,69,315579
52,80,971894
52,94,971894
53,63,401551
53,69,"305678,372038"
53,76,372038
53,82,401551
53,94,176862
54,85,"897154,523099"
54,88,897154
55,63,1029987
55,64,"180230,463030"
57,80,680791
58,72,"205109,616689,127760"
58,73,"205109,616689,603391"
58,75,"205109,616689"
60,82,594535
60,90,594535
61,66,"716095,563868"
62,63,"101105,224522"
62,78,101105
0,98,"567321,510973,224478,315504,610441,544959,120286,546857"
0,99,"312415,280966,355809,562758,309563,474006"
0,101,"524668,852354,495206,1019603,503579,298935,529874,113797,499532"
0,104,"372225,1101837,881662,463969"
0,108,409352
0,109,567321
0,110,546857
0,111,546857
0,116,120286
0,118,1019603
0,123,518800
0,130,483211
0,135,463969
0,136,1019603
1,98,"318300,442178"
1,99,"312415,132739,239503,249024,454083,298450,593459,356791,1037190,112511,211111,139113"
1,101,592510
1,104,365174
1,106,200047
1,109,211111
1,128,624828
1,135,593459
2,99,312415
3,98,"475803,202124,349622,1201800,400788"
3,99,"1067295,209608"
3,101,"524668,1019603"
3,104,"475803,697825,313776,372225,102917,569912,152266,881662,463969,1201800,351013,1121072,482699,400788"
3,105,"475803,1201800,400788"
3,109,482699
3,118,1019603
3,124,"836821,400788"
3,126,836821
3,133,1121072
3,135,463969
3,136,1019603
4,101,"524668,1019603"
4,104,"372225,881662,463969"
4,118,1019603
4,135,463969
4,136,1019603
5,104,"365174,463969"
5,106,"330487,265374,103914,1202494,154300"
5,108,199984
5,135,463969
6,101,867539
6,103,"1214239,1045120"
8,98,"1115415,559661,120286"
8,101,887624
8,108,"444175,559661"
8,109,"1000560,168584"
8,116,120286
9,98,"1163746,475803,386301,411452,546857"
9,99,280966
9,104,"475803,351013"
9,105,475803
9,108,1160772
