source,target,user_id
0,138,377365
0,140,377365
0,282,"184841,188482,195200,330312,365174,406484,435091,457865,506588,579243,584986,615217,756856"
0,283,756856
0,284,756856
0,296,157047
0,328,157047
0,439,"518488,626070,733800"
0,441,480899
0,572,617729
0,577,"134880,520008,555618,693202,693851"
0,716,403386
0,730,387373
0,920,590237
0,921,588675
0,1110,"388275,613840"
0,1330,781591
0,1358,208332
0,1359,170455
0,1362,208332
0,1364,748989
0,1366,"170455,208332,748989"
0,1368,748989
0,1370,170455
0,1838,212363
0,3218,482969
0,3393,491767
0,3795,149249
0,7664,545406
0,11080,548715
1,115,475454
1,199,"375108,605319"
1,363,170729
1,508,444295
1,895,561615
1,2913,299417
1,11935,274124
2,73,752568
2,81,"584447,752568"
2,112,584447
2,521,"422794,542068"
3,79,167694
3,88,167694
3,196,234017
3,835,380131
3,2320,192627
4,71,519887
4,73,752568
4,81,"519887,521885,752568"
4,198,531393
4,243,531393
4,542,453036
4,547,453036
5,71,"247754,519887"
5,73,752568
5,81,"519887,752568"
5,3697,447013
6,73,294969
6,81,584447
6,88,294969
6,107,294969
6,112,584447
6,177,199673
6,251,199673
6,4843,383585
6,7981,260630
7,73,356654
7,289,106150
7,8314,125798
8,80,301402
8,194,459432
8,203,459432
8,465,113036
9,192,208744
9,367,387101
9,1021,186738
9,2205,496594
9,6146,728393
9,6147,728393
9,6178,728393
9,9291,165568
10,114,470752
10,466,624179
10,1929,134473
10,3590,730072
10,6797,344660
10,6825,344660
10,9904,174735
11,373,"204046,388202"
11,1714,558685
11,5278,488785
11,5389,488785
11,5440,488785
12,1750,214946
12,2693,331214
13,511,576233
13,3058,518210
13,3059,518210
13,3070,518210
14,360,235938
14,376,235938
15,199,321127
15,613,269187
15,695,269187
15,703,269187
15,3058,518210
15,3059,518210
15,3070,518210
16,106,174525
16,4843,383585
16,7948,177528
17,521,542068
17,4843,383585
18,511,576233
18,613,269187
18,695,269187
18,703,269187
18,3058,518210
18,3059,518210
18,3070,518210
19,62,138794
19,826,385319
19,840,197394
20,84,191307
21,73,294969
21,88,294969
21,107,294969
21,519,193388
21,547,193388
22,253,596504
22,408,523195
22,539,"286321,417862"
22,680,566886
22,880,521837
22,1079,609205
22,1256,327141
22,1306,327141
22,1312,689996
22,1313,574988
22,1316,327141
22,2410,413231
22,3598,482562
23,94,473266
23,100,473266
23,103,281256
23,237,704816
23,253,600263
23,411,583156
23,699,567520
23,3758,398225
23,7594,716317
24,101,"314647,403445,612824"
25,94,735292
25,96,735292
25,100,735292
25,102,"735292,761107"
26,536,476509
26,537,476509
26,539,476509
26,2398,544077
26,2762,353471
27,86,610511
27,93,610511
27,97,610511
27,534,386618
27,665,535895
28,76,187833
28,88,"122584,187833,191561,264526,270517,345108,347715,368080,464331,557999,752912,787610"
28,465,"113036,551228"
28,466,559445
28,703,444802
28,967,281206
29,239,343449
29,257,"175030,213211,233072,238881,242142,288714,316895"
29,361,143488
29,372,143488
29,464,"143488,493696,497772"
29,551,"105769,272441,407441,542277"
29,638,"138325,401971"
29,962,474879
29,1021,"181624,194762"
29,1221,165785
29,1717,315397
29,1723,315397
29,1729,269708
29,2167,199937
29,2769,488754
29,8069,460771
30,398,718355
30,412,718355
30,3596,611043
31,168,149358
31,578,240947
32,110,364804
32,114,364804
32,183,274953
32,200,371266
32,257,140784
32,289,"134631,251719,321596"
32,579,"129390,290616"
32,642,328086
32,643,328086
32,703,328086
32,734,114449
32,836,686964
32,961,249024
32,1426,515329
32,1504,200564
32,1738,540476
32,1750,426000
32,2029,534226
32,2064,157310
32,2069,157310
32,2320,"146263,277799"
32,2886,177933
32,3060,177933
32,3065,177933
32,3068,177933
32,3072,107463
32,3259,258658
32,3367,272341
32,3577,481492
32,3586,481492
32,3882,520056
32,4061,373931
32,4946,730652
32,5175,730652
32,5349,315727
32,6112,703490
32,6114,703490
32,6132,703490
33,138,156003
33,282,756856
33,283,"193677,197718,199285,298450,359007,380689,429530,457077,506019,715934,756856"
33,284,756856
33,430,545590
33,438,"235302,270370,378650,420063"
33,453,608653
33,577,231496
33,578,"314863,342654"
33,778,"270415,517640"
33,901,354101
33,921,480255
33,1109,"352108,778878"
33,1827,601555
33,1840,767398
33,2008,249926
33,2137,486113
33,3022,543053
33,3034,543053
33,3037,543053
33,3216,477668
33,3969,483490
33,4167,426563
33,5405,173968
33,5406,173968
33,5442,"438686,520840"
33,5450,173968
33,5497,173968
33,5508,173968
33,5555,173968
33,5557,173968
33,6649,331316
33,8275,577041
33,9677,314153
33,9682,314153
33,12583,157180
34,116,751356
34,121,754685
34,125,517346
34,126,754685
34,128,"616225,754685"
34,130,"574634,751356"
34,131,758594
34,132,"574634,751356,758594"
34,133,"574634,751356,758594"
34,134,"565366,574634,751356"
34,135,"565366,574634,751356"
34,136,758594
34,137,"517346,565366,574634,610037,616225,622013,751356,758594,772088"
34,139,616225
34,142,"574634,758594"
34,152,616225
34,159,"751356,758594"
34,160,"610037,772088"
34,161,758594
34,165,"517346,565366"
34,169,"758594,772088"
34,171,565366
34,1848,518911
34,5728,531392
34,5729,531392
34,5828,531392
34,6813,577984
34,6937,577984
34,6939,577984
34,6972,577984
34,7041,577984
34,7044,577984
35,120,610249
35,121,"610249,622027"
35,134,565366
35,135,565366
35,137,"565366,622027"
35,155,610249
35,165,565366
35,166,"610249,622027"
35,171,565366
35,7189,754357
35,7233,754357
35,7234,754357
36,119,525672
36,120,610249
36,121,"610249,754685"
36,126,754685
36,128,754685
36,130,525672
36,133,525672
36,134,565366
36,135,"525672,565366"
36,137,"565366,622013"
36,143,525672
36,153,449654
36,155,610249
36,165,565366
36,166,610249
36,171,565366
36,296,157047
36,328,157047
36,4360,427382
36,4417,427382
37,121,754685
37,126,754685
37,128,754685
37,134,565366
37,135,565366
37,137,"565366,622013"
37,165,565366
37,171,565366
38,140,354730
38,302,"180415,576380"
38,441,"247304,674344"
38,940,328876
38,1617,374511
38,4796,442178
38,12831,783083
38,12841,783083
39,136,195105
39,283,264832
39,441,247304
39,921,588675
