source,target,user_id
0,1,565366
0,15,754685
0,16,754685
1,14,574634
1,47,565366
2,14,574634
4,14,574634
11,27,471775
14,42,574634
14,44,574634
15,32,616225
15,56,754685
15,60,754685
15,62,754685
15,63,754685
15,65,754685
15,66,754685
15,67,754685
16,32,616225
16,56,754685
16,60,754685
16,62,754685
16,63,754685
16,65,754685
16,66,754685
16,67,754685
20,35,187833
22,201,110899
22,220,110899
22,254,460228
26,1319,368080
27,119,471775
32,80,616225
32,83,616225
34,44,913872
35,620,187833
40,48,619437
40,69,619437
40,70,619437
42,48,619437
42,64,574634
42,69,619437
42,70,619437
43,48,619437
43,69,619437
43,70,619437
44,64,574634
44,67,913872
44,68,913872
47,48,565366
47,61,565366
47,63,734723
47,64,565366
47,67,734723
47,69,565366
48,76,"565366,619437"
48,77,565366
48,79,619437
48,80,565366
48,83,619437
48,84,565366
56,217,754685
56,222,754685
58,72,849812
60,217,754685
60,222,754685
61,76,565366
61,77,565366
61,80,565366
61,84,565366
62,217,754685
62,222,754685
63,84,734723
63,217,754685
63,222,754685
64,76,565366
64,77,565366
64,78,574634
64,80,565366
64,84,565366
65,72,849812
65,217,754685
65,222,754685
66,217,754685
66,222,754685
67,84,734723
67,157,913872
67,217,754685
67,222,754685
68,157,913872
69,76,"565366,619437"
69,77,565366
69,79,619437
69,80,565366
69,83,619437
69,84,565366
70,72,849812
70,76,619437
70,79,619437
70,83,619437
71,72,849812
72,148,849812
72,152,849812
72,155,849812
76,217,565366
76,222,565366
76,270,619437
76,275,619437
77,217,565366
77,222,565366
78,129,574634
78,148,574634
78,153,574634
78,157,574634
79,270,619437
79,275,619437
80,214,616225
80,215,519885
80,217,"565366,616225"
80,222,565366
83,214,616225
83,217,616225
83,270,619437
83,275,619437
84,152,734723
84,153,734723
84,154,734723
84,217,565366
84,222,565366
87,683,270220
87,694,270220
88,683,464331
88,706,464331
102,683,"270220,464331"
102,694,270220
102,706,464331
109,793,314647
111,793,314647
111,1116,"602580,739860"
112,793,314647
112,1116,"602580,739860"
