source,target,user_id
0,12,"270370,409846,377365,344704,221900,287608,197718,353820,230980,378650,420063,543323,199285,125579,756856,715934,617647,298450,429530,134631,470752,380689,364804,291261,447321,267277,668724,193677,152806,112041,325354,251719,506019,457077,604625,359007,433003,121730,523195,237181"
0,13,"550293,756856,183978,298742"
0,16,608653
0,17,"369391,152806,111890,604625,523013,392099"
0,18,"354730,470752,447321"
0,23,359007
0,25,470752
1,12,"377365,756856,112041"
1,13,"548900,163878,188482,213211,123618,615217,435091,598984,238881,550293,583156,476702,288714,493696,600263,518488,330312,281256,125615,412376,511024,756856,560291,584986,626070,339428,355838,454219,282188,233072,257663,118554,143488,422118,184841,733800,176750,365174,463550,406484,496685,316895,407441,153534,555013,497772,375104,195200,563868,146201,252901,457865,368624"
1,17,"704816,594063,480899"
1,20,368624
1,24,252901
1,28,"143488,563868"
2,14,"270517,483533,385713,287610,123801,557999,500716,345108,427096,787610,427250,738639,460228,607784,567220,403445,616689,379133,551228,264526,166316,543214,592390,739860,715296,485938,248473,519059,543714,420842,191561,461998,421137,314647,396609,347715,503953,389285,651436,266488,324104,464331,292347,620236,104293,751640,612410,113036,489886,612824,293947,621627,244827,261384,752912,523545,187833,351686,368080,130532,122584,319317,270220"
2,15,616225
2,16,"427096,287867,460228,403445,559445,592390,739860,464331,292347,187833,122584"
2,17,130532
2,25,294969
2,29,"270517,427250,368080"
3,15,"565366,754685,574634,542068,616225,616565,428202,584447,602649,758594,521885,751356,735292,752568,761107,622013,622027"
3,16,584447
3,24,735292
3,25,"574634,428202,602649,758594,735292,761107"
3,26,"428202,758594"
3,27,"584447,602649,622027"
3,29,758594
4,12,"264832,470752"
4,14,567220
4,16,718355
4,17,"353337,247304,313520,234017,293992,515602"
4,18,"470752,718355"
4,19,169402
4,20,718355
4,25,470752
4,26,195105
5,12,470752
5,16,"624179,610511"
5,17,"247304,674344,515602"
5,18,"354730,363005,576380,126551,470752,291218,588236,621048,622174"
5,24,"610511,513907"
5,25,470752
5,26,610511
5,29,610511
6,14,"459432,113036"
6,16,468745
6,18,294568
6,19,"524613,778698,459432,287468,485168,419999,100977,273854,544783,528757,169402,104518,121147,301402,613132"
6,20,"468745,499303"
7,15,"565366,574634,584447,602649,758594,751356,735292,752568,761107"
7,16,584447
7,24,735292
7,25,"294969,172406,574634,602649,758594,735292,761107"
7,26,758594
7,27,"584447,602649"
7,29,758594
8,15,"565366,754685,574634,751356,735292,622013"
8,24,735292
8,25,"574634,735292"
9,22,"402047,387101,723962,298548,208744,138395"
10,15,"428202,758594,735292"
10,24,735292
10,25,"428202,758594,735292"
10,26,"428202,758594,195105,450235"
10,29,758594
11,21,"475454,375108,170729,605319"
0,12,"270370,270370,409846,377365,344704,221900,287608,197718,353820,230980,378650,420063,543323,199285,125579,756856,715934,617647,298450,429530,134631,470752,380689,364804,291261,447321,267277,668724,193677,152806,112041,325354,251719,506019,457077,604625,359007,433003,121730,523195,237181"
0,13,"550293,756856,183978,298742"
0,16,608653
0,17,"369391,152806,111890,604625,523013,392099"
0,18,"354730,470752,447321"
0,23,359007
0,25,470752
0,30,"270370,270370,409846,377365,344704,221900,287608,197718,353820,230980,378650,420063,543323,199285,125579,756856,715934,617647,298450,429530,134631,470752,380689,364804,291261,447321,267277,668724,193677,152806,112041,325354,251719,506019,457077,604625,359007,433003,121730,523195,237181"
0,31,"550293,756856,183978,298742"
0,34,608653
0,35,"369391,152806,111890,604625,523013,392099"
0,36,"354730,470752,447321"
0,41,359007
0,43,470752
1,12,"377365,756856,112041"
1,13,"548900,163878,188482,213211,123618,615217,435091,598984,238881,550293,583156,476702,288714,493696,600263,518488,330312,281256,125615,412376,511024,756856,560291,584986,626070,339428,355838,454219,282188,233072,257663,118554,143488,422118,184841,733800,176750,365174,463550,406484,496685,316895,407441,153534,555013,497772,375104,195200,563868,146201,252901,457865,368624"
1,17,"704816,594063,480899"
1,20,368624
1,24,252901
1,28,"143488,563868"
1,30,"377365,756856,112041"
1,31,"548900,163878,188482,213211,123618,615217,435091,598984,238881,550293,583156,476702,288714,493696,600263,518488,330312,281256,125615,412376,511024,756856,560291,584986,626070,339428,355838,454219,282188,233072,257663,118554,143488,422118,184841,733800,176750,365174,463550,406484,496685,316895,407441,153534,555013,497772,375104,195200,563868,146201,252901,457865,368624"
1,35,"704816,594063,480899"
1,38,368624
1,42,252901
1,46,"143488,563868"
2,14,"270517,483533,385713,287610,123801,557999,500716,345108,427096,787610,427250,738639,460228,607784,567220,403445,616689,379133,551228,264526,166316,543214,592390,739860,715296,485938,248473,519059,543714,420842,191561,461998,421137,314647,396609,347715,503953,389285,651436,266488,324104,464331,292347,620236,104293,751640,612410,113036,489886,612824,293947,621627,244827,261384,752912,523545,187833,351686,368080,130532,122584,319317,270220"
2,15,616225
2,16,"427096,287867,460228,403445,559445,592390,739860,464331,292347,187833,122584"
2,17,130532
2,25,294969
2,29,"270517,427250,368080"
2,32,"270517,483533,385713,287610,123801,557999,500716,345108,427096,787610,427250,738639,460228,607784,567220,403445,616689,379133,551228,264526,166316,543214,592390,739860,715296,485938,248473,519059,543714,420842,191561,461998,421137,314647,396609,347715,503953,389285,651436,266488,324104,464331,292347,620236,104293,751640,612410,113036,489886,612824,293947,621627,244827,261384,752912,523545,187833,351686,368080,130532,122584,319317,270220"
2,33,616225
2,34,"427096,287867,460228,403445,559445,592390,739860,464331,292347,187833,122584"
2,35,130532
2,43,294969
2,47,"270517,427250,368080"
3,15,"565366,754685,574634,542068,616225,616565,428202,584447,602649,758594,521885,751356,735292,752568,761107,622013,622027"
3,16,584447
3,24,735292
3,25,"574634,428202,602649,758594,735292,761107"
3,26,"428202,758594"
3,27,"584447,602649,622027"
3,29,758594
3,33,"565366,754685,574634,542068,616225,616565,428202,584447,602649,758594,521885,751356,735292,752568,761107,622013,622027"
3,34,584447
3,42,735292
3,43,"574634,428202,602649,758594,735292,761107"
3,44,"428202,758594"
3,45,"584447,602649,622027"
3,47,758594
4,12,"264832,470752"
4,14,567220
4,16,718355
4,17,"353337,247304,313520,234017,293992,515602"
4,18,"470752,718355"
4,19,169402
4,20,718355
4,25,470752
4,26,195105
4,30,"264832,470752"
4,32,567220
4,34,718355
4,35,"353337,247304,313520,234017,293992,515602"
4,36,"470752,718355"
4,37,169402
4,38,718355
4,43,470752
4,44,195105
5,12,470752
5,16,"624179,610511"
5,17,"247304,674344,515602"
5,18,"354730,363005,576380,126551,470752,291218,588236,621048,622174"
5,24,"610511,513907"
5,25,470752
5,26,610511
5,29,610511
5,30,470752
5,34,"624179,610511"
5,35,"247304,674344,515602"
5,36,"354730,363005,576380,126551,470752,291218,588236,621048,622174"
5,42,"610511,513907"
5,43,470752
5,44,610511
5,47,610511
6,14,"459432,113036"
6,16,468745
6,18,294568
6,19,"524613,778698,459432,287468,485168,419999,100977,273854,544783,528757,169402,104518,121147,301402,613132"
6,20,"468745,499303"
6,32,"459432,113036"
6,34,468745
6,36,294568
6,37,"524613,778698,459432,287468,485168,419999,100977,273854,544783,528757,169402,104518,121147,301402,613132"
6,38,"468745,499303"
7,15,"565366,574634,584447,602649,758594,751356,735292,752568,761107"
7,16,584447
7,24,735292
7,25,"294969,172406,574634,602649,758594,735292,761107"
7,26,758594
7,27,"584447,602649"
7,29,758594
7,33,"565366,574634,584447,602649,758594,751356,735292,752568,761107"
7,34,584447
7,42,735292
7,43,"294969,172406,574634,602649,758594,735292,761107"
7,44,758594
7,45,"584447,602649"
7,47,758594
8,15,"565366,754685,574634,751356,735292,622013"
8,24,735292
8,25,"574634,735292"
8,33,"565366,754685,574634,751356,735292,622013"
8,42,735292
8,43,"574634,735292"
9,22,"402047,387101,723962,298548,208744,138395"
9,40,"402047,387101,723962,298548,208744,138395"
10,15,"428202,758594,735292"
10,24,735292
10,25,"428202,758594,735292"
10,26,"428202,758594,195105,450235"
10,29,758594
10,33,"428202,758594,735292"
10,42,735292
10,43,"428202,758594,735292"
10,44,"428202,758594,195105,450235"
10,47,758594
11,21,"475454,375108,170729,605319"
11,39,"475454,375108,170729,605319"
