source,target,user_id
0,1,432898
0,2,264679
0,3,"149886,176750,226924,273864,288714,303696,472947,913899,923982"
0,8,474879
0,11,301967
0,12,317586
0,16,223109
0,19,"146032,178285,223109"
0,21,580829
1,3,432898
1,4,"132519,221900,465308"
1,5,"114932,132519,332635,574109"
1,6,"221900,285090,355812"
1,7,"251114,397953,438114,866133"
1,10,717621
2,4,"221900,274953,280880,476566"
2,5,"200898,264679"
2,6,"221900,280880"
2,7,"355661,478530,866133"
2,9,482512
2,10,"482512,534619"
2,14,498303
2,15,145478
2,17,145478
2,28,876768
3,4,"273864,923982"
3,5,226924
3,6,"176750,273864"
3,7,288714
3,8,"149886,215374,288714,303696,343202,432898,472947,516389,913899"
3,12,468551
3,18,278491
3,19,"150269,278491"
4,7,"262442,274953,412666,476566,530327,598886,711978,923982"
4,8,923982
4,9,"147391,280880,345624,465308,835363"
4,10,957568
4,11,"132519,180230,205800,273864,312415"
4,12,273864
4,13,874591
4,14,132519
4,15,460243
4,16,"106174,465004"
4,17,460243
4,18,206416
4,19,465004
4,24,130184
4,25,"221900,625091"
5,8,226924
5,9,"188309,332635"
5,10,"195808,332635,957568"
5,11,132519
5,12,264679
5,13,"114932,264679,274132,574109"
5,14,"132519,264679"
5,16,"106174,465004"
5,17,"200898,499127"
5,18,206416
5,19,465004
5,21,365367
6,7,"120286,390199,598886,915090"
6,8,"176750,915090"
6,9,"147391,280880,285090,835363"
6,11,"273864,355812"
6,12,273864
6,13,874591
6,15,460243
6,17,460243
6,25,"221900,223786"
7,9,"188588,866133,911734,997163"
7,10,"131516,231893,274953,355661,478530,866133,915090"
7,11,"438114,711978"
7,12,"288714,923982"
7,13,"288714,390199,438114,578902"
7,14,476566
7,15,417444
7,16,"402831,820248"
7,17,"251114,397953"
7,18,"120286,412666"
7,20,"120286,262442,397953,412666,530327"
7,21,598886
8,9,176750
8,10,915090
8,12,"149886,215374,226924,226985,288714,472947,626547,913899,923982"
8,13,"149886,288714"
8,17,227628
8,18,516389
8,19,"303696,343202"
8,21,266177
8,25,432898
8,26,"432898,474879"
9,11,"147391,188309,188588,280880,465308,866133,911734,997163"
9,12,176750
9,13,911734
9,14,"108228,866133"
9,15,482512
9,16,285090
9,18,332635
9,20,"332635,345624"
9,21,"209276,345624"
9,24,835363
10,11,"131516,717621,866133"
10,13,"717621,915090"
10,14,"115022,478530,534619,866133,1005767,1059459"
10,15,"231893,274953,355661,482512"
10,17,336247
10,18,"231893,332635,355661,957568"
10,20,"332635,957568"
10,23,164308
10,24,133917
10,32,195808
11,15,"180230,188309,188588,866133"
11,16,"188588,465308,717621,911734"
11,17,"131516,180230,188309,309886"
11,18,"132519,147391,205800"
11,19,273864
11,20,"188588,273864,309886,711978,866133,911734,997163"
11,21,"273864,301967,911734"
11,23,"280880,438114"
11,25,"157246,312415"
11,27,312415
11,40,355812
12,16,"116517,215374,423611"
12,17,"226924,626547"
12,18,"176750,913899"
12,19,"116517,149886,176750,215374,226924,273864,317586,423611,468551,538133,626547,913899,923982"
12,20,"273864,317586"
12,21,"273864,317586"
12,22,"226985,472947"
12,26,288714
13,16,"717621,911734"
13,17,"114932,274132,390199,519327,574109,578902,867805"
13,18,"193191,384542,874591"
13,19,149886
13,20,"390199,874591,911734"
13,21,"423878,805158,911734"
13,23,438114
13,26,288714
14,15,"476566,478530,534619,866133,1005767,1059459"
14,16,478530
14,17,1005767
14,18,132519
14,20,866133
14,21,476566
14,23,115022
14,25,437974
14,27,498303
14,28,498303
14,34,108228
15,22,274953
15,23,"180230,188588,231893,274953,476566,866133"
15,24,"482512,508797"
15,25,"355661,535838"
15,27,"417444,478530"
15,28,355661
15,29,145478
15,31,"460243,1059459"
15,34,1005767
16,22,215374
16,23,188588
16,24,"120248,465308,820248"
16,25,"106174,285090,524668,535838"
16,26,"116517,524668"
16,27,478530
16,28,"285090,402831,524668"
16,29,"843577,1031383"
16,30,"465004,843577"
16,31,"189769,717621"
16,33,223109
16,35,223109
16,38,423611
16,42,423611
17,22,226924
17,23,"180230,309886,390199,1004644"
17,24,"131516,227628,508797,574109"
17,25,"114932,274132,499127,519327,867805"
17,28,397953
17,29,"145478,336247,626547"
17,31,460243
17,34,1005767
17,36,"251114,578902"
17,37,200898
17,40,200898
17,41,251114
18,22,"176750,913899"
18,23,"176750,206416,231893,412666,874591"
18,24,"147391,193191"
