source,target,user_id
0,4,584447
0,5,584447
0,10,584447
0,12,584447
0,13,565366
0,14,584447
0,15,584447
0,16,"584447,735292,761107"
0,17,584447
0,18,584447
0,21,565366
0,55,752568
1,4,"584447,754685"
1,5,"584447,622027"
1,7,521885
1,8,521885
1,9,"622027,754685"
1,10,"584447,622027,754685"
1,12,"584447,622027,754685"
1,13,565366
1,14,584447
1,15,584447
1,16,"584447,622027"
1,17,"521885,584447,622027"
1,18,"584447,622027"
1,20,622027
1,21,"565366,622027"
1,22,"622027,754685"
1,23,622027
1,55,752568
1,61,519887
2,4,"584447,610249,754685"
2,5,"584447,622027"
2,9,"610249,622027,754685"
2,10,"584447,610249,622027,754685"
2,12,"584447,622027,754685"
2,13,610249
2,14,584447
2,15,584447
2,16,"584447,622027"
2,17,"584447,622027"
2,18,"584447,622027"
2,20,622027
2,21,622027
2,22,"610249,622027,754685"
2,23,622027
2,55,752568
3,4,610249
3,9,610249
3,10,610249
3,13,610249
3,22,610249
4,24,"584447,610249,754685"
4,33,754685
4,37,754685
4,38,754685
4,41,"584447,610249,754685"
4,42,754685
4,43,"584447,754685"
4,45,"584447,610249,754685"
4,46,"584447,610249,754685"
4,52,"584447,610249,754685"
4,53,"584447,754685"
4,54,754685
4,55,"584447,754685"
4,56,754685
4,57,"584447,610249,754685"
4,59,754685
4,63,"584447,610249,754685"
4,64,"584447,610249,754685"
4,65,"584447,754685"
5,24,"584447,622027"
5,29,428202
5,30,428202
5,33,622027
5,34,428202
5,37,622027
5,38,622027
5,41,"584447,622027"
5,43,584447
5,44,428202
5,45,"584447,622027"
5,46,"584447,622027"
5,52,"428202,584447,622027"
5,53,584447
5,55,584447
5,57,"584447,622027"
5,63,"584447,622027"
5,64,"584447,622027"
5,65,584447
6,25,"471775,516496"
6,26,471775
6,27,471775
6,28,516496
6,29,471775
6,30,471775
6,31,516496
6,32,"471775,516496"
6,34,715341
6,35,715341
6,36,715341
6,40,516496
6,42,471775
6,44,715341
6,52,"471775,715341"
6,53,471775
6,54,715341
6,55,471775
6,56,715341
6,59,715341
6,60,471775
6,61,"471775,545984"
6,62,516496
7,25,471775
7,26,471775
7,27,471775
7,29,471775
7,30,"471775,521885"
7,32,471775
7,34,715341
7,35,715341
7,36,715341
7,42,471775
7,44,715341
7,52,"471775,715341"
7,53,471775
7,54,715341
7,55,"471775,519469"
7,56,715341
7,59,715341
7,60,471775
7,61,471775
8,25,471775
8,26,471775
8,27,471775
8,29,471775
8,30,"471775,521885"
8,32,471775
8,34,715341
8,35,715341
8,36,715341
8,42,471775
8,44,715341
8,52,"471775,715341"
8,53,471775
8,54,715341
8,55,"471775,519469"
8,56,715341
8,59,715341
8,60,471775
8,61,"471775,545984"
9,24,"610249,622027,754685"
9,26,489055
9,28,489055
9,29,489055
9,31,489055
9,32,489055
9,33,"622027,754685"
9,35,489055
9,37,"622027,754685"
9,38,"622027,754685"
9,41,"610249,622027,754685"
9,42,754685
9,43,754685
9,44,489055
9,45,"610249,622027,754685"
9,46,"610249,622027,754685"
9,52,"610249,622027,754685"
9,53,754685
9,54,"489055,754685"
9,55,754685
9,56,754685
9,57,"610249,622027,754685"
9,59,754685
9,63,"610249,622027,754685"
9,64,"610249,622027,754685"
9,65,754685
10,24,"584447,610249,622027,754685"
10,26,489055
10,28,489055
10,29,489055
10,31,489055
10,32,489055
10,33,"622027,754685"
10,35,489055
10,37,"622027,754685"
10,38,"622027,754685"
10,41,"584447,610249,622027,754685"
10,42,754685
10,43,"584447,754685"
10,44,489055
10,45,"584447,610249,622027,754685"
10,46,"584447,610249,622027,754685"
10,52,"584447,610249,622027,754685"
10,53,"584447,754685"
10,54,"489055,754685"
10,55,"584447,754685"
10,56,754685
10,57,"584447,610249,622027,754685"
10,59,754685
10,63,"584447,610249,622027,754685"
10,64,"584447,610249,622027,754685"
10,65,"584447,754685"
11,25,471775
11,26,471775
11,27,471775
11,29,471775
11,30,471775
11,32,471775
11,42,471775
11,52,471775
11,53,471775
11,55,471775
11,60,471775
11,61,471775
11,66,548624
11,72,"241017,548624"
11,78,548624
12,24,"584447,622027,754685"
12,29,428202
12,30,428202
12,33,"622027,754685"
12,34,428202
12,37,"622027,754685"
12,38,"622027,754685"
12,41,"584447,622027,754685"
12,42,754685
12,43,"584447,754685"
12,44,428202
12,45,"584447,622027,754685"
12,46,"584447,622027,754685"
12,52,"428202,584447,622027,754685"
12,53,"584447,754685"
12,54,754685
12,55,"584447,754685"
12,56,754685
12,57,"584447,622027,754685"
12,59,754685
12,63,"584447,622027,754685"
12,64,"584447,622027,754685"
12,65,"584447,754685"
13,24,"565366,610249"
13,37,565366
13,38,565366
13,41,"565366,610249"
13,45,"565366,610249"
13,46,"565366,610249"
13,52,"565366,610249"
13,57,"565366,610249"
13,63,"565366,610249"
13,64,"565366,610249"
13,85,540247
13,89,540247
14,24,584447
14,25,471775
14,26,"471775,489055"
14,27,471775
14,28,489055
14,29,"471775,489055"
14,30,471775
14,31,489055
14,32,"471775,489055"
14,35,489055
14,41,584447
14,42,471775
14,43,584447
14,44,489055
14,45,584447
14,46,584447
14,52,"471775,584447"
14,53,"471775,584447"
14,54,489055
14,55,"471775,584447"
14,57,584447
14,60,471775
14,61,471775
14,63,584447
14,64,584447
14,65,584447
15,24,584447
15,26,489055
15,28,489055
15,29,489055
15,31,489055
15,32,489055
15,35,489055
15,41,584447
15,43,584447
15,44,489055
15,45,584447
15,46,584447
15,52,584447
15,53,584447
15,54,489055
15,55,584447
15,57,584447
15,63,584447
15,64,584447
15,65,584447
16,24,"555714,584447,622027"
16,26,552972
16,29,"428202,552972"
16,30,"294115,428202"
16,31,294115
16,32,552972
16,33,"555714,622027,849812"
16,34,"294115,428202"
16,35,294115
16,36,294115
16,37,"555714,622027,761107"
16,38,"555714,622027"
16,41,"555714,584447,622027,849812"
16,43,"584447,849812"
16,44,"428202,552972"
16,45,"555714,584447,622027"
16,46,"555714,584447,622027"
16,52,"428202,555714,584447,622027"
16,53,584447
16,55,"363692,535929,584447,619437,761107,849812"
16,57,"555714,584447,622027,849812"
16,59,294115
16,63,"555714,584447,622027"
16,64,"555714,584447,622027,761107,849812"
16,65,"584447,761107,849812"
16,66,548624
16,72,548624
16,78,548624
16,80,735292
17,24,"555714,584447,622027"
17,25,471775
17,26,"471775,489055"
17,27,471775
17,28,489055
17,29,"428202,471775,489055"
17,30,"428202,471775,521885"
17,31,489055
17,32,"471775,489055"
17,33,"555714,622027"
17,34,"428202,715341"
17,35,"489055,715341"
17,36,715341
17,37,"555714,622027"
17,38,"555714,622027"
17,41,"555714,584447,622027"
17,42,471775
17,43,584447
17,44,"428202,489055,715341"
17,45,"555714,584447,622027"
17,46,"555714,584447,622027"
17,52,"428202,471775,555714,584447,622027,715341"
17,53,"471775,584447"
17,54,"489055,715341"
17,55,"471775,519469,584447"
17,56,715341
17,57,"555714,584447,622027"
17,59,715341
17,60,471775
17,61,471775
17,63,"555714,584447,622027"
17,64,"555714,584447,622027"
17,65,584447
17,66,548624
17,72,548624
17,78,548624
18,24,"555714,584447,622027"
18,29,428202
18,30,428202
18,33,"555714,622027"
18,34,428202
18,37,"555714,622027"
18,38,"555714,622027"
18,41,"555714,584447,622027"
18,43,584447
18,44,428202
18,45,"555714,584447,622027"
18,46,"555714,584447,622027"
18,52,"428202,555714,584447,622027"
18,53,584447
18,55,584447
18,57,"555714,584447,622027"
18,63,"555714,584447,622027"
18,64,"555714,584447,622027"
18,65,584447
18,66,548624
18,72,548624
18,78,548624
19,50,187833
19,139,427250
20,24,622027
20,25,471775
20,26,471775
20,27,471775
20,29,471775
20,30,471775
20,32,471775
20,33,622027
20,34,715341
20,35,715341
20,36,715341
20,37,622027
20,38,622027
20,41,622027
20,42,471775
20,44,715341
20,45,622027
20,46,622027
20,52,"471775,622027,715341"
20,53,471775
20,54,715341
20,55,471775
20,56,715341
20,57,622027
20,59,715341
20,60,471775
20,61,471775
20,63,622027
20,64,622027
20,66,548624
20,72,548624
20,78,548624
21,24,"555714,565366,622027"
21,26,489055
21,28,489055
21,29,489055
21,31,489055
21,32,489055
21,33,"555714,622027"
21,35,489055
21,37,"555714,565366,622027"
21,38,"555714,565366,622027"
21,41,"555714,565366,622027"
21,44,489055
21,45,"555714,565366,622027"
21,46,"555714,565366,622027"
21,52,"555714,565366,622027"
21,54,489055
21,57,"555714,565366,622027"
21,63,"555714,565366,622027"
21,64,"555714,565366,622027"
22,24,"555714,610249,622027,754685"
22,26,489055
22,28,489055
22,29,489055
22,31,489055
22,32,489055
22,33,"555714,622027,754685"
22,35,489055
22,37,"555714,622027,754685"
22,38,"555714,622027,754685"
22,41,"555714,610249,622027,754685"
22,42,754685
22,43,754685
22,44,489055
22,45,"555714,610249,622027,754685"
22,46,"555714,610249,622027,754685"
22,52,"555714,610249,622027,754685"
22,53,754685
22,54,"489055,754685"
22,55,754685
22,56,754685
22,57,"555714,610249,622027,754685"
22,59,754685
22,63,"555714,610249,622027,754685"
22,64,"555714,610249,622027,754685"
22,65,754685
23,24,622027
23,25,471775
23,26,471775
23,27,471775
23,29,471775
23,30,471775
23,32,471775
23,33,622027
23,34,715341
23,35,715341
23,36,715341
23,37,622027
23,38,622027
23,41,622027
23,42,471775
23,44,715341
23,45,622027
23,46,622027
23,52,"471775,622027,715341"
23,53,471775
23,54,715341
23,55,471775
23,56,715341
23,57,622027
23,59,715341
23,60,471775
23,61,"471775,545984"
23,63,622027
23,64,622027
23,66,548624
23,72,548624
23,78,548624
24,77,"565366,754685"
24,80,754685
24,90,"555714,610249,622027"
24,91,610249
24,94,610249
24,126,584447
24,127,584447
24,128,584447
24,130,584447
24,131,584447
24,132,584447
24,133,584447
24,142,584447
24,146,584447
24,147,584447
24,148,584447
25,69,"471775,971894"
25,71,"471775,971894"
25,73,"471775,516496,971894"
25,74,"471775,516496,971894"
25,75,971894
25,76,971894
25,77,971894
25,78,"471775,971894"
25,79,"471775,971894"
25,80,471775
25,83,"471775,971894"
26,66,489055
26,67,489055
26,68,489055
26,69,"471775,489055"
26,71,"471775,489055"
26,73,471775
26,74,"471775,489055"
26,78,471775
26,79,471775
26,80,471775
26,83,"471775,489055"
26,99,552972
26,101,552972
27,69,471775
27,71,471775
27,73,471775
27,74,471775
27,78,"471775,911614"
27,79,471775
27,80,471775
27,83,471775
27,106,455008
27,118,455008
28,66,489055
28,67,489055
28,68,489055
28,69,489055
28,71,489055
28,73,516496
28,74,"489055,516496"
28,78,911614
28,83,489055
29,66,489055
29,67,489055
29,68,"428202,489055"
29,69,"471775,489055"
29,71,"471775,489055"
29,73,471775
29,74,"471775,489055"
29,77,428202
29,78,471775
29,79,"428202,471775"
29,80,471775
29,83,"471775,489055"
29,99,552972
29,101,552972
30,68,428202
30,69,"471775,971894"
30,71,"471775,521885,971894"
30,73,"471775,971894"
30,74,"471775,971894"
30,75,971894
30,76,971894
30,77,"428202,971894"
30,78,"471775,971894"
30,79,"428202,471775,971894"
30,80,471775
30,83,"471775,971894"
30,106,455008
30,118,455008
30,149,294115
30,159,294115
30,160,294115
30,161,294115
30,162,294115
30,163,294115
30,169,294115
31,66,489055
31,67,489055
31,68,489055
31,69,"489055,971894"
31,71,"489055,971894"
31,73,"516496,971894"
31,74,"489055,516496,971894"
31,75,971894
31,76,971894
31,77,971894
31,78,971894
31,79,971894
31,83,"489055,971894"
31,149,294115
31,159,294115
31,160,294115
31,161,294115
31,162,294115
31,163,294115
31,169,294115
32,66,489055
32,67,489055
32,68,489055
32,69,"471775,489055"
32,71,"471775,489055"
32,73,"471775,516496"
32,74,"471775,489055,516496"
32,78,471775
32,79,471775
32,80,471775
32,83,"471775,489055"
32,99,552972
32,101,552972
32,106,455008
32,118,455008
33,70,849812
33,76,849812
33,77,754685
33,80,"754685,849812"
33,90,"555714,622027"
34,67,"400722,715341"
34,68,"400722,428202,715341"
34,69,400722
34,71,400722
34,74,400722
34,77,428202
34,78,911614
34,79,428202
34,83,"400722,715341"
34,91,519885
34,149,294115
34,159,294115
34,160,294115
34,161,294115
34,162,294115
34,163,294115
34,169,294115
35,66,489055
35,67,"400722,489055,715341"
35,68,"400722,489055,715341"
35,69,"400722,489055"
35,71,"400722,489055"
35,74,"400722,489055"
35,78,911614
35,83,"400722,489055,715341"
35,149,294115
35,159,294115
35,160,294115
35,161,294115
35,162,294115
35,163,294115
35,169,294115
36,67,"400722,715341"
36,68,"400722,715341"
36,69,400722
36,71,400722
36,74,400722
36,78,911614
36,83,"400722,715341"
36,149,294115
36,159,294115
36,160,294115
36,161,294115
36,162,294115
36,163,294115
36,169,294115
37,77,"565366,754685"
37,80,"754685,761107"
37,90,"555714,622027"
38,77,"565366,754685"
38,80,754685
38,90,"555714,622027"
39,71,468837
39,78,911614
39,79,468837
39,106,"455008,505859"
39,109,505859
39,110,505859
39,114,505859
39,116,505859
39,118,"455008,505859"
39,120,505859
40,73,516496
40,74,516496
40,78,911614
41,70,849812
41,76,849812
41,77,"565366,754685"
41,80,"754685,849812"
41,90,"555714,610249,622027"
41,91,610249
41,94,610249
41,126,584447
41,127,584447
41,128,584447
41,130,584447
41,131,584447
41,132,584447
41,133,584447
41,142,584447
41,146,584447
41,147,584447
41,148,584447
42,69,"471775,971894"
42,71,"471775,971894"
42,73,"471775,971894"
42,74,"471775,971894"
42,75,971894
42,76,971894
42,77,"754685,971894"
42,78,"471775,971894"
42,79,"471775,971894"
42,80,"471775,754685"
42,83,"471775,971894"
42,91,719763
43,70,849812
43,76,849812
43,77,754685
43,80,"754685,849812"
43,126,584447
43,127,584447
43,128,584447
43,130,584447
43,131,584447
43,132,584447
43,133,584447
43,142,584447
43,146,584447
43,147,584447
43,148,584447
44,66,489055
44,67,"489055,715341"
44,68,"428202,489055,715341"
44,69,489055
44,71,489055
44,74,489055
44,77,428202
44,79,428202
44,83,"489055,715341"
44,91,519885
44,99,552972
44,101,552972
45,69,971894
45,71,971894
45,73,971894
45,74,971894
45,75,971894
45,76,971894
45,77,"565366,754685,971894"
45,78,971894
45,79,971894
45,80,754685
45,83,971894
45,90,"555714,610249,622027"
45,91,610249
45,94,610249
45,126,584447
45,127,584447
45,128,584447
45,130,584447
45,131,584447
45,132,584447
45,133,584447
45,142,584447
45,146,584447
45,147,584447
45,148,584447
46,77,"565366,754685"
46,80,754685
46,90,"555714,610249,622027"
46,91,610249
46,94,610249
46,126,584447
46,127,584447
46,128,584447
46,130,584447
46,131,584447
46,132,584447
46,133,584447
46,142,584447
46,146,584447
46,147,584447
46,148,584447
47,102,"110899,464331"
47,139,"270220,314647,427096,432305,602580,616689,739860,751640"
47,168,"244827,681522"
47,196,421137
48,139,314647
48,168,681522
49,93,"610037,734723"
50,139,187833
51,93,734723
52,67,715341
52,68,"428202,715341"
52,69,471775
52,71,471775
52,73,471775
52,74,471775
52,77,"428202,565366,754685"
52,78,471775
52,79,"428202,471775"
52,80,"471775,754685"
52,83,"471775,715341"
52,90,"555714,610249,622027"
52,91,"519885,610249"
52,94,610249
52,106,505859
52,109,505859
52,110,505859
52,114,505859
52,116,505859
52,118,505859
52,120,505859
52,126,584447
52,127,584447
52,128,584447
52,130,584447
52,131,584447
52,132,584447
52,133,584447
52,142,584447
52,146,584447
52,147,584447
52,148,584447
53,69,471775
53,71,471775
53,73,471775
53,74,471775
53,77,754685
53,78,471775
53,79,471775
53,80,"471775,754685"
53,83,471775
53,91,519885
53,126,584447
53,127,584447
53,128,584447
53,130,584447
53,131,584447
53,132,584447
53,133,584447
53,142,584447
53,146,584447
53,147,584447
53,148,584447
54,66,489055
54,67,"489055,715341"
54,68,"489055,715341"
54,69,489055
54,71,489055
54,74,489055
54,77,754685
54,80,754685
54,83,"489055,715341"
54,106,505859
54,109,505859
54,110,505859
54,114,505859
54,116,505859
54,118,505859
54,120,505859
55,69,471775
55,70,849812
55,71,471775
55,73,471775
55,74,471775
55,75,619437
55,76,"619437,752568,849812"
55,77,"619437,754685"
55,78,471775
55,79,471775
55,80,"471775,519469,619437,749414,752568,754685,761107,849812"
55,83,471775
55,91,"519885,535929"
55,126,584447
55,127,584447
55,128,584447
55,130,584447
55,131,584447
55,132,584447
55,133,584447
55,142,"363692,584447"
55,146,584447
55,147,584447
55,148,584447
56,67,715341
56,68,715341
56,77,754685
56,80,754685
56,83,715341
56,106,505859
56,109,505859
56,110,505859
56,114,505859
56,116,505859
56,118,505859
56,120,505859
57,70,849812
57,76,849812
57,77,"565366,754685"
57,80,"754685,849812"
57,90,"555714,610249,622027"
57,91,610249
57,94,610249
57,126,584447
57,127,584447
57,128,584447
57,130,584447
57,131,584447
57,132,584447
57,133,584447
57,142,584447
57,146,584447
57,147,584447
57,148,584447
58,69,971894
58,71,971894
58,73,971894
58,74,971894
58,75,971894
58,76,971894
58,77,971894
58,78,971894
58,79,971894
58,83,971894
59,67,"400722,715341"
59,68,"400722,715341"
59,69,"400722,971894"
59,71,"400722,468837,971894"
59,73,971894
59,74,"400722,971894"
59,75,971894
59,76,971894
59,77,"754685,971894"
59,78,"911614,971894"
59,79,"468837,971894"
59,80,754685
59,83,"400722,715341,971894"
59,106,505859
59,109,505859
59,110,505859
59,114,505859
59,116,505859
59,118,505859
59,120,505859
59,149,294115
59,159,294115
59,160,294115
59,161,294115
59,162,294115
59,163,294115
59,169,294115
60,69,471775
60,71,471775
60,73,471775
60,74,471775
60,78,471775
60,79,471775
60,80,471775
60,83,471775
60,91,519885
61,69,"471775,971894"
61,71,"471775,971894"
61,73,"471775,971894"
61,74,"471775,971894"
61,75,971894
61,76,971894
61,77,971894
61,78,"471775,971894"
61,79,"471775,971894"
61,80,471775
61,83,"471775,971894"
61,84,519887
61,87,519887
61,88,519887
61,91,519885
61,149,545984
61,159,545984
61,161,545984
61,169,545984
62,69,971894
62,71,971894
62,73,"516496,971894"
62,74,"516496,971894"
62,75,971894
62,76,971894
62,77,971894
62,78,971894
62,79,971894
62,83,971894
62,89,156096
63,77,"565366,754685"
63,80,754685
63,90,"555714,610249,622027"
63,91,"519885,610249"
63,94,610249
63,126,584447
63,127,584447
63,128,584447
63,130,584447
63,131,584447
63,132,584447
63,133,584447
63,142,584447
63,146,584447
63,147,584447
63,148,584447
64,70,849812
64,76,849812
64,77,"565366,754685"
64,80,"754685,761107,849812"
64,90,"555714,610249,622027"
64,91,"519885,610249"
64,94,610249
64,126,584447
64,127,584447
64,128,584447
64,130,584447
64,131,584447
64,132,584447
64,133,584447
64,142,584447
64,146,584447
64,147,584447
64,148,584447
65,70,849812
65,76,849812
65,77,754685
65,80,"754685,761107,849812"
65,91,519885
65,126,584447
65,127,584447
65,128,584447
65,130,584447
65,131,584447
65,132,584447
65,133,584447
65,142,584447
65,146,584447
65,147,584447
65,148,584447
66,84,489055
66,88,489055
66,90,489055
66,91,548624
66,118,563837
67,84,489055
67,88,489055
67,90,489055
67,99,518902
67,154,400722
67,155,400722
67,159,400722
67,178,715341
67,180,715341
67,183,715341
67,192,715341
68,84,"428202,489055"
68,87,963615
68,88,"428202,489055,963615"
68,90,489055
68,99,518902
68,154,400722
68,155,400722
68,159,400722
68,178,715341
68,180,715341
68,183,715341
68,192,715341
69,84,489055
69,88,489055
69,90,489055
69,99,518902
69,100,471775
69,106,971894
69,117,971894
69,118,971894
69,121,971894
69,154,400722
69,155,400722
69,159,400722
70,91,849812
71,84,"489055,521885"
71,87,521885
71,88,"489055,521885"
71,90,489055
71,99,518902
71,100,471775
71,106,971894
71,117,971894
71,118,971894
71,121,971894
71,123,468837
71,154,400722
71,155,400722
71,159,400722
72,86,241017
72,91,548624
72,118,563837
73,100,471775
73,106,971894
73,117,971894
73,118,"563837,971894"
73,121,971894
73,215,516496
74,84,489055
74,88,489055
74,90,489055
74,99,518902
74,100,471775
74,106,971894
74,117,971894
74,118,971894
74,121,971894
74,154,400722
74,155,400722
74,159,400722
74,215,516496
75,85,619437
75,91,619437
75,106,971894
75,117,971894
75,118,971894
75,121,971894
76,85,619437
76,91,"619437,752568,849812"
76,106,971894
76,117,971894
76,118,971894
76,121,971894
77,84,428202
77,85,619437
77,88,428202
77,90,754685
77,91,"619437,754685"
77,94,754685
77,105,565366
77,106,971894
77,117,971894
77,118,971894
77,121,971894
78,91,548624
78,99,911614
78,100,471775
78,106,971894
78,117,971894
78,118,"563837,971894"
78,121,971894
79,84,428202
79,87,963615
79,88,"428202,963615"
79,100,471775
79,106,971894
79,117,971894
79,118,971894
79,121,971894
79,123,468837
80,85,619437
80,87,963615
80,88,963615
80,90,"754685,761107,964774"
80,91,"619437,735292,752568,754685,761107,849812,964774"
80,94,"754685,761107,964774"
80,96,"519469,749414"
80,100,471775
81,92,123777
81,93,979705
83,84,489055
83,88,489055
83,90,489055
83,99,518902
83,100,471775
83,106,971894
83,117,971894
83,118,"563837,971894"
83,121,971894
83,154,400722
83,155,400722
83,159,400722
83,178,715341
83,180,715341
83,183,715341
83,192,715341
84,96,428202
84,114,519887
84,116,519887
84,118,519887
84,120,519887
85,96,619437
85,146,540247
86,101,263913
86,138,241017
87,107,963615
87,109,963615
87,110,963615
87,114,519887
87,116,519887
87,118,519887
87,119,963615
87,120,"519887,963615"
87,121,963615
87,122,963615
88,96,"428202,993844"
88,107,963615
88,109,963615
88,110,963615
88,114,519887
88,116,519887
88,118,519887
88,119,963615
88,120,"519887,963615"
88,121,963615
88,122,963615
89,146,540247
89,212,156096
89,215,156096
90,96,"754685,761107,964774,993844"
90,97,754685
90,105,610249
90,108,610249
90,126,555714
90,127,555714
90,142,555714
90,199,622027
91,96,"548624,619437,735292,752568,754685,761107,849812,964774,1014685"
91,97,"754685,849812"
91,100,519885
91,105,"610249,719763"
91,108,610249
91,142,535929
92,102,425954
92,124,123777
93,95,"610037,734723,979705,988692,998545"
94,96,"754685,761107,964774"
94,97,754685
94,105,610249
94,108,610249
95,103,"610037,979705,988692,998545"
95,125,734723
96,98,619437
96,100,"428202,519469,619437,735292,749414,752568,964774,1007975,1014685,1034094,1054006"
96,101,619437
96,105,754685
96,108,761107
96,111,849812
96,117,849812
96,123,"849812,993844,1036452,1037646"
96,203,548624
97,105,754685
97,111,849812
97,117,849812
97,123,"849812,1037646"
98,117,619437
98,123,619437
99,112,518902
99,120,518902
99,128,911614
99,129,911614
99,134,911614
99,136,911614
99,137,911614
99,144,911614
99,154,552972
