,user_id
1,9,197718
2,10,377365
3,11,"345108,751640,607784,191561,787610,122584,427250,421137,314647,460228,464331,368080,612824"
4,12,"735292,574634,517346,751356,584447,616225,758594,752568,622013"
4,14,"735292,574634,751356"
4,17,"735292,574634,751356,758594"
6,12,"735292,574634,584447"
6,14,"735292,574634"
6,17,"735292,442439,574634"
1,19,364804
2,21,281256
2,23,473266
3,20,"324104,347715,264526,123801,166316,557999,567220,187833"
3,24,567220
4,22,565366
5,19,"470752,354730"
6,20,294969
6,22,761107
6,23,294969
9,19,125579
10,19,377365
10,21,"436333,769912"
11,20,"751640,607784,787610,122584,616689,427250,421137,314647,460228,464331,612824,543214"
12,20,616225
12,22,"735292,428202,574634,517346,584447,616225,758594,752568"
12,23,"735292,574634,752568"
14,22,"735292,574634"
14,23,"735292,574634"
16,25,100977
17,22,"735292,574634,758594"
17,23,"735292,574634,172406"
0,26,"756856,457865"
0,27,756856
1,27,134631
2,26,"330312,233072,213211,506588,615217,435091,288714,316895"
3,28,"270517,752912,319317,403445"
5,31,"180415,576380"
9,26,"490190,140784"
9,27,"344704,307966"
10,26,"163878,463550"
11,28,"592390,739860,715296,191561,385713,104293,519059,368080"
12,29,"751356,622013"
14,29,751356
15,31,515864
16,32,"287468,528757"
17,29,751356
19,26,"550293,112041"
19,30,470752
20,28,"324104,751640,607784,347715,787610,651436,620236,483533,122584,616689,427250,421137,314647,166316,557999,567220,187833,460228,464331,612824,543214"
20,29,616225
21,26,560291
22,29,"602649,735292,565366,428202,574634,761107,616225,758594,719763,752568,622027"
22,33,"602649,758594"
23,29,"602649,735292,574634,752568"
23,33,"602649,172406"
24,28,567220
25,32,273854
0,35,406484
1,34,"715934,298450,429530,380689,251719"
2,35,"184841,238881"
4,37,754685
5,44,610511
7,39,234017
8,45,"138395,208744"
9,34,"447321,197718,230980"
9,39,369391
9,40,447321
10,35,"188482,195200,496685,584986,355838,476702,118554"
11,36,"427096,523545"
13,34,264832
13,39,313520
15,40,126551
16,41,778698
19,34,"291261,377365,125579,668724"
19,40,354730
20,36,"264526,489886,123801,420842,621627"
20,38,287867
21,35,"281256,125615"
22,37,584447
22,38,584447
25,41,"100977,613132"
26,34,112041
26,42,836821
27,34,607089
27,35,298742
28,36,"751640,483533,616689,612824,543214,324104,739860,519059,191561,787610,427250,752912,421137,314647,187833,460228,464331,292347,607784,620236,122584,104293,864160,403445"
28,38,"464331,292347"
29,37,"735292,565366,602649,758594,752568,380150,622027,751356,616225"
30,40,470752
32,41,287468
33,37,"602649,758594"
0,51,704816
1,46,"270370,506019,457077,193677"
2,47,"600263,365174"
3,48,261384
7,49,718355
9,46,199285
15,53,621048
16,53,294568
16,55,544783
18,56,723962
19,46,"364804,617647,152806,237181"
19,51,"523013,152806"
20,48,"248473,287610"
21,47,"422118,282188"
24,51,293992
25,55,"121147,524613"
26,47,"555013,548900"
27,46,267277
28,48,"266488,385713,500716,461998,347715,663289,319317,270220,567220"
28,49,"592390,663289"
28,51,130532
29,50,"574634,761107,622013,521885"
31,53,588236
34,46,"125579,173033,298450"
34,47,173033
34,51,472871
35,47,281256
35,54,480373
36,48,"751640,483533,602580,612824,739860,123801,191561,787610,752912,314647,187833,460228,292347,607784,864160,403445"
36,49,"739860,427096,187833"
37,50,"505859,735292,348261,565366,602649,555714,758594,752568,531393,622027,616225"
38,48,292347
38,49,442141
38,52,468745
1,58,"420063,378650"
1,61,608653
2,59,"497772,733800,626070,583156"
2,63,480899
3,60,"113036,543714"
3,61,559445
5,61,624179
7,65,195105
8,66,"387101,402047"
9,58,"604625,221900,433003,523195"
9,59,183978
9,63,"604625,392099"
10,59,252901
11,60,"612410,503953,379133,345108,351686"
15,69,363005
19,58,"543323,353820,325354"
19,63,111890
20,60,396609
21,59,"375104,123618,454219,368624"
24,63,353337
26,58,218106
26,59,"511024,339428"
27,58,"287608,293965"
28,60,"651436,166316,715296,557999,738639"
29,62,428202
29,64,428202
29,65,428202
33,64,172406
34,58,562031
34,63,186974
36,59,108067
36,60,"543214,459432,605022,420842,427250,464331,681522,620236"
37,62,471775
38,59,101392
38,60,464331
40,58,470752
41,60,459432
44,61,610511
44,65,"610511,873925"
46,58,125579
48,60,"751640,483533,602580,264917,191561,787610,314647,187833,460228,292347,607784,663289,270220,864160,567220,403445"
48,61,460228
49,60,"592390,187833,663289"
49,70,718355
50,62,"735292,565366,602649,555714,752568,531393,574634,761107,622013"
50,64,"531393,574634"
51,58,794978
51,63,109302
52,67,428651
2,73,"693851,143488,493696,518488"
3,71,551228
5,76,247304
7,76,247304
9,72,409846
10,73,"563868,412376,407441"
11,71,"244827,389285"
13,76,"515602,616924"
13,80,616924
15,76,"515602,674344"
16,75,301402
19,72,121730
20,71,293947
21,73,153534
21,76,594063
25,75,104518
26,73,"176750,257663,128265,146201,550293,598984"
27,72,416080
28,71,"485938,270517,368080"
29,74,616565
30,80,491256
31,78,"622174,576380,291218"
32,75,419999
34,72,"359007,112041"
34,73,"868017,606450"
34,79,359007
35,73,"348212,868017"
36,71,"324104,239757,616689,264526,104293,353175"
36,77,122584
37,74,"754772,751356"
38,71,239757
39,75,490737
40,72,470042
41,75,778698
47,73,281256
48,71,"739860,385713,752912,123801,612824"
49,71,"739860,427096,235462"
50,74,758594
51,71,130532
51,73,120927
51,76,271035
52,81,468355
56,73,393462
58,72,125579
60,71,"607784,503953,427250,663289,379133,314647,270220,864160,187833,460228,602580,420842,543214,403445"
60,77,403445
61,71,"110899,460228"
62,74,"602649,735292,565366,574634,555714,471775,761107,752568"
63,75,570691
63,76,109302
64,74,574634
67,79,365900
68,80,375108
70,78,718355
1,82,231496
1,83,"342654,314863,286321"
2,82,"343449,134880"
2,88,617729
9,83,448117
9,85,448117
10,82,"604581,484493,542277"
19,83,"350800,299637"
21,82,"518808,580580,185724"
23,91,102647
26,82,"241671,163878,323778,330312,463550,506588,605523,316895,288714"
26,83,756856
26,89,184070
27,83,"448585,602293,229711,506392,756856,220306"
27,85,296181
28,84,605006
29,86,518871
30,87,169402
32,87,169402
33,86,518871
34,83,"193056,607089,715934,869865,333674"
34,90,447321
35,82,"123035,514478,772616,610931,504538,432898,306020,355203,406484,535596,343259,584986,238881,341341,355838,298742,583460,378736"
35,85,468467
36,84,"421137,523545"
37,86,"695135,519469"
39,85,545944
40,90,"354730,447321"
41,87,287468
42,82,535596
42,89,479246
45,89,"479246,757332"
46,83,"115022,173033,267277,106150"
46,85,152806
47,82,178285
47,83,173033
48,84,"140480,261384,319317,604098"
49,84,"604098,210939"
49,90,449176
50,86,"840247,622027"
51,85,"114989,523013,152806"
56,82,543243
58,83,"362768,562031,325354"
59,82,"497772,480524,226924"
59,87,309947
59,88,368624
60,82,302502
60,84,"751640,483533,113036,656209,787610,464331,292347,880608"
60,87,787610
61,82,427408
62,86,"428202,535929,849812"
62,91,535929
64,86,"428202,535929,849812"
64,91,535929
65,83,195105
65,85,195105
65,86,428202
65,88,308393
66,89,465370
71,84,"503953,270517,264526,612824,543214,324104,217779,285517,293947,427096,484590,314647,460228,368080,663289,104293,270220,864160,403445"
72,83,"409846,125579"
73,82,"550293,415206,868017"
74,86,"518914,758594,752568,761107,908778,751356"
74,91,761107
75,87,"104518,419999,301402"
76,90,441047
77,84,403445
1,92,"417862,290616"
2,93,"272441,387373,401971,693202,520008"
9,100,270415
10,93,"555618,504682,222403,105769,157047"
13,95,288466
14,93,157047
19,92,"535047,606879,578365,462438"
20,93,294969
20,94,336730
21,93,"125045,479396,443524"
23,93,"294969,473266"
26,93,"725674,171799"
26,99,569912
27,92,"271640,134631"
30,95,137677
34,92,"454692,521974,380689,757685"
34,93,592510
34,95,380689
35,93,"188482,215341,195200,181027,496685,880102,476702,558639,284341,118554"
36,92,299418
36,94,489886
39,95,234017
40,97,465110
42,99,836821
45,99,430159
46,92,"239730,340311,199285,320242,298450,112511"
47,93,"480366,132260,456059"
48,94,"381310,248473,500716,347715"
50,96,616225
56,92,723962
56,99,410392
57,98,600607
58,92,"526976,378650"
59,93,507920
60,94,"612410,166316,592390,557999,543714,620236"
61,92,608653
61,94,559445
61,95,399611
61,98,890224
62,96,622013
66,99,402047
66,100,113725
71,94,"110899,602580,485938,449488,420842,427250,752912,187833,607784,579124,521982,143182"
73,92,606450
73,93,"348212,606450,464230"
74,96,"735292,565366,616565,555714,842941"
74,98,616565
75,94,162567
76,95,247304
77,94,"449488,122584"
78,97,576380
80,100,375108
82,93,"550293,868017"
83,92,125579
84,94,"751640,503953,483533,913872,612824,324104,285517,293947,427096,787610,484590,314647,460228,464331,368080,104293,270220,864160,403445"
84,96,913872
86,92,535929
86,94,913872
86,96,"913872,840247,518871,752568,761107,908778"
86,98,518305
87,94,787610
87,97,127760
88,98,518305
90,92,"354730,441047,447321"
90,95,441047
91,92,535929
91,96,761107
1,101,566886
1,113,517640
8,112,189043
9,101,147333
10,103,138325
11,102,"210355,118478"
16,102,210355
19,101,322207
19,103,430029
20,102,145875
24,103,430029
26,103,228856
27,101,"419944,434047"
27,104,419944
27,106,298776
27,109,298776
29,102,428189
31,104,622143
34,101,"198697,109498,609428,359909,607833"
35,103,"675569,473077"
36,102,717415
39,101,369391
46,101,"309563,363046,579001,470645"
46,104,579001
47,103,"143382,365174,189637"
51,101,"324402,472871"
51,108,118229
53,108,621048
54,103,480373
56,112,879270
58,101,"403759,287608,732484"
58,103,"494566,732484"
58,109,417564
59,103,"454219,253934"
60,102,"375821,191561,351686"
60,104,112044
60,110,459432
61,102,499712
61,108,624179
63,101,111890
63,112,333036
64,111,172406
