source,target,user_id
0,3,"870976,322207,320242,113797,480524,470752,530327"
1,3,480524
1,4,281256
2,3,"609205,1027715"
2,4,606450
0,3,"870976,322207,320242,113797,480524,470752,530327"
0,8,"870976,322207,320242,113797,480524,470752,530327"
0,22,794721
0,28,470752
0,29,470752
0,30,191995
0,52,537145
0,64,537145
0,65,537145
0,109,113725
0,139,191995
0,146,537145
0,147,537145
0,164,191995
0,227,918078
0,259,865871
0,270,470752
0,281,191995
0,347,244198
1,3,480524
1,4,281256
1,8,480524
1,9,281256
1,42,128265
2,3,"609205,1027715"
2,4,606450
2,8,"609205,1027715"
2,9,606450
2,343,817595
0,3,"870976,322207,320242,113797,480524,470752,530327"
0,8,"870976,322207,320242,113797,480524,470752,530327"
0,22,"794721,794721"
0,28,470752
0,29,470752
0,270,470752
0,349,"559452,870976,322207,824022,320242,607089,142418,113797,896260,480524,470752,462697,530327,550893"
0,355,"794721,794721"
1,3,480524
1,4,281256
1,8,480524
1,9,281256
1,349,480524
1,350,281256
2,3,"609205,1027715"
2,4,606450
2,8,"609205,1027715"
2,9,606450
2,349,"578038,607089,609205,1027715"
2,350,"606450,446865"
2,351,578038
2,355,535916
0,3,"870976,322207,320242,113797,480524,470752,530327"
0,8,"870976,322207,320242,113797,480524,470752,530327"
0,28,470752
0,29,470752
0,270,470752
0,349,"559452,870976,322207,824022,320242,607089,142418,113797,896260,480524,470752,462697,530327,550893"
0,358,"387239,559452,870976,322207,824022,320242,371498,607089,142418,113797,896260,480524,200391,470752,462697,530327,550893"
0,359,186974
1,3,480524
1,4,281256
1,8,480524
1,9,281256
1,349,480524
1,350,281256
1,358,"307536,480524"
1,360,"307536,281256,507835"
1,362,"125615,739109"
2,3,"609205,1027715"
2,4,606450
2,8,"609205,1027715"
2,9,606450
2,343,817595
2,349,"578038,607089,609205,1027715"
2,350,"606450,446865"
2,351,578038
2,358,"578038,607089,609205,1027715"
2,359,"817595,578038,609205,1027715"
2,360,"606450,446865"
0,3,"320242,870976,322207,470752,480524,530327,113797"
0,8,"320242,870976,322207,470752,480524,530327,113797"
0,28,470752
0,29,470752
0,270,470752
0,349,"320242,607089,550893,559452,870976,322207,142418,896260,470752,462697,824022,480524,530327,113797"
0,358,"320242,607089,550893,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,359,186974
0,363,"320242,607089,550578,239503,550893,469049,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,364,"607089,322207,576981,186974"
0,365,322207
1,3,480524
1,4,281256
1,8,480524
1,9,281256
1,349,480524
1,350,281256
1,358,"307536,480524"
1,360,"281256,307536,507835"
1,363,"307536,480524"
1,365,"476702,281256,355203,323778,307536,176750,472947,507835"
2,3,"609205,1027715"
2,4,606450
2,8,"609205,1027715"
2,9,606450
2,343,817595
2,349,"607089,609205,1027715,578038"
2,350,"606450,446865"
2,351,578038
2,355,535916
2,358,"607089,609205,1027715,578038"
2,359,"609205,1027715,578038,817595"
2,360,"606450,446865"
2,363,"607089,239503,609205,535916,1027715,578038,562698"
2,364,"607089,615774,674222,609205,355838,1027715,578038,193056,817595"
2,365,"606450,634282,1027715,446865"
0,3,"320242,870976,322207,470752,480524,530327,113797"
0,8,"320242,870976,322207,470752,480524,530327,113797"
0,28,470752
0,29,470752
0,270,470752
0,349,"320242,607089,550893,559452,870976,322207,142418,896260,470752,462697,824022,480524,530327,113797"
0,358,"320242,607089,550893,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,359,186974
0,363,"320242,607089,550578,239503,550893,469049,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,364,"607089,322207,576981,186974"
0,365,322207
0,367,"320242,607089,550578,239503,550893,469049,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,368,"123618,322207,840115,480524"
0,369,"607089,550893,322207,970021,576981,462697,397621,186974"
1,3,480524
1,4,281256
1,8,480524
1,9,281256
1,349,480524
1,350,281256
1,358,"307536,480524"
1,360,"281256,307536,507835"
1,363,"307536,480524"
1,365,"476702,281256,355203,323778,307536,176750,472947,507835"
1,367,"453918,307536,480524,473077"
1,368,"123618,476702,281256,355203,101392,453918,864313,487513,323778,307536,840115,176750,480524,349622,472947,473077,195200,507835"
2,3,"609205,1027715"
2,4,606450
2,8,"609205,1027715"
2,9,606450
2,343,817595
2,349,"607089,609205,1027715,578038"
2,350,"606450,446865"
2,351,578038
2,355,535916
2,358,"607089,609205,1027715,578038"
2,359,"609205,1027715,578038,817595"
2,360,"606450,446865"
2,363,"607089,239503,609205,535916,1027715,578038,562698"
2,364,"607089,615774,674222,609205,355838,1027715,578038,193056,817595"
2,365,"606450,634282,1027715,446865"
2,367,"607089,239503,609205,535916,1027715,578038,562698"
2,368,"606450,634282,1027715,446865"
2,369,"606450,607089,615774,674222,609205,970021,478530,634282,355838,1027715,578038,193056,333674,817595"
0,3,"320242,870976,322207,470752,480524,530327,113797"
0,8,"320242,870976,322207,470752,480524,530327,113797"
0,28,470752
0,29,470752
0,109,113725
0,270,470752
0,349,"320242,607089,550893,559452,870976,322207,142418,896260,470752,462697,824022,480524,530327,113797"
0,358,"320242,607089,550893,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,359,186974
0,363,"320242,607089,550578,239503,550893,469049,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,364,"607089,322207,576981,186974"
0,365,322207
0,367,"320242,607089,550578,239503,550893,469049,387239,559452,870976,322207,371498,142418,896260,200391,470752,462697,824022,480524,530327,113797"
0,368,"123618,322207,840115,480524"
0,369,"607089,550893,322207,970021,576981,462697,397621,186974"
0,371,"320242,607089,550578,239503,550893,469049,387239,559452,870976,322207,371498,568132,142418,896260,200391,470752,462697,824022,480524,529805,530327,973330,514931,588699,113797"
0,372,"607089,550893,322207,970021,576981,462697,397621,186974"
0,373,"123618,322207,840115,480524"
0,375,"518075,209659,890216,113725,908504"
1,3,480524
1,4,281256
1,8,480524
1,9,281256
1,349,480524
1,350,281256
1,358,"307536,480524"
1,360,"281256,307536,507835"
1,363,"307536,480524"
1,365,"476702,281256,355203,323778,307536,176750,472947,507835"
1,367,"453918,307536,480524,473077"
1,368,"123618,476702,281256,355203,101392,453918,864313,487513,323778,307536,840115,176750,480524,349622,472947,473077,195200,507835"
1,371,"453918,307536,480524,473077"
1,373,"123618,132260,476702,281256,355203,101392,453918,864313,487513,323778,307536,840115,176750,480366,480524,349622,472947,473077,195200,203487,507835"
1,375,307536
2,3,"609205,1027715"
2,4,606450
2,8,"609205,1027715"
2,9,606450
2,343,817595
2,349,"607089,609205,1027715,578038"
2,350,"606450,446865"
2,351,578038
2,355,535916
2,358,"607089,609205,1027715,578038"
2,359,"609205,1027715,578038,817595"
2,360,"606450,446865"
2,363,"607089,239503,609205,535916,1027715,578038,562698"
2,364,"607089,615774,674222,609205,355838,1027715,578038,193056,817595"
2,365,"606450,634282,1027715,446865"
2,367,"607089,239503,609205,535916,1027715,578038,562698"
2,368,"606450,634282,1027715,446865"
2,369,"606450,607089,615774,674222,609205,970021,478530,634282,355838,1027715,578038,193056,333674,817595"
2,371,"607089,239503,609205,478530,535916,1027715,578038,562698"
2,372,"606450,607089,615774,353820,674222,609205,970021,478530,535916,634282,355838,1027715,962422,578038,193056,333674,817595"
2,373,"606450,634282,1027715,446865"
2,375,"451756,890216"
