source,target,user_id
0,3,264679
0,4,"221900,866133"
0,5,"221900,478530,866133"
0,6,"118606,410571"
0,16,285365
0,25,115022
0,54,428273
1,2,"178285,226924,288714,432898"
1,3,176750
1,4,585456
1,7,"150269,343202,585456"
1,16,226985
1,27,116517
2,3,"149886,226924,273864,303696,474879"
2,4,432898
2,7,432898
2,10,"288714,913899"
2,23,"223109,580829"
2,30,301967
2,31,301967
2,49,178285
3,5,264679
3,6,176750
3,7,"226924,273864,303696,474879,923982"
3,8,"149886,472947"
3,23,317586
3,32,154132
3,49,146032
4,8,432898
4,9,"221900,465308"
4,11,"380236,717621"
4,12,"168953,285090,355812"
4,13,132519
4,14,"114932,132519,332635,574109"
4,16,585456
4,17,866133
4,22,251114
4,43,575523
5,9,221900
5,11,876768
5,12,280880
5,13,"274953,280880,476566"
5,14,264679
5,17,"478530,498303,866133"
5,18,355661
5,20,145478
5,26,482512
5,28,482512
6,9,176750
6,10,176750
6,11,"118606,193191"
6,12,390199
6,14,274132
6,17,498303
6,26,482512
6,28,482512
6,35,538133
6,52,119521
6,93,410571
7,8,"150269,226924,343202,432898,923982"
7,10,"273864,303696"
7,16,"252704,585456"
7,21,"191681,474879"
8,9,432898
8,10,"343202,432898"
8,14,226924
8,15,923982
8,16,"149886,923982"
8,19,472947
8,35,468551
8,39,278491
8,41,"150269,278491"
8,43,150269
9,12,"176750,221900"
9,13,"221900,465308"
9,14,188309
9,15,"180230,711978"
9,16,432898
9,18,438114
9,22,483211
10,12,"176750,273864"
10,13,273864
10,16,"215374,303696,432898,516389,913899"
10,18,288714
10,19,343202
11,17,118606
11,18,189283
11,20,717621
11,22,402831
11,24,624174
11,29,"193191,519327"
11,31,380236
11,65,876768
12,15,"147391,273864,280880,598886,835363,874591"
12,16,273864
12,17,221900
12,18,"120286,390199"
12,19,"176750,915090"
12,28,285090
12,30,355812
12,37,460243
12,40,168953
12,42,460243
12,63,223786
13,15,"273864,274953,280880,321135,835363,874591,957568"
13,16,273864
13,17,"221900,321135"
13,18,"262442,412666,530327"
13,22,476566
13,24,465308
13,29,863705
13,30,132519
13,36,"205800,312415"
13,37,460243
13,38,"106174,465004"
13,39,206416
13,41,465004
13,42,460243
13,64,625091
14,15,"321135,503579,957568"
14,16,226924
14,17,321135
14,20,332635
14,24,188309
14,25,195808
14,29,"114932,264679,274132,574109"
14,30,132519
14,32,264679
14,33,264679
14,37,499127
14,38,"106174,465004"
14,39,206416
14,40,365367
14,41,465004
15,18,"274953,598886,711978,923982"
15,19,923982
15,20,321135
15,24,"147391,280880,345624,835363"
15,25,957568
15,29,874591
15,30,"180230,273864"
15,32,273864
15,57,130184
15,63,503579
16,18,"585456,923982"
16,19,"215374,226924,226985,303696,432898,516389,913899,923982"
16,21,149886
16,24,345624
16,27,285365
16,30,273864
16,32,273864
16,61,252704
17,18,866133
17,20,"164308,321135,478530,866133"
17,29,287754
17,34,498303
17,42,118606
17,43,118606
17,63,221900
18,21,"288714,923982"
18,22,274953
18,24,866133
18,25,866133
18,26,355661
18,27,390199
18,29,"438114,578902"
18,30,"438114,711978"
18,31,711978
18,38,"416890,820248"
18,39,412666
18,40,598886
18,42,417444
18,43,262442
18,45,416890
18,48,120286
18,51,"120286,530327"
18,71,189283
18,88,585456
18,90,585456
19,21,"176750,226924,303696,472947,913899,923982"
19,22,915090
19,23,215374
19,27,343202
19,35,226985
19,39,516389
19,46,227628
19,64,432898
19,66,432898
20,22,478530
20,24,"332635,866133"
20,25,"332635,717621,866133"
20,26,164308
20,37,145478
20,41,347942
20,42,145478
20,48,338288
20,82,321135
21,23,"149886,176750,303696,472947,913899,923982"
21,24,176750
21,27,288714
21,31,226924
21,32,"226924,626547"
21,40,266177
21,56,191681
21,61,474879
22,24,188588
22,25,"231893,274953,915090"
22,26,"131516,478530"
22,28,"911734,997163"
22,34,476566
22,37,251114
22,38,402831
22,63,483211
23,27,"149886,215374,303696,317586,913899"
23,32,"176750,472947,923982"
23,40,580829
23,45,580829
23,49,223109
23,50,223109
24,26,"332635,866133"
24,28,147391
24,30,188588
24,32,176750
24,35,624174
24,36,"188309,280880,465308"
24,40,"209276,345624"
24,59,835363
25,26,"332635,717621,866133,1005767"
25,27,115022
25,29,915090
25,37,336247
25,39,"231893,957568"
25,42,274953
25,43,274953
25,73,195808
26,29,717621
26,30,"131516,717621"
26,31,"131516,866133"
26,33,"478530,866133"
26,34,"1005767,1059459"
26,39,"332635,355661"
26,42,355661
26,44,332635
26,47,482512
26,52,164308
26,54,133917
27,29,"149886,285365,288714,390199"
27,32,"149886,288714,317586,913899"
27,34,115022
27,35,"116517,215374,222204"
27,41,343202
27,49,303696
28,29,911734
28,33,108228
28,36,"147391,997163"
28,38,285090
28,47,482512
29,34,264679
29,35,149886
29,36,"863705,911734"
29,37,"114932,390199,519327,574109,578902,867805"
29,38,717621
29,39,"193191,285365,874591"
29,40,805158
29,44,390199
29,45,874591
29,46,274132
29,48,384542
29,52,438114
29,58,288714
29,62,287754
29,63,287754
30,34,132519
30,35,273864
30,36,132519
30,37,"131516,180230"
30,38,717621
30,40,301967
30,42,"180230,188588"
30,43,"355812,711978"
30,44,711978
30,52,438114
31,34,866133
31,35,226924
31,36,866133
31,37,131516
31,39,215849
31,40,301967
31,43,"380236,711978"
31,44,711978
31,45,215849
32,34,264679
32,35,"149886,154132,176750,226924,273864,317586,423611,913899,923982"
32,41,626547
32,53,472947
32,58,288714
33,34,"264679,478530,866133"
33,36,866133
33,54,108228
33,63,437974
34,37,1005767
34,39,132519
34,40,476566
34,42,"866133,1005767,1059459"
34,43,866133
34,44,866133
34,47,478530
34,50,478530
34,55,115022
34,65,498303
34,67,498303
35,37,226924
35,38,116517
35,39,"222204,913899"
35,40,"273864,317586"
35,41,"116517,149886,176750,222204,226924,317586,538133,913899,923982"
35,43,"149886,538133"
35,44,"222204,273864,317586"
35,49,"154132,215374,423611,468551"
35,50,"215374,423611"
35,52,624174
35,53,226985
36,37,"188309,309886"
36,39,"132519,147391,205800"
36,40,911734
36,42,"188309,866133"
36,43,"157246,866133"
36,44,"866133,997163"
36,45,997163
36,50,465308
36,52,280880
36,62,312415
36,63,312415
36,68,863705
37,51,309886
37,52,180230
37,53,226924
37,55,390199
37,57,131516
37,59,574109
37,63,"114932,499127,519327,867805"
37,68,145478
37,70,460243
37,71,336247
37,80,1005767
37,82,251114
37,87,"251114,578902"
38,49,116517
38,51,912398
38,52,1066967
38,54,717621
38,57,120248
38,59,820248
38,61,524668
38,63,"106174,524668"
38,64,"285090,535838"
38,65,"285090,402831"
38,68,843577
38,69,"465004,843577"
38,71,1031383
38,87,416890
39,47,231893
39,49,913899
39,51,"412666,874591,957568"
39,52,206416
39,59,"147391,193191"
39,60,222204
39,61,278491
39,62,332635
39,63,"132519,278491,332635,355661"
39,71,205800
39,72,516389
39,73,215849
39,86,285365
39,90,285365
40,47,476566
40,49,"273864,317586"
40,50,911734
40,51,"345624,911734"
40,52,598886
40,55,1030140
40,57,266177
40,59,"301967,365367"
40,60,580829
40,64,209276
40,68,642259
40,69,642259
40,70,642259
40,71,805158
40,73,805158
40,83,168953
41,46,626547
41,48,176750
41,49,"116517,149886,317586,538133,626547,913899,923982"
41,52,343202
41,53,226924
41,60,222204
41,61,278491
41,63,278491
41,69,465004
41,79,150269
41,89,347942
41,90,347942
