source,target,user_id
0,2560,147495
0,2568,832733
0,2585,889372
0,2594,263990
0,2598,978356
0,2609,978356
0,2615,461473
0,2616,"456150,461473,480255"
0,2617,"235302,461473"
0,2618,963812
0,2619,"147495,225597,235302,263990,293878,327617,358113,456150,461473,480255,496602,525441,963812,979326"
0,2622,880747
0,2625,880747
0,2630,461473
0,2632,"384413,456150,461473,480255,832733"
0,2633,978356
0,2634,"235302,371266,461473,880747,978356"
0,2635,"556676,963812,978356"
0,2650,978356
0,2741,978356
0,2772,"889372,978356"
0,2782,219557
0,4026,"537066,882992"
0,4027,"537066,882992"
0,4035,917073
0,4036,"537066,615241,615790,882992,917073,956686"
0,4039,917073
0,4044,758819
0,4107,882992
0,4113,1067131
1,1518,298245
1,2395,328019
1,2396,328019
1,2403,328019
1,2404,328019
1,2406,328019
1,2407,328019
1,2500,328019
1,2501,328019
1,2503,328019
1,2504,328019
1,2552,328019
1,2670,328019
1,2672,328019
1,2673,328019
1,2681,328019
1,2683,483402
1,2692,328019
1,2693,328019
1,2780,328019
1,2783,298245
1,3259,339524
1,4217,663763
2,1490,428651
2,1491,428651
2,1521,901480
2,1523,901480
2,1804,428651
2,1834,901480
2,1845,901480
2,1862,901480
2,1864,901480
2,1865,901480
2,2095,428651
2,2263,428651
2,2337,428651
2,2338,428651
2,2470,901480
2,2491,901480
2,2710,901480
2,2780,428651
2,2861,428651
2,2862,428651
2,2880,175111
2,2924,428651
2,2936,428651
2,3007,428651
2,3039,428651
2,3040,428651
2,3064,428651
2,3089,428651
2,3176,428651
2,3177,428651
2,3210,428651
2,3212,428651
3,1579,752568
3,1590,752568
3,1594,988692
3,1595,988692
3,1605,988692
3,1620,988692
3,1698,988692
3,1699,988692
3,1700,988692
3,1712,752568
3,1713,752568
3,1714,752568
3,1754,752568
3,1755,752568
3,1756,752568
3,1892,988692
3,1979,988692
3,2073,752568
3,2089,988692
3,2097,752568
3,2112,988692
3,2113,988692
3,2114,988692
3,2144,988692
3,2166,752568
3,2244,752568
3,2269,988692
3,2287,988692
3,2334,988692
3,2338,988692
3,2408,752568
3,2470,752568
3,2471,752568
3,2483,752568
3,2486,752568
3,2490,752568
3,2491,752568
3,2499,752568
3,2531,752568
3,2532,752568
3,2533,752568
3,2534,752568
3,2703,752568
3,2704,752568
3,2705,752568
3,2708,752568
3,2709,752568
3,2710,"752568,988692"
3,2723,752568
3,2725,752568
3,2780,752568
3,2787,752568
3,2789,752568
3,2790,752568
3,2883,752568
3,2884,988692
3,2885,"752568,988692"
3,2886,752568
3,2887,"752568,988692"
3,2929,988692
3,2930,988692
3,2932,988692
3,2933,988692
3,2934,988692
3,2943,988692
3,2945,988692
3,3046,752568
3,3049,752568
3,3050,752568
3,3051,752568
3,3073,752568
3,3075,752568
3,3076,752568
3,3077,752568
3,3079,752568
3,3085,752568
3,3086,752568
3,3087,752568
4,1521,901480
4,1523,901480
4,1579,752568
4,1590,752568
4,1712,752568
4,1713,752568
4,1714,752568
4,1754,752568
4,1755,752568
4,1756,752568
4,1834,901480
4,1845,901480
4,1862,901480
4,1864,901480
4,1865,901480
4,2073,752568
4,2097,752568
4,2166,752568
4,2244,752568
4,2408,752568
4,2470,"752568,901480"
4,2471,752568
4,2483,752568
4,2486,752568
4,2490,752568
4,2491,"752568,901480"
4,2499,752568
4,2531,752568
4,2532,752568
4,2533,752568
4,2534,752568
4,2703,752568
4,2704,752568
4,2705,752568
4,2708,752568
4,2709,752568
4,2710,"752568,901480"
4,2723,752568
4,2725,752568
4,2780,752568
4,2787,752568
4,2789,752568
4,2790,752568
4,2883,752568
4,2885,752568
4,2886,752568
4,2887,752568
4,3046,752568
4,3049,752568
4,3050,752568
4,3051,752568
4,3073,752568
4,3075,752568
4,3076,752568
4,3077,752568
4,3079,752568
4,3085,752568
4,3086,752568
4,3087,752568
5,1521,901480
5,1523,901480
5,1579,752568
5,1590,752568
5,1594,988692
5,1595,988692
5,1605,988692
5,1620,988692
5,1698,988692
5,1699,988692
5,1700,988692
5,1712,752568
5,1713,752568
5,1714,752568
5,1754,752568
5,1755,752568
5,1756,752568
5,1834,901480
5,1845,901480
5,1862,901480
5,1864,901480
5,1865,901480
5,1892,988692
5,1979,988692
5,2073,752568
5,2089,988692
5,2097,752568
5,2112,988692
5,2113,988692
5,2114,988692
5,2144,988692
5,2166,752568
5,2244,752568
5,2269,988692
5,2287,988692
