source,target,user_id
4,39,464331
4,48,464331
4,521,187833
4,528,187833
4,575,187833
4,576,187833
9,86,427096
9,109,427096
9,119,427096
9,216,460228
9,430,292347
19,25,619437
22,25,619437
25,139,619437
25,146,619437
29,111,734723
29,113,734723
29,114,734723
29,115,734723
29,116,734723
37,162,470752
37,227,470752
39,167,270220
39,316,464331
39,317,464331
45,167,270220
48,316,464331
48,317,464331
56,187,314647
60,187,314647
64,187,"314647,602580,739860"
70,187,314647
75,162,470752
75,227,470752
86,216,751640
86,629,427096
87,160,607089
87,216,"421137,616689"
87,642,244827
88,144,732484
89,204,447321
89,225,447321
91,160,607089
92,144,732484
94,160,607089
107,216,"421137,616689"
107,642,244827
109,216,"421137,616689,751640"
109,629,427096
109,642,244827
111,147,734723
111,149,734723
113,147,734723
113,149,734723
114,147,734723
114,149,734723
115,147,734723
115,149,734723
116,147,734723
116,149,734723
119,216,"425954,751640"
119,629,427096
130,216,425954
139,147,619437
139,149,619437
144,202,732484
144,208,732484
144,209,732484
144,213,732484
144,217,732484
146,147,619437
146,149,619437
147,156,"619437,734723"
149,156,"619437,734723"
149,222,998545
149,223,998545
149,230,998545
156,222,"619437,734723"
156,223,"619437,734723"
156,230,"619437,734723"
160,201,607089
160,208,607089
160,212,607089
162,292,470752
162,293,470752
162,296,470752
167,354,270220
167,416,270220
168,311,127790
168,315,127790
168,316,127790
168,317,127790
168,373,118478
168,375,118478
168,380,118478
187,394,314647
187,561,"602580,612824,739860"
191,386,897112
191,389,897112
191,391,897112
197,386,897112
197,389,897112
197,391,897112
199,247,836821
201,248,607089
202,283,732484
204,247,447321
208,248,"359007,607089"
208,283,732484
209,283,732484
210,247,836821
212,248,607089
213,283,732484
216,342,607784
216,343,607784
216,430,751640
216,431,751640
216,432,460228
216,438,751640
216,484,460228
216,629,"425954,616689"
216,641,425954
216,779,421137
217,247,836821
217,283,732484
221,246,1007975
221,251,1007975
222,246,619437
222,251,"619437,734723,988692,998545"
223,246,619437
223,251,"619437,734723,988692,998545"
225,247,447321
227,292,470752
227,293,470752
227,296,470752
230,246,619437
230,251,"619437,734723,988692,998545"
246,263,1007975
246,280,619437
247,265,447321
247,266,447321
247,271,447321
247,285,836821
248,265,607089
248,284,359007
251,263,1007975
251,270,"734723,988692"
251,277,998545
251,280,"619437,998545"
263,280,1007975
265,284,607089
265,330,979326
265,341,447321
266,341,447321
270,280,988692
270,487,734723
271,341,447321
277,626,998545
280,299,"619437,1007975"
280,487,988692
280,626,998545
283,301,732484
284,303,359007
284,330,607089
284,332,607089
284,339,607089
285,302,836821
292,313,470752
293,313,470752
296,313,470752
299,337,"619437,1007975"
299,340,1007975
301,451,732484
302,331,836821
303,440,359007
303,442,359007
303,444,359007
303,446,359007
303,593,545865
311,689,108938
311,717,127790
313,350,470752
313,362,470752
313,367,470752
315,689,108938
315,717,127790
316,521,464331
316,575,464331
316,576,464331
316,689,108938
316,717,127790
317,521,464331
317,575,464331
317,576,464331
317,689,108938
317,717,127790
325,689,108938
330,439,607089
330,440,607089
330,441,607089
330,442,607089
330,443,607089
330,444,607089
330,446,607089
