source,target,user_id
0,10,610249
0,12,610249
0,13,610249
0,14,610249
0,15,610249
0,28,610249
1,5,"584447,622027"
1,7,754685
1,10,610249
1,12,610249
1,13,610249
1,14,610249
1,15,610249
1,16,752568
1,28,610249
2,5,"521885,584447,622027"
2,7,"565366,754685"
2,9,565366
2,16,752568
2,17,519887
3,4,"735292,761107"
3,5,584447
3,7,565366
3,9,565366
3,16,752568
4,6,"535929,735292,761107,908778"
4,7,555714
4,8,849812
4,9,555714
4,28,428202
4,40,548624
5,6,"584447,622027"
5,7,555714
5,9,555714
5,16,519469
5,17,471775
5,20,471775
5,21,"471775,521885"
5,22,471775
5,28,"428202,471775"
5,40,548624
6,7,"584447,622027"
6,8,"584447,619437,761107,908778"
6,9,"584447,622027"
6,16,535929
6,30,735292
6,51,552972
7,10,"555714,565366,584447,754685"
7,12,"565366,584447,754685"
7,14,"565366,584447,622027,754685"
7,15,"565366,584447,754685"
7,16,754685
7,25,754685
8,10,"584447,761107,849812,908778"
8,12,"584447,849812,908778"
8,14,"584447,849812,908778"
8,15,"584447,849812,908778"
8,16,761107
8,29,619437
8,30,"619437,749414"
9,10,"519885,555714,565366,584447"
9,12,"565366,584447"
9,14,"565366,584447,622027"
9,15,"565366,584447"
9,16,519885
10,29,849812
10,30,"754685,849812"
10,33,"761107,908778"
10,39,519885
10,40,610249
10,63,565366
10,65,565366
10,74,584447
10,75,584447
10,77,584447
10,78,584447
10,84,555714
11,102,715341
11,103,715341
11,104,715341
12,29,849812
12,30,"754685,849812"
12,33,908778
12,40,610249
12,63,565366
12,65,565366
12,74,584447
12,75,584447
12,77,584447
12,78,584447
13,40,610249
14,29,849812
14,30,"754685,849812"
14,33,908778
14,37,622027
14,40,610249
14,63,565366
14,65,565366
14,74,584447
14,75,584447
14,77,584447
14,78,584447
15,29,849812
15,30,"754685,849812"
15,33,908778
15,40,610249
15,63,565366
15,65,565366
15,74,584447
15,75,584447
15,77,584447
15,78,584447
16,29,752568
16,30,"752568,754685"
16,33,"519469,761107"
16,39,519885
16,40,535929
17,32,471775
17,33,471775
17,35,471775
17,36,471775
17,61,519887
17,62,519887
17,64,519887
17,66,519887
17,67,519887
17,68,519887
20,32,471775
20,33,471775
20,35,471775
20,36,471775
21,32,471775
21,33,471775
21,35,"471775,521885"
21,36,471775
22,32,471775
22,33,471775
22,35,471775
22,36,471775
23,102,715341
23,103,715341
23,104,715341
24,35,468837
24,102,715341
24,103,715341
24,104,715341
25,30,754685
25,102,715341
25,103,715341
25,104,715341
26,83,314647
26,85,681522
27,83,"110899,270220,314647,427096,432305,464331,602580,616689,739860,751640"
27,85,681522
27,95,244827
27,116,421137
28,32,471775
28,33,471775
28,35,471775
28,36,471775
28,40,610249
28,44,428202
28,102,715341
28,103,715341
28,104,715341
29,33,"619437,849812"
29,39,"752568,975522"
30,33,"619437,735292,849812"
30,37,754685
30,38,963615
30,39,"752568,754685"
30,46,749414
32,48,471775
32,51,911614
32,62,563837
32,66,563837
33,37,"761107,964774"
33,39,"619437,735292,761107,964774"
33,40,849812
33,44,519469
33,48,471775
35,38,521885
35,48,471775
35,51,518902
35,53,468837
35,56,468837
36,48,471775
36,51,518902
36,62,563837
36,66,563837
37,40,"754685,761107,964774"
37,119,622027
38,44,993844
38,54,963615
38,55,963615
39,40,"619437,754685,761107,964774,975522,1014685"
39,46,"735292,752568"
39,50,519885
39,63,719763
39,65,719763
40,44,"548624,619437,754685,761107,964774,975522,1014685"
40,46,849812
40,63,610249
40,65,610249
40,74,535929
40,75,535929
41,43,"734723,979705,988692,998545"
42,61,263913
42,67,263913
43,45,"734723,979705,988692"
43,47,998545
44,46,"428202,964774,975522,1014685,1034094,1036452"
44,48,"619437,1007975"
44,50,519469
44,53,1037646
44,56,1037646
44,58,993844
44,63,754685
44,65,754685
44,71,993844
44,123,548624
44,125,761107
45,47,"979705,988692"
45,57,734723
45,72,734723
46,48,"428202,735292,749414,752568,964774,1014685,1034094,1054006"
46,53,1036452
46,56,1036452
46,58,849812
46,71,849812
47,52,"979705,1058591"
47,57,988692
47,72,988692
47,82,998545
48,50,"428202,619437,735292,964774,1007975,1014685,1054006"
48,53,"752568,1047955"
48,54,471775
48,55,471775
48,56,"752568,1047955"
48,114,1034094
49,95,903640
50,53,"428202,619437,1007975,1014685"
50,56,"428202,619437,1007975,1014685"
50,84,519885
50,96,519469
50,133,1054006
51,54,518902
51,55,518902
51,73,911614
51,76,911614
51,77,911614
51,78,911614
51,92,552972
52,57,1058591
52,72,1058591
52,82,979705
53,58,"619437,1014685,1037646,1048011"
53,63,"1014685,1047955,1048011"
53,65,"1014685,1047955,1048011"
53,71,"619437,1014685,1037646,1048011"
53,74,"752568,1007975,1036452"
53,75,"752568,1007975,1036452"
53,84,468837
54,58,416219
54,59,"416219,963615"
54,60,"416219,471775,963615"
54,61,416219
54,62,416219
54,64,"416219,963615"
54,66,416219
54,67,416219
54,68,"416219,963615"
54,69,"416219,471775,963615"
54,70,"416219,963615"
54,71,416219
54,88,518902
54,90,518902
55,58,416219
55,59,"416219,963615"
55,60,"416219,471775,963615"
55,61,416219
55,62,416219
55,64,"416219,963615"
55,66,416219
55,67,416219
55,68,"416219,963615"
55,69,"416219,471775,963615"
55,70,"416219,963615"
55,71,416219
55,88,518902
55,90,518902
56,58,"619437,1014685,1037646,1048011"
56,63,"1014685,1047955,1048011"
56,65,"1014685,1047955,1048011"
56,71,"619437,1014685,1037646,1048011"
56,74,"752568,1007975,1036452"
56,75,"752568,1007975,1036452"
56,84,468837
57,107,"734723,1058591"
58,74,"416219,1037646,1082751"
58,75,"416219,1037646,1082751"
58,84,1014685
58,87,619437
58,89,849812
58,91,993844
58,96,1048011
59,74,416219
59,75,416219
59,89,963615
59,90,963615
60,74,"416219,471775"
60,75,"416219,471775"
60,89,963615
60,90,963615
61,74,416219
61,75,416219
61,81,263913
61,104,519887
62,74,416219
62,75,416219
62,80,563837
62,104,519887
63,84,"1014685,1047955"
63,96,"719763,1048011"
64,74,416219
64,75,416219
64,89,963615
64,90,963615
64,104,519887
65,84,"1014685,1047955"
65,96,"719763,1048011"
66,74,416219
66,75,416219
66,80,563837
66,104,519887
67,74,416219
67,75,416219
67,81,263913
67,104,519887
68,74,416219
68,75,416219
68,89,963615
68,90,963615
68,104,519887
69,74,"416219,471775"
69,75,"416219,471775"
69,89,963615
69,90,963615
70,74,416219
70,75,416219
70,89,963615
70,90,963615
71,74,"416219,1037646,1082751"
71,75,"416219,1037646,1082751"
71,84,1014685
71,87,619437
71,89,849812
71,91,993844
71,96,1048011
72,107,"734723,1058591"
73,84,1097861
73,93,911614
74,84,"1007975,1082751"
74,87,1037646
74,89,416219
74,94,471775
74,96,"471775,752568"
74,114,584447
74,119,1036452
75,84,"1007975,1082751"
75,87,1037646
75,89,416219
75,94,471775
75,96,"471775,752568"
75,114,584447
75,119,1036452
76,84,1097861
76,93,911614
77,93,911614
77,114,584447
78,93,911614
78,114,584447
80,104,563837
81,138,263913
82,86,979705
82,111,998545
82,112,998545
