source,target,user_id
0,4,584447
0,5,"735292,761107"
0,8,565366
0,9,565366
0,17,752568
1,4,"521885,584447,622027"
1,8,"565366,754685"
1,9,565366
1,16,519887
1,17,752568
2,4,"584447,622027"
2,8,754685
2,10,610249
2,17,752568
2,18,610249
2,20,610249
2,21,610249
2,25,610249
2,28,610249
3,10,610249
3,18,610249
3,20,610249
3,21,610249
3,25,610249
3,28,610249
4,6,"584447,622027"
4,8,555714
4,9,555714
4,11,471775
4,12,"471775,521885"
4,13,471775
4,16,471775
4,17,519469
4,25,"428202,471775"
4,41,548624
5,6,"535929,735292,761107,908778"
5,7,849812
5,8,555714
5,9,555714
5,25,428202
5,41,548624
6,7,"584447,619437,761107,908778"
6,8,"584447,622027"
6,9,"584447,622027"
6,17,535929
6,29,735292
6,52,552972
7,10,"584447,849812,908778"
7,17,761107
7,18,"584447,849812,908778"
7,21,"584447,849812,908778"
7,28,"584447,761107,849812,908778"
7,29,"619437,749414"
7,30,619437
8,10,"565366,584447,754685"
8,17,754685
8,18,"565366,584447,622027,754685"
8,21,"565366,584447,754685"
8,24,754685
8,28,"555714,565366,584447,754685"
9,10,"565366,584447"
9,17,519885
9,18,"565366,584447,622027"
9,21,"565366,584447"
9,28,"519885,555714,565366,584447"
10,29,"754685,849812"
10,30,849812
10,33,908778
10,41,610249
10,58,565366
10,64,584447
10,65,584447
11,33,471775
11,34,471775
11,35,471775
11,36,471775
12,33,471775
12,34,471775
12,35,"471775,521885"
12,36,471775
13,33,471775
13,34,471775
13,35,471775
13,36,471775
16,33,471775
16,34,471775
16,35,471775
16,36,471775
16,55,519887
16,56,519887
16,57,519887
17,29,"752568,754685"
17,30,752568
17,33,"519469,761107"
17,39,519885
17,41,535929
18,29,"754685,849812"
18,30,849812
18,33,908778
18,38,622027
18,41,610249
18,58,565366
18,64,584447
18,65,584447
19,35,468837
19,88,715341
19,90,715341
19,91,715341
20,41,610249
21,29,"754685,849812"
21,30,849812
21,33,908778
21,41,610249
21,58,565366
21,64,584447
21,65,584447
22,88,715341
22,90,715341
22,91,715341
23,88,715341
23,90,715341
23,91,715341
24,29,754685
24,88,715341
24,90,715341
24,91,715341
25,33,471775
25,34,471775
25,35,471775
25,36,471775
25,41,610249
25,44,428202
25,88,715341
25,90,715341
25,91,715341
26,66,314647
26,77,681522
27,66,"110899,270220,314647,427096,432305,464331,602580,616689,739860,751640"
27,77,681522
27,84,244827
27,100,421137
28,29,"754685,849812"
28,30,849812
28,33,"761107,908778"
28,39,519885
28,41,610249
28,58,565366
28,64,584447
28,65,584447
28,68,555714
29,33,"619437,735292,849812"
29,37,963615
29,38,754685
29,39,"752568,754685"
29,45,749414
30,33,"619437,849812"
30,39,"752568,975522"
33,38,"761107,964774"
33,39,"619437,735292,761107,964774"
33,41,849812
33,44,519469
33,47,471775
34,47,471775
34,52,911614
34,55,563837
35,37,521885
35,47,471775
35,52,518902
35,53,468837
36,47,471775
36,52,518902
36,55,563837
37,44,993844
37,54,963615
38,41,"754685,761107,964774"
38,106,622027
39,41,"619437,754685,761107,964774,975522,1014685"
39,45,"735292,752568"
39,51,519885
39,58,719763
40,43,"734723,979705,988692,998545"
41,44,"548624,619437,754685,761107,964774,975522,1014685"
41,45,849812
41,58,610249
41,65,535929
42,56,263913
43,46,"734723,979705,988692"
43,48,998545
44,45,"428202,964774,975522,1014685,1034094,1036452"
44,47,"619437,1007975"
44,51,519469
44,53,1037646
44,58,754685
44,60,993844
44,111,761107
44,112,548624
45,47,"428202,735292,749414,752568,964774,1014685,1034094,1054006"
45,53,1036452
45,60,849812
46,48,"979705,988692"
46,61,734723
47,51,"428202,619437,735292,964774,1007975,1014685,1054006"
47,53,"752568,1047955"
47,54,471775
47,102,1034094
48,49,"979705,1058591"
48,61,988692
48,67,998545
49,61,1058591
49,67,979705
50,84,903640
51,53,"428202,619437,1007975,1014685"
51,68,519885
51,83,519469
51,122,1054006
52,54,518902
52,63,911614
52,64,911614
52,80,552972
53,58,"1014685,1047955,1048011"
53,60,"619437,1014685,1037646,1048011"
53,65,"752568,1007975,1036452"
53,68,468837
54,55,416219
54,56,416219
54,57,"416219,963615"
54,59,"416219,963615"
54,60,416219
54,62,"416219,471775,963615"
54,73,518902
54,78,518902
55,65,416219
55,69,563837
55,88,519887
56,65,416219
56,70,263913
56,88,519887
57,65,416219
57,73,963615
57,74,963615
57,88,519887
58,68,"1014685,1047955"
58,83,"719763,1048011"
59,65,416219
59,73,963615
59,74,963615
60,65,"416219,1037646,1082751"
60,68,1014685
60,72,993844
60,74,849812
60,76,619437
60,83,1048011
61,86,"734723,1058591"
62,65,"416219,471775"
62,73,963615
62,74,963615
63,68,1097861
63,79,911614
64,79,911614
64,102,584447
65,68,"1007975,1082751"
65,74,416219
65,76,1037646
65,81,471775
65,83,"471775,752568"
65,102,584447
65,106,1036452
66,77,"114666,118478,187833,199984,314647,425954,427096,427250,602580,604098,751640,1095891"
66,84,"270220,368080,403445,432305,451363,464331,607784,612824,616689,957469"
66,85,739860
66,99,251568
66,100,110899
66,115,588437
67,75,979705
67,97,998545
67,98,998545
68,72,1082751
68,74,"519885,1097861"
68,76,"519885,1007975,1082751"
68,88,468837
68,89,1047955
68,92,468837
68,93,1014685
68,102,555714
69,88,563837
70,126,263913
72,106,1082751
73,80,963615
73,82,"518902,963615"
74,80,963615
74,82,963615
74,83,849812
74,91,1097861
74,94,1097861
74,125,416219
75,86,979705
76,102,1007975
76,106,1082751
77,84,"114666,118478,187833,199984,292347,314647,425954,427250,602580,604098,751640,1095891,1163691,1167617,1168767,1171591"
77,85,427096
77,117,681522
78,82,518902
80,88,963615
80,92,963615
80,94,963615
80,122,552972
81,89,471775
82,88,963615
82,92,963615
82,94,963615
82,131,518902
83,88,719763
83,89,"471775,1048011"
83,90,719763
83,91,719763
83,93,1048011
84,85,"108938,114666,118478,133892,187833,244827,270220,292347,314647,368080,403445,425954,427250,432305,451363,464331,483533,607784,612824,751640,903640,957469,1061637,1095891,1163691,1167207,1168767,1171591"
84,99,"199984,523545,602580,604098,616689,1198352"
84,100,438350
84,115,1167617
85,99,"114666,118478,127790,133892,187833,235297,244827,270220,314647,368080,425954,427096,427250,451363,464331,607784,612824,739860,751640,1061637,1163691,1167207,1168767,1171591"
85,100,"108938,275782,292347,403445,957469,1095891"
85,104,"483533,903640,999796"
86,97,734723
86,98,734723
87,96,"460228,552846,1166148,1205586"
88,113,715341
88,119,"719763,963615"
89,102,1047955
90,113,715341
90,119,719763
91,113,715341
91,119,719763
92,119,963615
93,102,1014685
94,119,963615
96,101,"156634,460228,552846,1166148,1205586"
99,100,"114666,118478,127790,133892,187833,235297,251568,270220,314647,368080,427096,464331,602580,607784,612824,616689,739860,751640,1061637,1168767,1171591,1180756,1198352"
99,104,"244827,427250,523545,1163691,1167207"
99,108,425954
99,115,"199984,604098"
100,104,"108938,114666,118478,127790,133892,187833,235297,251568,270220,292347,368080,403445,421137,427096,438350,464331,602580,607784,612824,616689,739860,751640,957469,1095891,1168767,1171591,1180756,1198352"
100,110,1061637
100,115,"275782,314647"
100,117,110899
101,105,"156634,460228,552846,1166148,1205586"
101,107,"552846,1166148,1205586"
102,106,"1014685,1047955"
102,111,"555714,1007975"
102,122,1034094
104,108,"108938,114666,118478,127790,133892,187833,235297,292347,403445,421137,427096,438350,464331,483533,602580,607784,612824,616689,739860,751640,957469,999796,1095891,1167207,1168767,1171591,1198352"
104,110,"244827,270220,368080,427250,903640,1163691,1180756"
104,115,1236675
104,120,"107030,523545"
105,109,"156634,460228,552846,1166148"
105,118,1205586
106,111,"1014685,1082751"
107,109,"552846,1166148"
107,118,1205586
108,110,"108938,118478,127790,133892,187833,235297,403445,421137,425954,464331,483533,607784,612824,616689,739860,751640,957469,999796,1095891,1167207,1168767,1171591,1198352"
108,115,"114666,292347,427096,602580"
109,116,"156634,460228,552846,1166148"
110,115,"108938,127790,133892,187833,235297,244827,270220,403445,421137,425954,427250,464331,483533,607784,612824,616689,739860,751640,838190,903640,957469,999796,1061637,1095891,1163691,1167207,1168767,1171591,1198352,1237802"
110,117,118478
110,123,368080
111,122,1014685
113,114,715341
114,131,715341
115,117,"108938,114666,127790,133892,187833,235297,270220,314647,403445,421137,425954,427096,427250,464331,483533,602580,612824,616689,739860,751640,838190,957469,1061637,1095891,1163691,1167207,1167617,1168767,1171591,1198352,1237802"
115,120,199984
115,123,"244827,292347,588437,999796"
115,127,1236675
115,128,275782
116,118,"156634,552846,1166148"
116,121,460228
117,120,"114666,118478,127790,133892,187833,235297,270220,314647,403445,427096,464331,483533,602580,612824,616689,739860,751640,838190,957469,1061637,1095891,1163691,1167207,1168767,1171591,1237802"
117,123,"108938,110899,421137,681522,1167617,1198352"
117,127,425954
117,128,427250
118,121,"156634,1166148,1205586"
118,124,552846
120,123,"114666,127790,133892,187833,235297,314647,403445,427096,464331,483533,602580,612824,616689,739860,751640,838190,957469,1061637,1095891,1163691,1167207,1168767,1171591,1237802"
120,127,"107030,523545"
120,128,"118478,270220"
121,124,"156634,460228,1205586"
123,127,"114666,127790,187833,235297,314647,403445,421137,427096,483533,588437,602580,612824,616689,751640,838190,957469,1061637,1095891,1163691,1168767,1171591,1198352,1237802"
123,128,"108938,133892,292347,464331,681522,739860,1167207,1167617"
123,130,"110899,244827"
127,128,"107030,114666,127790,187833,235297,314647,403445,421137,425954,427096,483533,612824,616689,751640,838190,957469,1061637,1095891,1163691,1168767,1171591,1198352,1236675,1237802"
127,129,"127790,602580"
128,130,"108938,114666,118478,127790,133892,187833,235297,270220,314647,403445,425954,427096,427250,464331,612824,616689,739860,751640,957469,1095891,1163691,1168767,1171591,1198352,1236675"
129,130,"127790,602580"
