source,target,user_id
0,18,"735292,761107"
0,21,584447
0,22,"735292,761107"
0,23,584447
0,28,584447
0,29,"735292,761107"
0,39,565366
0,41,565366
0,43,565366
0,44,565366
0,45,565366
0,47,565366
0,49,565366
0,51,565366
0,54,565366
0,56,565366
0,57,565366
0,58,565366
0,62,752568
0,106,752568
0,118,752568
1,19,622027
1,20,"610249,622027,754685"
1,21,"584447,622027"
1,23,"584447,622027"
1,24,"610249,622027,754685"
1,25,622027
1,26,622027
1,27,"610249,622027,754685"
1,28,"584447,622027"
1,62,752568
1,106,752568
1,118,752568
2,39,565366
2,41,565366
2,43,565366
2,44,565366
2,45,565366
2,47,565366
2,49,565366
2,51,565366
2,54,565366
2,56,565366
2,57,565366
2,58,565366
2,279,187833
2,294,187833
2,295,187833
3,20,610249
3,24,610249
3,27,610249
4,18,428202
4,19,"616225,622027"
4,20,"616225,622027"
4,21,"428202,616225,622027"
4,22,428202
4,23,"428202,616225,622027"
4,24,"616225,622027"
4,25,"616225,622027"
4,26,"616225,622027"
4,27,"616225,622027"
4,28,"428202,616225,622027"
4,29,428202
4,62,752568
4,106,752568
4,118,752568
5,18,428202
5,19,"616225,622027"
5,20,"616225,622027"
5,21,"428202,616225,622027"
5,22,428202
5,23,"428202,616225,622027"
5,24,"616225,622027"
5,25,"616225,622027"
5,26,"616225,622027"
5,27,"616225,622027"
5,28,"428202,616225,622027"
5,29,428202
5,62,752568
5,106,752568
5,118,752568
6,20,610249
6,24,610249
6,27,610249
7,39,565366
7,41,565366
7,43,565366
7,44,565366
7,45,565366
7,47,565366
7,49,565366
7,51,565366
7,54,565366
7,56,565366
7,57,565366
7,58,565366
7,279,187833
7,294,187833
7,295,187833
8,19,622027
8,20,"610249,622027,754685"
8,21,"584447,622027"
8,23,"584447,622027"
8,24,"610249,622027,754685"
8,25,622027
8,26,622027
8,27,"610249,622027,754685"
8,28,"584447,622027"
8,62,752568
8,106,752568
8,118,752568
9,19,622027
9,20,"622027,754685"
9,21,"521885,584447,622027"
9,23,"521885,584447,622027"
9,24,"622027,754685"
9,25,622027
9,26,622027
9,27,"622027,754685"
9,28,"521885,584447,622027"
9,39,565366
9,41,565366
9,43,565366
9,44,565366
9,45,565366
9,47,565366
9,49,565366
9,51,565366
9,54,565366
9,56,565366
9,57,565366
9,58,565366
9,62,752568
9,67,519887
9,106,752568
9,113,519887
9,118,752568
9,139,519887
10,18,"735292,761107"
10,21,584447
10,22,"735292,761107"
10,23,584447
10,28,584447
10,29,"735292,761107"
10,39,565366
10,41,565366
10,43,565366
10,44,565366
10,45,565366
10,47,565366
10,49,565366
10,51,565366
10,54,565366
10,56,565366
10,57,565366
10,58,565366
10,62,752568
10,106,752568
10,118,752568
11,19,622027
11,20,"622027,754685"
11,21,"521885,584447,622027"
11,23,"521885,584447,622027"
11,24,"622027,754685"
11,25,622027
11,26,622027
11,27,"622027,754685"
11,28,"521885,584447,622027"
11,39,565366
11,41,565366
11,43,565366
11,44,565366
11,45,565366
11,47,565366
11,49,565366
11,51,565366
11,54,565366
11,56,565366
11,57,565366
11,58,565366
11,62,752568
11,67,519887
11,106,752568
11,113,519887
11,118,752568
11,139,519887
12,18,"735292,761107"
12,21,584447
12,22,"735292,761107"
12,23,584447
12,28,584447
12,29,"735292,761107"
12,39,565366
12,41,565366
12,43,565366
12,44,565366
12,45,565366
12,47,565366
12,49,565366
12,51,565366
12,54,565366
12,56,565366
12,57,565366
12,58,565366
12,62,752568
12,106,752568
12,118,752568
13,19,622027
13,20,"622027,754685"
13,21,"521885,584447,622027"
13,23,"521885,584447,622027"
13,24,"622027,754685"
13,25,622027
13,26,622027
13,27,"622027,754685"
13,28,"521885,584447,622027"
13,39,565366
13,41,565366
13,43,565366
13,44,565366
13,45,565366
13,47,565366
13,49,565366
13,51,565366
13,54,565366
13,56,565366
13,57,565366
13,58,565366
13,62,752568
13,67,519887
13,106,752568
13,113,519887
13,118,752568
13,139,519887
14,19,622027
14,20,"610249,622027,754685"
14,21,"584447,622027"
14,23,"584447,622027"
14,24,"610249,622027,754685"
14,25,622027
14,26,622027
14,27,"610249,622027,754685"
14,28,"584447,622027"
14,62,752568
14,106,752568
14,118,752568
15,39,565366
15,41,565366
15,43,565366
15,44,565366
15,45,565366
15,47,565366
15,49,565366
15,51,565366
15,54,565366
15,56,565366
15,57,565366
15,58,565366
15,279,187833
15,294,187833
15,295,187833
16,20,610249
16,24,610249
16,27,610249
17,18,428202
17,19,"616225,622027"
17,20,"616225,622027"
17,21,"428202,616225,622027"
17,22,428202
17,23,"428202,616225,622027"
17,24,"616225,622027"
17,25,"616225,622027"
17,26,"616225,622027"
17,27,"616225,622027"
17,28,"428202,616225,622027"
17,29,428202
17,62,752568
17,106,752568
17,118,752568
18,30,908778
18,31,"535929,735292,761107,908778"
18,33,908778
18,35,"535929,735292,761107,908778"
18,37,908778
18,38,"535929,735292,761107,908778"
18,39,555714
18,40,849812
18,41,555714
18,43,555714
18,44,555714
18,45,555714
18,46,849812
18,47,555714
18,48,849812
18,49,555714
18,51,555714
18,52,849812
18,53,849812
18,54,555714
18,56,555714
18,57,555714
18,58,555714
18,59,849812
18,102,428202
18,110,428202
18,122,428202
18,188,548624
18,190,548624
19,30,"616225,622027,908778"
19,31,"622027,908778"
19,33,"616225,622027,908778"
19,35,"622027,908778"
19,37,"616225,622027,908778"
19,38,"622027,908778"
20,30,"616225,622027"
20,31,622027
20,33,"616225,622027"
20,35,622027
20,37,"616225,622027"
20,38,622027
20,39,555714
20,41,555714
20,43,555714
20,44,"555714,754685"
20,45,555714
20,47,555714
20,49,555714
20,51,"555714,754685"
20,54,555714
20,56,555714
20,57,"555714,754685"
20,58,555714
20,60,610249
20,61,610249
20,63,610249
20,64,610249
20,65,610249
20,72,610249
20,74,610249
20,78,610249
20,80,610249
20,81,610249
20,86,610249
20,102,610249
20,107,610249
20,108,610249
20,109,610249
20,110,610249
20,115,610249
20,116,610249
20,117,610249
20,119,610249
20,120,610249
20,121,610249
20,122,610249
20,125,610249
20,126,610249
20,129,610249
20,131,610249
21,30,"584447,616225,622027"
21,31,"584447,622027"
21,33,"584447,616225,622027"
21,35,"584447,622027"
21,37,"584447,616225,622027"
21,38,"584447,622027"
21,39,555714
21,41,555714
21,43,555714
21,44,555714
21,45,555714
21,47,555714
21,49,555714
21,51,555714
21,54,555714
21,56,555714
21,57,555714
21,58,555714
21,62,519469
21,66,471775
21,67,471775
21,76,471775
21,77,471775
21,84,471775
21,85,"471775,521885"
21,87,471775
21,88,471775
21,98,471775
21,99,"471775,521885"
21,100,"471775,521885"
21,102,"428202,471775"
21,103,471775
21,105,471775
21,106,519469
21,110,"428202,471775"
21,113,471775
21,114,471775
21,118,519469
21,122,"428202,471775"
21,128,471775
21,139,471775
21,140,471775
21,188,548624
21,190,548624
22,30,908778
22,31,"535929,735292,761107,908778"
22,33,908778
22,35,"535929,735292,761107,908778"
22,37,908778
22,38,"535929,735292,761107,908778"
22,39,555714
22,40,849812
22,41,555714
22,43,555714
22,44,555714
22,45,555714
22,46,849812
22,47,555714
22,48,849812
22,49,555714
22,51,555714
22,52,849812
22,53,849812
22,54,555714
22,56,555714
22,57,555714
22,58,555714
22,59,849812
22,102,428202
22,110,428202
22,122,428202
22,188,548624
22,190,548624
23,30,"584447,616225,622027"
23,31,"584447,622027"
23,33,"584447,616225,622027"
23,35,"584447,622027"
23,37,"584447,616225,622027"
23,38,"584447,622027"
23,39,555714
23,41,555714
23,43,555714
23,44,555714
23,45,555714
23,47,555714
23,49,555714
23,51,555714
23,54,555714
23,56,555714
23,57,555714
23,58,555714
23,62,519469
23,66,471775
23,67,471775
23,76,471775
23,77,471775
23,84,471775
23,85,"471775,521885"
23,87,471775
23,88,471775
23,98,471775
23,99,"471775,521885"
23,100,"471775,521885"
23,102,"428202,471775"
23,103,471775
23,105,471775
23,106,519469
23,110,"428202,471775"
23,113,471775
23,114,471775
23,118,519469
23,122,"428202,471775"
23,128,471775
23,139,471775
23,140,471775
23,188,548624
23,190,548624
24,30,"616225,622027"
24,31,622027
24,33,"616225,622027"
24,35,622027
24,37,"616225,622027"
24,38,622027
24,39,555714
24,41,555714
24,43,555714
24,44,"555714,754685"
24,45,555714
24,47,555714
24,49,555714
24,51,"555714,754685"
24,54,555714
24,56,555714
24,57,"555714,754685"
24,58,555714
24,60,610249
24,61,610249
24,63,610249
24,64,610249
24,65,610249
24,72,610249
24,74,610249
24,78,610249
24,80,610249
24,81,610249
24,86,610249
24,102,610249
24,107,610249
24,108,610249
24,109,610249
24,110,610249
24,115,610249
24,116,610249
24,117,610249
24,119,610249
24,120,610249
24,121,610249
24,122,610249
24,125,610249
24,126,610249
24,129,610249
24,131,610249
25,30,"616225,622027,908778"
25,31,"622027,908778"
25,33,"616225,622027,908778"
25,35,"622027,908778"
25,37,"616225,622027,908778"
25,38,"622027,908778"
26,30,"616225,622027,908778"
26,31,"622027,908778"
26,33,"616225,622027,908778"
26,35,"622027,908778"
26,37,"616225,622027,908778"
26,38,"622027,908778"
27,30,"616225,622027"
27,31,622027
27,33,"616225,622027"
27,35,622027
27,37,"616225,622027"
27,38,622027
27,39,555714
27,41,555714
27,43,555714
27,44,"555714,754685"
27,45,555714
27,47,555714
27,49,555714
27,51,"555714,754685"
27,54,555714
27,56,555714
27,57,"555714,754685"
27,58,555714
27,60,610249
27,61,610249
27,63,610249
27,64,610249
27,65,610249
27,72,610249
27,74,610249
27,78,610249
27,80,610249
27,81,610249
27,86,610249
27,102,610249
27,107,610249
27,108,610249
27,109,610249
27,110,610249
27,115,610249
27,116,610249
27,117,610249
27,119,610249
27,120,610249
27,121,610249
27,122,610249
27,125,610249
27,126,610249
27,129,610249
27,131,610249
28,30,"584447,616225,622027"
28,31,"584447,622027"
28,33,"584447,616225,622027"
28,35,"584447,622027"
28,37,"584447,616225,622027"
28,38,"584447,622027"
28,39,555714
28,41,555714
28,43,555714
28,44,555714
28,45,555714
28,47,555714
28,49,555714
28,51,555714
28,54,555714
28,56,555714
28,57,555714
28,58,555714
28,62,519469
28,66,471775
28,67,471775
28,76,471775
28,77,471775
28,84,471775
28,85,"471775,521885"
28,87,471775
28,88,471775
28,98,471775
28,99,"471775,521885"
28,100,"471775,521885"
28,102,"428202,471775"
28,103,471775
28,105,471775
28,106,519469
28,110,"428202,471775"
28,113,471775
28,114,471775
28,118,519469
28,122,"428202,471775"
28,128,471775
28,139,471775
28,140,471775
28,188,548624
28,190,548624
29,30,908778
29,31,"535929,735292,761107,908778"
29,33,908778
29,35,"535929,735292,761107,908778"
29,37,908778
29,38,"535929,735292,761107,908778"
29,39,555714
29,40,849812
29,41,555714
29,43,555714
29,44,555714
29,45,555714
29,46,849812
29,47,555714
29,48,849812
29,49,555714
29,51,555714
29,52,849812
29,53,849812
29,54,555714
29,56,555714
29,57,555714
29,58,555714
29,59,849812
29,102,428202
29,110,428202
29,122,428202
29,188,548624
29,190,548624
30,39,"584447,622027,734723"
30,40,"584447,908778"
30,41,"584447,616225,622027"
30,43,"584447,622027,734723"
30,44,"584447,622027"
30,45,"584447,622027"
30,46,"616225,622027,734723,908778"
30,47,"584447,622027"
30,48,"584447,908778"
30,49,"584447,616225,622027"
30,51,"584447,622027"
30,52,"616225,622027,734723,908778"
30,53,"584447,908778"
30,54,"584447,616225,622027"
30,56,"584447,622027,734723"
30,57,"584447,622027"
30,58,"584447,622027"
30,59,"616225,622027,734723,908778"
30,63,913872
30,64,913872
30,65,913872
30,78,913872
30,80,913872
30,81,913872
30,86,913872
30,89,913872
30,104,913872
30,109,913872
30,115,913872
30,116,913872
30,117,913872
30,121,913872
30,125,913872
30,126,913872
30,129,913872
30,130,913872
31,39,"584447,622027"
31,40,"526400,584447,619437,761107,908778"
31,41,"584447,622027"
31,43,"584447,622027"
31,44,"584447,622027"
31,45,"584447,622027"
31,46,"622027,908778"
31,47,"584447,622027"
31,48,"526400,584447,619437,761107,908778"
31,49,"584447,622027"
31,51,"584447,622027"
31,52,"622027,908778"
31,53,"526400,584447,619437,761107,908778"
31,54,"584447,622027"
31,56,"584447,622027"
31,57,"584447,622027"
31,58,"584447,622027"
31,59,"622027,908778"
31,62,535929
31,106,535929
31,118,535929
31,143,735292
31,150,735292
31,155,735292
31,205,552972
31,208,552972
31,209,552972
31,303,294115
31,305,294115
31,306,294115
31,311,294115
31,312,294115
31,314,294115
31,315,294115
31,316,294115
31,318,294115
31,322,294115
31,323,294115
31,324,294115
31,325,294115
31,332,294115
31,333,294115
33,39,"584447,622027,734723"
33,40,"584447,908778"
33,41,"584447,616225,622027"
33,43,"584447,622027,734723"
33,44,"584447,622027"
33,45,"584447,622027"
33,46,"616225,622027,734723,908778"
33,47,"584447,622027"
33,48,"584447,908778"
33,49,"584447,616225,622027"
33,51,"584447,622027"
33,52,"616225,622027,734723,908778"
33,53,"584447,908778"
33,54,"584447,616225,622027"
33,56,"584447,622027,734723"
33,57,"584447,622027"
33,58,"584447,622027"
33,59,"616225,622027,734723,908778"
33,63,913872
33,64,913872
33,65,913872
33,78,913872
33,80,913872
33,81,913872
33,86,913872
33,89,913872
33,104,913872
33,109,913872
33,115,913872
33,116,913872
33,117,913872
33,121,913872
33,125,913872
33,126,913872
33,129,913872
33,130,913872
35,39,"584447,622027"
35,40,"526400,584447,619437,761107,908778"
35,41,"584447,622027"
35,43,"584447,622027"
35,44,"584447,622027"
35,45,"584447,622027"
35,46,"622027,908778"
35,47,"584447,622027"
35,48,"526400,584447,619437,761107,908778"
35,49,"584447,622027"
35,51,"584447,622027"
35,52,"622027,908778"
35,53,"526400,584447,619437,761107,908778"
35,54,"584447,622027"
35,56,"584447,622027"
35,57,"584447,622027"
35,58,"584447,622027"
35,59,"622027,908778"
35,62,535929
35,106,535929
35,118,535929
35,143,735292
35,150,735292
35,155,735292
35,205,552972
35,208,552972
35,209,552972
35,303,294115
35,305,294115
35,306,294115
35,311,294115
35,312,294115
35,314,294115
35,315,294115
35,316,294115
35,318,294115
35,322,294115
35,323,294115
35,324,294115
35,325,294115
35,332,294115
35,333,294115
37,39,"584447,622027,734723"
37,40,"584447,908778"
37,41,"584447,616225,622027"
37,43,"584447,622027,734723"
37,44,"584447,622027"
37,45,"584447,622027"
37,46,"616225,622027,734723,908778"
37,47,"584447,622027"
37,48,"584447,908778"
37,49,"584447,616225,622027"
37,51,"584447,622027"
37,52,"616225,622027,734723,908778"
37,53,"584447,908778"
37,54,"584447,616225,622027"
37,56,"584447,622027,734723"
37,57,"584447,622027"
37,58,"584447,622027"
37,59,"616225,622027,734723,908778"
37,63,913872
37,64,913872
37,65,913872
37,78,913872
37,80,913872
37,81,913872
37,86,913872
37,89,913872
37,104,913872
37,109,913872
37,115,913872
37,116,913872
37,117,913872
37,121,913872
37,125,913872
37,126,913872
37,129,913872
37,130,913872
38,39,"584447,622027"
38,40,"526400,584447,619437,761107,908778"
38,41,"584447,622027"
38,43,"584447,622027"
38,44,"584447,622027"
38,45,"584447,622027"
38,46,"622027,908778"
