source,target,user_id
2,23,1037646
8,18,1007975
8,23,1007975
8,30,1007975
9,23,1037646
10,23,1014685
11,18,1007975
11,23,"1037646,1007975"
11,30,1007975
0,13,913872
0,17,"752568,913872"
0,31,752568
1,13,971894
2,13,"971894,913872"
2,17,913872
3,17,752568
3,31,752568
4,17,752568
4,31,752568
4,33,1036452
5,17,752568
5,31,752568
6,17,1007975
6,33,578639
7,25,247735
8,17,1007975
8,33,1014685
9,17,1007975
10,14,445147
5,31,1027715
8,31,470752
9,28,913872
10,17,1007975
10,28,"1060608,913872"
10,38,1060608
10,44,1060608
10,51,1060608
11,31,619574
12,37,918133
13,29,1082751
13,51,526400
14,17,1014685
14,28,1060608
14,29,1036452
14,38,"995860,1060608"
14,44,"995860,1060608"
14,51,"995860,1036452,1060608"
1,44,416219
7,51,171799
8,28,462697
9,37,619437
10,37,619437
11,28,125579
11,30,125579
11,32,125579
11,52,125579
11,54,125579
11,55,125579
11,62,125579
11,63,125579
11,64,125579
12,37,619437
14,35,433003
15,38,971894
16,38,752568
16,41,752568
17,47,"134691,134691"
17,57,"134691,134691"
18,38,752568
18,41,752568
20,35,433003
21,35,433003
22,51,595081
23,37,1014685
24,37,913872
24,38,913872
25,41,1036452
26,42,470752
27,41,1036452
5,52,570060
6,57,607089
12,45,209850
12,56,209850
15,58,339606
16,33,1048011
16,44,1048011
16,60,1007975
17,33,1060608
17,34,1060608
17,44,1060608
18,34,1047955
18,60,1047955
19,58,339606
20,30,124913
21,33,1060608
21,34,1060608
21,44,1060608
22,33,1060608
22,34,1060608
22,44,1060608
23,33,"1060608,1048011"
23,34,"1060608,1047955"
23,35,"526400,526400"
23,39,"526400,526400"
23,44,"1060608,1048011"
23,60,1047955
24,33,1014685
24,34,1014685
24,35,"1014685,619437"
24,38,"1014685,913872"
24,44,1014685
25,38,913872
26,35,416219
27,59,217160
28,59,217160
29,59,217160
1,75,964983
2,64,963615
3,64,963615
8,75,897112
8,79,897112
8,82,897112
9,51,1025269
9,72,185934
10,74,827344
11,76,332432
12,75,166603
13,79,502923
14,71,112041
14,75,166603
17,77,1054887
19,48,616565
19,64,616565
19,68,616565
20,50,250397
21,88,200564
21,93,870293
22,90,607784
23,90,607784
25,62,1082751
27,84,217323
29,84,107936
30,84,107936
31,84,107936
33,80,392932
35,52,752568
35,64,752568
36,94,975853
37,46,1008376
37,52,752568
37,61,1008376
37,64,752568
39,74,502470
39,76,502470
39,77,502470
40,46,1060608
40,52,1060608
40,62,1060608
40,63,1060608
41,46,1060608
41,52,1060608
41,62,1060608
41,63,1060608
42,60,416219
42,67,416219
43,46,913872
43,52,913872
44,46,1060608
44,52,1060608
44,62,1060608
44,63,1060608
1,30,615570
2,27,603391
2,34,603391
3,21,339428
4,21,836821
4,41,836821
5,30,615570
6,40,1038520
7,44,570365
8,22,1001471
9,17,407955
10,22,1001471
11,22,1001471
12,22,1001471
13,17,407955
14,31,607089
15,24,622174
16,18,538955
16,32,538955
0,59,462727
0,66,462727
0,75,462727
0,81,462727
0,82,462727
7,46,1037646
7,60,1037646
7,61,1037646
8,76,427250
9,66,390982
9,68,390982
9,70,390982
9,71,390982
14,45,322207
14,72,322207
14,73,322207
14,74,322207
20,55,619574
21,46,995860
22,46,995860
23,46,995860
27,46,"1014685,1048011"
27,83,1014685
28,46,1014685
28,83,1014685
29,46,1014685
29,83,1014685
30,46,1014685
30,83,1014685
31,46,"1014685,1048011"
31,83,1014685
32,84,366994
33,78,833102
34,60,1007975
34,83,1007975
35,46,1058591
35,58,"1058591,913872"
35,61,"734723,988692"
35,83,913872
36,56,752568
36,58,913872
36,83,913872
37,73,383585
38,46,1082751
38,56,1082751
38,83,1082751
39,56,752568
40,50,588437
41,50,588437
42,50,588437
43,75,836821
44,62,488638
44,75,836821
7,43,103371
8,50,309563
9,53,418129
11,53,418129
13,53,418129
15,53,"418129,1052503"
21,51,505859
22,51,505859
28,44,866133
29,48,849812
31,47,574634
31,48,849812
32,48,849812
33,48,849812
34,49,963615
35,47,574634
36,46,1014685
36,48,"1014685,1082751"
37,46,752568
37,48,"752568,1082751"
37,53,752568
38,43,280194
39,43,280194
40,43,280194
41,43,280194
42,46,1014685
42,48,"1014685,1082751"
1,47,459345
16,44,365989
19,44,237374
20,46,"1047955,1047955"
22,46,"1047955,1047955"
23,46,1008376
25,46,1008376
27,39,607089
28,42,466214
28,43,466214
30,46,1007975
31,40,390982
32,40,390982
33,40,390982
34,40,390982
35,46,1007975
36,46,752568
37,46,752568
38,46,752568
9,40,267277
17,47,1036452
21,42,416219
23,42,416219
24,49,964983
26,38,538955
27,38,538955
28,42,"1037646,989025"
30,42,"1037646,989025"
31,42,1037646
33,42,1082751
33,47,1082751
34,50,911614
35,47,842941
36,42,1007975
