,index,CUST_ID,granularity
0,2018-07-05,[114666 187833],1D
1,2018-07-06,[616689 607784],1D
2,2018-07-07,[],1D
3,2018-07-08,[],1D
4,2018-07-09,[],1D
5,2018-07-10,[751640 739860],1D
6,2018-07-11,[187833 612824 118478],1D
7,2018-07-12,[739860 314647],1D
8,2018-07-13,[403445 616689],1D
9,2018-07-14,[],1D
10,2018-07-15,[],1D
11,2018-07-16,[],1D
12,2018-07-17,[187833 368080 314647],1D
13,2018-07-18,[464331 270220 427250 314647],1D
14,2018-07-19,[403445 314647 607784],1D
15,2018-07-20,[751640 427250],1D
16,2018-07-21,[],1D
17,2018-07-22,[],1D
18,2018-07-23,[],1D
19,2018-07-24,[427250],1D
20,2018-07-25,[118478 314647],1D
21,2018-07-26,[751640 314647],1D
22,2018-07-27,[],1D
23,2018-07-28,[],1D
24,2018-07-29,[],1D
25,2018-07-30,[235297],1D
26,2018-07-31,[118478],1D
27,2018-08-01,[],1D
28,2018-08-02,[],1D
29,2018-08-03,[427250],1D
30,2018-08-04,[],1D
31,2018-08-05,[],1D
32,2018-08-06,[],1D
33,2018-08-07,[],1D
34,2018-08-08,[],1D
35,2018-08-09,[],1D
36,2018-08-10,[],1D
37,2018-08-11,[],1D
38,2018-08-12,[],1D
39,2018-08-13,[],1D
40,2018-08-14,[],1D
41,2018-08-15,[],1D
42,2018-08-16,[],1D
43,2018-08-17,[],1D
44,2018-08-18,[],1D
45,2018-08-19,[],1D
46,2018-08-20,[],1D
47,2018-08-21,[187833 314647],1D
48,2018-08-22,[1168767],1D
49,2018-08-23,[],1D
50,2018-08-24,[],1D
51,2018-08-25,[187833],1D
52,2018-08-26,[],1D
53,2018-08-27,[114666],1D
54,2018-08-28,[],1D
55,2018-08-29,[1163691  187833],1D
56,2018-08-30,[751640 427250],1D
57,2018-08-31,[1171591  118478],1D
58,2018-09-01,[],1D
59,2018-09-02,[],1D
60,2018-09-03,[],1D
61,2018-09-04,[1166148  114666  187833],1D
62,2018-09-05,[751640 464331],1D
63,2018-09-06,[1166148 1163691],1D
64,2018-09-07,[1167207  751640],1D
65,2018-09-08,[],1D
66,2018-09-09,[],1D
67,2018-09-10,[483533 133892],1D
68,2018-09-11,[1166148  607784],1D
69,2018-09-12,[ 114666  187833 1061637  368080],1D
70,2018-09-13,[1167207  751640  270220  616689  427250  314647],1D
71,2018-09-14,[1163691  403445  118478],1D
72,2018-09-15,[1168767  133892],1D
73,2018-09-16,[],1D
74,2018-09-17,[114666 751640 427250],1D
75,2018-09-18,[1166148 1171591  187833  314647],1D
76,2018-09-19,[1167207  751640  368080  607784],1D
77,2018-09-20,[],1D
78,2018-09-21,[1166148  114666  403445  270220  235297],1D
79,2018-09-22,[],1D
80,2018-09-23,[1168767],1D
81,2018-09-24,[114666 187833 118478 314647],1D
82,2018-09-25,[1166148  235297 1198352  427250  607784],1D
83,2018-09-26,[403445 118478 368080],1D
84,2018-09-27,[1166148  751640  314647  607784],1D
85,2018-09-28,[1163691  751640  187833  612824  403445  483533],1D
86,2018-09-29,[],1D
87,2018-09-30,[1168767],1D
88,2018-10-01,[1166148  270220  607784],1D
89,2018-10-02,[127790 235297 118478],1D
90,2018-10-03,[1166148  751640  464331  739860  314647],1D
91,2018-10-04,[ 156634 1163691  187833  612824  403445  368080],1D
92,2018-10-05,[270220 427250],1D
93,2018-10-06,[187833 118478],1D
94,2018-10-07,[1168767],1D
95,2018-10-08,[1166148  612824 1061637  314647],1D
96,2018-10-09,[1167207  270220  739860  427250  607784],1D
97,2018-10-10,[1166148  368080  314647],1D
98,2018-10-11,[156634 270220 133892],1D
99,2018-10-12,[1166148 1168767 1171591  187833  403445 1061637  483533  314647],1D
100,2018-10-13,[1168767 1167207  464331],1D
101,2018-10-14,[],1D
102,2018-10-15,[127790 270220 133892 607784],1D
103,2018-10-16,[1163691  612824],1D
104,2018-10-17,[1166148  127790  270220  235297  427250],1D
