source,target,user_id
0,157,"377365,224478"
0,160,844897
0,162,"107030,612824"
0,164,612824
0,166,612824
0,168,"400253,711978"
0,188,711978
0,199,711978
0,200,711978
0,232,711978
0,233,711978
0,234,711978
0,245,711978
0,246,711978
0,249,159219
1,157,171799
1,160,189637
3,160,"606450,281256"
3,171,288685
3,211,508067
3,272,450524
6,157,235297
6,162,"107030,787610,903640,739860,1166148,519059,445481,266488,127790,1168767,423574,505613,235297,1095891,612824,178797,957469,130181,114666"
6,163,235297
6,164,"903640,739860,1166148,552846,127790,1168767,235297,1095891,612824,957469,368080,270220,114666"
6,165,235297
6,166,"903640,739860,1166148,127790,1168767,235297,1095891,612824,957469,114666"
6,167,235297
7,162,"107030,612824"
7,164,612824
7,166,612824
8,157,235297
8,162,"1196697,1180756,1205586,739860,1166148,127790,603391,1168767,235297,1095891,612824,957469,114666"
8,163,235297
8,164,"442885,1196697,1180756,329014,1206265,739860,453193,1166148,552846,127790,603391,1168767,308992,235297,1095891,612824,146208,957469,368080,270220,114666"
8,165,235297
8,166,"1196697,1180756,739860,1166148,127790,603391,1168767,235297,1095891,612824,957469,114666"
8,167,235297
8,219,453193
8,325,453193
9,162,612824
9,164,612824
9,166,612824
10,157,235297
10,162,"739860,1166148,127790,1168767,235297,1095891,612824,957469,114666"
10,163,235297
10,164,"739860,1166148,552846,127790,1168767,235297,1095891,612824,957469,368080,270220,114666"
10,165,235297
10,166,"739860,1166148,127790,1168767,235297,1095891,612824,957469,114666"
10,167,235297
11,162,612824
11,164,612824
11,166,612824
12,164,552846
14,158,105047
14,298,798831
17,171,"1215438,1056258"
21,157,531053
21,162,555714
21,181,"1082751,1052503,1036452,995860,531053,555714,1014685,1047955,1179263"
21,194,"995860,1047955,1179263"
21,195,"995860,1047955,1179263"
21,204,"1052503,1036452"
21,205,"1052503,1036452"
21,209,995860
21,214,"1082751,531053"
21,225,1052503
21,226,1052503
21,230,"1052503,531053,555714"
21,231,"1052503,531053,555714"
21,251,1052503
21,252,1052503
21,261,531053
21,263,1014685
21,275,995860
21,280,995860
21,281,1014685
21,326,531053
21,327,1014685
21,329,1047955
21,341,"1082751,1014685"
21,355,1052503
21,356,1047955
23,158,105047
29,191,975853
29,229,975853
30,193,602997
31,157,416623
31,181,"1082751,995860,1047955,1179263"
31,194,"995860,1047955,1179263"
31,195,"995860,1047955,1179263"
31,209,995860
31,214,1082751
31,275,995860
31,280,995860
31,298,798831
31,329,1047955
31,341,1082751
31,356,1047955
32,181,"1082751,995860,1047955,1179263"
32,194,"995860,1047955,1179263"
32,195,"995860,1047955,1179263"
32,209,995860
32,214,1082751
32,275,995860
32,280,995860
32,329,1047955
32,341,1082751
32,356,1047955
33,181,"998545,1179263"
33,194,1179263
33,195,1179263
33,203,998545
33,239,998545
33,268,998545
33,273,998545
33,276,998545
33,360,998545
34,158,624828
34,206,624828
34,207,624828
34,224,626162
34,350,626162
39,191,975853
39,229,975853
43,181,1036452
43,204,"1036452,596217"
43,205,1036452
43,209,596217
43,276,596217
43,363,596217
44,228,"191307,815181"
45,238,276275
46,181,1179263
46,194,1179263
46,195,1179263
46,202,963615
46,256,963615
46,257,963615
46,308,963615
46,349,963615
48,181,1179263
48,194,1179263
48,195,1179263
49,181,995860
49,194,995860
49,195,995860
49,204,596217
49,209,"995860,596217"
49,275,995860
49,276,596217
49,280,995860
49,363,596217
51,157,224478
52,157,224478
56,202,963615
56,204,596217
56,209,596217
56,256,963615
56,257,963615
56,276,596217
56,308,963615
56,349,963615
56,363,596217
57,204,596217
57,209,596217
57,276,596217
57,363,596217
58,181,995860
58,194,995860
58,195,995860
58,209,995860
58,275,995860
58,280,995860
64,157,531053
64,181,"1082751,531053"
64,214,"1082751,531053"
64,230,531053
64,231,531053
64,261,531053
64,326,531053
64,341,1082751
65,157,531053
65,181,"1082751,531053"
65,214,"1082751,531053"
65,230,531053
65,231,531053
65,261,531053
65,326,531053
65,341,1082751
67,181,1052503
67,204,1052503
67,205,1052503
67,225,1052503
67,226,1052503
67,230,1052503
67,231,1052503
67,251,1052503
67,252,1052503
67,355,1052503
68,203,880018
68,265,880018
68,355,880018
68,364,880018
68,365,880018
69,181,1179263
69,194,1179263
69,195,1179263
70,181,1179263
70,194,1179263
70,195,1179263
74,211,1059033
77,272,147896
77,317,147896
78,312,724438
84,181,1082751
84,214,1082751
84,298,798831
84,322,827281
84,339,827281
84,341,1082751
85,181,1082751
85,214,1082751
85,298,798831
85,341,1082751
86,181,1052503
86,204,1052503
86,205,1052503
86,225,1052503
86,226,1052503
86,230,1052503
86,231,1052503
86,251,1052503
86,252,1052503
86,355,1052503
87,181,"1052503,1014685"
87,204,1052503
87,205,1052503
87,225,1052503
87,226,1052503
87,230,1052503
87,231,1052503
87,251,1052503
87,252,1052503
87,263,1014685
87,281,1014685
87,327,1014685
87,341,1014685
87,355,1052503
88,211,1059033
89,181,"1036452,1179263"
89,194,1179263
89,195,1179263
89,204,1036452
89,205,1036452
90,181,"1036452,1179263"
90,194,1179263
90,195,1179263
90,204,1036452
90,205,1036452
91,181,1179263
91,194,1179263
91,195,1179263
92,193,602997
92,287,1000572
96,294,1156576
98,202,963615
98,256,963615
98,257,963615
98,308,963615
98,349,963615
99,298,798831
110,171,124464
110,284,124464
111,224,626162
111,350,626162
115,158,624828
115,206,624828
115,207,624828
118,274,1196227
119,157,416623
119,181,1179263
119,194,1179263
119,195,1179263
121,202,963615
121,256,963615
121,257,963615
121,308,963615
121,349,963615
131,272,450524
134,202,963615
134,256,963615
134,257,963615
134,308,963615
134,349,963615
135,287,1000572
136,181,1014685
136,263,1014685
136,281,1014685
136,327,1014685
136,341,1014685
144,181,1179263
144,194,1179263
144,195,1179263
147,181,1179263
147,194,1179263
147,195,1179263
148,181,1179263
148,194,1179263
148,195,1179263
150,298,798831
0,368,"1063343,899788,242618"
0,369,"144205,1085236"
0,382,"152797,499303"
0,385,499303
0,404,152797
0,526,881754
0,560,121128
1,368,"463550,341341"
1,369,144205
1,391,226924
1,401,595081
1,480,595081
1,573,1110941
2,369,144205
3,368,"305264,197718,151252"
3,379,656513
3,422,1086227
3,521,305264
6,371,289246
6,374,"616689,485938,133892,1175223,403445"
6,375,"616689,133892,244827"
6,377,"616689,133892"
6,422,616689
6,423,616689
6,472,616689
6,473,616689
6,474,616689
6,504,734723
8,368,118478
8,374,"616689,118478,1167207,403445"
8,375,"616689,489993,244827,118478,1167207"
8,376,118478
8,377,"616689,118478,1167207"
8,378,118478
8,422,616689
8,423,616689
8,472,616689
8,473,616689
8,474,616689
10,374,"616689,403445"
10,375,"616689,244827"
10,377,616689
10,422,616689
10,423,616689
10,472,616689
10,473,616689
10,474,616689
12,385,131514
14,496,1049074
14,500,201118
19,368,271497
19,389,483161
19,391,483161
19,395,483161
21,387,616225
25,368,320242
25,382,348948
25,397,348948
25,399,348948
25,404,320242
25,405,320242
29,560,121128
31,387,979705
31,540,979705
34,424,123777
34,523,123777
35,424,123777
35,523,123777
35,560,121128
36,560,121128
37,421,594535
37,468,594535
37,551,594535
38,379,127136
42,421,594535
42,468,594535
42,551,594535
45,368,268921
45,519,268921
46,465,901480
46,496,1049074
46,505,901480
53,387,979705
53,429,997163
53,540,979705
58,382,950781
58,417,950781
58,502,950781
58,517,950781
58,574,950781
59,518,433073
62,526,881754
64,504,734723
67,577,1158336
68,577,1158336
71,496,1049074
72,496,1049074
89,387,979705
89,540,979705
91,387,979705
91,540,979705
93,526,881754
94,560,371575
97,494,1163442
97,542,1163442
101,382,950781
101,417,950781
101,502,950781
101,517,950781
101,574,950781
118,460,310155
121,504,734723
122,526,881754
126,498,444898
130,382,348948
130,397,348948
130,399,348948
143,382,348948
143,397,348948
143,399,348948
144,577,1158336
150,526,881754
157,368,"278677,346289,509218,560724"
157,371,779784
157,374,235297
157,375,"346289,235297"
157,376,346289
157,377,235297
157,382,371498
157,387,531053
157,422,955102
157,438,531053
157,439,531053
157,472,346289
157,473,346289
157,475,531053
157,491,531053
157,492,531053
157,503,458323
158,368,346289
158,371,520056
158,375,346289
158,376,346289
158,401,478556
158,446,350390
158,450,350390
158,472,346289
158,473,346289
158,548,478556
159,368,346289
159,375,346289
159,376,346289
159,472,346289
159,473,346289
160,368,"240151,502556,1124305"
160,369,240151
160,370,240151
162,368,"1095891,1198352,739860,132500"
162,374,"1171591,1095891,266488,1198352,612824,739860,107030,459432,555714,127790,1166148,156634,1106966,191561,1180756,130181,1109186,427250,1168767,681522,1236675,235297,114666"
162,375,"1171591,1095891,1198352,1163691,612824,739860,107030,1196697,127790,1166148,156634,1180756,427250,603391,1205586,1168767,187833,235297,114666"
162,376,"1095891,1198352,739860"
162,377,"1171591,1095891,1198352,612824,739860,107030,127790,1166148,156634,1180756,427250,1168767,235297,114666"
162,378,"1095891,1198352,739860"
162,387,555714
162,388,555714
162,389,"603391,132500"
162,390,132500
162,422,603391
162,423,603391
162,434,787610
162,444,1095891
162,472,603391
162,473,603391
162,474,603391
163,374,235297
163,375,235297
163,377,235297
164,368,"346289,1095891,739860,308992"
164,374,"1171591,1095891,612824,739860,127790,1166148,156634,1180756,1168767,368080,235297,270220,552846,114666"
164,375,"1171591,346289,1095891,1163691,612824,739860,453193,1196697,146208,127790,1166148,156634,1180756,603391,1168767,187833,368080,308992,235297,100194,270220,552846,114666"
164,376,"346289,1095891,739860,308992"
164,377,"1171591,1095891,612824,739860,127790,1166148,156634,1180756,1168767,368080,235297,270220,552846,114666"
164,378,"1095891,739860"
164,389,603391
164,422,603391
164,423,603391
164,444,1095891
164,472,"346289,603391"
164,473,"346289,603391"
164,474,603391
164,575,867539
165,368,346289
165,374,235297
165,375,"346289,235297"
165,376,346289
165,377,235297
165,472,346289
165,473,346289
166,368,"1095891,739860"
166,374,"1171591,1095891,612824,739860,127790,1166148,156634,1180756,1168767,235297,114666"
166,375,"1171591,1095891,1163691,612824,739860,1196697,127790,1166148,156634,1180756,603391,1168767,187833,235297,114666"
166,376,"1095891,739860"
166,377,"1171591,1095891,612824,739860,127790,1166148,156634,1180756,1168767,235297,114666"
166,378,"1095891,739860"
166,389,603391
166,422,603391
166,423,603391
166,444,1095891
166,472,603391
166,473,603391
166,474,603391
167,374,235297
167,375,235297
167,377,235297
168,368,113875
168,371,113875
168,372,113875
168,401,510669
168,548,510669
171,368,"1215438,251287"
171,385,1056258
171,416,844279
171,518,579539
171,519,579539
181,374,"555714,988692"
181,387,"1036452,1007975,995860,531053,555714,1014685,1082751,988692,1179263,286391,989025"
181,388,"555714,988692"
181,407,"1036452,995860,1082751"
181,408,"1036452,995860,1082751"
181,417,995860
181,425,1036452
181,426,1036452
181,428,989025
181,438,"531053,1082751,1179263"
181,439,"531053,1082751,1179263"
181,455,"1007975,1082751"
181,465,286391
181,475,"531053,1082751"
181,477,995860
181,478,995860
181,491,"995860,531053"
181,492,"995860,531053"
181,494,1179263
181,504,988692
181,524,989025
181,534,988692
181,546,286391
181,550,988692
181,552,286391
182,570,622174
186,429,156096
186,570,622174
188,387,286391
188,465,286391
188,546,286391
188,552,286391
191,436,"1178332,975853"
191,470,975853
193,427,602997
194,387,"995860,1179263"
194,407,"995860,1058591"
194,408,995860
194,417,995860
194,438,1179263
194,439,1179263
194,477,995860
194,478,995860
194,491,995860
194,492,995860
194,494,1179263
194,541,1058591
194,550,1058591
195,387,"995860,1179263"
195,407,995860
195,408,995860
195,417,995860
195,438,1179263
195,439,1179263
195,477,995860
195,478,995860
195,491,995860
195,492,995860
195,494,1179263
196,368,1203541
196,497,435521
202,471,963615
202,546,963615
202,555,963615
203,424,880018
204,387,"1036452,596217"
204,407,"1036452,1058591"
204,408,1036452
204,425,1036452
204,426,1036452
204,440,596217
204,441,596217
204,443,596217
204,471,596217
204,477,596217
204,478,596217
204,541,1058591
204,550,1058591
205,387,1036452
205,407,1036452
205,408,1036452
205,425,1036452
205,426,1036452
206,368,346289
206,375,346289
206,376,346289
206,472,346289
206,473,346289
207,368,346289
207,375,346289
207,376,346289
207,472,346289
207,473,346289
209,387,"596217,995860"
209,407,995860
209,408,995860
209,417,995860
209,440,596217
209,441,596217
209,443,596217
209,471,596217
209,477,"596217,995860"
