,CUST_ID,SEX,AGE,DEPARTEMENT
0,108938,M,50-65,59
1,110899,M,35-49,59
2,114666,M,35-49,59
3,118478,M,50-65,59
4,127790,M,50-65,59
5,133892,M,50-65,59
6,156634,M,35-49,62
7,187833,M,50-65,59
8,235297,M,50-65,59
9,244827,M,35-49,59
10,270220,M,50-65,59
11,314647,M,<35,59
12,368080,M,50-65,59
13,403445,M,<35,59
14,421137,M,35-49,59
15,425954,M,35-49,59
16,427096,M,35-49,59
17,427250,M,35-49,59
18,447321,M,35-49,78
19,460228,M,35-49,62
20,464331,M,50-65,59
21,470752,M,50-65,78
22,471775,M,50-65,78
23,483533,M,35-49,59
24,519885,M,35-49,78
25,545865,M,35-49,38
26,552846,M,<35,62
27,565366,M,35-49,78
28,574634,M,35-49,78
29,602580,M,<35,59
30,607089,M,35-49,06
31,607784,M,35-49,59
32,612824,M,<35,59
33,616225,M,35-49,59
34,616689,M,35-49,59
35,619437,M,35-49,78
36,732484,M,35-49,78
37,734723,M,35-49,59
38,739860,M,<35,59
39,751640,M,35-49,59
40,754685,M,35-49,78
41,836821,M,35-49,51
42,838190,M,35-49,59
43,849812,M,35-49,78
44,897112,M,<35,38
45,913872,M,35-49,59
46,957469,M,35-49,59
47,963615,M,50-65,78
48,964774,M,<35,78
49,979326,F,35-49,78
50,988692,M,35-49,59
51,998545,M,35-49,59
52,1007975,M,35-49,78
53,1014685,M,<35,78
54,1036452,M,35-49,78
55,1061637,M,<35,59
56,1082751,M,35-49,78
57,1095891,M,35-49,59
58,1163691,M,35-49,59
59,1166148,M,<35,62
60,1167207,M,35-49,59
61,1168767,M,35-49,59
62,1171591,M,50-65,59
63,1198352,M,35-49,59
64,1237802,M,35-49,59
