,CUST_ID,SEX,AGE,DEPARTEMENT
0,100128,M,>65,21
1,100194,M,50-65,59
2,100202,M,50-65,78
3,100351,M,>65,38
4,100497,M,50-65,59
5,100615,M,50-65,33
6,100715,F,50-65,78
7,100942,M,35-49,51
8,100977,M,50-65,33
9,101105,M,50-65,62
10,101185,M,50-65,59
11,101205,M,35-49,78
12,101392,M,35-49,78
13,101532,M,35-49,59
14,101682,M,50-65,78
15,101749,M,50-65,38
16,102086,M,>65,62
17,102120,M,50-65,62
18,102136,M,50-65,33
19,102475,M,50-65,62
20,102647,M,35-49,78
21,102917,M,35-49,51
22,103019,M,50-65,78
23,103101,F,50-65,78
24,103218,M,35-49,59
25,103286,M,50-65,78
26,103316,F,35-49,33
27,103371,M,50-65,78
28,103556,F,>65,33
29,103814,M,50-65,78
30,103881,M,>65,62
31,103904,M,50-65,59
32,103914,M,35-49,59
33,103922,M,50-65,33
34,104231,M,50-65,59
35,104293,M,50-65,59
36,104345,M,35-49,59
37,104518,M,50-65,78
38,104626,M,50-65,59
39,105047,M,35-49,59
40,105293,M,50-65,59
41,105377,M,35-49,59
42,105498,M,50-65,78
43,105649,M,35-49,38
44,105769,M,50-65,78
45,105892,M,50-65,78
46,105919,M,50-65,79
47,106150,M,50-65,78
48,106203,M,35-49,62
49,106232,M,35-49,33
50,106319,M,<35,62
51,106748,M,50-65,78
52,106845,F,35-49,21
53,106982,M,35-49,59
54,107030,M,35-49,59
55,107216,M,50-65,38
56,107305,M,50-65,62
57,107493,M,35-49,78
58,107936,M,50-65,59
59,108163,M,50-65,59
60,108228,M,50-65,38
61,108294,M,35-49,38
62,108526,M,50-65,78
63,108765,M,50-65,78
64,108805,M,50-65,78
65,108875,M,50-65,62
66,108938,M,50-65,59
67,109051,M,50-65,58
68,109054,M,50-65,59
69,109302,M,35-49,59
70,109363,M,50-65,33
71,109498,M,50-65,33
72,109538,M,50-65,06
73,109551,M,50-65,58
74,109572,M,50-65,59
75,109665,M,>65,78
76,109711,M,50-65,62
77,109730,M,35-49,62
78,109765,M,35-49,38
79,109767,M,50-65,59
80,109828,M,>65,62
81,109910,M,50-65,06
82,110196,M,50-65,58
83,110487,M,35-49,78
84,110592,M,50-65,58
85,110731,M,50-65,59
86,110899,M,35-49,59
87,111061,M,50-65,78
88,111299,F,>65,62
89,111320,F,50-65,21
90,111383,M,>65,33
91,111432,M,50-65,59
92,111737,M,<35,78
93,111800,F,50-65,51
94,111828,M,50-65,33
95,111880,M,50-65,78
96,111890,M,50-65,59
97,111896,M,>65,78
98,111906,M,35-49,58
99,111911,F,>65,78
100,111939,M,35-49,59
101,111958,M,35-49,59
102,111996,M,50-65,59
103,112006,M,35-49,78
104,112013,M,50-65,33
105,112041,M,35-49,78
106,112044,M,35-49,59
107,112161,M,50-65,78
108,112387,M,35-49,78
109,112455,M,35-49,39
110,112511,M,50-65,51
111,112979,M,50-65,33
112,113014,M,50-65,33
113,113036,M,50-65,62
114,113297,M,35-49,33
115,113350,F,50-65,59
116,113376,M,35-49,59
117,113425,M,50-65,78
118,113487,M,50-65,78
119,113566,M,35-49,78
120,113699,M,35-49,62
121,113700,M,35-49,78
122,113725,M,50-65,78
123,113794,M,50-65,59
124,113797,M,50-65,78
125,113875,M,35-49,58
126,114078,F,35-49,21
127,114176,M,50-65,59
128,114363,M,35-49,62
129,114449,M,50-65,59
130,114621,F,50-65,78
131,114666,M,35-49,59
132,114730,M,35-49,58
133,114811,M,50-65,59
134,114817,M,35-49,38
135,114932,M,50-65,38
136,114989,M,50-65,59
137,114995,M,50-65,78
138,115022,M,50-65,38
139,115350,F,>65,06
140,115438,M,35-49,59
141,115514,M,35-49,78
142,115526,M,50-65,78
143,115588,M,<35,78
144,115880,M,50-65,06
145,116290,M,35-49,38
146,116388,M,50-65,78
147,116517,M,50-65,38
148,116566,M,50-65,78
149,116964,F,>65,78
150,116969,M,50-65,59
151,117249,M,50-65,78
152,117305,F,>65,38
153,117321,M,50-65,78
154,117387,M,>65,21
155,117461,F,50-65,58
156,117610,M,50-65,59
157,117667,M,<35,78
158,117783,F,>65,06
159,117850,M,35-49,51
160,117912,M,35-49,62
161,118229,M,50-65,59
162,118234,M,>65,78
163,118302,M,50-65,33
164,118364,M,50-65,78
165,118478,M,50-65,59
166,118554,M,50-65,62
167,118560,M,50-65,78
168,118606,M,50-65,38
169,118658,M,>65,78
170,118750,M,35-49,59
171,119307,M,50-65,78
172,119510,M,50-65,62
173,119521,M,50-65,38
174,120248,M,50-65,38
175,120286,M,50-65,38
176,120331,M,35-49,51
177,120461,M,>65,06
178,120734,M,>65,78
179,120768,M,50-65,33
180,120927,M,35-49,06
181,120992,M,50-65,78
182,121107,M,50-65,78
183,121128,M,50-65,59
184,121147,M,50-65,62
185,121408,M,50-65,62
186,121437,M,50-65,59
187,121590,M,50-65,58
188,121660,M,50-65,33
189,121672,M,50-65,78
190,121729,M,>65,51
191,121730,M,50-65,51
192,121796,M,>65,38
193,122130,M,50-65,78
194,122194,F,50-65,78
195,122221,M,50-65,78
196,122503,M,>65,21
