,CUST_ID,SEX,AGE,DEPARTEMENT
0,100194,M,50-65,59
1,100351,M,>65,38
2,100715,F,50-65,78
3,100977,M,50-65,33
4,101105,M,50-65,62
5,101185,M,50-65,59
6,101205,M,35-49,78
7,101392,M,35-49,78
8,101532,M,35-49,59
9,101749,M,50-65,38
10,102086,M,>65,62
11,102120,M,50-65,62
12,102136,M,50-65,33
13,102475,M,50-65,62
14,102647,M,35-49,78
15,102917,M,35-49,51
16,103101,F,50-65,78
17,103218,M,35-49,59
18,103316,F,35-49,33
19,103371,M,50-65,78
20,103556,F,>65,33
21,103814,M,50-65,78
22,103904,M,50-65,59
23,103914,M,35-49,59
24,104293,M,50-65,59
25,104345,M,35-49,59
26,104518,M,50-65,78
27,104626,M,50-65,59
28,105047,M,35-49,59
29,105498,M,50-65,78
30,105649,M,35-49,38
31,105769,M,50-65,78
32,105919,M,50-65,79
33,106150,M,50-65,78
34,106232,M,35-49,33
35,106319,M,<35,62
36,106748,M,50-65,78
37,106845,F,35-49,21
38,107030,M,35-49,59
39,107216,M,50-65,38
40,107305,M,50-65,62
41,107493,M,35-49,78
42,107936,M,50-65,59
43,108163,M,50-65,59
44,108228,M,50-65,38
45,108294,M,35-49,38
46,108526,M,50-65,78
47,108765,M,50-65,78
48,108805,M,50-65,78
49,108875,M,50-65,62
50,108938,M,50-65,59
51,109051,M,50-65,58
52,109054,M,50-65,59
53,109302,M,35-49,59
54,109363,M,50-65,33
55,109498,M,50-65,33
56,109538,M,50-65,06
57,109572,M,50-65,59
58,109665,M,>65,78
59,109711,M,50-65,62
60,109730,M,35-49,62
61,109765,M,35-49,38
62,109767,M,50-65,59
63,109828,M,>65,62
64,109910,M,50-65,06
65,110196,M,50-65,58
66,110487,M,35-49,78
67,110592,M,50-65,58
68,110731,M,50-65,59
69,110899,M,35-49,59
70,111061,M,50-65,78
71,111299,F,>65,62
72,111320,F,50-65,21
73,111383,M,>65,33
74,111432,M,50-65,59
75,111737,M,<35,78
76,111800,F,50-65,51
77,111828,M,50-65,33
78,111880,M,50-65,78
79,111890,M,50-65,59
80,111896,M,>65,78
81,111939,M,35-49,59
82,111958,M,35-49,59
83,112006,M,35-49,78
84,112013,M,50-65,33
85,112041,M,35-49,78
86,112044,M,35-49,59
87,112161,M,50-65,78
88,112387,M,35-49,78
89,112511,M,50-65,51
90,112979,M,50-65,33
91,113014,M,50-65,33
92,113036,M,50-65,62
93,113297,M,35-49,33
94,113376,M,35-49,59
95,113425,M,50-65,78
96,113487,M,50-65,78
97,113566,M,35-49,78
98,113699,M,35-49,62
99,113725,M,50-65,78
100,113794,M,50-65,59
101,113797,M,50-65,78
102,113875,M,35-49,58
103,114078,F,35-49,21
104,114176,M,50-65,59
105,114363,M,35-49,62
106,114449,M,50-65,59
107,114666,M,35-49,59
108,114730,M,35-49,58
109,114811,M,50-65,59
110,114932,M,50-65,38
111,114989,M,50-65,59
112,114995,M,50-65,78
113,115022,M,50-65,38
114,115438,M,35-49,59
115,115588,M,<35,78
116,116290,M,35-49,38
117,116517,M,50-65,38
118,116566,M,50-65,78
119,116969,M,50-65,59
120,117249,M,50-65,78
121,117305,F,>65,38
122,117321,M,50-65,78
123,117387,M,>65,21
124,117461,F,50-65,58
125,117610,M,50-65,59
126,117667,M,<35,78
127,117850,M,35-49,51
128,117912,M,35-49,62
129,118229,M,50-65,59
130,118234,M,>65,78
131,118302,M,50-65,33
132,118364,M,50-65,78
