,CUST_ID,SEX,AGE,DEPARTEMENT
0,107030,M,35-49,59
1,108938,M,50-65,59
2,110899,M,35-49,59
3,114666,M,35-49,59
4,118478,M,50-65,59
5,123777,M,50-65,59
6,127790,M,50-65,59
7,133892,M,50-65,59
8,149963,M,50-65,59
9,156096,M,35-49,78
10,156634,M,35-49,62
11,187833,M,50-65,59
12,199984,M,50-65,59
13,235297,M,50-65,59
14,241017,M,35-49,78
15,244827,M,35-49,59
16,263913,M,50-65,78
17,270220,M,50-65,59
18,275782,M,50-65,59
19,292347,M,35-49,59
20,294115,M,35-49,78
21,314647,M,<35,59
22,363692,M,50-65,78
23,368080,M,50-65,59
24,400722,M,50-65,78
25,403445,M,<35,59
26,416219,M,50-65,78
27,421137,M,35-49,59
28,425954,M,35-49,59
29,427096,M,35-49,59
30,427250,M,35-49,59
31,428202,M,50-65,78
32,432305,M,35-49,59
33,438350,F,50-65,59
34,455008,M,50-65,78
35,460228,M,35-49,62
36,464331,M,50-65,59
37,468837,M,35-49,78
38,471775,M,50-65,78
39,483533,M,35-49,59
40,489055,M,50-65,78
41,505859,M,>65,78
42,516496,M,<35,78
43,518902,M,50-65,78
44,519469,M,>65,78
45,519885,M,35-49,78
46,519887,M,50-65,78
47,521885,M,50-65,78
48,523545,M,35-49,59
49,535929,M,50-65,78
50,540247,M,50-65,78
51,545984,M,35-49,78
52,548624,M,50-65,78
53,552846,M,<35,62
54,552972,M,50-65,78
55,555714,M,35-49,78
56,563837,M,35-49,78
57,565366,M,35-49,78
58,584447,M,50-65,78
59,588437,M,50-65,59
60,602580,M,<35,59
61,604098,M,50-65,59
62,607784,M,35-49,59
63,610037,F,35-49,59
64,610249,M,35-49,78
65,612824,M,<35,59
66,616689,M,35-49,59
67,619437,M,35-49,78
68,622027,M,35-49,78
69,681522,M,50-65,59
70,715341,M,50-65,78
71,719763,M,35-49,78
72,734723,M,35-49,59
73,735292,M,<35,78
74,739860,M,<35,59
75,749414,M,35-49,78
76,751640,M,35-49,59
77,752568,M,50-65,78
78,754685,M,35-49,78
79,761107,M,<35,78
80,838190,M,35-49,59
81,849812,M,35-49,78
82,903640,M,<35,59
83,911614,M,35-49,78
84,915181,M,50-65,59
85,916245,M,35-49,78
86,957469,M,35-49,59
87,963615,M,50-65,78
88,964774,M,<35,78
89,971894,M,35-49,78
90,979705,M,<35,59
91,988692,M,35-49,59
92,993844,M,<35,78
93,998545,M,35-49,59
94,999796,M,35-49,59
95,1007975,M,35-49,78
96,1014685,M,<35,78
97,1034094,M,35-49,78
98,1036452,M,35-49,78
99,1037646,M,<35,78
100,1047955,M,<35,78
101,1048011,M,35-49,78
102,1054006,M,<35,78
103,1058591,M,50-65,59
104,1061637,M,<35,59
105,1071032,F,35-49,59
106,1082751,M,35-49,78
107,1095891,M,35-49,59
108,1163691,M,35-49,59
109,1166148,M,<35,62
110,1167207,M,35-49,59
111,1167617,M,50-65,59
112,1168767,M,35-49,59
113,1171591,M,50-65,59
114,1179385,M,<35,78
115,1198352,M,35-49,59
116,1205586,M,<35,62
117,1236675,M,<35,59
118,1237802,M,35-49,59
