,CUST_ID,SEX,AGE,DEPARTEMENT
0,100128,M,>65,21
1,100169,M,>65,59
2,100194,M,50-65,59
3,100202,M,50-65,78
4,100209,M,50-65,33
5,100212,M,50-65,33
6,100219,M,50-65,33
7,100270,F,50-65,78
8,100302,M,>65,06
9,100351,M,>65,38
10,100388,M,50-65,59
11,100497,M,50-65,59
12,100505,M,>65,33
13,100577,M,50-65,51
14,100615,M,50-65,33
15,100680,M,35-49,38
16,100715,F,50-65,78
17,100743,M,50-65,78
18,100784,M,50-65,59
19,100817,M,50-65,21
20,100842,M,35-49,78
21,100882,F,50-65,33
22,100942,M,35-49,51
23,100977,M,50-65,33
24,101024,F,35-49,62
25,101105,M,50-65,62
26,101165,M,50-65,58
27,101170,M,35-49,59
28,101185,M,50-65,59
29,101188,M,50-65,78
30,101205,M,35-49,78
31,101234,M,>65,78
32,101246,M,50-65,78
33,101299,M,35-49,62
34,101318,M,35-49,62
35,101374,M,<35,62
36,101389,M,35-49,59
37,101392,M,35-49,78
38,101532,M,35-49,59
39,101583,F,50-65,78
40,101656,M,50-65,78
41,101669,M,35-49,78
42,101682,M,50-65,78
43,101742,M,35-49,51
44,101749,M,50-65,38
45,101763,M,50-65,78
46,101775,M,50-65,33
47,101796,M,35-49,59
48,101912,M,50-65,59
49,101937,M,50-65,79
50,102086,M,>65,62
51,102120,M,50-65,62
52,102136,M,50-65,33
53,102168,M,50-65,33
54,102179,M,50-65,59
55,102233,M,50-65,62
56,102375,M,35-49,59
57,102475,M,50-65,62
58,102509,M,>65,59
59,102532,M,50-65,38
60,102647,M,35-49,78
61,102732,M,50-65,78
62,102917,M,35-49,51
63,102939,M,35-49,59
64,103011,F,>65,21
65,103019,M,50-65,78
66,103046,M,50-65,21
67,103101,F,50-65,78
68,103182,M,50-65,78
69,103218,M,35-49,59
70,103223,F,>65,21
71,103240,M,50-65,38
72,103286,M,50-65,78
73,103316,F,35-49,33
74,103344,M,50-65,78
75,103371,M,50-65,78
76,103438,M,>65,79
77,103525,M,>65,21
78,103556,F,>65,33
79,103585,M,35-49,62
80,103814,M,50-65,78
81,103904,M,50-65,59
82,103914,M,35-49,59
83,103922,M,50-65,33
84,103968,M,>65,78
85,103977,M,50-65,59
86,104003,M,50-65,59
87,104047,M,50-65,78
88,104088,M,>65,38
89,104122,F,50-65,38
90,104144,F,50-65,51
91,104231,M,50-65,59
92,104282,M,50-65,51
93,104293,M,50-65,59
94,104311,F,50-65,21
95,104345,M,35-49,59
96,104394,M,35-49,59
97,104424,M,50-65,59
98,104493,M,50-65,21
99,104513,M,50-65,62
100,104518,M,50-65,78
101,104626,M,50-65,59
102,104681,M,50-65,59
103,104713,M,50-65,78
104,104749,M,35-49,38
105,104898,M,50-65,59
106,105047,M,35-49,59
107,105109,F,50-65,33
108,105126,M,50-65,38
109,105293,M,50-65,59
110,105349,M,50-65,51
111,105351,M,50-65,59
112,105377,M,35-49,59
113,105431,M,35-49,78
114,105498,M,50-65,78
115,105649,M,35-49,38
116,105672,M,50-65,59
117,105769,M,50-65,78
118,105843,M,50-65,51
119,105892,M,50-65,78
120,105919,M,50-65,79
121,106129,M,50-65,78
122,106150,M,50-65,78
123,106174,M,50-65,38
124,106186,M,35-49,58
125,106203,M,35-49,62
126,106213,M,35-49,59
127,106214,M,50-65,78
128,106225,M,35-49,06
129,106232,M,35-49,33
130,106234,M,50-65,59
131,106261,F,50-65,03
132,106319,M,<35,62
133,106351,M,35-49,78
134,106442,F,<35,21
135,106500,M,>65,38
136,106541,F,35-49,59
137,106565,M,50-65,78
138,106591,M,50-65,59
139,106717,M,50-65,59
140,106730,M,35-49,78
141,106748,M,50-65,78
142,106845,F,35-49,21
143,106867,M,35-49,58
144,106904,M,>65,21
145,106982,M,35-49,59
146,107030,M,35-49,59
147,107150,F,50-65,06
148,107174,M,50-65,59
149,107216,M,50-65,38
150,107250,M,50-65,78
151,107305,M,50-65,62
152,107400,M,50-65,06
153,107463,M,50-65,51
154,107493,M,35-49,78
155,107536,F,>65,78
156,107591,M,50-65,58
157,107610,F,>65,21
158,107724,F,50-65,38
159,107811,M,50-65,58
160,107844,M,50-65,33
161,107874,M,35-49,78
162,107884,M,50-65,78
163,107936,M,50-65,59
164,107966,M,35-49,33
165,107981,F,50-65,59
166,108063,M,50-65,59
167,108067,M,35-49,59
168,108101,M,35-49,62
169,108122,M,50-65,40
170,108163,M,50-65,59
171,108168,M,50-65,59
172,108203,M,50-65,40
173,108208,M,>65,51
174,108209,M,50-65,59
175,108228,M,50-65,38
176,108294,M,35-49,38
177,108321,M,50-65,06
178,108486,F,>65,21
179,108520,M,50-65,78
180,108521,M,50-65,78
181,108526,M,50-65,78
182,108543,M,>65,78
183,108599,M,35-49,78
184,108625,M,35-49,58
185,108765,M,50-65,78
186,108787,M,35-49,62
187,108805,M,50-65,78
188,108824,M,50-65,06
189,108875,M,50-65,62
190,108927,M,50-65,59
191,108938,M,50-65,59
192,109051,M,50-65,58
193,109054,M,50-65,59
194,109075,M,50-65,38
195,109076,M,35-49,33
196,109078,F,<35,33
197,109220,M,50-65,38
198,109242,M,50-65,78
199,109279,M,35-49,33
200,109302,M,35-49,59
201,109363,M,50-65,33
202,109381,M,50-65,69
203,109439,F,>65,62
204,109498,M,50-65,33
205,109525,M,50-65,59
206,109527,M,50-65,33
207,109538,M,50-65,06
208,109551,M,50-65,58
209,109572,M,50-65,59
210,109615,M,50-65,59
211,109665,M,>65,78
212,109711,M,50-65,62
213,109720,F,>65,06
214,109730,M,35-49,62
215,109765,M,35-49,38
216,109767,M,50-65,59
217,109828,M,>65,62
218,109910,M,50-65,06
219,109954,M,50-65,59
220,109978,M,>65,78
221,109993,M,50-65,62
222,110071,M,>65,78
223,110073,M,50-65,38
224,110168,M,35-49,38
225,110196,M,50-65,58
226,110211,M,35-49,78
227,110250,M,50-65,51
228,110297,M,50-65,59
229,110417,M,>65,78
230,110487,M,35-49,78
231,110518,M,50-65,59
232,110527,F,35-49,38
233,110552,M,35-49,58
234,110569,F,>65,21
235,110590,M,35-49,78
236,110592,M,50-65,58
237,110633,M,50-65,51
238,110691,M,50-65,59
239,110731,M,50-65,59
240,110899,M,35-49,59
241,111038,M,50-65,78
242,111061,M,50-65,78
243,111074,M,50-65,62
