,CUST_ID,SEX,AGE,DEPARTEMENT
0,108938,M,50-65,59
1,110899,M,35-49,59
2,114666,M,35-49,59
3,118478,M,50-65,59
4,123777,M,50-65,59
5,127790,M,50-65,59
6,133892,M,50-65,59
7,149963,M,50-65,59
8,156096,M,35-49,78
9,158639,M,50-65,78
10,187833,M,50-65,59
11,199984,M,50-65,59
12,235297,M,50-65,59
13,241017,M,35-49,78
14,244827,M,35-49,59
15,263913,M,50-65,78
16,263990,F,50-65,78
17,270220,M,50-65,59
18,275782,M,50-65,59
19,292347,M,35-49,59
20,294115,M,35-49,78
21,314647,M,<35,59
22,363692,M,50-65,78
23,368080,M,50-65,59
24,400722,M,50-65,78
25,403445,M,<35,59
26,416219,M,50-65,78
27,421137,M,35-49,59
28,425954,M,35-49,59
29,427096,M,35-49,59
30,427250,M,35-49,59
31,428202,M,50-65,78
32,438350,F,50-65,59
33,455008,M,50-65,78
34,460228,M,35-49,62
35,464331,M,50-65,59
36,468837,M,35-49,78
37,471775,M,50-65,78
38,483533,M,35-49,59
39,505859,M,>65,78
40,516496,M,<35,78
41,518902,M,50-65,78
42,519469,M,>65,78
43,519885,M,35-49,78
44,519887,M,50-65,78
45,521885,M,50-65,78
46,523545,M,35-49,59
47,535929,M,50-65,78
48,540247,M,50-65,78
49,545984,M,35-49,78
50,548624,M,50-65,78
51,552846,M,<35,62
52,552972,M,50-65,78
53,555714,M,35-49,78
54,565366,M,35-49,78
55,573259,M,35-49,59
56,584447,M,50-65,78
57,588437,M,50-65,59
58,600388,M,35-49,59
59,602580,M,<35,59
60,604098,M,50-65,59
61,607784,M,35-49,59
62,610249,M,35-49,78
63,612824,M,<35,59
64,616225,M,35-49,59
65,616689,M,35-49,59
66,619437,M,35-49,78
67,622027,M,35-49,78
68,681522,M,50-65,59
69,715341,M,50-65,78
70,719763,M,35-49,78
71,734723,M,35-49,59
72,735292,M,<35,78
73,739860,M,<35,59
74,749414,M,35-49,78
75,751640,M,35-49,59
76,752568,M,50-65,78
77,754685,M,35-49,78
78,761107,M,<35,78
79,849812,M,35-49,78
80,903640,M,<35,59
81,911614,M,35-49,78
82,915181,M,50-65,59
83,916245,M,35-49,78
84,957469,M,35-49,59
85,963615,M,50-65,78
86,971894,M,35-49,78
87,979705,M,<35,59
88,984430,M,35-49,78
89,988692,M,35-49,59
90,993844,M,<35,78
91,998545,M,35-49,59
92,999796,M,35-49,59
93,1007975,M,35-49,78
94,1014685,M,<35,78
95,1034094,M,35-49,78
96,1036452,M,35-49,78
97,1037646,M,<35,78
98,1047955,M,<35,78
99,1048011,M,35-49,78
100,1058591,M,50-65,59
101,1061637,M,<35,59
102,1071032,F,35-49,59
103,1082751,M,35-49,78
104,1095891,M,35-49,59
105,1121384,M,50-65,78
106,1163691,M,35-49,59
107,1166148,M,<35,62
108,1167207,M,35-49,59
109,1167617,M,50-65,59
110,1168767,M,35-49,59
111,1171591,M,50-65,59
112,1179385,M,<35,78
113,1198352,M,35-49,59
114,1205586,M,<35,62
115,1237802,M,35-49,59
