,CUST_ID,SEX,AGE,DEPARTEMENT
0,108938,M,50-65,59
1,110899,M,35-49,59
2,112041,M,35-49,78
3,113487,M,50-65,78
4,114666,M,35-49,59
5,118478,M,50-65,59
6,123777,M,50-65,59
7,127760,M,50-65,78
8,127790,M,50-65,59
9,133892,M,50-65,59
10,149963,M,50-65,59
11,156096,M,35-49,78
12,156634,M,35-49,62
13,158639,M,50-65,78
14,169564,M,50-65,62
15,171222,M,50-65,62
16,187833,M,50-65,59
17,199984,M,50-65,59
18,204037,M,50-65,59
19,211249,F,50-65,62
20,235297,M,50-65,59
21,241017,M,35-49,78
22,244827,M,35-49,59
23,263913,M,50-65,78
24,263990,F,50-65,78
25,270220,M,50-65,59
26,275782,M,50-65,59
27,292347,M,35-49,59
28,294115,M,35-49,78
29,305678,M,50-65,62
30,309153,M,50-65,59
31,313130,M,<35,78
32,314647,M,<35,59
33,322520,M,35-49,59
34,350647,M,35-49,78
35,352928,M,50-65,62
36,353824,M,35-49,78
37,358021,M,35-49,62
38,363692,M,50-65,78
39,364658,M,35-49,78
40,368080,M,50-65,59
41,381774,M,50-65,59
42,394148,M,<35,78
43,400722,M,50-65,78
44,403445,M,<35,59
45,416219,M,50-65,78
46,421137,M,35-49,59
47,425954,M,35-49,59
48,427096,M,35-49,59
49,427250,M,35-49,59
50,428202,M,50-65,78
51,438350,F,50-65,59
52,455008,M,50-65,78
53,456892,M,35-49,78
54,460228,M,35-49,62
55,464331,M,50-65,59
56,468837,M,35-49,78
57,471775,M,50-65,78
58,472871,M,35-49,59
59,483533,M,35-49,59
60,505859,M,>65,78
61,510060,M,35-49,62
62,516496,M,<35,78
63,518902,M,50-65,78
64,519469,M,>65,78
65,519885,M,35-49,78
66,519887,M,50-65,78
67,521885,M,50-65,78
68,523545,M,35-49,59
69,535929,M,50-65,78
70,536334,M,50-65,78
71,540247,M,50-65,78
72,543699,M,50-65,78
73,544077,M,<35,62
74,545984,M,35-49,78
75,548624,M,50-65,78
76,552846,M,<35,62
77,552972,M,50-65,78
78,555714,M,35-49,78
79,565366,M,35-49,78
80,573259,M,35-49,59
81,575459,M,50-65,62
82,584447,M,50-65,78
83,588437,M,50-65,59
84,599279,M,35-49,62
85,600388,M,35-49,59
86,602580,M,<35,59
87,603391,M,50-65,62
88,604098,M,50-65,59
89,607784,M,35-49,59
90,610249,M,35-49,78
91,612824,M,<35,59
92,616225,M,35-49,59
93,616689,M,35-49,59
94,619437,M,35-49,78
95,622027,M,35-49,78
96,681522,M,50-65,59
97,715341,M,50-65,78
98,719763,M,35-49,78
99,734723,M,35-49,59
100,735292,M,<35,78
101,739860,M,<35,59
102,749414,M,35-49,78
103,751640,M,35-49,59
104,752568,M,50-65,78
105,754685,M,35-49,78
106,761107,M,<35,78
107,819320,M,50-65,62
108,842314,M,50-65,78
109,849812,M,35-49,78
110,863993,M,35-49,78
111,903640,M,<35,59
112,911614,M,35-49,78
113,913872,M,35-49,59
114,915181,M,50-65,59
115,916245,M,35-49,78
116,957240,M,35-49,78
117,957469,M,35-49,59
118,963615,M,50-65,78
119,971894,M,35-49,78
120,979705,M,<35,59
121,984430,M,35-49,78
122,988692,M,35-49,59
123,993844,M,<35,78
124,995860,M,>65,07
125,998545,M,35-49,59
126,999796,M,35-49,59
127,1007975,M,35-49,78
128,1014685,M,<35,78
129,1015043,M,<35,78
130,1034094,M,35-49,78
131,1036452,M,35-49,78
132,1037646,M,<35,78
133,1045120,M,50-65,78
134,1047955,M,<35,78
135,1048011,M,35-49,78
136,1058591,M,50-65,59
137,1061637,M,<35,59
138,1071032,F,35-49,59
139,1082751,M,35-49,78
140,1095891,M,35-49,59
141,1097861,M,35-49,78
142,1121384,M,50-65,78
143,1163691,M,35-49,59
144,1166148,M,<35,62
145,1167207,M,35-49,59
146,1167617,M,50-65,59
147,1168767,M,35-49,59
148,1171591,M,50-65,59
149,1173969,M,<35,59
150,1179385,M,<35,78
151,1198352,M,35-49,59
152,1205586,M,<35,62
153,1237802,M,35-49,59
