,CUST_ID,SEX,AGE,DEPARTEMENT
0,100128,M,>65,21
1,100169,M,>65,59
2,100194,M,50-65,59
3,100202,M,50-65,78
4,100209,M,50-65,33
5,100212,M,50-65,33
6,100219,M,50-65,33
7,100302,M,>65,06
8,100351,M,>65,38
9,100388,M,50-65,59
10,100497,M,50-65,59
11,100577,M,50-65,51
12,100615,M,50-65,33
13,100680,M,35-49,38
14,100715,F,50-65,78
15,100743,M,50-65,78
16,100784,M,50-65,59
17,100817,M,50-65,21
18,100842,M,35-49,78
19,100882,F,50-65,33
20,100942,M,35-49,51
21,100977,M,50-65,33
22,100985,M,35-49,33
23,101024,F,35-49,62
24,101105,M,50-65,62
25,101165,M,50-65,58
26,101170,M,35-49,59
27,101185,M,50-65,59
28,101188,M,50-65,78
29,101205,M,35-49,78
30,101246,M,50-65,78
31,101299,M,35-49,62
32,101318,M,35-49,62
33,101374,M,<35,62
34,101389,M,35-49,59
35,101392,M,35-49,78
36,101532,M,35-49,59
37,101583,F,50-65,78
38,101656,M,50-65,78
39,101669,M,35-49,78
40,101682,M,50-65,78
41,101742,M,35-49,51
42,101749,M,50-65,38
43,101763,M,50-65,78
44,101775,M,50-65,33
45,101816,M,>65,78
46,101912,M,50-65,59
47,101937,M,50-65,79
48,102086,M,>65,62
49,102120,M,50-65,62
50,102136,M,50-65,33
51,102168,M,50-65,33
52,102179,M,50-65,59
53,102233,M,50-65,62
54,102375,M,35-49,59
55,102475,M,50-65,62
56,102509,M,>65,59
57,102532,M,50-65,38
58,102647,M,35-49,78
59,102732,M,50-65,78
60,102917,M,35-49,51
61,102939,M,35-49,59
62,103011,F,>65,21
63,103019,M,50-65,78
64,103101,F,50-65,78
65,103182,M,50-65,78
66,103218,M,35-49,59
67,103223,F,>65,21
68,103240,M,50-65,38
69,103286,M,50-65,78
70,103316,F,35-49,33
71,103344,M,50-65,78
72,103371,M,50-65,78
73,103438,M,>65,79
74,103525,M,>65,21
75,103556,F,>65,33
76,103585,M,35-49,62
77,103618,M,>65,59
78,103814,M,50-65,78
79,103904,M,50-65,59
80,103914,M,35-49,59
81,103922,M,50-65,33
82,103977,M,50-65,59
83,104003,M,50-65,59
84,104047,M,50-65,78
85,104088,M,>65,38
86,104122,F,50-65,38
87,104144,F,50-65,51
88,104231,M,50-65,59
89,104282,M,50-65,51
90,104293,M,50-65,59
91,104311,F,50-65,21
92,104345,M,35-49,59
93,104394,M,35-49,59
94,104401,M,50-65,62
95,104424,M,50-65,59
96,104513,M,50-65,62
97,104518,M,50-65,78
98,104626,M,50-65,59
99,104681,M,50-65,59
100,104713,M,50-65,78
101,104749,M,35-49,38
102,104826,M,50-65,59
103,104898,M,50-65,59
104,105047,M,35-49,59
105,105109,F,50-65,33
106,105126,M,50-65,38
107,105293,M,50-65,59
108,105349,M,50-65,51
109,105351,M,50-65,59
110,105377,M,35-49,59
111,105431,M,35-49,78
112,105498,M,50-65,78
113,105649,M,35-49,38
114,105672,M,50-65,59
115,105769,M,50-65,78
116,105843,M,50-65,51
117,105892,M,50-65,78
118,105919,M,50-65,79
119,106129,M,50-65,78
120,106150,M,50-65,78
121,106174,M,50-65,38
122,106186,M,35-49,58
123,106203,M,35-49,62
124,106213,M,35-49,59
125,106214,M,50-65,78
126,106225,M,35-49,06
127,106232,M,35-49,33
128,106234,M,50-65,59
129,106261,F,50-65,03
130,106319,M,<35,62
131,106351,M,35-49,78
132,106442,F,<35,21
133,106500,M,>65,38
134,106541,F,35-49,59
135,106565,M,50-65,78
136,106591,M,50-65,59
137,106717,M,50-65,59
138,106730,M,35-49,78
139,106748,M,50-65,78
140,106845,F,35-49,21
141,106867,M,35-49,58
142,106904,M,>65,21
143,106982,M,35-49,59
144,107030,M,35-49,59
145,107150,F,50-65,06
146,107174,M,50-65,59
147,107216,M,50-65,38
148,107250,M,50-65,78
149,107305,M,50-65,62
150,107400,M,50-65,06
151,107463,M,50-65,51
152,107493,M,35-49,78
153,107591,M,50-65,58
154,107724,F,50-65,38
155,107811,M,50-65,58
156,107844,M,50-65,33
157,107874,M,35-49,78
158,107884,M,50-65,78
159,107936,M,50-65,59
160,107966,M,35-49,33
161,107981,F,50-65,59
162,108063,M,50-65,59
163,108067,M,35-49,59
164,108101,M,35-49,62
165,108163,M,50-65,59
166,108168,M,50-65,59
167,108208,M,>65,51
168,108209,M,50-65,59
169,108228,M,50-65,38
170,108294,M,35-49,38
171,108321,M,50-65,06
172,108396,M,35-49,70
173,108486,F,>65,21
174,108520,M,50-65,78
175,108521,M,50-65,78
176,108526,M,50-65,78
177,108543,M,>65,78
178,108599,M,35-49,78
179,108765,M,50-65,78
180,108787,M,35-49,62
181,108805,M,50-65,78
182,108824,M,50-65,06
183,108875,M,50-65,62
184,108927,M,50-65,59
185,108938,M,50-65,59
186,109051,M,50-65,58
187,109054,M,50-65,59
188,109075,M,50-65,38
189,109078,F,<35,33
190,109220,M,50-65,38
191,109242,M,50-65,78
192,109279,M,35-49,33
193,109302,M,35-49,59
194,109363,M,50-65,33
195,109381,M,50-65,69
196,109439,F,>65,62
197,109498,M,50-65,33
198,109525,M,50-65,59
199,109527,M,50-65,33
200,109538,M,50-65,06
201,109551,M,50-65,58
202,109572,M,50-65,59
203,109615,M,50-65,59
204,109711,M,50-65,62
205,109720,F,>65,06
206,109730,M,35-49,62
207,109765,M,35-49,38
208,109767,M,50-65,59
209,109828,M,>65,62
210,109910,M,50-65,06
211,109954,M,50-65,59
212,109978,M,>65,78
213,109993,M,50-65,62
214,110071,M,>65,78
215,110073,M,50-65,38
216,110168,M,35-49,38
217,110196,M,50-65,58
218,110211,M,35-49,78
219,110250,M,50-65,51
220,110297,M,50-65,59
221,110349,M,50-65,78
222,110487,M,35-49,78
223,110518,M,50-65,59
224,110527,F,35-49,38
225,110552,M,35-49,58
226,110569,F,>65,21
227,110590,M,35-49,78
228,110592,M,50-65,58
229,110633,M,50-65,51
230,110691,M,50-65,59
231,110731,M,50-65,59
232,110899,M,35-49,59
233,111038,M,50-65,78
234,111061,M,50-65,78
235,111074,M,50-65,62
236,111175,M,50-65,59
237,111176,M,50-65,59
238,111209,M,50-65,51
239,111211,M,50-65,51
240,111287,M,35-49,59
241,111288,M,35-49,62
242,111299,F,>65,62
243,111302,M,50-65,59
