,CUST_ID,SEX,AGE,DEPARTEMENT
0,100194,M,50-65,59
1,100351,M,>65,38
2,100615,M,50-65,33
3,100715,F,50-65,78
4,101024,F,35-49,62
5,101105,M,50-65,62
6,101185,M,50-65,59
7,101205,M,35-49,78
8,101374,M,<35,62
9,101392,M,35-49,78
10,101532,M,35-49,59
11,101583,F,50-65,78
12,101682,M,50-65,78
13,101749,M,50-65,38
14,102086,M,>65,62
15,102120,M,50-65,62
16,102136,M,50-65,33
17,102475,M,50-65,62
18,102647,M,35-49,78
19,102917,M,35-49,51
20,103011,F,>65,21
21,103218,M,35-49,59
22,103316,F,35-49,33
23,103371,M,50-65,78
24,103556,F,>65,33
25,103814,M,50-65,78
26,103904,M,50-65,59
27,104231,M,50-65,59
28,104293,M,50-65,59
29,104311,F,50-65,21
30,104345,M,35-49,59
31,104518,M,50-65,78
32,105047,M,35-49,59
33,105377,M,35-49,59
34,105498,M,50-65,78
35,105649,M,35-49,38
36,105769,M,50-65,78
37,105919,M,50-65,79
38,106150,M,50-65,78
39,106174,M,50-65,38
40,106214,M,50-65,78
41,106232,M,35-49,33
42,106319,M,<35,62
43,106500,M,>65,38
44,106748,M,50-65,78
45,106845,F,35-49,21
46,106982,M,35-49,59
47,107030,M,35-49,59
48,107216,M,50-65,38
49,107305,M,50-65,62
50,107493,M,35-49,78
51,107844,M,50-65,33
52,107884,M,50-65,78
53,107936,M,50-65,59
54,107981,F,50-65,59
55,108228,M,50-65,38
56,108294,M,35-49,38
57,108321,M,50-65,06
58,108526,M,50-65,78
59,108765,M,50-65,78
60,108805,M,50-65,78
61,108875,M,50-65,62
62,108938,M,50-65,59
63,109051,M,50-65,58
64,109302,M,35-49,59
65,109363,M,50-65,33
66,109498,M,50-65,33
67,109538,M,50-65,06
68,109551,M,50-65,58
69,109572,M,50-65,59
70,109665,M,>65,78
71,109711,M,50-65,62
72,109730,M,35-49,62
73,109765,M,35-49,38
74,109767,M,50-65,59
75,109828,M,>65,62
76,109910,M,50-65,06
77,110073,M,50-65,38
78,110487,M,35-49,78
79,110592,M,50-65,58
80,110731,M,50-65,59
81,110899,M,35-49,59
82,111038,M,50-65,78
83,111061,M,50-65,78
84,111211,M,50-65,51
85,111287,M,35-49,59
86,111299,F,>65,62
87,111320,F,50-65,21
88,111432,M,50-65,59
89,111670,M,35-49,59
90,111737,M,<35,78
91,111800,F,50-65,51
92,111828,M,50-65,33
93,111896,M,>65,78
94,111911,F,>65,78
95,111939,M,35-49,59
96,111958,M,35-49,59
97,111996,M,50-65,59
98,112006,M,35-49,78
99,112013,M,50-65,33
100,112041,M,35-49,78
101,112044,M,35-49,59
102,112161,M,50-65,78
103,112387,M,35-49,78
104,112511,M,50-65,51
105,112979,M,50-65,33
106,113014,M,50-65,33
107,113036,M,50-65,62
108,113297,M,35-49,33
109,113376,M,35-49,59
110,113425,M,50-65,78
111,113487,M,50-65,78
112,113566,M,35-49,78
113,113699,M,35-49,62
114,113700,M,35-49,78
115,113725,M,50-65,78
116,113794,M,50-65,59
117,113797,M,50-65,78
118,113875,M,35-49,58
119,114078,F,35-49,21
120,114176,M,50-65,59
121,114342,M,50-65,59
122,114363,M,35-49,62
123,114449,M,50-65,59
124,114658,M,35-49,78
125,114666,M,35-49,59
126,114730,M,35-49,58
127,114817,M,35-49,38
128,114886,M,50-65,33
129,114932,M,50-65,38
130,114995,M,50-65,78
131,115022,M,50-65,38
132,115438,M,35-49,59
