,CUST_ID,SEX,AGE,DEPARTEMENT
0,100194,M,50-65,59
1,100715,F,50-65,78
2,101105,M,50-65,62
3,101318,M,35-49,62
4,101937,M,50-65,79
5,102475,M,50-65,62
6,102647,M,35-49,78
7,103218,M,35-49,59
8,103914,M,35-49,59
9,103922,M,50-65,33
10,104231,M,50-65,59
11,104293,M,50-65,59
12,105498,M,50-65,78
13,105649,M,35-49,38
14,105769,M,50-65,78
15,105892,M,50-65,78
16,106150,M,50-65,78
17,106748,M,50-65,78
18,106845,F,35-49,21
19,107216,M,50-65,38
20,107936,M,50-65,59
21,108765,M,50-65,78
22,108805,M,50-65,78
23,108875,M,50-65,62
24,108938,M,50-65,59
25,109054,M,50-65,59
26,109498,M,50-65,33
27,109665,M,>65,78
28,109711,M,50-65,62
29,109730,M,35-49,62
30,109828,M,>65,62
31,110899,M,35-49,59
32,111432,M,50-65,59
33,111737,M,<35,78
34,111828,M,50-65,33
35,111896,M,>65,78
36,111939,M,35-49,59
37,111958,M,35-49,59
38,112041,M,35-49,78
39,112044,M,35-49,59
40,112979,M,50-65,33
41,113036,M,50-65,62
42,113109,M,50-65,59
43,113297,M,35-49,33
44,113376,M,35-49,59
45,113425,M,50-65,78
46,113487,M,50-65,78
47,113725,M,50-65,78
48,113797,M,50-65,78
49,114666,M,35-49,59
50,114995,M,50-65,78
51,115334,M,50-65,38
52,115511,M,35-49,59
53,115880,M,50-65,06
54,116517,M,50-65,38
55,116566,M,50-65,78
56,116969,M,50-65,59
57,117249,M,50-65,78
58,117790,M,>65,78
59,118071,M,50-65,59
60,118234,M,>65,78
61,118478,M,50-65,59
62,119310,M,50-65,33
63,119454,M,>65,78
64,119521,M,50-65,38
65,120086,M,50-65,38
66,120248,M,50-65,38
67,120286,M,50-65,38
68,120461,M,>65,06
69,120768,M,50-65,33
70,121128,M,50-65,59
71,121147,M,50-65,62
72,121408,M,50-65,62
73,121499,M,50-65,78
74,121590,M,50-65,58
75,121672,M,50-65,78
76,121730,M,50-65,51
77,122194,F,50-65,78
78,122953,F,50-65,62
79,122976,M,>65,78
80,123642,M,35-49,59
81,123777,M,50-65,59
82,123801,M,35-49,62
83,123949,M,50-65,59
84,124069,M,50-65,62
85,124464,M,50-65,51
86,124681,M,35-49,38
87,124784,M,35-49,62
88,125615,M,50-65,33
89,127760,M,50-65,78
90,127790,M,50-65,59
91,128265,M,50-65,78
92,128568,M,35-49,59
93,128645,M,>65,06
94,128703,M,50-65,59
95,128737,M,35-49,33
96,129105,M,50-65,78
