,CUST_ID,SEX,AGE,DEPARTEMENT
0,101105,M,50-65,62
1,105498,M,50-65,78
2,105649,M,35-49,38
3,105769,M,50-65,78
4,113725,M,50-65,78
5,116517,M,50-65,38
6,116566,M,50-65,78
7,120286,M,50-65,38
8,123642,M,35-49,59
9,123801,M,35-49,62
10,123949,M,50-65,59
11,124464,M,50-65,51
12,124784,M,35-49,62
13,125615,M,50-65,33
14,128265,M,50-65,78
15,129105,M,50-65,78
16,129151,M,35-49,62
17,130464,M,35-49,38
18,130532,M,50-65,59
19,130555,M,35-49,62
20,131514,M,50-65,78
21,131834,M,35-49,33
22,132253,M,<35,38
23,132260,M,35-49,78
24,133892,M,50-65,59
25,134545,M,50-65,78
26,136996,M,35-49,59
27,138325,M,50-65,51
28,145566,M,50-65,51
29,146208,M,35-49,62
30,147772,M,35-49,59
31,149886,M,50-65,38
32,150303,F,35-49,78
33,150817,M,<35,80
34,152266,M,50-65,06
35,153534,M,50-65,62
36,155710,M,35-49,70
37,156096,M,35-49,78
38,157047,M,35-49,78
39,157246,M,50-65,38
40,157573,F,50-65,06
41,160513,M,50-65,59
42,163869,M,35-49,38
43,163934,M,50-65,06
44,170729,M,50-65,33
45,171799,M,50-65,33
46,172457,F,50-65,59
47,173319,M,50-65,51
48,173559,F,50-65,78
49,176750,M,50-65,38
50,178285,M,50-65,38
51,178786,M,>65,78
52,181027,M,50-65,59
53,181964,M,50-65,59
54,184070,M,50-65,06
55,184841,M,35-49,59
56,186974,M,50-65,78
57,188482,M,35-49,38
58,189043,M,35-49,33
59,189419,M,50-65,33
60,191307,M,50-65,59
61,191426,M,50-65,78
62,191747,M,35-49,38
63,193219,F,50-65,21
64,195200,M,35-49,62
65,199984,M,50-65,59
66,202124,M,35-49,78
67,203487,M,50-65,78
68,209038,F,50-65,39
69,209608,M,50-65,59
70,213211,M,50-65,51
71,215374,M,50-65,38
72,226924,M,50-65,38
73,227626,M,35-49,33
74,228538,M,50-65,59
75,228704,M,50-65,51
76,230856,M,50-65,78
77,238881,M,50-65,51
78,240151,M,50-65,62
79,240683,M,50-65,78
80,241262,F,50-65,06
81,245072,M,50-65,78
82,250397,M,>65,59
83,252901,M,50-65,78
84,253171,M,50-65,62
85,255972,M,35-49,78
86,257663,M,35-49,58
87,262086,M,35-49,78
88,267956,M,50-65,78
89,269558,M,>65,33
90,270220,M,50-65,59
91,270927,M,35-49,78
92,271256,M,50-65,62
93,274199,M,50-65,33
94,274467,M,50-65,33
95,274953,M,50-65,38
96,275145,F,35-49,06
97,275401,M,<35,38
98,275978,M,50-65,59
99,277935,M,35-49,59
100,281256,M,<35,78
101,283278,M,35-49,59
102,285626,M,50-65,59
103,287308,M,50-65,33
104,287608,M,50-65,33
105,288642,M,50-65,33
106,288685,M,35-49,59
107,288714,M,50-65,38
108,290835,M,50-65,78
109,291564,M,35-49,59
110,294576,M,50-65,59
111,295124,M,50-65,78
112,296219,M,35-49,59
113,297113,M,50-65,78
114,300450,F,35-49,78
115,302471,M,50-65,78
116,302709,M,<35,38
117,303696,M,50-65,38
118,304157,M,50-65,78
119,307874,M,50-65,78
120,307966,M,50-65,33
121,309563,M,50-65,62
122,310380,M,35-49,58
123,313472,M,35-49,38
124,314138,M,35-49,38
125,316209,M,35-49,78
126,317586,M,50-65,38
127,320242,M,>65,51
128,323051,M,50-65,78
129,324441,M,35-49,78
130,325217,F,35-49,33
131,325831,M,35-49,78
132,326483,M,35-49,59
133,326781,M,35-49,62
134,329426,M,35-49,78
135,329769,M,50-65,78
136,331247,M,35-49,78
137,338042,M,35-49,62
138,339428,M,<35,62
139,341101,M,50-65,78
140,341341,M,50-65,33
141,343312,M,50-65,59
142,343449,M,50-65,59
143,344630,M,50-65,62
144,344970,M,35-49,59
145,347996,F,35-49,33
146,348948,M,50-65,78
147,349622,M,35-49,59
148,350965,M,35-49,62
149,354730,M,35-49,78
150,354817,F,<35,59
151,355203,M,35-49,59
152,356945,M,<35,38
153,365174,M,35-49,59
154,366567,M,35-49,59
155,368517,M,50-65,58
156,369359,F,35-49,78
157,372225,M,50-65,06
158,376207,F,50-65,59
159,376513,M,35-49,33
160,376854,M,35-49,78
161,380944,M,35-49,62
162,381797,M,50-65,06
163,381808,M,35-49,78
164,385630,M,<35,59
165,387325,M,35-49,78
166,388999,M,35-49,78
167,389821,M,35-49,59
168,390199,M,50-65,38
169,392706,M,50-65,78
170,400788,M,35-49,33
171,401082,M,50-65,62
172,404347,M,35-49,62
173,407466,F,<35,78
174,410397,M,35-49,78
175,411179,F,35-49,78
176,415543,F,50-65,33
177,419033,M,35-49,33
178,419573,F,35-49,33
179,421208,M,50-65,39
180,421796,M,50-65,59
181,425149,M,50-65,78
182,425951,M,35-49,78
183,427283,M,50-65,59
184,427408,M,35-49,58
185,429092,M,50-65,59
186,430600,F,35-49,58
187,437974,M,50-65,38
188,441047,M,35-49,06
189,445207,M,<35,62
190,446878,M,35-49,62
191,447321,M,35-49,78
192,449166,M,35-49,59
193,450548,M,35-49,38
194,450658,M,35-49,78
195,453207,M,35-49,78
196,454219,M,50-65,62
197,455312,M,50-65,59
198,456150,F,35-49,38
199,457865,M,35-49,33
200,458921,M,35-49,38
201,460089,M,35-49,06
202,460550,M,35-49,06
203,460754,M,<35,59
204,461515,M,35-49,62
205,462697,M,50-65,62
206,462819,M,35-49,62
207,463253,M,35-49,78
208,463969,M,<35,62
209,465771,M,<35,38
210,466493,M,50-65,33
211,470042,M,35-49,38
212,470752,M,50-65,78
213,470805,M,35-49,33
214,471841,M,35-49,59
215,473077,M,35-49,59
216,473727,M,50-65,51
217,476652,M,35-49,78
218,477520,M,<35,62
219,477692,M,35-49,78
220,478604,M,35-49,78
221,479474,M,35-49,59
222,479921,M,50-65,78
223,480255,F,35-49,59
224,480366,M,35-49,59
225,480373,M,50-65,62
226,480899,M,35-49,58
227,481450,F,<35,33
228,482352,M,35-49,78
229,482699,M,35-49,78
230,482740,M,<35,51
231,484507,M,<35,78
232,487513,M,35-49,78
233,490858,M,35-49,62
234,491803,M,35-49,78
235,493464,M,50-65,59
236,495325,M,35-49,78
237,496860,M,35-49,06
238,497798,M,35-49,33
239,499303,M,35-49,78
240,499532,M,>65,59
241,500915,M,50-65,33
242,502556,M,35-49,38
243,509386,M,50-65,62
244,511024,M,50-65,62
245,511792,M,35-49,62
246,516711,M,35-49,78
247,517175,M,35-49,51
248,519137,M,<35,38
249,520071,M,35-49,38
250,521161,M,50-65,62
251,521982,M,35-49,59
252,526976,M,35-49,78
253,527677,M,35-49,38
254,528757,M,50-65,06
255,537265,F,50-65,38
256,537872,M,<35,78
257,538133,M,50-65,38
258,538955,M,50-65,59
259,543430,M,50-65,62
260,543558,M,35-49,62
261,548581,M,50-65,58
262,549038,M,35-49,62
263,550893,M,35-49,06
264,551446,M,35-49,59
265,552846,M,<35,62
266,553151,M,35-49,78
267,555013,M,<35,59
268,558424,M,<35,79
269,558641,M,<35,62
270,558934,M,35-49,59
271,560373,M,50-65,62
272,563868,M,50-65,59
273,568859,M,50-65,62
274,569912,M,35-49,59
275,572651,M,35-49,59
276,573766,M,35-49,78
277,574409,M,35-49,38
278,575826,M,35-49,78
279,576380,M,35-49,06
280,576975,M,<35,06
281,579243,F,35-49,62
282,579353,M,35-49,78
283,579539,M,35-49,33
284,581633,M,35-49,06
285,583156,M,<35,33
286,583460,M,35-49,59
287,584471,M,<35,62
288,586233,M,35-49,58
289,587093,M,<35,33
290,592510,M,35-49,58
291,592647,M,<35,78
292,595074,F,35-49,78
293,595081,M,50-65,59
294,596052,M,50-65,59
295,598391,M,35-49,59
296,599293,F,<35,51
297,599725,M,35-49,38
298,600467,M,35-49,78
299,601640,M,35-49,38
300,601900,M,50-65,51
301,605207,M,<35,59
302,605523,M,50-65,78
303,606450,M,50-65,51
304,606739,M,35-49,33
305,609205,M,<35,78
306,612518,M,<35,59
307,613217,F,35-49,38
308,614173,M,<35,78
309,622174,M,50-65,06
310,622396,M,35-49,59
311,622767,M,35-49,51
312,626163,M,<35,78
313,638210,M,35-49,62
314,656134,F,<35,59
315,657916,M,35-49,06
316,674245,M,35-49,59
317,684785,M,35-49,51
318,704970,M,35-49,78
319,711253,M,<35,38
320,716095,M,<35,59
321,717621,M,50-65,38
322,723771,M,35-49,51
323,732484,M,35-49,78
324,734827,F,50-65,62
325,741466,M,35-49,33
326,741468,M,35-49,78
327,741484,M,<35,78
328,748250,M,35-49,59
329,757634,M,35-49,59
330,763217,M,35-49,78
331,770844,M,50-65,51
332,778698,M,35-49,62
