,CUST_ID,SEX,AGE,DEPARTEMENT
0,100202,M,50-65,78
1,100715,F,50-65,78
2,101105,M,50-65,62
3,101185,M,50-65,59
4,101205,M,35-49,78
5,101392,M,35-49,78
6,101682,M,50-65,78
7,101749,M,50-65,38
8,101763,M,50-65,78
9,102136,M,50-65,33
10,103371,M,50-65,78
11,103922,M,50-65,33
12,104293,M,50-65,59
13,104345,M,35-49,59
14,104626,M,50-65,59
15,105377,M,35-49,59
16,105649,M,35-49,38
17,106150,M,50-65,78
18,106351,M,35-49,78
19,106845,F,35-49,21
20,107030,M,35-49,59
21,107724,F,50-65,38
22,107936,M,50-65,59
23,108228,M,50-65,38
24,108765,M,50-65,78
25,108938,M,50-65,59
26,109051,M,50-65,58
27,109828,M,>65,62
28,110349,M,50-65,78
29,110899,M,35-49,59
30,111299,F,>65,62
31,111320,F,50-65,21
32,111383,M,>65,33
33,111432,M,50-65,59
34,111668,M,35-49,62
35,111828,M,50-65,33
36,111906,M,35-49,58
37,112041,M,35-49,78
38,112044,M,35-49,59
39,112161,M,50-65,78
40,112455,M,35-49,39
41,113036,M,50-65,62
42,113297,M,35-49,33
43,113487,M,50-65,78
44,113595,M,50-65,78
45,113725,M,50-65,78
46,113875,M,35-49,58
47,114078,F,35-49,21
48,114666,M,35-49,59
49,114995,M,50-65,78
50,115022,M,50-65,38
51,115068,M,35-49,62
52,116517,M,50-65,38
53,116969,M,50-65,59
54,117321,M,50-65,78
55,117850,M,35-49,51
56,118229,M,50-65,59
57,118478,M,50-65,59
58,120461,M,>65,06
59,120981,M,50-65,78
60,121128,M,50-65,59
61,121147,M,50-65,62
62,121222,M,50-65,59
63,121590,M,50-65,58
64,121730,M,50-65,51
65,122130,M,50-65,78
66,122194,F,50-65,78
67,122953,F,50-65,62
68,123499,M,35-49,78
69,123801,M,35-49,62
70,123949,M,50-65,59
71,124464,M,50-65,51
72,124681,M,35-49,38
73,124784,M,35-49,62
74,124913,M,>65,21
75,124985,M,35-49,38
76,125579,M,50-65,59
77,126035,M,50-65,62
78,126059,M,35-49,59
79,126217,M,35-49,06
80,127376,M,50-65,21
81,127790,M,50-65,59
82,128083,M,50-65,51
83,128265,M,50-65,78
84,128896,M,50-65,78
85,129001,M,50-65,59
86,129318,M,50-65,79
87,129390,M,50-65,33
88,129748,M,50-65,51
89,129865,F,35-49,59
90,130366,M,35-49,62
91,130464,M,35-49,38
92,131014,M,50-65,33
93,131208,M,50-65,62
94,131325,M,>65,78
95,131494,M,50-65,78
96,131514,M,50-65,78
97,131516,M,50-65,38
98,131554,M,50-65,33
99,131862,M,35-49,38
100,132253,M,<35,38
101,132260,M,35-49,78
102,132519,M,50-65,38
103,132739,M,50-65,78
104,132966,M,35-49,51
105,133014,F,50-65,59
106,133892,M,50-65,59
107,133917,M,50-65,38
108,134035,M,35-49,78
109,134483,M,35-49,06
110,134527,M,35-49,59
111,134691,M,35-49,78
112,135414,M,35-49,33
113,136688,M,35-49,78
114,137060,M,35-49,58
115,137677,M,50-65,62
116,137806,M,35-49,62
117,138058,M,50-65,62
118,138170,M,50-65,59
