,CUST_ID,SEX,AGE,DEPARTEMENT
0,100128,M,>65,21
1,100194,M,50-65,59
2,100202,M,50-65,78
3,100209,M,50-65,33
4,100351,M,>65,38
5,100497,M,50-65,59
6,100577,M,50-65,51
7,100615,M,50-65,33
8,100715,F,50-65,78
9,100882,F,50-65,33
10,100942,M,35-49,51
11,100977,M,50-65,33
12,101024,F,35-49,62
13,101105,M,50-65,62
14,101165,M,50-65,58
15,101185,M,50-65,59
16,101188,M,50-65,78
17,101205,M,35-49,78
18,101299,M,35-49,62
19,101374,M,<35,62
20,101392,M,35-49,78
21,101532,M,35-49,59
22,101583,F,50-65,78
23,101682,M,50-65,78
24,101749,M,50-65,38
25,102086,M,>65,62
26,102120,M,50-65,62
27,102136,M,50-65,33
28,102168,M,50-65,33
29,102233,M,50-65,62
30,102475,M,50-65,62
31,102532,M,50-65,38
32,102647,M,35-49,78
33,102917,M,35-49,51
34,103019,M,50-65,78
35,103101,F,50-65,78
36,103218,M,35-49,59
37,103286,M,50-65,78
38,103316,F,35-49,33
39,103371,M,50-65,78
40,103556,F,>65,33
41,103814,M,50-65,78
42,103904,M,50-65,59
43,103914,M,35-49,59
44,103922,M,50-65,33
45,104231,M,50-65,59
46,104282,M,50-65,51
47,104293,M,50-65,59
48,104311,F,50-65,21
49,104345,M,35-49,59
50,104518,M,50-65,78
51,104626,M,50-65,59
52,104749,M,35-49,38
53,105047,M,35-49,59
54,105126,M,50-65,38
55,105293,M,50-65,59
56,105351,M,50-65,59
57,105377,M,35-49,59
58,105498,M,50-65,78
59,105649,M,35-49,38
60,105769,M,50-65,78
61,105843,M,50-65,51
62,105892,M,50-65,78
63,105919,M,50-65,79
64,106150,M,50-65,78
65,106174,M,50-65,38
66,106203,M,35-49,62
67,106214,M,50-65,78
68,106232,M,35-49,33
69,106319,M,<35,62
70,106500,M,>65,38
71,106565,M,50-65,78
72,106591,M,50-65,59
73,106748,M,50-65,78
74,106845,F,35-49,21
75,106904,M,>65,21
76,106982,M,35-49,59
77,107030,M,35-49,59
78,107216,M,50-65,38
79,107250,M,50-65,78
80,107305,M,50-65,62
81,107493,M,35-49,78
82,107724,F,50-65,38
83,107844,M,50-65,33
84,107884,M,50-65,78
85,107936,M,50-65,59
86,107981,F,50-65,59
87,108063,M,50-65,59
88,108067,M,35-49,59
89,108163,M,50-65,59
90,108208,M,>65,51
91,108228,M,50-65,38
92,108294,M,35-49,38
93,108321,M,50-65,06
94,108520,M,50-65,78
95,108526,M,50-65,78
96,108765,M,50-65,78
97,108805,M,50-65,78
98,108875,M,50-65,62
99,108938,M,50-65,59
100,109051,M,50-65,58
101,109054,M,50-65,59
102,109220,M,50-65,38
103,109302,M,35-49,59
104,109363,M,50-65,33
105,109498,M,50-65,33
106,109525,M,50-65,59
107,109538,M,50-65,06
108,109551,M,50-65,58
109,109572,M,50-65,59
110,109711,M,50-65,62
111,109730,M,35-49,62
112,109765,M,35-49,38
113,109767,M,50-65,59
114,109828,M,>65,62
115,109910,M,50-65,06
116,110073,M,50-65,38
117,110196,M,50-65,58
118,110487,M,35-49,78
119,110552,M,35-49,58
120,110592,M,50-65,58
121,110731,M,50-65,59
122,110899,M,35-49,59
123,111038,M,50-65,78
124,111061,M,50-65,78
125,111209,M,50-65,51
126,111211,M,50-65,51
127,111287,M,35-49,59
128,111299,F,>65,62
129,111320,F,50-65,21
130,111432,M,50-65,59
131,111665,M,50-65,79
132,111668,M,35-49,62
133,111670,M,35-49,59
134,111737,M,<35,78
135,111738,M,50-65,78
136,111828,M,50-65,33
137,111880,M,50-65,78
138,111890,M,50-65,59
139,111896,M,>65,78
140,111906,M,35-49,58
141,111911,F,>65,78
142,111939,M,35-49,59
143,111958,M,35-49,59
144,111996,M,50-65,59
145,112006,M,35-49,78
146,112013,M,50-65,33
147,112041,M,35-49,78
148,112044,M,35-49,59
149,112161,M,50-65,78
150,112387,M,35-49,78
151,112455,M,35-49,39
152,112511,M,50-65,51
153,112768,M,>65,62
154,112979,M,50-65,33
155,113014,M,50-65,33
156,113036,M,50-65,62
157,113297,M,35-49,33
158,113350,F,50-65,59
159,113376,M,35-49,59
160,113425,M,50-65,78
161,113487,M,50-65,78
162,113566,M,35-49,78
163,113595,M,50-65,78
164,113699,M,35-49,62
165,113700,M,35-49,78
166,113725,M,50-65,78
167,113794,M,50-65,59
168,113797,M,50-65,78
169,113875,M,35-49,58
170,114078,F,35-49,21
171,114176,M,50-65,59
172,114216,M,50-65,42
173,114342,M,50-65,59
174,114363,M,35-49,62
175,114449,M,50-65,59
176,114474,M,50-65,62
177,114621,F,50-65,78
178,114658,M,35-49,78
179,114666,M,35-49,59
180,114771,M,35-49,33
181,114807,M,50-65,33
182,114811,M,50-65,59
183,114817,M,35-49,38
184,114886,M,50-65,33
185,114932,M,50-65,38
186,114989,M,50-65,59
187,114995,M,50-65,78
188,115022,M,50-65,38
189,115334,M,50-65,38
190,115438,M,35-49,59
191,115514,M,35-49,78
192,115526,M,50-65,78
193,115588,M,<35,78
194,115880,M,50-65,06
195,116290,M,35-49,38
