,CUST_ID,SEX,AGE,DEPARTEMENT
0,100128,M,>65,21
1,100194,M,50-65,59
2,100202,M,50-65,78
3,100351,M,>65,38
4,100497,M,50-65,59
5,100715,F,50-65,78
6,100942,M,35-49,51
7,100977,M,50-65,33
8,101105,M,50-65,62
9,101185,M,50-65,59
10,101205,M,35-49,78
11,101392,M,35-49,78
12,101532,M,35-49,59
13,101682,M,50-65,78
14,101749,M,50-65,38
15,102086,M,>65,62
16,102120,M,50-65,62
17,102136,M,50-65,33
18,102475,M,50-65,62
19,102647,M,35-49,78
20,102917,M,35-49,51
21,103101,F,50-65,78
22,103218,M,35-49,59
23,103316,F,35-49,33
24,103371,M,50-65,78
25,103556,F,>65,33
26,103814,M,50-65,78
27,103904,M,50-65,59
28,103914,M,35-49,59
29,103922,M,50-65,33
30,104231,M,50-65,59
31,104293,M,50-65,59
32,104345,M,35-49,59
33,104518,M,50-65,78
34,104626,M,50-65,59
35,105047,M,35-49,59
36,105377,M,35-49,59
37,105498,M,50-65,78
38,105649,M,35-49,38
39,105769,M,50-65,78
40,105919,M,50-65,79
41,106150,M,50-65,78
42,106203,M,35-49,62
43,106232,M,35-49,33
44,106319,M,<35,62
45,106748,M,50-65,78
46,106845,F,35-49,21
47,106982,M,35-49,59
48,107030,M,35-49,59
49,107216,M,50-65,38
50,107305,M,50-65,62
51,107493,M,35-49,78
52,107724,F,50-65,38
53,107936,M,50-65,59
54,108163,M,50-65,59
55,108228,M,50-65,38
56,108294,M,35-49,38
57,108526,M,50-65,78
58,108765,M,50-65,78
59,108805,M,50-65,78
60,108875,M,50-65,62
61,108938,M,50-65,59
62,109051,M,50-65,58
63,109054,M,50-65,59
64,109302,M,35-49,59
65,109363,M,50-65,33
66,109498,M,50-65,33
67,109538,M,50-65,06
68,109551,M,50-65,58
69,109572,M,50-65,59
70,109665,M,>65,78
71,109711,M,50-65,62
72,109730,M,35-49,62
73,109765,M,35-49,38
74,109767,M,50-65,59
75,109828,M,>65,62
76,109910,M,50-65,06
77,110196,M,50-65,58
78,110487,M,35-49,78
79,110592,M,50-65,58
80,110731,M,50-65,59
81,110899,M,35-49,59
82,111061,M,50-65,78
83,111299,F,>65,62
84,111320,F,50-65,21
85,111383,M,>65,33
86,111432,M,50-65,59
87,111737,M,<35,78
88,111800,F,50-65,51
89,111828,M,50-65,33
90,111880,M,50-65,78
91,111890,M,50-65,59
92,111896,M,>65,78
93,111911,F,>65,78
94,111939,M,35-49,59
95,111958,M,35-49,59
96,111996,M,50-65,59
97,112006,M,35-49,78
98,112013,M,50-65,33
99,112041,M,35-49,78
100,112044,M,35-49,59
101,112161,M,50-65,78
102,112387,M,35-49,78
103,112455,M,35-49,39
104,112511,M,50-65,51
105,112979,M,50-65,33
106,113014,M,50-65,33
107,113036,M,50-65,62
108,113297,M,35-49,33
109,113350,F,50-65,59
110,113376,M,35-49,59
111,113425,M,50-65,78
112,113487,M,50-65,78
113,113566,M,35-49,78
114,113699,M,35-49,62
115,113725,M,50-65,78
116,113794,M,50-65,59
117,113797,M,50-65,78
118,113875,M,35-49,58
119,114078,F,35-49,21
120,114176,M,50-65,59
121,114363,M,35-49,62
122,114449,M,50-65,59
123,114621,F,50-65,78
124,114666,M,35-49,59
125,114730,M,35-49,58
126,114811,M,50-65,59
127,114932,M,50-65,38
128,114989,M,50-65,59
129,114995,M,50-65,78
130,115022,M,50-65,38
131,115350,F,>65,06
132,115438,M,35-49,59
133,115526,M,50-65,78
134,115588,M,<35,78
135,115880,M,50-65,06
136,116290,M,35-49,38
137,116388,M,50-65,78
138,116517,M,50-65,38
139,116566,M,50-65,78
140,116964,F,>65,78
141,116969,M,50-65,59
142,117249,M,50-65,78
143,117305,F,>65,38
144,117321,M,50-65,78
145,117387,M,>65,21
146,117461,F,50-65,58
147,117610,M,50-65,59
148,117667,M,<35,78
149,117850,M,35-49,51
150,117912,M,35-49,62
151,118229,M,50-65,59
152,118234,M,>65,78
153,118302,M,50-65,33
154,118364,M,50-65,78
155,118478,M,50-65,59
156,118554,M,50-65,62
157,118560,M,50-65,78
158,118606,M,50-65,38
159,118658,M,>65,78
160,118750,M,35-49,59
161,119307,M,50-65,78
162,119510,M,50-65,62
163,119521,M,50-65,38
164,120248,M,50-65,38
165,120286,M,50-65,38
166,120461,M,>65,06
167,120734,M,>65,78
168,120768,M,50-65,33
169,120927,M,35-49,06
170,120992,M,50-65,78
171,121107,M,50-65,78
172,121128,M,50-65,59
173,121147,M,50-65,62
174,121408,M,50-65,62
175,121437,M,50-65,59
176,121590,M,50-65,58
177,121672,M,50-65,78
178,121729,M,>65,51
179,121730,M,50-65,51
180,121796,M,>65,38
181,122130,M,50-65,78
182,122194,F,50-65,78
183,122221,M,50-65,78
184,122503,M,>65,21
185,122824,M,>65,78
186,122953,F,50-65,62
187,122976,M,>65,78
188,123035,M,>65,59
189,123294,M,35-49,78
190,123499,M,35-49,78
191,123517,M,50-65,78
192,123618,M,50-65,38
193,123642,M,35-49,59
194,123777,M,50-65,59
195,123801,M,35-49,62
196,123949,M,50-65,59
